ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
39370,Koutsuu Anzen de Gozaru Ninja Hattori-kun,交通安全でござる忍者ハットリくん,Unknown,A traffic safety anime starring the cast of Ninja Hattori-kun.,OVA,2.0,Finished Airing,1983,1989,Unknown,Unknown,Unknown,Manga,Unknown,"Educational, Martial Arts",Kids,14.0,G - All Ages,,,193642.0,17331,212,0,1983.0
39427,Higuma no Ongaeshi,ひぐまのおんがえし,Unknown,A traffic safety film with forest animals. A bear father takes his bear son into the mountains to improve his health with the fresh air. His father tells him about traffic rules and how many forest animals get hurt when they don't follow them. ,OVA,1.0,Finished Airing,1984,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,10.0,G - All Ages,,,183812.0,19242,92,0,1984.0
39426,Ganbare! Ko Zou no Koutsuu Anzen Patrol-tai,がんばれ！子象の交通安全パトロール隊,Unknown,A children's traffic safety education anime with animal policemen.,OVA,1.0,Finished Airing,1984,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Educational,Kids,17.0,G - All Ages,,,179822.0,19133,100,0,1984.0
39307,Kyonshii Kyonta no Koutsuu Anzen,キョンシーキョン太の交通安全,Unknown,"A traffic safety film starring a kyonshii, known as a Chinese hopping vampire/zombie (natively called jianshi in Chinese but kyonshii in Japan). Kyonshii horror films were popular in the late 80s.",OVA,1.0,Finished Airing,1985,Not Available,Unknown,Unknown,Unknown,Original,Supernatural,Educational,Kids,15.0,G - All Ages,,,194562.0,19330,86,0,1985.0
35124,Koala-chan no Shouboutai,コアラちゃんの消防隊,Unknown,Koala and other animal firefighters teach fire safety.,OVA,1.0,Finished Airing,1985,Not Available,Toei Animation,Unknown,Unknown,Original,Drama,Unknown,Kids,11.0,G - All Ages,,,192662.0,18916,114,1,1985.0
33978,0-sen Hayato Pilot,0戦はやと 奇襲,Unknown,The pilot episode of 0-sen Hayato released only on VHS and Betamax. Chronologically it is considered the 1st episode of the franchise.,OVA,1.0,Finished Airing,1985,Not Available,Unknown,Unknown,Unknown,Manga,Unknown,"Historical, Military",Unknown,23.0,PG-13 - Teens 13 or older,,,166822.0,14983,378,0,1985.0
26155,Okaasan no Ki,おかあさんの木,Unknown,"Based on a book by Okawa Etsuo.

In 1937 a mother with 7 children has to see her eldest three sons go off to war. She plants Paulownia tree seeds and prays to the trees every day for her sons to come back safely. ",OVA,1.0,Finished Airing,1986,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Historical,Kids,22.0,G - All Ages,,,140232.0,18315,154,0,1986.0
35085,Kyouiku Eiga-sai Jushou Anime Series,教育映画祭受賞アニメシリーズ,Unknown,"Educational Film Festival winning anime series. Some are original stories, some are adaptations of famous short stories; both are meant to pull at your heart-strings. ",OVA,4.0,Finished Airing,1986,Not Available,Unknown,Unknown,Unknown,Other,Drama,Unknown,Kids,22.0,G - All Ages,,,194652.0,19074,104,0,1986.0
39624,Peter-kun no Koutsuu Anzen,ピーターくんの交通安全,Unknown,A traffic safety film revolving around a little boy and an alien who came down in a fireball. The alien saved the little boy from being run over by a car.,OVA,1.0,Finished Airing,1986,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Educational,Kids,12.0,G - All Ages,,,142702.0,19411,80,1,1986.0
4138,Chiisana Penguin Lolo no Bouken,小さなペンギンロロの冒険,The Adventures of Scamper the Penguin,"Lolo is a penguin who loves to explore. With his friend Pepe, he has wonderful adventures. They discover together the wonders of their world from a puppy called Don and his owner a scientist who is studying the Antarctic environment. They also discover that not everything in their world is friendly when they get stranded far from home. Yet with luck and the brave Lolo in the lead, anything can happen.

(Source: ANN) ",OVA,3.0,Finished Airing,1986,1987,"Life Work, Soyuzmultfilm",Enoki Films,Toei Animation,Original,"Adventure, Drama, Fantasy, Slice of Life",Unknown,Kids,30.0,G - All Ages,7.361,1627.0,21682.0,9005,2955,11,1986.0
