anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
4462,Tairiki Tarou no Mucha Shuugyou,大力太郎の無茶修業,Mighty Taro's Reckless Training,Short film from 1928 about a samurai fighting demons. ,Movie,1.0,Finished Airing,1928-01-01,,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,1.0,G - All Ages,4.681,851.0,127802.0,10927,1465,1
28045,Kogane no Hana,こがねの花,The Golden Flower,A man has a strange adventure on a hill as he returns from the village festival.,Movie,1.0,Finished Airing,1929-03-12,,Unknown,Unknown,Unknown,Original,"Action, Adventure, Fantasy",Historical,Unknown,16.0,G - All Ages,4.751,465.0,127132.0,12062,950,0
5873,Tarou-san no Kisha,太郎さんの汽車,Taro's Toy Train,"A combination of live action, traditional animation, and stop motion animation. A father buys his son a toy train, which he loves. When the boy goes to sleep, the train comes to life and crawls into the bed with the boy, giving him a dream about proper train etiquette.",Movie,1.0,Finished Airing,1929-06-18,,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,15.0,G - All Ages,5.401,868.0,114312.0,10603,1673,2
5811,Nezumi no Rusuban,鼠の留守番,Home Alone Mice,Short movie from 1931.,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,1.0,G - All Ages,4.481,649.0,129152.0,11599,1125,0
5813,Urashima Tarou (1931),浦島太郎,Taro Urashima,"Urashima Taro is based on a well-known Japanese folk tale about an honest fisherman who is invited to an underwater castle after saving a sea turtle on a beach from bullies.

(Source: forum.bcdb.com)",Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Other,Action,Unknown,Unknown,1.0,G - All Ages,4.511,1196.0,129002.0,10025,2055,1
5812,Doubutsu Sumo Taikai,動物相撲大会,Animal Sumo,Short movie from 1931.,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Action,Combat Sports,Unknown,52.0,G - All Ages,4.671,634.0,127942.0,11522,1157,0
5869,Chou no Sainan,蝶のさいなん,The Unlucky Butterfly,A short movie from 1931 about a mouse stealing a butterfly's wings and her journey to get them back.,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,8.0,G - All Ages,5.291,650.0,117542.0,11500,1166,0
5814,Dankichi-jima no Olympic Taikai,ダン吉島のオリムピック大会,Olympic Games on Dankichi Island,Short movie from 1932.,Movie,1.0,Finished Airing,1932-01-01,,Unknown,Unknown,Unknown,Original,"Action, Sports",Unknown,Unknown,2.0,G - All Ages,4.291,759.0,129852.0,11208,1315,0
5872,Doubutsu Mura no Sports Day,動物村のスポーツデー,Sports Day at Animal Village,Short movie from 1932.,Movie,1.0,Finished Airing,1932-01-01,,Unknown,Unknown,Unknown,Original,"Action, Sports",Unknown,Unknown,8.0,G - All Ages,5.021,552.0,123422.0,11944,991,2
5874,Sankou to Tako: Hyakumanryou Chinsoudou,三公と蛸～百万両珍騒動～,Sanko and the Octopus A Fight Over a Fortune,Short movie from 1933.,Movie,1.0,Finished Airing,1933-01-01,,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,15.0,G - All Ages,5.101,363.0,122142.0,12993,701,0
35399,Kamishibai Itazura Tanuki no Maki,紙芝居 いたづら狸の卷,Rascal Racoon,A tanuki causes mischief at a temple.,Movie,1.0,Finished Airing,1933-01-01,,Unknown,Unknown,Unknown,Other,"Action, Supernatural",Historical,Unknown,5.0,G - All Ages,5.521,224.0,110342.0,14102,478,0
6850,Norakuro Shoui: Nichiyoubi no Kaijiken,のらくろ少尉～日曜日の怪事件～,2nd Lieutenant Norakuro Sunday Magic,Norakuro's adventures in the Fierce Dog Brigade continue in this short film from the 1930s.,Movie,1.0,Finished Airing,1933-01-01,,Unknown,Unknown,Unknown,Manga,Action,Military,Unknown,1.0,G - All Ages,4.761,454.0,127022.0,12126,931,0
5870,Hibari no Yadogae,雲雀の宿替,The Larks' Moving Day,Unknown,Movie,1.0,Finished Airing,1933-01-31,,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,4.0,G - All Ages,4.791,611.0,126672.0,11479,1177,0
5871,Norakuro Nitouhei: Kyouren no Maki,のらくろ二等兵 教練の巻,Private 2nd Class Norakuro The Training,"The Company and Regimental Commanders engage in an idle chit-chat, blithely ignorant of the troops forging ahead under the previous ""Forward March"" command. Norakuro and his fellow recruits march gamely forward, regardless of the obstacles that may lie in their way. However, a horse stable looms up ahead.

(Source: AniDB)",Movie,1.0,Finished Airing,1933-06-14,,Unknown,Unknown,Unknown,Manga,"Action, Adventure",Unknown,Unknown,5.0,G - All Ages,4.931,487.0,124982.0,11919,1002,0
51801,Garandou no Taiko,ガランドウの太鼓,Unknown,"A work inspired by Tolstoy's fairy tale ""The Empty Drum"".",Movie,1.0,Finished Airing,1934-01-01,,Unknown,Unknown,Unknown,Other,Action,Unknown,Unknown,,G - All Ages,,,180062.0,19700,60,0
6830,Hinomaru Hatanosuke: Inazuma-gumi Tobatsu no Maki,日の丸旗之助～稲妻組討伐の巻～,Hatanosuke Takes Down the Inazuma Gang,Short film where the hero Hatanosuke battles with an evil gang of thieves.,Movie,1.0,Finished Airing,1935-01-01,,Unknown,Unknown,Unknown,Original,Action,"Historical, Samurai",Unknown,1.0,G - All Ages,4.611,493.0,128382.0,12112,934,0
6836,Issunboushi: Chibisuke Monogatari,一寸法師〜ちび助物語,Tiny Chibisuke's Big Adventure,"Dreaming of rising up in the world, Chibisuke the little bonze travels to the city, where he becomes a retainer to a Cabinet minister, who takes a liking to Chibisuke who dances for him in his palm. One day, Chibisuke is accompanying a princess to Shimizu when a mountain devil attacks her. Chibisuke makes numerous surprise attacks on the devil before finally overcoming him, and using a horn of plenty left behind by the devil, he ends up a strapping young man.

(Source: Digital Meme)",Movie,1.0,Finished Airing,1935-05-08,,Unknown,Unknown,Unknown,Original,Action,Samurai,Unknown,9.0,G - All Ages,5.001,544.0,123922.0,11714,1079,0
6833,Ninjutsu Hinotama Kozou: Edo no Maki,忍術火の玉小僧～江戸の巻～,Ninja Fireball in Edo,A short story about a young ninja.,Movie,1.0,Finished Airing,1935-11-09,,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,1.0,G - All Ages,4.001,670.0,130412.0,11421,1212,0
6839,Hinomaru Tarou: Musha Shugyou no Maki,日の丸太郎～武者修行の巻～,Taro's Early Training Days,The hero Taro attempts to rescue a kidnapped girl from a bandit.  Short film from 1936.,Movie,1.0,Finished Airing,1936-01-01,,Unknown,Unknown,Unknown,Original,Action,Samurai,Unknown,5.0,G - All Ages,4.771,425.0,126912.0,12561,805,0
