anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
7496,Saiyuuki: Son Gokuu Monogatari,西遊記孫悟空物語,Unknown,A short film based on the classic novel Journey to the West.,Movie,1.0,Finished Airing,1926-01-01,,Unknown,Unknown,Unknown,Novel,Adventure,Unknown,Unknown,8.0,G - All Ages,5.391,477.0,114812.0,11409,1216,2
28041,Baguda-jou no Touzoku,馬具田城の盗賊,Burglars of Baghdad Castle,"In order to win the hand of a princess, a man must defeat an evil dragon and claim its treasured magic stone. Upon his return, Baghdad has been invaded and he must use the stone to defeat his new enemy.

(Source: AniDB, edited)",Movie,1.0,Finished Airing,1926-10-06,,Unknown,Unknown,Unknown,Original,"Adventure, Romance",Historical,Unknown,15.0,G - All Ages,5.001,771.0,123872.0,10999,1419,3
30176,Kujira,くじら,Unknown,Lost film by Oofuji Noburou that was remade in 1952.,Movie,1.0,Finished Airing,1927-01-01,,Unknown,Unknown,Unknown,Original,Adventure,Unknown,Unknown,8.0,G - All Ages,,,194032.0,15936,303,0
28045,Kogane no Hana,こがねの花,The Golden Flower,A man has a strange adventure on a hill as he returns from the village festival.,Movie,1.0,Finished Airing,1929-03-12,,Unknown,Unknown,Unknown,Original,"Action, Adventure, Fantasy",Historical,Unknown,16.0,G - All Ages,4.751,465.0,127132.0,12062,950,0
34982,Roba,驢馬,The Donkey,"A man and his young son travel through the countryside to take their donkey to a horse auction. Unfortunately every person they pass has a different opinion on how this should be accomplished, leading to disastrous results when the dim-witted father abandons common sense in an attempt to please everyone.",Movie,1.0,Finished Airing,1930-01-01,,Unknown,Unknown,Unknown,Book,Adventure,Unknown,Unknown,14.0,G - All Ages,5.541,207.0,109852.0,14688,406,1
6852,Ahiru no Otegara,アヒルのお手柄,The Duckling Saves the Day,A duckling tries to save the animals when a storm hits their farm.  Short film from the 1930s.,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Adventure,Unknown,Unknown,1.0,G - All Ages,5.131,987.0,121442.0,10626,1656,2
28047,Kokoro no Chikara,心の力,Power of the Heart,A man in love with a noble lady tries to get close to her with the help of cats.,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Unknown,"Adventure, Romance",Historical,Unknown,11.0,G - All Ages,5.151,278.0,121212.0,13412,603,0
4391,Saru Masamune,猿正宗,The Monkey Sword Masamune,Short movie from 1930 about a soldier traveling a great distance to deliver a letter. Along the way he receives a sword from a monkey. ,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Adventure,Military,Unknown,9.0,G - All Ages,5.401,831.0,114272.0,10717,1593,0
28695,Nonsense Monogatari Dai Ippen: Sarugashima,難船ス物語 第一篇 猿ケ島,"Nonsense Story, Volume 1 Monkey Island",One of the first films of Kenzou Masaoka about a baby raised by monkeys on an island.,Movie,1.0,Finished Airing,1931-02-10,,The National Film Center Japan,Unknown,Unknown,Original,Adventure,Unknown,Unknown,24.0,G - All Ages,5.101,331.0,122102.0,12164,920,0
4390,Sora no Momotarou,空の桃太郎,Momotaro's Sky Adventure,"Momotaro has been requested to fight off the Wild Eagle enemy which has suddenly appeared. He takes to the skies in his airplane, accompanied by a dog, a monkey , and a pheasant, and heads for an island some 10,000 kilometers away. One of the island people promises to prepare the two refuels that the plane requires during its flight to the island. The first refuel will be found on a giant tortoise shell, and the second is a refuel station especially positioned on the back of a whale which will come to surface. Momotaro's plane is attacked by the Wild Eagle out of the blue as it approaches the island, but after an exciting dogfight in the air, he successfully fights off the enemy.

(Source: ANN)",Movie,1.0,Finished Airing,1931-10-01,,Unknown,Unknown,Unknown,Original,"Adventure, Comedy",Military,Unknown,12.0,G - All Ages,5.051,674.0,123012.0,11219,1312,0
