anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
35406,Propagate,PROPAGATE(開花),Propagate,"Dynamically expressing the growth and prosperity of organic plants with geometric figures.
",Movie,1.0,Finished Airing,1935-01-01,,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,4.0,G - All Ages,4.651,304.0,128172.0,13655,555,0
35407,Rhythm,RHYTHM(リズム),Rhythm,"A comfortable rhythm composed of light and shadow. Director Ogino-style absolute movie which freely manipulates geometric figures.
",Movie,1.0,Finished Airing,1935-01-01,,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,2.0,G - All Ages,4.601,250.0,128472.0,14123,475,0
35402,An Expression,AN EXPRESSION(表現),An Expression,"Symbolized an urban man with a triangle figure, a country woman with a circle, and represented the encounter between the two by movement.

Director Shigenji Ogino tried to naturally color the movie via the kinema color technique. Due to being an early work, the technique isn't smooth. Because of this the film has a photosensitive epileptic seizure warning as there are high frequency flashes of red and green frames for the duration of the entire film. 

Please be careful while viewing.",Movie,1.0,Finished Airing,1935-01-01,,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,3.0,G - All Ages,4.321,460.0,129732.0,12613,794,0
52254,Kaisen,海戦,Sea Battle,Unknown,Movie,1.0,Finished Airing,1960-01-01,,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,20.0,G - All Ages,,,189362.0,20703,35,0
7020,Fashion,ファッション,Unknown,Experimental anime from animation pioneer Yoji Kuri from 1960.,Movie,1.0,Finished Airing,1960-01-01,,Unknown,Unknown,Unknown,Original,"Avant Garde, Comedy",Unknown,Unknown,4.0,G - All Ages,4.321,465.0,129752.0,12305,880,2
22419,Acchi wa Kocchi,あっちはこっち,There is Here,"The film fuses live action and animation and was screened at Three-Person Animation 2. Musique concrète and electronic sounds made by modulating everyday noises such as flush toilets are interspersed throughout the work. Contrasts between opposites, as encapsulated by the title—between live-action space and animated space, between mundane sounds of daily life and bizarre noises—and the war between the sexes, a signature theme in Youji Kuri's work, are also palpable in the juxtaposition of musique concrète and scat singing.

(Source: Collaborative Cataloging Japan, edited)",Movie,1.0,Finished Airing,1961-01-01,,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,25.0,R - 17+ (violence & profanity),6.861,1858.0,45282.0,6300,7843,37
6953,Ningen Doubutsuen,人間動物園,Clap Vocalism,A story about a human zoo.,Movie,1.0,Finished Airing,1962-01-01,,Kuri Jikken Manga Kobo,Unknown,Unknown,Other,Avant Garde,Unknown,Unknown,2.0,PG-13 - Teens 13 or older,2.751,2688.0,131122.0,8213,4008,2
29645,Jikan,時間,Time,"Experimental animation by Manabe Hiroshi, member of the Animation Sannin no Kai pioneer group of independent animation.",Movie,1.0,Finished Airing,1963-01-01,,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,7.0,G - All Ages,4.891,154.0,125532.0,14765,399,1
29633,Kiseki,軌跡,Locus,Experimental animation by Kuri Youji.,Movie,1.0,Finished Airing,1963-01-01,,Unknown,Unknown,Unknown,Unknown,Avant Garde,Music,Unknown,3.0,G - All Ages,4.711,254.0,127532.0,13786,531,0
6535,Ai,愛,Love,"A short experimental anime about a woman desperately in love. Made by Yoji Kuri, a well-known Japanese indie animator.",Movie,1.0,Finished Airing,1963-01-01,,Kuri Jikken Manga Kobo,Unknown,Unknown,Original,"Avant Garde, Romance",Psychological,Unknown,4.0,PG-13 - Teens 13 or older,4.181,2354.0,130142.0,8270,3919,3
