anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
199,Sen to Chihiro no Kamikakushi,千と千尋の神隠し,Spirited Away,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.

[Written by MAL Rewrite]",Movie,1.0,Finished Airing,2001-07-20,,Toho,"Disney Platform Distribution, GKIDS",Studio Ghibli,Original,"Adventure, Award Winning, Supernatural",Mythology,Unknown,124.0,PG - Children,8.781,166603.0,342.0,44,1657524,29322
5365,Tsumiki no Ie,つみきのいえ,La Maison en Petits Cubes,"In a flooded town where the waters are ever-rising, an old man must constantly build new floors onto his home in order to keep dry. But when his favorite smoking pipe falls into the watery abyss beneath him, he dives into the depths of not only his house, but memories of years past.

Tsumiki no Ie is a short film about the everlasting effect of time on one's life—how it can swallow the past entirely, and how one must learn to continue moving forward despite what has already happened.

[Written by MAL Rewrite]",Movie,1.0,Finished Airing,2008-06-10,,Robot Communications,Unknown,Oh! Production,Original,"Award Winning, Drama",Unknown,Unknown,12.0,G - All Ages,8.031,51073.0,5322.0,1921,90624,467
49956,Changbaekhan Eolkuldeul,창백한 얼굴들,On The White Planet,"In an unknown time when everything is colorless, the world pale and desolate, everybody is born with pale white skin. There is absolutely no sign of color in this world at all. However, one boy is born with yellowish skin. Everybody treats him like some sort of monster, and the boy lives in isolation, in the woods with his mother. The year he turns 16, the boy’s depressed mother, unable to bear the seclusion, commits suicide. The boy blames himself for her death and dreams of becoming a normal pale-skinned person.

(Source: koreanfilm.or.kr)",Movie,1.0,Finished Airing,2015-09-10,,Unknown,Unknown,Unknown,Original,"Award Winning, Drama",Psychological,Unknown,73.0,R - 17+ (violence & profanity),,,172712.0,17852,180,0
52493,Quefa Mingzi de Changsuo,缺乏名字的場所,Wander in the Dark,"It's a story about a life trying to find its name and identity. Through the journey of stray animals, we see the dark side of the city. It traps a lot of creatures, not only animals but also some of us.

(Source: IMDB)",Movie,1.0,Finished Airing,2015-10-15,,Unknown,Unknown,Unknown,Original,"Award Winning, Slice of Life, Supernatural",Unknown,Unknown,5.0,G - All Ages,,,144902.0,19618,65,0
49976,Look at Me Only,あたしだけをみて,Look at Me Only,"Having forgotten exciting feelings of the early days of the relationship, the man drifts along petting his guinea pig. One day he meets a beauty of flower who appreciates the pet.

(Source: YouTube)",Movie,1.0,Finished Airing,2016-01-01,,Musashino Art University,Unknown,Unknown,Original,"Award Winning, Slice of Life",Unknown,Unknown,7.0,PG-13 - Teens 13 or older,6.181,247.0,80902.0,14517,424,0
49977,Candy.zip,Unknown,Candy.zip,"Aoko is confident about the documents she creates at work, but doesn't get any positive feedback. Then, she witnesses her colleague secretly changing the documents she created. Aoko is turned into a piece of candy to keep her quiet...

(Source: YouTube)",Movie,1.0,Finished Airing,2017-01-01,,Geidai Animation,Unknown,Unknown,Original,Award Winning,Unknown,Unknown,4.0,PG-13 - Teens 13 or older,5.801,245.0,99252.0,14417,435,0
51993,Jinyu,金魚,Gold Fish,"A boy with a special talent discovers that he may never grow up. Those with power are devouring dreams so everyone else is destined to serve. Can he break the rules and free the people or will they still blindly follow?

(Source: Activator Co.)",Movie,1.0,Finished Airing,2018-01-01,,Unknown,Unknown,Unknown,Original,"Action, Award Winning, Drama",Unknown,Unknown,17.0,R - 17+ (violence & profanity),,,188252.0,19546,71,0
52743,Cairn no Kubi-tachi,The Spirits of Cairn,The Spirits of Cairn,"The Spirits of Cairn imagines a state of limbo which is the destination of those who die in childhood. The protagonist feels remorse about having died too young, but the emotion is just an echo and he has no idea how long he's been there, why he is there, or the source of his regret. His work of interring the many necks buried below the surface continues without end. 

(Source: Official Site)",Movie,1.0,Finished Airing,2018-01-01,,Unknown,Unknown,Unknown,Original,"Avant Garde, Award Winning",Unknown,Unknown,7.0,PG-13 - Teens 13 or older,,,172242.0,19626,65,0
51750,The Angler,더 앵글러,Unknown,"Noah tries to catch fish every day, later even without knowing the reason why. 

Ivo, the lamplighter, lights street lamps every night and looks after Noah.

(Source: seungwookjang.com)",Movie,1.0,Finished Airing,2018-01-01,,Unknown,Unknown,Unknown,Original,"Award Winning, Slice of Life",Unknown,Unknown,13.0,G - All Ages,,,155262.0,19844,56,0
51992,Xingfu Lushang,幸福路上,On Happiness Road,"Chi earned her American dream after persevering with her studies in Taiwan. Following her grandmothers’ death, Chi returns to her family on Happiness Road, where she begins to feel nostalgic about her childhood and starts to contemplate the meaning of ""life"" and ""home"". What is happiness? Will Chi find her own happiness?

(Source: Official Site)",Movie,1.0,Finished Airing,2018-01-05,,Unknown,Unknown,Unknown,Original,"Award Winning, Drama",Unknown,Unknown,110.0,PG-13 - Teens 13 or older,,,162272.0,18811,122,0
