anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
2621,Natsu e no Tobira,夏への扉,Unknown,"Marion is a young schoolboy who prides himself on his adherence to a philosophy he calls ""rationalism"". Because of his disdain for emotional display, he ignores anything remotely akin to affection. But when he's entangled in a romantic affair with an older courtesan, his rationalism is revealed to be little more than a cover for his own emotional immaturity. Learning to love, Marion blossoms under his older lover's care but unfortunately, Marion has yet to learn the true price of the affair.

(Source: ANN)",Movie,1.0,Finished Airing,1981-03-20,,Unknown,Unknown,"Madhouse, Toei Animation",Manga,"Boys Love, Drama, Romance",Unknown,young girl,59.0,PG-13 - Teens 13 or older,5.921,2025.0,94502.0,7183,5638,14
2835,Patalliro!,パタリロ！,Unknown,"Patarillo! is set in a society much like ours in most ways, with one decided twist. The manga on which it is based is one of the much-read works produced for adolescent Japanese girls that features a healthy proportion of gay men and beautiful teenagers aka bishounen (beautiful boys). Most of the action takes place in Marinera, the land of eternal spring, located somewhere in the South Seas. The country is a major producer of diamonds; they provide much of the basis of conflict in the anime series. They come from one of the most prolific mines in the world, owned by the king of Marinera, the vertically challenged but horizontally endowed boy-king Patarillo himself. The International Diamond Syndicate - a huge semi- criminal organization/ secret society dedicated to taking over the world's entire diamond supply- wants that mine and will stop at nothing to get it. In the early episodes they send off a number of bishounen assassins to do in Patarillo, which necessitates his having a bodyguard, the English MI6 agent, Major Jack ('Bishounen-Killer') Bancoran. Bancoran's nickname doesn't mean he shoots bishounen in cold blood. The soubriquet comes from the fact that no male under the age of 17 can resist his sexual fascination. This, to Bancoran's eternal disgust, includes Patarillo himself. The action switches often from Marinera to MI6 headquarters in London (London seems to be an easy two hour's flight from the South Seas) or Bancoran's palatial condo in the suburbs of same. (MI6, be it noted, looks a lot like Fritz Lang's Metropolis, while Jack's 'apartment' bears a passing resemblance to Randolph Hearst's spread.) The action also goes into the past and future and out into space. Patarillo evidently gets around.

(Source: aestheticism.com)",TV,49.0,Finished Airing,1982-04-08,1983-05-13,Unknown,Unknown,Toei Animation,Manga,"Adventure, Boys Love, Comedy",Unknown,young girl,24.0,PG-13 - Teens 13 or older,7.171,1343.0,31082.0,6533,7171,95
12663,Patalliro! Stardust Keikaku,パタリロ！スターダスト計画,Unknown,"A series of diamond robberies have taken place all over the world. When Malynera's reserves are also emptied, Patalliro and Bancoran head to Japan following a clue in the form of a mechanical spider found on the scene. 

However, while they're interrogating a suspect, he's assassinated before they manage to get any more information from him than the name of an organization, ""Tarantella"". Furthermore, the assassin seems to be Bancoran's former lover Bjorn, who's supposed to be dead! Is he really alive and involved in the case? Can our heroes find out more about him and the mysterious organization in time to put a stop to their plans? ",Movie,1.0,Finished Airing,1983-07-10,,Unknown,Unknown,Toei Animation,Manga,"Adventure, Boys Love, Comedy, Romance",Unknown,young girl,48.0,PG-13 - Teens 13 or older,6.501,396.0,63682.0,10920,1470,0
1637,Kaze to Ki no Uta Sanctus: Sei Naru Kana,風と木の詩 ＳＡＮＣＴＵＳ－聖なるかな－,The Poem of Wind and Trees,"1887, at a remote, elite boarding school in France: Serge Battour returns after his graduation, and remembers the days of his youth...

1880, at the same school: Son of a viscount and a Roma prostitute (both deceased), Serge is intelligent, sweet, talented, and alienated by his family due to his heritage. Upon being sent to his new school, he rooms with Gilbert Cocteau, a gorgeous loner of a boy who sells his body for reasons unknown. Serge's attempts to reach out to Gilbert fail spectacularly, and yet there is something in both of them that attracts them to each other.",OVA,1.0,Finished Airing,1987-11-06,,Shogakukan-Shueisha Productions,Unknown,Triangle Staff,Manga,"Boys Love, Drama, Romance",Historical,young girl,59.0,PG-13 - Teens 13 or older,6.861,6432.0,45472.0,4991,13919,99
1324,Earthian,アーシアン,Earthian,"Since the beginning of Earth's history, angels from the planet Eden have been carefully monitoring the behavior of its inhabitants, whom they call ""Earthians."" Chihaya and Kagetsuya are two agents sent from Eden to assess the positive and negative aspects of the Earthians' nature. Despite the orders Chihaya was given by his home planet, he frequently ends up entangled in Earthian affairs, much to Kagetsuya's annoyance. Meanwhile, as Chihaya tries to understand the origin of his strange black wings, he uncovers one mystery after another.

[Written by MAL Rewrite]",OVA,4.0,Finished Airing,1989-07-26,1996-12-21,Youmex,Media Blasters,J.C.Staff,Manga,"Boys Love, Drama",Unknown,young girl,35.0,R - 17+ (violence & profanity),6.041,3633.0,88442.0,5678,10100,19
2220,Be-Boy Kidnapp'n Idol,BE-BOY KIDNAPP'N IDOL,Be-Boy Kidnapp'n Idol,"Kazuya is a 16-year-old, popular idol singer who has loads of female fans. Other than rehearse or sign autographs, he plays video games with his friend Akihiko. Akihiko is more violent than sweet toward Kazuya, but he is protective of him despite the many arguments they may get into. Akihiko later on confesses his love to Kazuya.

(Source: ANN)",OVA,1.0,Finished Airing,1989-12-22,,Unknown,Unknown,AIC,Original,"Boys Love, Drama",Idols (Male),Unknown,26.0,PG-13 - Teens 13 or older,5.501,4564.0,110912.0,5945,9084,13
2219,Ryokunohara Meikyuu,緑野原迷宮,Unknown,"Hiroki and Kanata have been together since they were children. One day Hiroki is caught up in an accident while trying to save a little girl. The next thing he knows, he is looking down on his own body. Seperated from his body, Kanata, and everything else, he tries to figure out just what is going on.

Why is he outside his body which is living on as if nothing has changed, how can he convince Kanata that he is there, and who is the strange girl, Fhalei, who keeps appearing for him?

(Source: AniDB)",OVA,1.0,Finished Airing,1990-05-25,,Victor Entertainment,Unknown,AIC,Manga,"Avant Garde, Boys Love, Drama, Romance",Psychological,young girl,40.0,PG-13 - Teens 13 or older,4.971,1564.0,124412.0,7937,4416,4
1041,Zetsuai 1989,絶愛-1989-,Unknown,"Koji Nanjo, a young rock star, falls in love with soccer player Takuto Izumi. Koji eventually learns that Izumi's mother killed his father out of severe and intense love. Izumi took all the guilt for his father's murder and refuses to go pro because of fear that his past will be discovered by the media. Izumi detests Koji's company and encouragement and severely dislikes the attention from the press, but Koji cannot stay away for he soon realizes that his love for Izumi is very similar to the love that Izumi's mother felt for his father. 

(Source: ANN)",OVA,1.0,Finished Airing,1992-07-29,,Shueisha,Unknown,Madhouse,Manga,"Boys Love, Drama, Romance, Sports, Erotica",Music,Unknown,45.0,PG-13 - Teens 13 or older,6.341,6139.0,,5284,12132,39
719,Ai no Kusabi,間の楔,Ai no Kusabi,"On the planet Amoi, a person's status is primarily dictated by the color of their hair. This society is run by the AI supercomputer known as Jupiter and its governing board of perfect blondes, referred to as Blondies, living in the capital city of Tanagura. However, the darker-haired humans live out their lives in the golden ""pleasure city"" of Midas and its outlying slum Ceres. They are known as ""mongrels,"" and most cannot progress out of the slums.

Three years ago, a boy named Riki disappeared from the slums of Ceres. Once the revered leader of the gang Bison, a sudden encounter with an elite Blondie, Iason Mink, forced Riki to abandon everything he had cultivated. The boy was snatched from his home and forced to become Iason's pet. Riki has spent the past three years enduring numerous blows to his pride, his time in Tanagura nothing but a form of torture.

Now that Riki has returned, Bison once again rallies behind him. The risk he finds himself in, however, is much greater than ever before—there is always someone ready to sell him out.

[Written by MAL Rewrite]
",OVA,2.0,Finished Airing,1992-08-01,1994-05-01,On-Lead,Unknown,AIC,Light novel,"Boys Love, Drama, Sci-Fi, Erotica",Unknown,Unknown,54.0,R+ - Mild Nudity,7.071,18774.0,,3278,35549,377
730,Houkago no Shokuinshitsu,放課後の職員室,After School in the Lounge,"Fresh out of college, Kawase Mitsuro is eager to start his new job as a middle school art teacher. Upon his arrival, he quickly blends in with the masses of girls ogling the toned body of senior teacher Kazama Toshiaki. Kazama ignores the schoolgirls. However, Kazama realizes something is different about Kawase and decides to ask the latter out to dinner. Unconvinced his advances are serious, Kawase goes along with Kazama halfheartedly. When Kazama's true feelings are revealed, will Kawase embrace his potential lover or give in to the expectations of society?

[Written by MAL Rewrite]",OVA,2.0,Finished Airing,1994-04-01,1995-01-27,Daiei,Unknown,SIDO LIMITED,Manga,"Boys Love, Drama",Unknown,Unknown,28.0,R+ - Mild Nudity,5.061,3398.0,122842.0,6487,7321,6
1216,Boku wa Konomama Kaeranai,ぼくはこのまま帰らない,I Shall Never Return,"It is about Amafuji Ken, who longs to tell his best friend Youshinari Ritsurou how he really feels. In the way of that admission is Ritsurou's girlfriend, Moeko. After dropping out of high school, Ken gets Ritsurou to live with him. The angst begins when Ken sleeps with Moeko to get to Ritsurou.",OVA,1.0,Finished Airing,1994-06-21,,Soft Garage,Media Blasters,J.C.Staff,Manga,"Boys Love, Drama, Romance",Unknown,Unknown,28.0,PG-13 - Teens 13 or older,5.441,4867.0,112902.0,5834,9484,5
3007,Bronze: Kouji Nanjo Cathexis,BRONZE KoJI NANJo cathexis,Unknown,"A 30-minute OVA composed of five Koji Nanjo music videos, featuring never-seen scenes between Takuto and him, with an original art gallery by Minami Ozaki at the end.

[Written by MAL Rewrite]",OVA,1.0,Finished Airing,1994-07-06,,"Victor Entertainment, Shueisha",Unknown,Madhouse,Manga,Boys Love,Music,Unknown,32.0,PG-13 - Teens 13 or older,6.151,2325.0,82592.0,7332,5356,15
752,Osakana wa Ami no Naka,おさかなはあみの中,Fish in the Trap,"Osakana wa Ami no Naka is a story based on manga by Nekokichi Ranma about Tsukamoto Yuuji, a young businessman and great swimmer, and Matsui Takahiro, who is still attending school and is also a beginner in swimming.

(Source: AniDB)",OVA,1.0,Finished Airing,1994-07-21,,Echo,Unknown,J.C.Staff,Manga,"Boys Love, Drama",Unknown,Unknown,27.0,R+ - Mild Nudity,4.871,4159.0,125742.0,6292,7870,2
733,Kizuna,KIZUNA～絆～,Unknown,"Young kendo prodigy Ranmaru Samejima captures the attention of Kei Enjoji, the illegitimate son of a yakuza boss. Kei, determined to form a bond with Ranmaru, cultivates a friendship built on trust and sacrifice, which soon turns into love. After saving Kei from a yakuza hit-and-run attack, Ranmaru is forced to give up kendo forever, and the two are left with only their faith in one another. Vowing to support each other far from the world of the yakuza, the two begin living together as a couple. 

However, when a mysterious figure from the pair's past returns in pursuit of Ranmaru, they are thrust back into the world they fought so hard to leave—and their love may not be strong enough to survive it.

[Written by MAL Rewrite]
",OVA,2.0,Finished Airing,1994-08-12,1995-09-29,Unknown,Unknown,SIDO LIMITED,Manga,"Boys Love, Drama, Erotica",Unknown,Unknown,30.0,R+ - Mild Nudity,6.221,5244.0,,5475,11065,20
1909,Kusatta Kyoushi no Houteishiki,腐った教師の方程式,Bad Teacher Equation,"Atsushi Arisawa enrolls at Jougaouka High School to be near Masami Shibata (Ma-chan) who was his childhood crush. Unbeknownst to Atsushi, however, Masami no longer works at the school and his brother, Masayoshi is now the nurse. Atsushi mistakes Masayoshi for Masami and is horrified because to him, it appears that Masami's personality has done a complete 180. Add to the fact that Atsushi's friend, Kouji Inagaki is totally in love and constantly trying to make-out with him, Atsushi's life at Jougaoka is hell..until he starts thinking that maybe the new Ma-chan isn't so bad afterall and that, maybe he actually likes the way Ma-chan is now. Until of course, he finds out that Masayoshi isn't Masami. 

(Source: ANN)",OVA,2.0,Finished Airing,1994-11-25,1995-11-24,Unknown,Unknown,J.C.Staff,Manga,"Boys Love, Comedy, Romance",Unknown,Unknown,28.0,PG-13 - Teens 13 or older,5.991,2024.0,91112.0,7652,4858,10
