anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
10742,Saru to Kani no Gassen,サルとカニの合戦,Unknown,"A monkey tricks a crab and steals his food. More crabs arrive and begin fighting the monkey.

(Source: AniDB)",Movie,1.0,Finished Airing,1917-05-20,,Unknown,Unknown,Unknown,Other,Drama,Unknown,Unknown,6.0,G - All Ages,4.911,357.0,125262.0,12182,915,1
18457,Hanasaka Jijii,花咲爺,Unknown,"Short movie produced by the first generation animator Kitayama Seitarou. Based on the Japanese fairy tale Hanasaka Jiijii, also called Hanasaka Jiisan. 

An old childless couple loved their dog. One day, it dug in the garden, and they found a box of gold pieces there. A neighbor thought the dog must be able to find treasure, and managed to borrow the dog. When it dug in his garden, there were only bones, and he killed it. He told the couple that the dog had just dropped dead. They grieved and buried it under the fig tree where they had found the treasure. One night, the dog's master dreamed that the dog told him to chop down the tree and make a mortar from it. He told his wife, who said they must do as the dog asked. When they did, the rice put into the mortar turned into gold. The neighbor borrowed it, but the rice turned to foul-smelling berries, and he and his wife smashed and burned the mortar.

That night, in a dream, the dog told his master to take the ashes and sprinkle them on certain cherry trees. When he did, the cherry trees came into bloom, and the Daimyo (feudal landlord), passing by, marveled and gave him many gifts. The neighbor tried to do the same, but the ashes blew into the Daimyo's eyes, so he threw him into prison; when he was let out, his village would not let him live there anymore, and he could not, with his wicked ways, find a new home.

(Source: Wikipedia)",Movie,1.0,Finished Airing,1917-08-26,,Unknown,Unknown,Unknown,Other,"Comedy, Drama",Unknown,Unknown,6.0,G - All Ages,4.871,490.0,125772.0,11769,1060,0
10756,Shita-kiri Suzume,舌切雀,The Sparrow with the Slit Tongue,This is a short film made in the fall of 1917. It is about a girl asking for rice.,Movie,1.0,Finished Airing,1917-10-18,,Unknown,Unknown,Unknown,Original,Drama,Unknown,Unknown,,G - All Ages,,,150172.0,14216,463,1
10757,Kachikachi Yama,カチカチ山,Unknown,Unknown,Movie,1.0,Finished Airing,1917-10-20,,Unknown,Unknown,Unknown,Other,Drama,Unknown,Unknown,8.0,G - All Ages,5.401,203.0,114522.0,12995,702,1
10758,Momotarou,桃太郎,Unknown,An early anime telling the story of Momotarou and his adventures defeating demons. ,Movie,1.0,Finished Airing,1918-03-01,,Unknown,Unknown,Unknown,Original,Drama,Unknown,Unknown,,G - All Ages,5.601,138.0,107612.0,13454,595,0
10759,Kintarou,金太郎,Unknown,Unknown,Movie,1.0,Finished Airing,1918-03-16,,Unknown,Unknown,Unknown,Original,Drama,Unknown,Unknown,,G - All Ages,,,192152.0,14384,440,0
10760,Issunboushi,一寸法師,Unknown,"The story of a couple who prays to God for a child, even if he would only be the size of a thumb.",Movie,1.0,Finished Airing,1918-03-20,,Unknown,Unknown,Unknown,Original,Drama,Unknown,Unknown,1.0,G - All Ages,5.651,133.0,105722.0,13724,541,0
27573,Ubasuteyama,姥捨山,Unknown,"Once upon a time, there was a lord in Shinano Province who hated old men. In accordance with the rules of the province, a person was exiled to an island when they turned 60 years old. On the night of August 15th, there was one such farmer woman, but her son loved her, and took her to a mountain to leave her there instead of turning her over to the cruel officers. However, he felt sorry about what he was doing and hid her under the earthen floor of a barn. One day, a messenger of the lord of the neighboring province was sent to the lord of Shinano Province making an unreasonable demand that a silk thread be threaded through a winding hole in a crystal ball and threatened that force would be used unless the task was done. The devoted son consulted with his mother, and she taught him a method in which you put honey around the end of one hole and let an ant tied with a thread go through it from the other end. The lord rewarded the son. However, a messenger was sent from the neighboring province again demanding that they identify which of two identical mares is the parent and which is the child. The son asked his mother again and then told the solution to the lord. When told by the lord that he would grant the son’s wish, he pleaded for his mother’s life. Since then, old men and women have been treated with respect and are no longer exiled.

(Source: Japanese Animated Film Classics)",Movie,1.0,Finished Airing,1925-01-01,,Unknown,Unknown,Unknown,Original,Drama,Unknown,Unknown,18.0,G - All Ages,5.451,628.0,112702.0,11611,1121,0
35391,Saru Kani Gassen (1927),猿蟹合戰,Yasuji Murata's Monkey and the Crabs,A Yasuji Murata version of the classic Japanese story Saru Kani Gassen.,Movie,1.0,Finished Airing,1927-05-01,,Unknown,Unknown,Unknown,Other,Drama,Unknown,Unknown,5.0,G - All Ages,5.401,499.0,114262.0,12295,885,0
5631,Kaumori,かうもり,The Bat,"Once upon a time, the birds and the beasts fought each other in a war. It was a terrible conflict, and the clever bats would side with the birds when the birds were looking victorious, and then they would become allies of the beasts when that side was winning battles. At last the war came to an end, the two parties reached an amicable settlement, and a great party of friendship was held. But when it came to the turn of the bats to perform in the program, their fence-straddling tactics were exposed, and everyone refused to associate with them. Since that time, the bats have been too ashamed to show their faces during the day, coming out only at night to flit silently around.",Movie,1.0,Finished Airing,1930-01-01,,Unknown,Unknown,Unknown,Original,Drama,Samurai,Unknown,10.0,G - All Ages,5.391,722.0,114702.0,11038,1398,1
