anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
8041,Sennin Buraku,仙人部落,Hermit Village,"The ancient Chinese town of Taoyuan is populated exclusively by Taoist ascetics. The elder, Lao Shi, conducts research on magic and alchemy, while his pupil Zhi Huang is more interested in the pleasures of the flesh. He fell in love with three beautiful sisters who live close by.",TV,23.0,Finished Airing,1963-09-04,1964-02-23,Unknown,Unknown,Eiken,4-koma manga,"Comedy, Ecchi",Unknown,Unknown,15.0,PG-13 - Teens 13 or older,5.881,210.0,96302.0,12127,931,3
30955,Crazy Monkey,クレージーモンキー,Unknown,Jackie Chan's 1979 film The Fearless Hyena opened in Japan a year later under the name Crazy Monkey accompanied with an independent original animated piece by Toei Animation based on designs by Monkey Punch set to the insert song Monkey Man.,Movie,1.0,Finished Airing,1980-04-19,,Unknown,Unknown,Unknown,Other,Ecchi,Unknown,Unknown,1.0,R+ - Mild Nudity,4.901,379.0,125322.0,12718,762,1
2748,Dash! Kappei,ダッシュ勝平,Unknown,"Kappei is a dramatically short guy but he is a master in every sport. He lives as a guest in sweet Akane's house, and he's in love with her, but there's a strange rival, her dog Salomone (Italian name) who plans evil traps to encumber Kappei. But the dog has also another function: he explains all sport rules when a new sport is depicted. Kappei is fond of white female underwear, always trying to lift girl's skirts up.

(Source: ANN)",TV,65.0,Finished Airing,1981-10-04,1982-12-26,Fuji TV,Unknown,"Tatsunoko Production, Tama Production",Manga,"Comedy, Sports, Ecchi",Unknown,young boy,25.0,PG-13 - Teens 13 or older,7.161,2407.0,31532.0,7568,5025,28
3391,Maicching Machiko-sensei,まいっちんぐマチコ先生,Miss Machiko,"Machiko Mai is the newest teacher at Asama Elementary; she's young, beautiful, and has the perfect proportions—traits that attract the attention of not only her students, but the rest of the perverted faculty as well. Whether it's luring her in and spraying up her skirt with a hose or leaps and bounds to grab her breasts, there's nothing that Machiko's first year students won't try to do. Regardless of her embarrassing plight, Machiko is always a good sport and tries her best to help out her students—at any cost to her dignity!",TV,95.0,Finished Airing,1981-10-08,1983-10-06,TV Tokyo,Discotek Media,Pierrot,Manga,"Comedy, Ecchi",School,Unknown,25.0,R+ - Mild Nudity,6.201,611.0,80272.0,8590,3455,8
2291,Tatakae!! Iczer-1,戦え!! イクサー1,Fight!! Iczer-1,"Nagisa is a schoolgirl with schoolgirl tendencies, waking up late, rushing off to school and meeting up with friends upon the way. One morning Nagisa comes across a woman dressed in a strange uniform who seems to stare at her, unnerving Nagisa. Later that day, whilst staring out the window, Nagisa becomes aware of a ball bouncing by itself which flings itself towards her window seat, shattering the glass yet not harming her... Turning back to the front she finds a gaping mouth bristling with teeth inches from her face and no-one else about. She screams and the world returns to normal with her standing and the centre of curiosity of her class... why did she scream? ",OVA,3.0,Finished Airing,1985-10-19,1987-03-04,Toshiba EMI,Media Blasters,AIC,Manga,"Action, Sci-Fi, Ecchi",Mecha,Unknown,33.0,R+ - Mild Nudity,6.111,3003.0,84802.0,6287,7881,29
4003,Dream Hunter Rem,DREAM HUNTER 麗夢,Unknown,"Rem is an ordinary woman in our world but, in the world of dreams, she becomes a dream warrior, defending humanity from the evils there. When dream demons reach the waking world, she fights them with the help of her pets which transform into a tiger and wolf.",OVA,4.0,Finished Airing,1985-12-15,1987-02-25,Project Team Eikyuu Kikan,Unknown,Anime R,Original,"Mystery, Ecchi",Unknown,Unknown,40.0,R - 17+ (violence & profanity),6.211,1765.0,79892.0,6507,7249,18
8889,Majo demo Steady,魔女でもステディ,Unknown,"Hisashi Seki, ordinary working guy, wakes up one morning to find a naked, and very amorous, girl in his bed. He's happy to take advantage of the situation, to their mutual satisfaction. However, the girl's appearance leads to all sorts of increasingly strange phenomenon. The cause lies, sort of, in Jungian psychology. The girl, whom he has named Asami, is from a parallel dimension where people's ideal partners - the anima to their animus, or vice versa - reside. Asami's longing has allowed her to cross dimensions to be with Seki, but her presence in his world upsets the natural order. She goes back, and Seki must venture to her world to save her. The lovers are reunited. However, matters don't turn out quite as they hoped.

(Source: Orphan fansubs)",OVA,1.0,Finished Airing,1986-09-05,,Unknown,Unknown,Tokyo Media Connections,Light novel,"Comedy, Romance, Ecchi",Unknown,Unknown,41.0,R+ - Mild Nudity,4.801,732.0,126502.0,10397,1803,3
1940,Outlanders,アウトランダーズ,Unknown,"In the midst of a violent invasion of Earth by unknown alien forces, photojournalist Wakatsuki Tetsuya comes across a scantily-clad alien woman, cutting a swath of death through the Terran ranks with her sword. After a chaotic struggle, Tetsuya is knocked unconscious, only to awaken aboard her starship. To his surprise, she turns out to be Kahm, the invaders' princess - and she has picked Tetsuya for a starring role in her upcoming wedding. As the groom...

(Source: ANN)",OVA,1.0,Finished Airing,1986-12-16,,Tatsunoko Production,Central Park Media,AIC,Manga,"Adventure, Comedy, Sci-Fi, Ecchi",Unknown,young boy,51.0,R - 17+ (violence & profanity),5.861,3229.0,97342.0,6476,7340,20
4149,Body Jack: Tanoshii Yutai Ridatsu,ボディジャック 楽しい幽体離脱,Unknown,"Dr. Toyama takes control of the body of a beautiful girl with his strange invention. He lets the young Asagedani ""slip into"" her body so he can see how it real feels to be a girl. Then Komaba's classmate, the equally beautiful Nakano, surprises ""him"" and mistakes his activities for a sexual advance from her friend.

(Source: ANN)",OVA,1.0,Finished Airing,1987-01-28,,Bandai,Unknown,Unknown,Original,"Comedy, Ecchi",Unknown,Unknown,35.0,R+ - Mild Nudity,5.041,1156.0,123122.0,9212,2756,1
4688,Minna Agechau♡,みんなあげちゃう♡,Unknown,"A beautiful day Rokurou, a student, was to masturbate when a beautiful girl knocks on his door: You need a virgin? And so begins the story. Rokurou did not know what it was that this beautiful girl was a millionaire family.",OVA,1.0,Finished Airing,1987-03-27,,"Movic, Shueisha",Unknown,J.C.Staff,Unknown,"Comedy, Romance, Ecchi",Unknown,Unknown,45.0,R+ - Mild Nudity,5.841,1074.0,98002.0,9275,2696,8
3023,Esper Mami,エスパー魔美,Mami the Psychic,"Mami Sakura used to be a normal junior high school student, but she happened to acquire supernatural powers. Using her powers and with the help of her best friend, Mr. Takahata, she solves mysterious occurrences. When she senses someone needs help, she uses the ""Teleportation Gun"" and transports herself there. She then saves the world in trouble with her psychic powers, such as telekinesis and telepathy.

(Source: Wikipedia)",TV,119.0,Finished Airing,1987-04-07,1989-10-26,Unknown,Unknown,Shin-Ei Animation,Manga,"Comedy, Supernatural, Ecchi","School, Super Power",Unknown,24.0,PG-13 - Teens 13 or older,6.491,429.0,64252.0,10133,1969,7
8464,Pants no Ana: Mambo de Ganbo!,パンツの穴 まんぼでGANBO!,Unknown,"A collection of short stories, all of which are perverted to various degrees.",OVA,1.0,Finished Airing,1987-05-09,,Unknown,Unknown,AIC,Unknown,"Comedy, Ecchi",School,Unknown,32.0,R+ - Mild Nudity,4.431,543.0,129452.0,11050,1394,3
9542,Puttsun Make Love,ぷッつんメイクLOVE,Unknown,Based on the manga by Amamiya Jun.,OVA,6.0,Finished Airing,1987-08-14,1988-06-24,"Toei Video, Agent 21",Unknown,Unknown,Unknown,"Comedy, Romance, Ecchi",Unknown,Unknown,25.0,R+ - Mild Nudity,,,144072.0,13413,602,0
3205,Cream Lemon: Lemon Angel,くりぃむレモン レモンエンジェル,Lemon Angel,"Franchise combining a real life idol trio and limited animation short stories, with their cartoon alter egos thrown into various bizarre and generally sexual situations.

(Source: AniDB)",TV,37.0,Finished Airing,1987-10-01,1987-12-24,Unknown,Unknown,AIC,Other,Ecchi,"Idols (Female), Music",Unknown,3.0,R+ - Mild Nudity,5.331,815.0,116632.0,8429,3698,3
39020,Flying Luna Clipper,フライング・ルナクリッパー,Flying Luna Clipper,"A trip on a chartered plane with a number of other thrill-seekers (most of whom are anthropomorphic fruits and vegetables) and hop from island to island, each of which offer their own unique visual delights. 

(Source: IMDB)",OVA,1.0,Finished Airing,1987-10-20,,Unknown,Unknown,Unknown,Original,"Avant Garde, Comedy, Ecchi","Music, Parody, Psychological",Unknown,55.0,G - All Ages,5.731,531.0,102462.0,10969,1435,11
3889,Junk Boy,ジャンクボーイ,Junk Boy,"23-year-old Ryohei Yamazaki has just one thing on his mind: sex. And with his sweet-talking, honey-voiced ways, Ryohei has no trouble finding interested ladies. But none of them is just what he wants... none of them is PERFECT. Then he charms the beautiful editor of a hot magazine into hiring him. Journalism will never be the same again...

(Source: Rotten Tomatoes)",OVA,1.0,Finished Airing,1987-12-16,,Victor Entertainment,Manga Entertainment,Madhouse,Manga,"Comedy, Romance, Ecchi",Unknown,Unknown,45.0,R+ - Mild Nudity,5.871,3689.0,96802.0,6273,7933,21
