anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
17823,Ikenai Boy,イケナイBOY,Unknown,"An anime adaptation of the erotic manga ""Ikenai Boy"" by Yoshihiro Suma, serialized in Business Jump.

Our hero is the typical young energetic college boy, but he got a special gift. He has ""magic hands"" that puts all women in ecstasy. Obviously he is taking advantage of this gift by meeting one bishoujo after the other! 

(Source: MU)",OVA,1.0,Finished Airing,1990-04-27,,Unknown,Unknown,J.C.Staff,Manga,"Comedy, Erotica",Harem,Unknown,51.0,R+ - Mild Nudity,4.581,197.0,,12646,784,0
1041,Zetsuai 1989,絶愛-1989-,Unknown,"Koji Nanjo, a young rock star, falls in love with soccer player Takuto Izumi. Koji eventually learns that Izumi's mother killed his father out of severe and intense love. Izumi took all the guilt for his father's murder and refuses to go pro because of fear that his past will be discovered by the media. Izumi detests Koji's company and encouragement and severely dislikes the attention from the press, but Koji cannot stay away for he soon realizes that his love for Izumi is very similar to the love that Izumi's mother felt for his father. 

(Source: ANN)",OVA,1.0,Finished Airing,1992-07-29,,Shueisha,Unknown,Madhouse,Manga,"Boys Love, Drama, Romance, Sports, Erotica",Music,Unknown,45.0,PG-13 - Teens 13 or older,6.341,6139.0,,5284,12132,39
719,Ai no Kusabi,間の楔,Ai no Kusabi,"On the planet Amoi, a person's status is primarily dictated by the color of their hair. This society is run by the AI supercomputer known as Jupiter and its governing board of perfect blondes, referred to as Blondies, living in the capital city of Tanagura. However, the darker-haired humans live out their lives in the golden ""pleasure city"" of Midas and its outlying slum Ceres. They are known as ""mongrels,"" and most cannot progress out of the slums.

Three years ago, a boy named Riki disappeared from the slums of Ceres. Once the revered leader of the gang Bison, a sudden encounter with an elite Blondie, Iason Mink, forced Riki to abandon everything he had cultivated. The boy was snatched from his home and forced to become Iason's pet. Riki has spent the past three years enduring numerous blows to his pride, his time in Tanagura nothing but a form of torture.

Now that Riki has returned, Bison once again rallies behind him. The risk he finds himself in, however, is much greater than ever before—there is always someone ready to sell him out.

[Written by MAL Rewrite]
",OVA,2.0,Finished Airing,1992-08-01,1994-05-01,On-Lead,Unknown,AIC,Light novel,"Boys Love, Drama, Sci-Fi, Erotica",Unknown,Unknown,54.0,R+ - Mild Nudity,7.071,18774.0,,3278,35549,377
733,Kizuna,KIZUNA～絆～,Unknown,"Young kendo prodigy Ranmaru Samejima captures the attention of Kei Enjoji, the illegitimate son of a yakuza boss. Kei, determined to form a bond with Ranmaru, cultivates a friendship built on trust and sacrifice, which soon turns into love. After saving Kei from a yakuza hit-and-run attack, Ranmaru is forced to give up kendo forever, and the two are left with only their faith in one another. Vowing to support each other far from the world of the yakuza, the two begin living together as a couple. 

However, when a mysterious figure from the pair's past returns in pursuit of Ranmaru, they are thrust back into the world they fought so hard to leave—and their love may not be strong enough to survive it.

[Written by MAL Rewrite]
",OVA,2.0,Finished Airing,1994-08-12,1995-09-29,Unknown,Unknown,SIDO LIMITED,Manga,"Boys Love, Drama, Erotica",Unknown,Unknown,30.0,R+ - Mild Nudity,6.221,5244.0,,5475,11065,20
1042,Bronze: Zetsuai Since 1989,BRONZE zetsuai since 1989,Unknown,"Famous rockstar Kouji Nanjou has fallen in love with Izumi Takuto, a soccer player with dreams of seeing ""real"" soccer in Italy. In angsty boy-love fashion, the story consists of Kouji stopping at nothing to have Izumi stay with him, Izumi dealing with his feelings until the time comes where he has no choice but to decide, and all the other things the two must face and the problems from Kouji's family.

(Source: ANN)",OVA,1.0,Finished Airing,1996-12-04,,"Victor Entertainment, Shueisha",Unknown,Production I.G,Manga,"Boys Love, Drama, Romance, Sports, Erotica",Music,Unknown,48.0,R - 17+ (violence & profanity),6.361,5466.0,,5630,10306,34
2218,Fujimi 2-choume Koukyougakudan,富士見二丁目交響楽団,Unknown,"High school music teacher, Morimura Yuuki, is the concert master and first violinist of the amateur orchestra, Fujimi Orchestra. Surprisingly, a young conductor named Tonoin Kei (known as a musical genius) joins this small orchestra to conduct. Even though Tonoin is a strict conductor, all the members adore him for the notable improvements in their performances and soon Yuuki feels his efforts for the orchestra have been fruitless. Yuuki soon comes to the conclusion that his crush of 3 years likes Tonoin, and he decides to give up on her and leave the orchestra. Tonoin refuses to let him quit, confessing that he loves Yuuki, which reveals that he's gay. Tonoin's love confession confuses Yuuki and it leads to a very horrible misunderstanding.

(Source: ANN)",OVA,1.0,Finished Airing,1997-07-22,,Unknown,Unknown,"AIC, Bee Media",Light novel,"Boys Love, Drama, Romance, Slice of Life, Erotica","Music, Psychological",Unknown,60.0,PG-13 - Teens 13 or older,5.481,3759.0,,6438,7455,5
734,Kizuna: Koi no kara Sawagi,絆 KIZUNA~恋のから騒ぎ~,Kizuna Much Ado About Nothing,"On his first day of junior high, Kei Enjoji fell in love at first sight. His heart was immediately captured by the gorgeous Ranmaru Samejima, a young kendo prodigy, and the two slowly formed a deep romantic bond. Now adults and living happily together as a couple, things seem to be going well for Ranmaru and Kei.

One morning, host Kei arrives home after a night out drinking with a client. A frequent occurrence, Ranmaru is initially unfazed by Kei's drunken state—until he notices three extremely suspicious things: Kei's clothing smells of makeup, his chest is stained with lipstick, and he is carrying matches branded with the name of a love hotel. To top it all off, a woman calls the apartment asking for ""Kei-chan,"" and at that, Ranmaru loses it.

Hurt by Kei's unfaithful actions, Ranmaru storms off. He spends the day reminiscing about years of precious memories, deciding to put them behind him for good—and when he is ""picked up"" by a woman on the streets, he comes to terms with reality. If this is what society wants, and if Kei has truly fallen for a woman, then who is he to stand in their way?

[Written by MAL Rewrite]",OVA,1.0,Finished Airing,2001-03-03,,Unknown,Media Blasters,Zexcs,Manga,"Boys Love, Drama, Romance, Erotica",Unknown,Unknown,44.0,R+ - Mild Nudity,6.621,3174.0,,6699,6766,7
5101,Doutei Kawaiya,童貞かわいや,Unknown,"A group of boys discover their sexuality in different ways.

Kojiro Shishido's short about the discomfort of teenage longing.",ONA,1.0,Finished Airing,2003-01-01,,Kojiro Shishido Animation Works,Unknown,Unknown,Original,Erotica,Unknown,Unknown,6.0,R+ - Mild Nudity,5.141,627.0,,11166,1332,0
747,Haru wo Daite Ita,春を抱いていた,Embracing Love,"The adorable and attractive main characters of Haru wo Daiteita are Kyousuke Iwaki and Youji Katou who are both in the film industry, having starred in various adult video films and are trying to climb the ladder of success and become greater actors. Iwaki is accepted to star in a popular movie, having beaten Katou in the auditions. During their time together, Katou believes he is in love with Iwaki-San, who on the contrary refuses to believe that he is in love. It is later on that another gay actor comes back to Japan and co-stars with Katou that problems starting arising. And it is from then on that the two realise where their hearts are set.

(Source: ANN)",OVA,2.0,Finished Airing,2005-03-31,2005-05-27,"Frontier Works, On-Lead","Media Blasters, Kitty Media",Trinet Entertainment,Manga,"Boys Love, Drama, Erotica",Unknown,Unknown,30.0,R+ - Mild Nudity,6.681,14325.0,,3884,25134,70
746,Papa to Kiss in the Dark,パパとKISS IN THE DARK,Papa to Kiss in the Dark,"Munakata Mira is in love with his father, the famous Hollywood actor Munakata Kyousuke. Unknown to the public, both of them are father and son as well as lovers. When Mira turns 15 and enters high school, he faces trouble with his childhood friend falling in love with him. Also, finding out he is adopted only distresses him further. Then there's the problem of Kyousuke probably marrying a famous actress, whose son seems to have an interest in Mira. 

(Source: ANN) ",OVA,2.0,Finished Airing,2005-11-23,2005-12-21,"Hakusensha, Three Fat Samurai, Sol Blade",Unknown,TNK,Light novel,"Boys Love, Comedy, Drama, Romance, Erotica",Unknown,Unknown,30.0,R+ - Mild Nudity,5.901,28311.0,,2776,47963,123
