anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
30957,Yukidaruma,雪達磨,Unknown,"A film by Kitayama Kiyotaro, follows a snowman who came to life in a fairytale like setting.",Movie,1.0,Finished Airing,1918-02-15,,Unknown,Unknown,Unknown,Original,Fantasy,Historical,Unknown,,G - All Ages,,,164722.0,14649,410,0
7494,Usagi to Kame,兎と亀,Unknown,"A retelling of the classic Aesop Fable, The Tortoise and the Hare.

(Source: AniDB)",Movie,1.0,Finished Airing,1924-01-01,,Unknown,Unknown,Unknown,Other,Fantasy,Unknown,Unknown,9.0,G - All Ages,5.201,774.0,120012.0,11240,1298,2
29551,Kanimanji Engi,蟹満寺縁起,Crab Temple Omen,"An early silhouette animated film by Hidehiko Okuda, Hakusan Kimura and Tomu Uchida. The original story is a Buddhist tale of a young lady who saved a crab (a spiritual being according to Japanese Buddhist faith) from being eaten, and was later saved from danger by the same crab.",Movie,1.0,Finished Airing,1925-01-01,,Unknown,Unknown,Unknown,Other,Fantasy,Unknown,Unknown,11.0,G - All Ages,5.371,216.0,115542.0,14285,453,0
34969,Senga Tsubo,線畫 つぼ,The Pot,Classical animation directed by Yamamoto Sanae.,Movie,1.0,Finished Airing,1925-01-01,,Unknown,Unknown,Unknown,Unknown,Fantasy,Unknown,Unknown,17.0,G - All Ages,5.431,373.0,113182.0,13092,673,0
33132,Shin Kachikachi Yama,新カチカチ山,Unknown,A short film directed by Takeo Ueno (上野武夫).,Movie,1.0,Finished Airing,1926-01-01,,Unknown,Unknown,Unknown,Other,Fantasy,Unknown,Unknown,,G - All Ages,,,149542.0,18022,171,0
35492,Tako no Hone,蛸の骨,The Octopus Bone,"Based on the Urashima Taro tale, the story is about how the Octopus lost its skeleton. 

(Source: AniDB)",Movie,1.0,Finished Airing,1927-11-02,,Unknown,Unknown,Unknown,Other,Fantasy,Historical,Unknown,4.0,G - All Ages,4.901,378.0,125432.0,12858,732,0
5632,Nihonichi Momotarou,日本一桃太郎,Momotaro the Undefeated,An old couple finds a child in a fruit.,Movie,1.0,Finished Airing,1928-01-01,,Unknown,Unknown,Unknown,Original,Fantasy,Unknown,Unknown,11.0,G - All Ages,5.311,800.0,117212.0,10943,1451,0
28045,Kogane no Hana,こがねの花,The Golden Flower,A man has a strange adventure on a hill as he returns from the village festival.,Movie,1.0,Finished Airing,1929-03-12,,Unknown,Unknown,Unknown,Original,"Action, Adventure, Fantasy",Historical,Unknown,16.0,G - All Ages,4.751,465.0,127132.0,12062,950,0
4398,Kuro Nyago,黒ニャゴ,The Black Cat,A short movie from 1929 about four children who dream of having a pet cat. Their wishes are answered when they encounter a black cat who proceeds to sing them a song about how he and his tabby brother are descended from tigers. ,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Fantasy,Unknown,Unknown,3.0,G - All Ages,5.361,1613.0,115712.0,8726,3267,6
34957,Ookami wa Ookami da,狼は狼だ,A Wolf is a Wolf,"Village animals are at a loss what to do about the tyrannical wolf. The clever monkey proposes an idea.

(Source: Japanese Animated Film Classics)",Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Fantasy,Unknown,Unknown,11.0,G - All Ages,5.281,187.0,117932.0,14290,452,0
35749,Goichi Jiisan,五一ぢいさん,Old Man Goichi,"Children beg Old Man Goichi of the water mill to tell them a story. So he tells them the story of The Two Dogs while his rice cooks. In the story, a white dog and a black dog find a piece of meat on the road, but the two greedy dogs start fighting over the meat. When they get tired of fighting, they decide to divide the meat using a ruler and saw. But then they start fighting again saying one piece is bigger than the other. Then, they ask a wise monkey to settle the issue for them. Saying that it would measure the weights for them, the sly monkey eats a little of whichever piece was larger until he eats almost all of it. Seeing the now tiny pieces of meat placed in front of them, the two dogs start crying. After finishing the story, Old Man Goichi teaches the children that if you are greedy, you will come out on the losing side.

(Source: Japanese Animated Film Classics)",Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Original,Fantasy,Unknown,Unknown,11.0,G - All Ages,5.381,160.0,115182.0,15786,312,0
35490,Tanukichi no Ohanashi,タヌ吉のお話,Unknown,A story about a tanuki.,Movie,1.0,Finished Airing,1931-05-28,,Unknown,Unknown,Unknown,Original,Fantasy,Historical,Unknown,11.0,G - All Ages,,,154462.0,16103,292,1
35400,Kamishibai Kintarou no Maki,紙芝居 金太郎の卷,Kamishibai Kintaro,Another classic adaptation of Kintarou from Japanese folklore.,Movie,1.0,Finished Airing,1934-01-01,,Unknown,Unknown,Unknown,Other,Fantasy,Historical,Unknown,7.0,G - All Ages,5.011,219.0,123692.0,14042,490,0
6823,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,オモチャ箱シリーズ第3話 絵本1936年,Unknown,Black-and-white propaganda film. Japanese folklore characters vs. evil Mickey Mouse-like creatures.,Movie,1.0,Finished Airing,1934-04-13,,Unknown,Unknown,Unknown,Other,Fantasy,Unknown,Unknown,7.0,G - All Ages,4.631,664.0,128302.0,11268,1287,2
33133,Kachikachi Yama: Umi Yama-hen,カチカチ山（海・山篇）,Unknown,"A short Kachikachi Yama film created in 1934, animated by Ooishi Ikuo.",Movie,1.0,Finished Airing,1934-08-08,,Unknown,Unknown,Unknown,Other,Fantasy,Unknown,Unknown,14.0,G - All Ages,,,188912.0,15756,314,0
