anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
5544,Suashi no Houkago,裸足の放課後,Unknown,"Part of Little Mermaid Series along with Telepatist IQ315, Punky Funky Baby and Shining May.
",OVA,1.0,Finished Airing,1985-03-10,,Five Ways,Unknown,Unknown,Unknown,"Girls Love, Hentai",Unknown,Unknown,26.0,Rx - Hentai,4.841,432.0,,11164,1334,3
795,Oniisama e...,おにいさまへ…,Dear Brother,"When 16-year-old Nanako Misonoo enters the prestigious all-girls Seiran Academy, she believes a bright future awaits her. Instead, the unlucky girl finds herself dragged into a web of deceit, misery, and jealousy. On top of that, she is chosen as the newest inductee of the Sorority, an elite group whose members are the envy of the entire school. Having none of the grace, wealth, or talent of the other members, Nanako quickly draws the ire of her jealous classmates—especially the fierce Aya Misaki.

To cope with her increasingly difficult school life, Nanako recalls her days through letters to her former teacher, Takehiko Henmi, whom she affectionately calls ""onii-sama"" (big brother). She also finds comfort with her four closest friends: her childhood friend Tomoko Arikura, the sociable but erratic Mariko Shinobu, the troubled musician Rei Asaka, and the athletic tomboy Kaoru Orihara.

An impassioned drama about the hardships of bullying, Oniisama e... chronicles a young girl's harsh life at her new school, as she endures cruel rumours, heartless classmates, and countless social trials.

[Written by MAL Rewrite]",TV,39.0,Finished Airing,1991-07-14,1992-05-31,NHK,Discotek Media,Tezuka Productions,Manga,"Drama, Girls Love","Psychological, School",young girl,25.0,PG-13 - Teens 13 or older,7.831,8959.0,8352.0,3044,40753,883
2959,Utsukushiki Sei no Dendoushi Reirei,美しき性の伝道師 麗々,Rei Rei,"Sweat-soaked bodies writhe in passion as a nurse and a doctor plot to murder the nurse's young ward; meanwhile, a young man endures the despair of unrequited love, unaware that the object of his desire is in love... with another woman!

If these hardly seem like sources for high comedy, perhaps it's because you're not Kaguya, a strangely powerful being with the ability to manipulate the fabric of reality, an extremely perverse sense of humor, and a propensity for baring her breasts.

A living manifestation of the Hand (or some other bodily portion) of Fate, those who fall under Kaguya's twisted spell will never be the same again, for she delights in giving people their hearts' desires-and letting them suffer the consequences!

Together with her stumpy man-servant Pipi, Kaguya stages her human puppet shows with the flair of a master show-woman, foiling perfect murders, turning young men INTO the women of their dreams, and generally causing mass chaos and disaster.",OVA,2.0,Finished Airing,1994-07-08,1994-09-09,AIC,"ADV Films, Critical Mass Video, SoftCel Pictures",Aubec,Unknown,"Girls Love, Supernatural, Hentai",Unknown,Unknown,28.0,R+ - Mild Nudity,5.391,876.0,,9363,2591,5
316,Nageki no Kenkou Yuuryouji,嘆きの健康優良児,"F3 Frantic, Frustrated & Female","Hiroe Ogawa is a healthy, normal girl with an extraordinary, private dilemma. Hiroe is unable to reach sexual climax under any circumstances. Over Hiroe's objections, older housemate Mayaka and landlady Yayoi use a varity of sexual techniques, appendages, and even hypnotism in order to help Hiroe achieve her elusive goal.

(Source: ANN)",OVA,3.0,Finished Airing,1994-08-05,1995-10-13,Pink Pineapple,"Media Blasters, Critical Mass Video, SoftCel Pictures",AIC,Manga,"Comedy, Girls Love, Hentai",Unknown,Unknown,25.0,Rx - Hentai,6.141,2050.0,,7296,5405,16
1496,Fushigi no Kuni no Miyuki-chan,不思議の国の美幸ちゃん,Miyuki-chan in Wonderland,"Miyuki, a cute girl, is in over her head. When late for school, she is suddenly transported to another world (Alice In Wonderland style), except that all the inhabitants of the other world are female...and they all seem to be in love with Miyuki. And the world behind her mirror is even weirder. 

(Source: ANN)",OVA,2.0,Finished Airing,1995-06-21,,Unknown,ADV Films,animate Film,Manga,"Comedy, Fantasy, Girls Love, Ecchi",Unknown,Unknown,14.0,R+ - Mild Nudity,5.661,5782.0,105552.0,5374,11567,6
1407,Stainless Night,ステンレスナイト,Unknown,"After ten years of dormancy, Linea awakes from a capsule in the countryside of Japan. Without any memories, she wanders into a small research center staffed by three beautiful women. One of the researchers, Sayako, is entranced by the strange woman and leaves her present lover. Sayako takes Linea to bed, and finds that her abilities are beyond that of any ordinary woman. 

(Source: ANN)",OVA,2.0,Finished Airing,1995-12-22,1996-03-22,Pink Pineapple,Media Blasters,OLM,Manga,"Girls Love, Hentai",Unknown,Unknown,28.0,Rx - Hentai,6.061,1937.0,,7544,5050,23
4161,Kojin Jugyou,個人授業,Private Psycho Lesson,"Even as a young girl, Sara Iijima was a large-breasted woman. Because of this, she had felt self-conscious about herself... especially with men who were constantly leering at her. This only intensified when she was attacked by a rapist with a breast fetish. Although she escaped unharmed, this only made worse her insecurities. It was only because of the intervention of Dr. Chang that she was able to feel good about herself. Out of gratitude, Sara became Dr. Chang's protege in the method of psychic feedback, the method which was used to cure her of her insecurities.

However, Dr. Sara's method of therapy is vastly different than what Dr. Chang had used. By swinging her huge breasts in a circle, she is able to induce a hypnotic trance in her patients, after which she is able to learn what is bothering the patient and offer the proper solution. There is a risk of using this: Sara is often vulnerable to the sexual appetites of her patients and she must maintain control of the situation

Sara is not alone, though. She is often accompanied by Tamine, a man who cannot seem to get a woman, no matter how he tries. But Tamine is devoted to Sara (mostly because of her huge breasts, which he is able to cop a feel whenever the chance arises), and aids her in helping others in need.",OVA,2.0,Finished Airing,1996-09-27,1996-11-01,GAGA,Unknown,J.C.Staff,Unknown,"Comedy, Girls Love, Hentai",Unknown,Unknown,28.0,Rx - Hentai,5.331,534.0,,10003,2073,2
2317,Hen,変,Strange Love,"Yoshida Chizuru is the sexiest co-ed in her class. Secretly, she's been appearing in TV commercials—despite the fact that students are forbidden from working. But one of her professors has uncovered her secret and hopes to use this information to his advantage. Yoshida's got plans of her own, and has no intention of giving up her acting career...",OVA,2.0,Finished Airing,1997-03-21,1997-05-09,Group TAC,Central Park Media,Unknown,Manga,"Comedy, Girls Love, Ecchi",Unknown,Unknown,39.0,R+ - Mild Nudity,5.101,2109.0,122242.0,7325,5367,16
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,少女革命ウテナ アドゥレセンス黙示録,Revolutionary Girl Utena The Adolescence of Utena,"All eyes are on Utena Tenjou, a mysterious transfer student to Ohtori Academy. But Utena's eyes seem to be fixed on one familiar face that stands out among the rest—Touga Kiryuu, Utena's childhood friend. Touga knows of Utena's past and possesses knowledge of the Mark of the Rose, a set of unique rings worn by those who compete for the hand of the Rose Bride. The Rose Bride, Himemiya Anthy, belongs to whomever wins her in a duel, and the one that wins all the duels is said to be given the power to bring revolution to the world. Utena is drawn into the duels, but Touga and their complicated history together may end up unraveling everything. Nothing is as it seems in this retelling of the original anime series.

[Written by MAL Rewrite]",Movie,1.0,Finished Airing,1999-08-14,,Audio Tanaka,Central Park Media,J.C.Staff,Original,"Avant Garde, Drama, Fantasy, Girls Love, Romance",Mahou Shoujo,young girl,90.0,R+ - Mild Nudity,7.621,23894.0,12962.0,2794,47051,540
2530,G-Taste,G-taste (ジィ・テイスト),Unknown,"Volume #1: A Taste of Honey (Eps #1-3)

Although she tries hard, lovely office worker Moe bungles her assignments more often than not. She'd fare better if she spent more time working and less time playing with the office equipment, but it wouldn't be near as much fun. Nana's so cute in her maid's outfit that it's easy to see why everyone wants a piece of her. And while domineering Mai is used to being the boss, she's going to discover the joys of humiliation. A taste will only leave you wanting more, so obey your sweet tooth.

Volume #2: Heat Wave (Eps #4-6)

Sayaka is trying to be a prim and proper teacher, but every time she steps in front of a classroom she gets hot... And turning up the air conditioner isn't going bring her temperature down one bit. Misuzu may be a world-class swimmer, but the cold water in the practice pool only heats things up. She's one bathing beauty who doesn't need a sauna to make things steamy. The heat index will soar as these two lovely ladies do their best to set the screen on fire.

(Source: AniDB)",OVA,7.0,Finished Airing,1999-12-18,2003-04-24,Green Bunny,"Critical Mass Video, SoftCel Pictures",AIC,Manga,"Girls Love, Hentai",Unknown,Unknown,24.0,Rx - Hentai,5.821,2502.0,,6462,7374,24
