anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
3437,Mister Ajikko,ミスター味っ子,Unknown,"Ajiyoshi Yoichi is a culinary prodigy who manages the eating house together with his mother. One day, Murata Genjiro appears in the eating house and is surprised at the delicious taste and delicate culinary skills of the katsu-don prepared by Youichi. Subsequently, Youichi is being invited to the Aji-oh Building in which he is involved in a spaghetti match with the in-house Italian chef, Marui. Youichi's novel culinary ideas, coupled with his enthusiasm of serving the best for his guests, allow him to defeat Marui in the match. From then on, Youichi begins to compete with other rivals in the race for the best tastes and dishes. 

(Source: ANN) ",TV,99.0,Finished Airing,1987-10-08,1989-09-28,TV Tokyo,Unknown,Sunrise,Manga,"Comedy, Gourmet",Unknown,young boy,24.0,G - All Ages,7.071,1010.0,35682.0,7936,4420,11
1093,Oishinbo,美味しんぼ,Unknown,"Oishinbo is a drama about newspaper reporters. The main character is a cynical food critic named Yamaoka. Oishinbo is a popular mainstream comic for adults in Japan. It is even mentioned in an episode of ""Iron Chef.""

(Source: AniDB)",TV,136.0,Finished Airing,1988-10-17,1992-03-17,TV Asahi,Unknown,Shin-Ei Animation,Manga,"Comedy, Gourmet, Slice of Life",Unknown,teenager,23.0,PG-13 - Teens 13 or older,6.791,563.0,48692.0,8779,3202,18
25053,Mister Ajikko Special,味将軍七包丁人だよ! 全員集合,Unknown,"Youichi vs Ajizukin.
",Special,1.0,Finished Airing,1989-02-09,,TV Tokyo,Unknown,Sunrise,Manga,"Comedy, Gourmet",Unknown,young boy,23.0,G - All Ages,,,135172.0,14555,419,1
20201,Easy Cooking Animation: Seishun no Shokutaku,EASY COOKING ANIMATION セイシュンの食卓,Unknown,"Something like cooking contests in anime form. Approximately three minutes long per episode, in each story there is an evaluation judgement about preparing home food. The preparation is described as humorously as possible. Funny wordplays are often mentioned several times in a consequence and are particularly salient but are repeated in a merry way.

(Source: AniDB)",TV,25.0,Finished Airing,1989-07-05,1990-01-31,Kitty Films,Unknown,Madhouse,Unknown,"Comedy, Gourmet",Unknown,Unknown,3.0,G - All Ages,,,177602.0,14941,382,0
25139,Oh! My Konbu,OH!MYコンブ,Unknown,"Fifth-grader Nabeyama Konbu is the son of a cook in a slice-of-life gourmet comedy that tries to add an element of adventure to slaving in the kitchen. Konbu helps his father solve problems in the world through the judicious use of seasonings, the right choice of menu, and the pleasing of fickle customers.

(Source: AniDB)",TV,22.0,Finished Airing,1991-05-04,1991-09-28,TBS,Unknown,Unknown,Unknown,"Comedy, Gourmet, Slice of Life",Unknown,young boy,25.0,G - All Ages,,,139922.0,15050,371,0
6384,Ippon Bouchou Mantarou,一本包丁満太郎,Unknown,Based on the manga by Big Joe (ビッグ錠).,OVA,2.0,Finished Airing,1991-06-21,1991-12-21,"Pony Canyon, Movic",Unknown,"J.C.Staff, animate Film",Manga,Gourmet,Unknown,teenager,46.0,PG-13 - Teens 13 or older,6.011,150.0,90102.0,13622,561,1
8123,Cooking Papa,クッキングパパ,Unknown,"The story of Mr. Araiwa and his family. He is a model employee in a large enterprise, but becomes a completely different character at home. He is very keen on cooking and lets pass no occasion to cook delicious dishes for his wife, who is frequently occupied by her work as a journalist, or his young son.

(Source: AniDB)",TV,151.0,Finished Airing,1992-04-09,1995-05-25,Asahi Broadcasting,Unknown,Eiken,Manga,"Comedy, Gourmet",Unknown,Unknown,25.0,G - All Ages,6.601,305.0,57962.0,10405,1797,3
8848,"Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!",美味しんぼ 究極対至高 長寿料理対決!!,Unknown,"Ultimate Menu and Supreme Menu square off in a cooking battle about dishes that promote longevity. For Supreme's Kaibara Yuzan and Ultimate's Yamaoka Shirou (who are father and son), this confrontation is more than strictly business: it's personal.

(Source: BakaBT)",Movie,1.0,Finished Airing,1992-12-11,,Nippon Television Network,Unknown,Shin-Ei Animation,Manga,"Comedy, Gourmet, Slice of Life",Unknown,teenager,90.0,PG-13 - Teens 13 or older,6.241,204.0,78092.0,13022,693,1
8842,Oishinbo: Nichibei Kome Sensou,美味しんぼ 日米コメ戦争,Oishinbo The Japan-America Rice War,The Oishinbo gang takes time off from the normal culinary wars to get involved with a political dispute about American rice imports. The economic conflict between a pushy US Senator from California and a nationalistic Japanese politician is further complicated by concerns about the cumulative effect of pesticide use in both American and Japanese agriculture.,Movie,1.0,Finished Airing,1993-12-03,,Nippon Television Network,Unknown,Shin-Ei Animation,Manga,"Comedy, Gourmet, Slice of Life",Unknown,teenager,90.0,PG-13 - Teens 13 or older,6.141,211.0,83482.0,12926,717,2
110,Chuuka Ichiban!,中華一番,Unknown,"The story takes place in 19th century China during the Qing Dynasty, where the Emperor was weakened and the country was close to chaos. It is also during a fictitious era called ""The Era of the Cooking Wars"". It was an era in which top chefs with different cooking styles tried their best to improve their skills and to become the best chef in China. It is a country where insulting a high-grade chef or fooling around with cooking could land a person in a jail, and impersonating a top-chef is as good as usurpation of authority. Chefs compete with each other in order to gain respect and even power, but also with the risks of losing everything.

The country of China has four major regions: Beijing, Szechuan, Shanghai, and Guangdong.

The beginning of the story takes place in Szechuan, Mao's birthplace.

After the death of Mao's mother, Pai, who was called the 'Fairy of Cuisine', Mao becomes a Super Chef in order to take the title as Master Chef of his mother's restaurant. However, before he takes his mother's place as Master Chef, he continues to travel China in order to learn more of the many ways of cooking, in the hopes of becoming a legendary chef, just like his mother. During his journey, he meets great friends and fierce rivals who wish to challenge him in the field of cooking.

(Source: Wikipedia)",TV,52.0,Finished Airing,1997-04-27,1998-09-13,Unknown,Unknown,Nippon Animation,Manga,"Action, Comedy, Drama, Gourmet",Unknown,young boy,23.0,PG-13 - Teens 13 or older,7.591,7857.0,13642.0,4468,18387,109
