anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
38339,Suzumi-bune,すヾみ舟,Unknown,"The story begins in the Edo period with two foolish woman at the start of Kanda River's Kawabiraki, a festival marking the start of the boating season. A woman looking to be the daughter of a large shop gets lured over by a seemingly good looking man that appears and gives into pleasure. However, on the verge of the act, she is spotted by a boatman and falls into the river. The other woman, who looks like a mother, beckons the boatman to have the daughter make love again as she peeps.

Please do not upload or approve any images to this entry.",Movie,1.0,Finished Airing,1932-01-01,,Unknown,Unknown,Unknown,Original,Hentai,Historical,Unknown,10.0,Rx - Hentai,,,,14506,425,0
20007,Hi Gekiga Ukiyoe Senya Ichiya,(秘)劇画 浮世絵千一夜,Unknown,"An adult movie about a painter whose pictures come alive and commit murder. This film was made in the wake of the success of the Mushi Pro 1001 Nights. Six scenes were cut for obscenity after the movie was released.

(Source: Pelleas)",Movie,1.0,Finished Airing,1969-10-29,,Toei Video,Unknown,Unknown,Unknown,"Action, Hentai",Unknown,Unknown,70.0,Rx - Hentai,,,,13217,647,1
26081,Yasuji no Pornorama: Yacchimae!!,ヤスジのポルノラマ やっちまえ!!,Unknown,"Based on the manga by Tanioka Yasuji.

Japanese society, in the opinion of Pusu-o, ""satisfies all the urges of hunger, but not the urges of the loins."" Then again, Pusu-o is scrawny, awkward and hardly the handsomest guy in town. More to the point, in matters of a romantic nature, Pusu-o conducts himself with an absolute lack of grace, restraint and general respect for women. Not surprisingly, his sex life is an endless succession of obnoxiously over-the-top come-ons and maniacal attempts to get some action, all of which culminate in total strike-outs. Pusu-o's own father is soon on hand to add insult to injury (the injury being the constant, gushing nosebleeds Pusu-o endures — the nasal blood geyser being Japanese cartoon shorthand for sexual frustration), and the cock blockage continues at Pusu-o's new job as a car salesman — until a trio of older women misinterpret his advances, intended only to make the pretty Yukiko jealous. The antics continue at a later date, when the married Pusu-o is cuckolded by an horny little birdie. When the humiliated surrogate dad witnesses the sexual prowess of the tryst's offspring, matters culminate in a finale worthy of the most bombastic Japanese tragedy. 

(Source: AniDB)",Movie,1.0,Finished Airing,1971-09-24,,Unknown,Unknown,Unknown,Manga,Hentai,Unknown,Unknown,101.0,Rx - Hentai,5.281,191.0,,12811,741,3
4813,Lolita Anime,ロリータアニメ,Lolita Anime,"The first ever hentai OVA, Lolita Anime was released in early 1984. Some of the episodes featured parodies of other famous anime characters (i.e. Lum). The series' main focus was bondage.

(Source: ANN)",OVA,6.0,Finished Airing,1984-02-21,1985-05-25,Wonder Kids,Unknown,Unknown,Unknown,Hentai,Unknown,Unknown,31.0,Rx - Hentai,5.251,749.0,,9137,2844,12
3239,Cream Lemon,くりいむレモン,Unknown,"A collection of short stories, ranging from soap opera (the Ami series) to fantasy (Rall series) to horror (Cream Lemon Dark) to parody (Pop Chaser). It does deal with a lot of heavy perversions ranging from S&M, male rape (by a bunch of females, that is), bondage, torture, yuri (lesbian love) and incest.

(Source: AniDB)",OVA,38.0,Finished Airing,1984-08-10,1993-03-19,"Pony Canyon, Fairy Dust",Unknown,"AIC, APPP",Original,"Comedy, Fantasy, Sci-Fi, Hentai",Parody,Unknown,26.0,Rx - Hentai,6.191,1364.0,,6535,7170,29
8574,Aoi Taiken,青い体験,Unknown,"One of the first erotic OVA. Based in an original story of mangaka Hachurui (羽中ルイ), it would also have a live-action version released almost at the same time and starring AV actress Kyoko Nakamura, both produced by Orange Video House. 

(Source: AniDB)",OVA,2.0,Finished Airing,1984-10-11,1985-10-07,Unknown,Unknown,Unknown,Unknown,Hentai,Unknown,Unknown,22.0,Rx - Hentai,4.591,293.0,,12190,912,2
12397,Original Video Romance Animation,オリジナルビデオロマンスアニメーション,Unknown,"One of the first erotic OVA. Released in 1984 by the company Let's, the characters from this animation have the names of famous Japanese Pop singers of the 1980s: Seiko Matsuda (Vol. 1) and Akina Nakamori (Vol. 2).",OVA,2.0,Finished Airing,1984-11-30,1984-12-22,Unknown,Unknown,Unknown,Unknown,"Comedy, Hentai",Unknown,Unknown,25.0,Rx - Hentai,4.841,167.0,,13324,622,0
5541,The Satisfaction,ザ・サティスファクション,Unknown,"Reiko is tormented by a nightmare of a demonic figure having his way with her. Soon after, this nightmare seems to have become a reality. 

(Source: AniDB) ",OVA,1.0,Finished Airing,1984-12-15,,Unknown,Unknown,Unknown,Unknown,Hentai,Unknown,Unknown,21.0,Rx - Hentai,4.831,211.0,,13200,648,1
3644,Uchiyama Aki,内山亜紀,Unknown,"Lolita Anime was made on base of manga by Aki Uchiyama.

Lolita Anime Vol.1 : Uchiyama Aki no Obyoki Aki-chan
Lolita Anime Vol.2 : Milk Nomi Ningyo
Lolita Anime Vol.3 : Uchiyama Aki no Omorashi Gokko

Note: There is another series titled ""Lolita Anime."" but it was made a little bit earlier.",OVA,3.0,Finished Airing,1984-12-15,1985-01-10,Nikkatsu,Unknown,Unknown,Unknown,Hentai,Unknown,Unknown,22.0,Rx - Hentai,5.371,601.0,,10481,1754,7
8523,Sukeban Shoukai Cutie Lemon,スケ番商会 キューティレモン,Unknown,Unknown,OVA,3.0,Finished Airing,1984-12-22,1988-07-01,Unknown,Unknown,Unknown,Unknown,Hentai,Unknown,Unknown,24.0,Rx - Hentai,4.861,205.0,,13051,685,0
