anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
8182,Bouken Shounen Shadar,冒険少年シャダー,Adventure Boy Shadar,"When Earth is threatened by the invading Ghostar, a young boy with nerves of steel and the strength of 50 men appears from a cave on Mount Fuji. He is Shadar, a boy of unknown origin who, with his faithful dog, Pinboke, fights to save the world. 

(Source: The Anime Encyclopedia) ",TV,156.0,Finished Airing,1967-09-18,1968-03-16,Nihon Hoso Eigasha,Unknown,Unknown,Unknown,"Adventure, Horror",Unknown,Unknown,10.0,PG-13 - Teens 13 or older,6.081,143.0,86502.0,13221,644,1
5688,Gegege no Kitarou (1968),ゲゲゲの鬼太郎,Unknown,"Kitarou, a ghost, spends his afterlife helping humans in need of his skills. He thwarts the plans of evil spirits who live to torment humanity.",TV,65.0,Finished Airing,1968-01-03,1969-03-30,Unknown,Unknown,Toei Animation,Manga,"Adventure, Comedy, Fantasy, Horror, Supernatural",Unknown,Unknown,25.0,G - All Ages,6.691,943.0,53612.0,8159,4094,19
3129,Kaibutsu-kun,怪物くん,Unknown,"The prince of Kaibutsu Land, Kaibutsu-kun, decides to go to the human world as part of his training to become the King.

(Source: ANN)",TV,49.0,Finished Airing,1968-04-21,1969-03-23,TBS,Unknown,"Studio Zero, Tokyo Movie",Manga,"Comedy, Horror",Unknown,Unknown,25.0,PG - Children,6.471,430.0,65792.0,11403,1219,1
4044,Youkai Ningen Bem,妖怪人間ベム,Unknown,"Three monsters, Bem, who looks like a gangster, Bero, who looks like a boy, and Bera, a witch, act as agents of justice, hoping that they will be allowed to become human. Several episodes involve them protecting a young boy. The style of animation is fairly distinctive, and the storylines not without interest. 

(Source: AniDB) ",TV,26.0,Finished Airing,1968-10-07,1969-03-31,Unknown,Unknown,Dai-Ichi Douga,Original,Horror,Mythology,Unknown,25.0,PG-13 - Teens 13 or older,6.091,456.0,86162.0,10398,1803,5
7025,Kiseichuu no Ichiya,寄生虫の一夜,Unknown,Short experimental animation from 1972 by Yoji Kuri.,Movie,1.0,Finished Airing,1972-01-01,,Unknown,Unknown,Unknown,Original,"Avant Garde, Horror",Unknown,Unknown,9.0,R - 17+ (violence & profanity),5.041,1332.0,123172.0,9498,2460,9
2252,Devilman,デビルマン,Unknown,"Devilman features Akira Fudo, a shy and timid teenager who has gone mountain climbing in the Himalayas with his father. While in the middle of the expedition, both father and son are killed in a tragic accident. Akira's body is found and possessed by the demon soldier Devilman, who uses his new human form as a disguise in order to fulfill his mission of causing chaos on Earth in order to pave the way for a demonic invasion of the planet.

Before his mission can begin in earnest, Devilman meets Akira's childhood friend Miki Makimura and quickly falls in love with her. Devilman resolves to protect Miki and humanity as a whole by battling against his fellow demons. Demon Tribe leader Zennon becomes greatly angered at Devilman's betrayal and is quick to send Devilman's former comrades to destroy him. The other demons soon learn that Miki is precious to Devilman and he must now work to protect her, as well as protect himself. Will the power of love be able to overcome that of true evil?",TV,39.0,Finished Airing,1972-07-08,1973-04-07,Dynamic Planning,Discotek Media,Toei Animation,Manga,"Action, Horror, Supernatural",Mythology,Unknown,25.0,R - 17+ (violence & profanity),6.481,6750.0,65122.0,3663,28487,96
1337,Dororon Enma-kun,ドロロンえん魔くん,Unknown,"Monsters are coming to the human world from the Hell in order to get human spirits. As people's minds are getting dirty, being attracted by the dirty spirits, the monsters break the rule to go to the human world.

Tsutomu, a boy who goes to Yokai Elementary School, is suddenly assaulted by monsters. Those who save him from the monsters are Enma-kun, the son of Enma, Yukiko, a snow woman, and Kapaeru. They are members of Monster Patrol that are sent to the human world to arrest monsters.

(Source: AnimeNfo)",TV,25.0,Finished Airing,1973-10-04,1974-03-28,"Fuji TV, Dynamic Planning",Unknown,Toei Animation,Manga,"Comedy, Fantasy, Horror, Supernatural",Mythology,young boy,24.0,PG-13 - Teens 13 or older,6.121,752.0,84282.0,8388,3751,2
23351,Youkaiden Nekome Kozou,妖怪伝 猫目小僧,Cat Eyed Boy,"The story is told by the cat-eyed boy, hated by humans and demons, who engages in tales of terror, including monsters and children.",TV,25.0,Finished Airing,1976-04-01,1976-09-30,Wako Productions,Unknown,Unknown,Manga,"Adventure, Horror, Supernatural",Psychological,teenager,25.0,G - All Ages,5.781,146.0,100242.0,12434,843,0
8150,Gegege no Kitarou: Chisougan,ゲゲゲの鬼太郎 地相眼,Spooky Kitaro The All Seeing Eye,"An abbreviated 12 minute version of episode 37 from the 1971 TV anime. This was shown as part of the summer 1980 Toei Manga Matsuri and uses entirely recycled footage.

(Source: TSHS)",Movie,1.0,Finished Airing,1980-07-12,,Unknown,Unknown,Toei Animation,Unknown,"Adventure, Comedy, Fantasy, Horror, Supernatural",Unknown,Unknown,12.0,G - All Ages,5.811,285.0,99122.0,12136,928,0
3130,Kaibutsu-kun (1980),怪物くん (1980),Unknown,"Kaibutsu-kun and his companions, Dracula, Wolfman, and Franken, travel from Kaibutsu Land to the Human Realm, where they encounter and battle several monsters, mainly assassins from the demon group Demonish.

(Source: Wikipedia)",TV,94.0,Finished Airing,1980-09-02,1982-09-28,Unknown,Unknown,Shin-Ei Animation,Unknown,"Comedy, Horror",Unknown,Kids,25.0,G - All Ages,6.501,536.0,64102.0,11559,1141,0
