anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
28041,Baguda-jou no Touzoku,馬具田城の盗賊,Burglars of Baghdad Castle,"In order to win the hand of a princess, a man must defeat an evil dragon and claim its treasured magic stone. Upon his return, Baghdad has been invaded and he must use the stone to defeat his new enemy.

(Source: AniDB, edited)",Movie,1.0,Finished Airing,1926-10-06,,Unknown,Unknown,Unknown,Original,"Adventure, Romance",Historical,Unknown,15.0,G - All Ages,5.001,771.0,123872.0,10999,1419,3
28047,Kokoro no Chikara,心の力,Power of the Heart,A man in love with a noble lady tries to get close to her with the help of cats.,Movie,1.0,Finished Airing,1931-01-01,,Unknown,Unknown,Unknown,Unknown,"Adventure, Romance",Historical,Unknown,11.0,G - All Ages,5.151,278.0,121212.0,13412,603,0
23265,Genroku Koi Moyou: Sankichi to Osayo,元禄恋模様 三吉とおさよ,Sankichi and Osayo A Genroku Romance,"When a samurai witnesses a dancing maiden being kidnapped by ruffians, he rescues the poor damsel and takes her to the spring flower dance.

(Source: AniDB)",Movie,1.0,Finished Airing,1934-06-23,,The National Film Center Japan,Unknown,Unknown,Original,"Adventure, Romance",Unknown,Unknown,8.0,G - All Ages,4.811,343.0,126372.0,12710,765,1
4513,Hakujaden,白蛇伝,Panda and the Magic Serpent,"As a young boy, Xu-Xian is forced to free his pet, a small snake. Unbeknownst to him, the snake is actually a young snake goddess named Bai-Niang and she is in love with him. Many years later, when they are both adults, the princess is magically transformed into a human and sets out to find her love. But the local wizard believes her to be a vampire, and banishes Xu-Xian from the village in order to save him. Xu-Xian's pet pandas Panda and Mimi set out to save him and bring him, in the process becoming leaders of an animal gang.

(Source: ANN)",Movie,1.0,Finished Airing,1958-10-22,,Unknown,Unknown,Toei Animation,Other,"Adventure, Fantasy, Romance",Historical,Unknown,79.0,G - All Ages,6.091,2027.0,85932.0,7485,5141,6
29870,Kagami,かがみ,Unknown,"One of the first films of Okamoto Tadanari, a silent puppet animated film.",Movie,1.0,Finished Airing,1960-01-01,,Unknown,Unknown,Unknown,Original,Romance,Unknown,Unknown,12.0,G - All Ages,5.281,143.0,117862.0,15252,355,0
1497,Aru Machi Kado no Monogatari,ある街角の物語,Tales of the Street Corner,"On a certain street corner, there live a girl and her bear doll; a mischievous mouse named Kanku-bouya; a sycamore tree; an old street lamp; a moth; and posters containing a bar girl, a violinist, and a pianist. They all strive for life, but the world may not allow them to flourish.

In Aru Machi Kado no Monogatari, will the inhabitants of the street corner be able to maintain their peaceful existences, or will war and tyranny plunge them into chaos?

[Written by MAL Rewrite]",Movie,1.0,Finished Airing,1962-11-05,,Unknown,Unknown,Mushi Production,Original,"Drama, Romance",Music,Unknown,39.0,G - All Ages,6.571,1763.0,59582.0,8138,4115,9
6535,Ai,愛,Love,"A short experimental anime about a woman desperately in love. Made by Yoji Kuri, a well-known Japanese indie animator.",Movie,1.0,Finished Airing,1963-01-01,,Kuri Jikken Manga Kobo,Unknown,Unknown,Original,"Avant Garde, Romance",Psychological,Unknown,4.0,PG-13 - Teens 13 or older,4.181,2354.0,130142.0,8270,3919,3
29635,Otoko to Onna to Inu,男と女と犬,Man and Woman and Dog,Short animated film by Kuri Youji.,Movie,1.0,Finished Airing,1963-01-01,,Unknown,Unknown,Unknown,Unknown,"Comedy, Romance",Unknown,Unknown,3.0,G - All Ages,4.711,244.0,127572.0,13961,502,0
8663,Yokoo's 3 Animation Films,横尾忠則 アニメーション集 64-65,Unknown,"Three short films by the Japanese avant-garde illustrator and animator. Regarded (unfairly) as the Japanese equivalent of Andy Warhol, these films showcase a distinctively commercial illustration look reminiscent of the current pop art movement of that decade (1960s).
",Movie,3.0,Finished Airing,1964-01-01,1965-01-01,Unknown,Unknown,Unknown,Original,"Avant Garde, Romance",Unknown,Unknown,5.0,PG-13 - Teens 13 or older,4.481,480.0,129172.0,11848,1030,3
29637,Samurai,さむらい,Unknown,A short film by Kuri Youji.,Movie,1.0,Finished Airing,1965-01-01,,Unknown,Unknown,Unknown,Original,"Drama, Romance",Unknown,Unknown,7.0,G - All Ages,4.631,229.0,128312.0,14021,493,0
3024,Ribbon no Kishi,リボンの騎士,Princess Knight,"Princess Sapphire is a girl raised as a Prince. Through the mischief of an angel, the princess is born with both a girl's body and boy's mind. Since there is no boy successor in her kingdom, Sapphire is raised as a boy, but evil ministers try to reveal her secret. Unable to put up with the kind of vicious conduct prevailing in the kingdom, Sapphire disguises herself as ""Princess Knight"" and wields her sword of justice.

This is an animated version of the girls' manga featuring Sapphire's romance and adventure, which marked the first made-for-TV animated program geared towards girls in Japan.

(Source: Official site)",TV,52.0,Finished Airing,1967-04-02,1968-04-07,Fuji TV,Nozomi Entertainment,Mushi Production,Manga,"Action, Fantasy, Mystery, Romance",Crossdressing,young girl,23.0,PG-13 - Teens 13 or older,6.711,1281.0,52382.0,7792,4637,13
4113,Mahou no Mako-chan,魔法のマコちゃん,Unknown,"Mako is a young siren and daughter to the King of the Sea. In a stormy day she rescues the young sport Akira from a wrecked ship, but ends up falling in love with him. So, with help from the Witch of the Sea, she's transformed into a human, and becomes a highschool student who helps everyone with her strong sense of love and justice and her magical pendant, the ""Tear of the Mermaid.""

(Source: ANN)",TV,48.0,Finished Airing,1970-11-02,1971-09-27,Unknown,Unknown,Toei Animation,Unknown,"Fantasy, Romance",Unknown,young girl,24.0,G - All Ages,6.401,417.0,69202.0,10496,1745,3
1537,Genshi Shounen Ryuu,原始少年リュウ,Ryu the Primitive Boy,"When Ryuu is born his tribe tries to sacrifice him to a Tyrannosaurus named Shirano because of the color of his skin. He is however saved by a monkey who raises him as her own son. Meanwhile Ryuu's mother has left the tribe and is out on a quest to find Ryuu.

16 years later Ryuu meets a girl named Ran who was sold to the tribe Ryuu originaly came from. The tribe is not happy to see Ryuu alive and tries to sacrifice him again, this time by burning him alive. Before they can get the deed done the tribe is massacred along with Ryuu's adoptive mother by Shirano. Ryuu then sets out on a quest together with Ran to find his mother and Ran's brother Don.",TV,22.0,Finished Airing,1971-10-30,1972-03-25,TBS,Unknown,Toei Animation,Manga,"Action, Adventure, Romance, Sci-Fi",Unknown,young boy,25.0,PG-13 - Teens 13 or older,6.251,625.0,77512.0,9974,2091,5
22893,Mon Cheri CoCo,モンシェリCOCO,My Dear Coco,"A young woman aims to become a famous fashion designer.

(Source: AniDB)",TV,13.0,Finished Airing,1972-08-27,1972-11-26,TBS,Unknown,Unknown,Manga,Romance,Unknown,young girl,25.0,G - All Ages,,,135782.0,11964,983,2
29615,Oh Yoko!,オー・ヨーコ！,Unknown,"Made to accompany the song ‘Oh! Yoko!’ by John Lennon, the hand-drawn animation playfully appropriates and imagines moments in the lives of the celebrity couple, John Lennon and Yoko Ono, in pop caricature versions, with occasional appearances from Elvis Presley and the Yellow Submarine. The animation was aired on the late-night television program 11PM.

(Source: Collaborative Cataloging Japan)",Music,1.0,Finished Airing,1973-01-01,,Unknown,Unknown,Unknown,Original,"Avant Garde, Romance",Music,Unknown,4.0,R+ - Mild Nudity,4.361,615.0,129652.0,11786,1054,0
311,Ace wo Nerae!,エースをねらえ!,Unknown,"On her first day at Nishi High School, 15-year-old Hiromi Oka is inspired by top player Reika ""Ochoufujin"" Ryuuzaki to take up tennis. Shortly after joining the school's tennis club, she encounters Jin Munakata, the club's new coach. Munakata puts everyone under rigorous training that even puts Ochoufujin to shame. Despite the hardships, Hiromi's determination prompts the coach to select her as part of the club's main players. Because of this, Hiromi must endure the peer pressure from her seniors to become an ace tennis player.

(Source: ANN)",TV,26.0,Finished Airing,1973-10-05,1974-03-29,Mainichi Broadcasting System,Unknown,"Madhouse, Tokyo Movie Shinsha",Manga,"Drama, Romance, Sports",School,young girl,24.0,PG-13 - Teens 13 or older,7.061,3018.0,36202.0,5335,11739,68
3043,Andersen Douwa: Ningyohime,アンデルセン童話 にんぎょ姫,Hans Christian Anderson's The Little Mermaid,"Marina, the most beautiful mermaid in the royal Merman family, is curious about the human world. One day, she sees a handsome prince on a boat. Suddenly, a storm comes up, throwing him into the sea. Marina saves her handsome prince and guides him to the shore. Marina falls deeply in love and desperately wants to become a human. Despite the hazards, she is willing to risk it all for love.

(Source: ANN) ",Movie,1.0,Finished Airing,1975-03-21,,Unknown,Discotek Media,Toei Animation,Unknown,"Fantasy, Romance",Unknown,young girl,68.0,G - All Ages,6.881,2356.0,44182.0,7478,5153,30
