anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
35401,Hyaku-nengo no Aru Hi,百年後の或る日,A Day after a Hundred Years,"Mr. Ogino should have died during the war but his spirit was brought back to life by the power of science. He sees the world 100 years later during the year 2032 lead by one of his descendants. They decide to take a trip to Mars too and the ship malfunctions, because a spirit of the past was on the ship, it went out of control trying to reach Buddha's paradise instead.",Movie,1.0,Finished Airing,1933-01-01,,Unknown,Unknown,Unknown,Original,"Sci-Fi, Supernatural",Military,Unknown,11.0,G - All Ages,5.431,197.0,113572.0,14729,402,0
29898,Plus 50000-nen,プラス50000年,Unknown,A short movie by Otogi Production.,Movie,1.0,Finished Airing,1961-01-01,,Otogi Production,Unknown,Unknown,Original,Sci-Fi,Unknown,Unknown,9.0,G - All Ages,5.501,121.0,110932.0,15802,311,0
2747,Tetsuwan Atom,鉄腕アトム,Astro Boy,"In the year 2003, Professor Tenma is distraught when his son Tobio is killed in a car accident. He loses himself in his latest project, creating Atom, a robot boy programmed to be forever good.

Upset that his Tobio-substitute can never grow up, Tenma sells Atom to Ham Egg, the cruel ringmaster of a robot circus. Atom meets the kindly Professor Ochanomizu, who adopts him, inspires him to become a crusader against evil, and eventually builds him a robot ""sister,"" Uran.

(Source: The Anime Encyclopedia)",TV,193.0,Finished Airing,1963-01-01,1966-12-31,Meiji Seika,Nozomi Entertainment,Mushi Production,Manga,"Action, Adventure, Drama, Sci-Fi",Mecha,young boy,26.0,PG - Children,7.071,3933.0,35832.0,5430,11290,45
2686,Tetsujin 28-gou,鉄人２８号,Gigantor,"Dr.Haneda was developing experimental giant robot warriors to fight the allies during the Second World War, but before his creations could see action, Allied bombs destroyed the facility and killed him. A decade later criminals discovered two of the surviving prototypes, #26 and 27 in the series, and used the remote controlled robots to commit a number of crimes. Young Shotaro Haneda, the twelve year old son of Dr.Haneda, did some investigating and discovered that the mob were hunting for the twenty-eighth robot in the series, rumoured to be the most powerful of them all. Racing the villains, Shotaro discovers the robot first, along with Dr.Shikashima, a colleague of his father's who was also believed killed by the Allied bombing. Together the two prevent Tetusjin-28 (the robot's official designation) from falling into the hands of the bad guys, and decide to dedicate him to peace rather than war.

Shotaro fought crime for a long time, supported by Dr.Shikashima, who would repair Tetsujin-28 when he was damaged, and by police officer Otsuka. Shotaro even battled the alien Magmans, invaders from the planet Magma, who came to Earth late in his career, bringing their own giant robots, Magma X and Gold Wolf, with them.

(Source: AniDB)",TV,96.0,Finished Airing,1963-10-20,1965-05-27,Unknown,Unknown,Eiken,Manga,"Adventure, Sci-Fi",Mecha,young boy,25.0,G - All Ages,6.361,886.0,71642.0,8940,3039,11
5052,Eightman,エイトマン,8 Man,"A private investigator working a routine case involving stolen technology is mortally wounded. His only hope for survival comes from sacrificing his humanity to become 8Man—a powerful cyborg crime-fighter enhanced with a living human brain. Resurrected as the ultimate high-tech vigilante, it is up to 8Man to bring the lawless to justice and put an end to the escalating cycle of violence. A classic animated thriller that will leave you breathless.

(Source: AnimeNfo)",TV,56.0,Finished Airing,1963-11-07,1964-12-24,Unknown,Unknown,Nippon Animation,Manga,"Action, Drama, Sci-Fi",Mecha,Unknown,25.0,PG-13 - Teens 13 or older,5.951,423.0,92962.0,10588,1683,4
27993,Tetsujin 28-gou: Tanjou-hen,鉄人28号「誕生編」,Unknown,"Recap of episodes 1-11 of Tetsujin 28-gou, originally broadcasted between episodes 11 and 12 as a New Year special.",Special,1.0,Finished Airing,1964-01-01,,Unknown,Unknown,Eiken,Unknown,"Adventure, Sci-Fi",Mecha,young boy,25.0,G - All Ages,,,155172.0,14162,471,1
10342,Tetsuwan Atom: Uchuu no Yuusha,鉄腕アトム 宇宙の勇者,Astro Boy The Brave in Space,"From the TV series of ""Astro Boy,"" three episodes were selected for theater re-edition, ""Robot Rocket"" (46th episode), ""Earth Defense Troops"" (56th episode) and ""The Last Day of Earth"" (71st episode). Of these three, ""Earth Defense Troops"" was the only one originally derived from Tezuka Osamu's story ""Number 7."" Its settings were diverted to the ""Astro Boy"" series. In this film, the whole scene of ""Earth Defense Troops"" and a part of ""The Last Day of Earth"" were reproduced in color for this theater version.

(Source: Official site)",Movie,1.0,Finished Airing,1964-07-26,,Fuji TV,Unknown,Mushi Production,Original,"Action, Adventure, Drama, Sci-Fi",Mecha,young boy,87.0,G - All Ages,6.201,441.0,80342.0,10681,1624,1
9613,Big X,ビッグX,Unknown,"Invited to Nazi Germany during World War II, Dr. Asagumo is asked by Hitler  to collaborate with him on the research of the new weapon ""Big X"". Concerned about the possible effects of the completion of Big X, Dr. Asagumo intentionally delays the progress of the research, conspiring with his co-researcher, the devious Dr. Engel. Immediately before Germany is defeated by the Allies, Dr. Asagumo implants a card inscribed with the secret of Big X in his son, Shigeru, and is then shot to death by the German army. Twenty years later, the card is discovered in the body of Shigeru, who is then living in Tokyo. Soon, an organization claiming alliance with the Nazis appears, steals the card, and completes the Big X project. Dr. Engel's grandson has joined the Nazi Alliance. The completed Big X is then revealed to be a drug that can expand the human body without limitation. Recovering Big X from the enemy, Shigeru's son Akira fearlessly challenges the Nazi Alliance and Hans Engel, who are plotting to conquer the world.

(Souce: Wikipedia)",TV,59.0,Finished Airing,1964-08-03,1965-09-27,Unknown,Unknown,Tokyo Movie Shinsha,Manga,"Action, Sci-Fi",Historical,young boy,25.0,G - All Ages,6.011,220.0,89962.0,11799,1046,4
30767,Wonder 3 Pilot,ワンダースリー,Unknown,Wonder Three pilot episode.,Special,1.0,Finished Airing,1965-01-01,,Mushi Production,Unknown,Unknown,Unknown,"Action, Adventure, Comedy, Sci-Fi",Unknown,Unknown,15.0,G - All Ages,,,159912.0,16027,298,0
16159,Mirai Kara Kita Shounen Super Jetter,未来から来た少年 スーパージェッター,Unknown,"A time patroller from the 30th century goes back to the 20th century to stop a meteor from destroying the world.

",TV,52.0,Finished Airing,1965-01-07,1966-01-20,"TBS, TCJ",Unknown,Unknown,Original,"Action, Comedy, Sci-Fi",Super Power,Unknown,25.0,G - All Ages,,,135092.0,13798,530,0
