anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
22995,Shisei Sasshin,市制刷新,Unknown,"Classical animation created by Kouuchi Junichi.

(Source: AniDB)",Movie,1.0,Finished Airing,1925-01-01,,Unknown,Unknown,Unknown,Original,Slice of Life,Unknown,Unknown,,G - All Ages,,,150112.0,17405,208,0
23267,Osaru no Tairyou,お猿の大漁,Unknown,Unknown,Movie,1.0,Finished Airing,1933-12-01,,Unknown,Unknown,Unknown,Original,Slice of Life,Unknown,Unknown,9.0,G - All Ages,5.131,251.0,121572.0,13518,581,0
23003,Tanoshii Bunmeishi: Tetsu Monogatari,たのしい文明史 鉄ものがたり,Unknown,Unknown,Movie,1.0,Finished Airing,1962-04-22,,Unknown,Unknown,Toei Animation,Original,Slice of Life,Historical,Unknown,25.0,G - All Ages,,,154342.0,15449,339,0
23005,Mogura no Motoro,もぐらのモトロ,Unknown,Unknown,Movie,1.0,Finished Airing,1962-07-19,,Unknown,Unknown,Toei Animation,Unknown,Slice of Life,Unknown,Unknown,13.0,G - All Ages,,,135532.0,14912,385,1
1982,Osu,おす,Male,"A cat just wants some alone time with his girl, but is interrupted by his stressed owner. Can't those stupid humans just keep things like relationships simple?",Movie,1.0,Finished Airing,1962-11-05,,Unknown,Unknown,Mushi Production,Original,Slice of Life,Unknown,Unknown,3.0,PG-13 - Teens 13 or older,5.191,2023.0,120062.0,8663,3365,1
13083,Fushigi na Kusuri,ふしぎなくすり,Unknown,Puppet animation by Tadanari Okamoto.,Movie,1.0,Finished Airing,1965-01-01,,Unknown,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,Unknown,15.0,G - All Ages,5.381,283.0,115162.0,13558,573,0
1547,Obake no Q-tarou,オバケのＱ太郎,Unknown,"Q-taro, a monster, is living with the Ohara family. He can fly and make his body transparent, but he cannot turn his body into other things like other monsters do. He is a scattered mind, and he always makes mistakes and causes trouble.

(Source: AnimeNfo)",TV,96.0,Finished Airing,1965-08-29,1967-06-28,Unknown,Unknown,Shin-Ei Animation,Manga,"Comedy, Slice of Life, Supernatural",School,Unknown,25.0,G - All Ages,6.021,163.0,89662.0,12813,739,0
13085,Kitsutsuki Keikaku,キツツキ計画,Unknown,Puppet animation by Tadanari Okamoto.,Movie,1.0,Finished Airing,1966-01-01,,Unknown,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,Unknown,15.0,G - All Ages,5.101,227.0,122282.0,14053,488,1
8719,Donna Donna,ドナ ドナ,Unknown,"A calf goes to a new home while memories of happiness flash by.

This is a 1966 Japanese version of an old 1938 Yiddish folk song that was featured in NHK's Minna no Uta.",Music,1.0,Finished Airing,1966-02-11,,NHK,Unknown,Unknown,Music,Slice of Life,Music,Kids,2.0,G - All Ages,5.171,214.0,120752.0,14375,438,0
8661,Chimuchimucheri ChimChimCheree,チムチムチェリー ChimChimCheree,Unknown,"The life of a chimney sweep in a song. This is the Japanese version of the 1964 Academy Award song Chim Chim Cher-ee that was originally sung by Dick Van Dyke and Julie Andrews in the movie 'Mary Poppins"". Given the anime treatment by graphic artist and animator Tadanori Yokoo and shown in the Minna no Uta segment of NHK programming.
",Music,1.0,Finished Airing,1966-04-05,,NHK,Unknown,Unknown,Music,Slice of Life,Music,Kids,2.0,G - All Ages,4.721,412.0,127402.0,12852,730,1
10813,Alps no Shoujo Heidi Pilot,アルプスの少女ハイジ パイロット版,Unknown,Pilot episode of the famous anime Heidi.,Special,1.0,Finished Airing,1967-01-01,,TCJ,Unknown,Unknown,Unknown,"Comedy, Drama, Slice of Life",Unknown,Unknown,5.0,G - All Ages,5.261,434.0,118342.0,11642,1104,1
