anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
7498,Doubutsu Olympic Taikai,動物オリムピック大會,The Animal Olympics,Animals gather to compete in Olympic games. This animation was inspired by the 1928 Olympic Games held in Amsterdam.,Movie,1.0,Finished Airing,1928-09-04,,Unknown,Unknown,Unknown,Original,"Comedy, Sports",Unknown,Unknown,13.0,G - All Ages,5.441,524.0,112962.0,11774,1057,0
5826,Oira no Yakyuu,おい等の野球,Our Baseball Match,Movie from 1930 about a baseball game between rabbits and tanuki. ,Movie,1.0,Finished Airing,1930-03-01,,Unknown,Unknown,Unknown,Original,Sports,Team Sports,Unknown,9.0,G - All Ages,5.361,1033.0,115822.0,10362,1826,0
23759,Oira no Ski,おい等のスキー,My Ski Trip,Animated short features bunnies and tanuki having wacky hijinks while going skiing. ,Movie,1.0,Finished Airing,1930-03-07,,Unknown,Unknown,Unknown,Original,"Comedy, Sports",Unknown,Unknown,9.0,G - All Ages,5.121,449.0,121672.0,12174,917,0
5814,Dankichi-jima no Olympic Taikai,ダン吉島のオリムピック大会,Olympic Games on Dankichi Island,Short movie from 1932.,Movie,1.0,Finished Airing,1932-01-01,,Unknown,Unknown,Unknown,Original,"Action, Sports",Unknown,Unknown,2.0,G - All Ages,4.291,759.0,129852.0,11208,1315,0
5872,Doubutsu Mura no Sports Day,動物村のスポーツデー,Sports Day at Animal Village,Short movie from 1932.,Movie,1.0,Finished Airing,1932-01-01,,Unknown,Unknown,Unknown,Original,"Action, Sports",Unknown,Unknown,8.0,G - All Ages,5.021,552.0,123422.0,11944,991,2
6840,Maabou no Daikyousou,マー坊の大競争,Mabo's Big Race,A boy competes in various events during the Olympic games.  Short film from 1936.,Movie,1.0,Finished Airing,1936-01-01,,Unknown,Unknown,Unknown,Original,"Comedy, Sports",Unknown,Unknown,1.0,G - All Ages,4.571,560.0,128632.0,11833,1037,0
6842,Oyoge ya Oyoge,泳げや泳げ,"Swim, Monkey, Swim!","The animals are having a swimming contest. The strutting Saru-kun, a monkey, can't bring himself to admit that he cannot swim, and puts himself forward as a contestant. He dives right in, but immediately starts to sink. For some reason the bottom of the pool is littered with seaweed and coral, and a kappa, a type of water imp, also lives down there. Saru-kun fights with the kappa, and manages to seize the saucer off its head. The kappa agrees to let Saru-kun ride on his back while he swims, in exchange for the return of his saucer. Saru-kun then cruises right through the pool, looking for all the world like he is swimming under his own power, and wins the race successfully. But what happens in the end?

(Source: Digital Meme)",Movie,1.0,Finished Airing,1939-01-01,,Unknown,Unknown,Unknown,Original,Sports,Unknown,Unknown,10.0,G - All Ages,4.941,390.0,124732.0,12837,734,1
28035,Kitsune no Home Run Ou,きつねのホームラン王,Seventh Inning Stretch,"Two animal baseball teams, The Foxes and The Rabbits, battle it out on the field for supremacy. Eventually, the star hitter for The Foxes finds himself up at bat and the final hope for his team's victory. However, he finds himself distracted by a lovely female fox cheering for him from the bleachers and he takes his eye off the last ball.

Produced as a short film in September 1949 by Kindaieigasha Co.,Ltd., ""Kitsune no Homerun-O"" (Fox, The Home Run King) was directed by Satoshi Morino with animation by Kazue Saku And Terada Noboru.

In 1957, it was imported by East-West TV Inc. and dubbed into English (using one voice as a narrator, but retaining the original Japanese voices for the animal characters) and released as ""Seventh Inning Stretch"" by Medallion TV for syndication in the US. 

(Source: AniDB)",Movie,1.0,Finished Airing,1949-09-01,,Unknown,Unknown,Unknown,Original,Sports,Team Sports,Kids,8.0,G - All Ages,5.001,234.0,123962.0,13829,525,1
5834,Kyojin no Hoshi,巨人の星,Unknown,"The story is about Hyuma Hoshi, a promising young baseball pitcher who dreams of becoming a top star like his father Ittetsu Hoshi in the professional Japanese league. His father was once a 3rd baseman until he was injured in World War II and was forced to retire. The boy would join the ever popular Giants team, and soon he realized the difficulty of managing the high expectations. From the grueling training to battling the rival Mitsuru Hanagata on the Hanshin Tigers, he would have to take out his best pitching magic to step up to the challenge.

(Source: Wikipedia)",TV,182.0,Finished Airing,1968-03-30,1971-09-18,"Tokyo Movie Shinsha, Yomiuri Telecasting",Unknown,TMS Entertainment,Manga,"Drama, Sports",Team Sports,Unknown,25.0,G - All Ages,6.871,384.0,44792.0,9585,2404,6
17671,Animal 1,アニマル１,Unknown,"Ichirou Azuma, a young amateur wrestler, wants to participate in the Olympics Games in Mexico.

(Source: ANN)",TV,27.0,Finished Airing,1968-04-01,1968-09-30,Mushi Production,Unknown,Unknown,Unknown,Sports,Combat Sports,Unknown,22.0,PG-13 - Teens 13 or older,,,168182.0,13381,608,1
17441,Kyojin no Hoshi: Chizome no Kesshousen,巨人の星 血ぞめの決勝戦,Unknown,First Kyojin no Hoshi movie.,Movie,1.0,Finished Airing,1969-07-26,,Tokyo Movie Shinsha,Unknown,Unknown,Unknown,"Drama, Sports",Team Sports,Unknown,90.0,G - All Ages,,,194512.0,14480,429,0
3009,Tiger Mask,タイガーマスク,Tiger Mask,"Tiger Mask (whose real name was Naoto Date) was a feared heel wrestler in America who was extremely vicious in the ring. However, he became a face after returning to Japan when a young boy said that he wanted to be a villain like Tiger Mask when he grew up. The boy resided in an orphanage, the same one that Tiger Mask grew up in during his childhood. Feeling that he did not want the boy to idolize a villain, Tiger was inspired to be a heroic wrestler.

The main antagonist in the manga and anime was Tigers' Den, a mysterious organization that trained young people to be villainous heel wrestlers on the condition that they gave half of their earnings to the organization. Tiger Mask was once a member of Tigers' Den under the name ""Yellow Devil"", but no longer wanted anything to do with them, instead donating his money to the orphanage. This infuriated the leader of the organization and he sent numerous assassins, including other professional wrestlers, to punish him.

(Source: Wikipedia) ",TV,105.0,Finished Airing,1969-10-02,1971-09-30,Unknown,Unknown,Toei Animation,Manga,"Action, Drama, Sports",Combat Sports,young boy,23.0,PG-13 - Teens 13 or older,7.251,3731.0,27182.0,5831,9500,64
19973,Ashita no Joe Pilots,あしたのジョー パイロットフィルム,Unknown,Pilot episodes.,Special,2.0,Finished Airing,1969-11-06,1969-12-22,Unknown,Unknown,Mushi Production,Unknown,"Drama, Sports",Combat Sports,young boy,10.0,PG-13 - Teens 13 or older,6.171,1884.0,81462.0,7831,4584,4
