anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
7495,Nonki na Tou-san Ryuuguu Mairi,ノンキナトウサン竜宮参り,Unknown,"One of the first examples of the tale is Hakuzan Kimura's Dreamy Urashima (Nonkinatousan Ryugu Mairi, 1925), in which a lazy man wakes up from his sleep and heads off to the seaside to spend the day fishing. There is a brief live-action shot of the sea swelling before the film returns to its animated fantasy world when a beautiful girl appears on the beach and lures him into the waves, transforming into the legendary turtle and carrying him beneath the surface to an undersea kingdom of fish and squid. Here he is welcomed by a bevy of kimono-wearing lovelies who lead him to a stately court full of musicians and dancers. As a ballerina pirouettes on the palace floor in front of him, he is plied with alcohol and handed a small gift box, before being escorted to a giant scallop shell that rises through the water taking him back to the surface. When he returns home, he finds he has aged so much that his wife and son no longer recognise him. He opens the gift box and a hideous demon springs from it and squashes him beneath its fists, at which point the man wakes up, and realising that the events of this story have all been a terrible nightmare, hurries out to work, alerted to the potential dangers of a life spent in idle daydreaming.

(Source: midnighteye.com)",Movie,1.0,Finished Airing,1925-01-01,,Unknown,Unknown,Unknown,Other,Supernatural,Unknown,Unknown,5.0,G - All Ages,,,139202.0,16552,259,1
3930,Issunboushi no Shusse,一寸法師ノ出世,The Tiny One Makes It Big,Anime short from 1929.,Movie,1.0,Finished Airing,1929-01-01,,Unknown,Unknown,Unknown,Original,Supernatural,Unknown,Unknown,1.0,G - All Ages,4.461,775.0,129232.0,11097,1364,1
35401,Hyaku-nengo no Aru Hi,百年後の或る日,A Day after a Hundred Years,"Mr. Ogino should have died during the war but his spirit was brought back to life by the power of science. He sees the world 100 years later during the year 2032 lead by one of his descendants. They decide to take a trip to Mars too and the ship malfunctions, because a spirit of the past was on the ship, it went out of control trying to reach Buddha's paradise instead.",Movie,1.0,Finished Airing,1933-01-01,,Unknown,Unknown,Unknown,Original,"Sci-Fi, Supernatural",Military,Unknown,11.0,G - All Ages,5.431,197.0,113572.0,14729,402,0
35399,Kamishibai Itazura Tanuki no Maki,紙芝居 いたづら狸の卷,Rascal Racoon,A tanuki causes mischief at a temple.,Movie,1.0,Finished Airing,1933-01-01,,Unknown,Unknown,Unknown,Other,"Action, Supernatural",Historical,Unknown,5.0,G - All Ages,5.521,224.0,110342.0,14102,478,0
3929,Ugokie Kori no Tatehiki,動絵狐狸達引,Unknown,Movie from 1933. Fox spirit turns into a samurai and picks on a racoon spirit. The racoon spirit gets his father and they team up against the fox spirit.,Movie,1.0,Finished Airing,1933-12-31,,Unknown,Unknown,Unknown,Original,"Comedy, Supernatural",Unknown,Unknown,11.0,G - All Ages,5.611,674.0,107152.0,11235,1302,1
6832,Shoujouji no Tanuki-bayashi Ban Danemon,證城寺の狸囃子 塙団右衛門,Danemon's Monster Hunt at Shojoji,"A young samurai accepts a job to clear out a haunted castle, only to find it inhabited by beautiful women. The women are secretly a group of tanuki that try to divert the young warrior from his mission. 

(Source: AniDB)",Movie,1.0,Finished Airing,1935-01-01,,Unknown,Unknown,Unknown,Original,Supernatural,Unknown,Unknown,9.0,G - All Ages,5.091,718.0,122432.0,11173,1331,1
6831,Hinomaru Hatanosuke: Bakemonoyashiki no Maki,日の丸旗之助～化物屋敷の巻～,Hatanosuke and the Haunted House,Short film where the hero Hatanosuke battles ghosts and monsters in a haunted house.,Movie,1.0,Finished Airing,1935-01-01,,Unknown,Unknown,Unknown,Original,Supernatural,Unknown,Unknown,1.0,G - All Ages,4.711,527.0,127482.0,11724,1076,1
17076,Chagama Ondo,茶釜音頭,Unknown,"The first full cel-animated short. A group of tanukis investigate a temple and cause mischief.

(Source: AniDB)",Movie,1.0,Finished Airing,1935-03-19,,Unknown,Unknown,Unknown,Original,"Comedy, Supernatural",Unknown,Unknown,6.0,G - All Ages,4.901,553.0,125302.0,11678,1094,0
23639,Kappa Kawatarou,かっぱ川太郎,Unknown,"A kappa village is devastated by a large storm during festival preparations. With no fish in the river, the village is weakened. Kawatarou and his girlfriend head the mountains to find anything to bring back.",Movie,1.0,Finished Airing,1954-04-01,,The National Film Center Japan,Unknown,Unknown,Original,Supernatural,Unknown,Kids,18.0,G - All Ages,5.441,152.0,113022.0,14551,420,0
7531,Onbu Obake,おんぶおばけ,Unknown,Unknown,Movie,1.0,Finished Airing,1955-12-26,,Yomiuri Telecasting,Unknown,Unknown,Original,Supernatural,Unknown,Unknown,25.0,G - All Ages,,,140512.0,14774,397,0
