anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
5267,Gamba no Bouken,ガンバの冒険,Adventure of Gamba,An adventurous wild mouse called Gamba travels with his friends to see the ocean but he finds an injured mouse and hears about the violence of white ferret Noroi. Gamba decides to help the mice suffering under Noroi's tyranny.,TV,26.0,Finished Airing,1975-04-07,1975-09-29,Nippon Television Network,Unknown,Tokyo Movie Shinsha,Novel,"Adventure, Suspense",Anthropomorphic,Kids,24.0,G - All Ages,7.231,1113.0,28232.0,8447,3659,25
3064,Kizuoibito,傷追い人,Wounded Man,"Yuko Kusaka is a Japanese journalist sent to Brazil to do a report on the gold rush phenomenon that seems to be making many people rich from night to day. Rumors say that among the many ""garimpeiros"" (gold diggers) currently on the Amazon forest, there is a Japanese known as Rio Baraki. Reaching their destination, her crew member is promptly attacked and she is raped as a warning to stop their work and return immediately to their home country. Determined to do her job, she stays and finds out from the attacker that he is none other than Baraki, a white haired muscular man with a large scar on his back. Later she discovers that his real name is Keisuke Ibaraki. Once a promising quarterback, he ended up falsely incriminated by a powerful organization known as GPX.

(Source: ANN)",OVA,5.0,Finished Airing,1986-07-05,1988-08-25,Unknown,Unknown,Magic Bus,Manga,"Action, Adventure, Suspense",Unknown,teenager,35.0,R+ - Mild Nudity,4.171,619.0,130192.0,10244,1902,5
1346,AD Police,ADポリス,AD Police Files,"The year is 2027 in MegaTokyo, six years before the Knight Sabers will make their debut. Boomers (artificial humans) are still a relatively new advancement, and the implementation and integration of boomers into society is still a bit buggy -- sometimes fatally so. Whenever a boomer incident occurs, though, there is the Advanced Police, a special force trained to deal with boomer crimes.

Leon McNichol is a rookie in the AD Police, and is just starting to become exposed to the horrors and tragedies one finds every day in MegaTokyo. He and his veteran partner, Gina Marceau, slowly learn about the ever-fading line that separates man from machine. ",OVA,3.0,Finished Airing,1990-05-25,1990-11-22,"Youmex, Bandai",AnimEigo,"AIC, Artmic",Original,"Adventure, Horror, Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Gore, Mecha, Psychological",Unknown,27.0,R+ - Mild Nudity,6.241,6028.0,78272.0,4745,15961,14
1451,Shuranosuke Zanmaken: Shikamamon no Otoko,修羅之介斬魔劍 死鎌紋の男,Sword for Truth,"Shurannosuke Sakaki is a masterless samurai with a razor-sharp katana and a cold-hearted personality. Whenever you see the mark of two crossed scythes on his back, death is sure to follow. Because of his exceptional swordsmanship, Shurannosuke is hired by the Nakura Clan to rescue Princess Mayu from the Seki Ninja. In this mission, he must use his full potential to survive the Seki Ninja's notorious henchmen. 

(Source: ANN)",OVA,1.0,Finished Airing,1990-12-28,,Toei Video,Manga Entertainment,Magic Bus,Novel,"Action, Supernatural, Suspense",Historical,Unknown,51.0,R+ - Mild Nudity,4.691,2120.0,127752.0,8057,4250,2
4927,Tomoe ga Yuku!,巴がゆく!,Unknown,"The title character of Tomoe ga Yuku! (Tomoe Will Go!) is gutsy enough to roller skate down freeways for thrills. After losing a friend in a roller skating accident, Tomoe joins a stunt group called Green Ship. Although still mourning her friend's death, Tomoe has no reservations about embracing a relationship with the group's leader, Kazusa. Soon she discovers Green Ship is a front for an assassin training camp. She must flee her new life and love and rekindle her fiery spirit in order to fight against the organization which wants her dead.

(Source: Animerica Extra December 2001)",OVA,2.0,Finished Airing,1991-10-21,1992-01-21,Movic,Unknown,animate Film,Manga,"Action, Drama, Romance, Suspense",Unknown,young girl,44.0,R - 17+ (violence & profanity),5.251,348.0,118732.0,11318,1258,2
619,Ninja Ryuukenden,忍者龍剣伝,Unknown,"On a dark, late night in New York City, Ryu is chased and attacked by assassins. After disposing of them, he finds an I.D. card for the Friedman Company. The next day, it is announced that Dr. Ned Friedman has discovered a cure for cancer. But after providing no information at his press conference, a reporter named Sarah decides to investigate with the help of her friends Robert and Jeff. When passing by Dr. Friedman's house one day, Ryu hears the voice of a young girl calling for help. When Sarah and her entourage investigate the house as well, they run into their colleague, Ryu. Upon that, they discover Dr. Friedman has been conducting experiments on live humans using biotechnology, and that it may have something to do with the power of the Evil Gods, whom Ryu had defeated in the past. But when Ryu's friend, Irene, is kidnapped, he must dawn his role as a Dragon Ninja once again to defeat this new enemy and save her. 

(Source: ANN)",OVA,1.0,Finished Airing,1991-11-22,,Unknown,Unknown,Studio Junio,Game,"Action, Sci-Fi, Supernatural, Suspense",Mythology,Unknown,48.0,R - 17+ (violence & profanity),5.641,2012.0,105962.0,7945,4402,3
43909,Shei Pa Shei,谁怕谁,Unknown,Unknown,Movie,1.0,Finished Airing,1992-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Original,Suspense,Unknown,Kids,8.0,G - All Ages,,,148552.0,20330,45,0
35158,Warau Salesman Special Program,笑ゥせぇるすまん 特別番組,Unknown,"A special program of Warau Salesman, these episodes were released in a blast format on 3 days in a nearly 2 hour long timeslot each. The individual episodes have their own OPs. The first blast release differed from the main series by having live-action footage of real locations in Japan before delving into the story for each episode. The 2nd had Moguro with the Master interacting with the viewer as if behind the scenes for a studio before delving into each episode. And the 3rd had Moguro and the Master playing outside in the snow as if reporting on an on-location event to the viewer before delving into each episode.",Special,14.0,Finished Airing,1992-12-26,1993-12-28,Unknown,Unknown,Shin-Ei Animation,Manga,"Supernatural, Suspense","Adult Cast, Psychological",teenager,17.0,PG-13 - Teens 13 or older,6.161,236.0,82192.0,12668,779,0
1520,Black Jack,ブラック・ジャック,Black Jack,"Kuroo Hazama, also known as ""Black Jack,"" is a legend in the medical world. Famous for being one of the best, as well as not having a license, Hazama and his assistant Pinoko save countless lives that other doctors cannot... for a price; an exorbitant price, in fact, which causes many to view the genius as greedy and heartless. Despite these claims, however, none can deny his skill and the lengths that he will go to treat his patients. This dark medical drama tells the story of the ominous and mysterious world of underground medicine as Black Jack risks his life to cure some of the most bizarre diseases imaginable, even if it means breaking every law in the process.

[Written by MAL Rewrite]",OVA,12.0,Finished Airing,1993-12-21,2011-12-16,"Animax, Akita Shoten",Central Park Media,Tezuka Productions,Manga,"Drama, Mystery, Suspense","Medical, Psychological",Unknown,50.0,PG-13 - Teens 13 or older,7.741,11002.0,10082.0,3224,36511,310
52924,Atama,ATAMA,Unknown,Short animation by Keita Kurosaka for MTV Japan.,Special,1.0,Finished Airing,1994-01-01,,Unknown,Unknown,Unknown,Original,"Avant Garde, Horror, Suspense","Gore, Psychological",Unknown,23.0,R - 17+ (violence & profanity),,,169112.0,20145,49,0
