ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
39634,Boy General,소년장수,Boy General,"The brave young warrior Seo-Me defeats the SeoGuk invaders. After defeating Hobi, Seo-Me and his comrades return home. Meanwhile Hobi survived after falling and some people rescued him out.",TV,50.0,Finished Airing,1982,1997,Unknown,Unknown,SEK Studios,Unknown,"Action, Drama","Historical, Military",Unknown,20.0,G - All Ages,,,171692.0,18730,128,0,1982.0
31700,Xiao Taiji,小太極,Taichi Kid,Unknown,TV,14.0,Finished Airing,1999,Not Available,Unknown,Unknown,Unknown,Unknown,Action,Martial Arts,Kids,22.0,G - All Ages,,,161362.0,16751,245,0,1999.0
10194,Bada-ui Jeonseol Jangbogo,바다의 전설 장보고,The Legend of Blue,"In a not too distant future, the government sends a particular earthly force of mercenaries to the ocean aboard a high-tech submarine to be named dragon. Led by the young and able captain Jang, the crew of this ship will face powerful mafias that seek to take control of the seas for purposes not entirely clear. A common appearance adventure takes an unexpected and exciting course when you start to reveal that deep things are not as it seems Mysteries and higher forces become part of history when Jang and his team discovered the legendary golden ship. In this Miterio boat hides much of the secrets that pripulantes the Dragon is must be clearer. All this while waging exciting battles where strategy and courage make a difference. Undoubtedly, the most striking of this intriguing anime series is that it was not made in Japan but in Korea. This country has been instrumental in the technical development of Japanese animation for this last ten years, providing support and manpower to the genre's most important productions. Produced by the prestigious firm seoulmovie. Legend Of Blue accomplished.

(Source: Translated from mcanime.net/foro/viewtopic.php?p=1981317)",TV,26.0,Finished Airing,2002,Not Available,Unknown,Unknown,Unknown,Unknown,"Action, Adventure, Comedy, Mystery",Unknown,Unknown,25.0,G - All Ages,5.981,187.0,91592.0,12447,839,5,2002.0
43868,Baiyu Tang,白玉堂,Unknown,Unknown,TV,52.0,Finished Airing,2002,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,"Action, Drama","Historical, Martial Arts",Kids,22.0,G - All Ages,,,169902.0,20554,38,0,2002.0
8999,Origami Warriors,摺紙戰士,Unknown,"Wang Ji-Cheol and his four friends are strong and brave Origami Warriors. He and the others are planning to save the whole entire world with the power he and his friends have. Join Ji-Cheol and his four friends in their adventure to save the Earth. 

With the help of many people, Ji-Cheol feels more strong. One day, the end of the world came and Ji-Cheol himself transform into a strong dragon for his sake to save the world. His friends also help him. And at last, they became the heroes of the world because of their courage.",TV,52.0,Finished Airing,2004,Not Available,SBS TV Production,Unknown,Unknown,Unknown,"Action, Adventure",Unknown,Unknown,30.0,None,6.381,141.0,70762.0,14313,448,0,2004.0
19547,Beompeoking Jaepeo,범퍼킹 재퍼,Unknown,Bumper King Zapper is a 3D animation series about bumper car battles of the future.,TV,26.0,Finished Airing,2004,Not Available,Unknown,Unknown,Daewon Media,Unknown,Action,Racing,Unknown,30.0,None,,,170742.0,15566,327,1,2004.0
48331,Chuldong! Robot V,출동! 로봇 V,Unknown,Unknown,TV,13.0,Finished Airing,2004,Not Available,Unknown,Unknown,Unknown,Original,"Action, Sci-Fi",Mecha,Kids,24.0,PG - Children,,,174232.0,19579,68,0,2004.0
30060,Chi Jian Chuanqi,赤剑传奇,Crimson Sword Quest,A Chinese CGI series.,TV,26.0,Finished Airing,2006,Not Available,Unknown,Unknown,Unknown,Unknown,"Action, Adventure, Fantasy",Unknown,Unknown,20.0,PG - Children,,,173182.0,17100,225,0,2006.0
48322,Jouiseon-in,조의선인,Warriors in Black,Unknown,TV,,Finished Airing,2008,Unknown,Unknown,Unknown,Unknown,Original,"Action, Fantasy",Unknown,Kids,13.0,G - All Ages,,,188472.0,19809,57,0,2008.0
45815,Qihuan Long Bao,奇幻龙宝,Jackie Chan's Fantasia,Unknown,TV,52.0,Finished Airing,2009,Not Available,Unknown,Unknown,Unknown,Original,"Action, Adventure, Sci-Fi",Martial Arts,Kids,12.0,PG - Children,,,144552.0,19356,83,0,2009.0
