ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
51304,FLCL: Grunge,Unknown,Unknown,Unknown,TV,,Not yet aired,2023,Unknown,Unknown,Unknown,MontBlanc Pictures,Original,"Action, Avant Garde, Comedy, Sci-Fi","Mecha, Parody",Unknown,,PG-13 - Teens 13 or older,,,,4592,17338,107,2023.0
40333,Uzumaki,うずまき,Uzumaki Spiral into Horror,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a snail shell in an alley. Thinking nothing of it, she mentions the incident to Shuuichi, who says that his father has been acting weird lately. Shuuichi reveals his rising desire to leave the town with Kirie, saying that the town is infected with spirals.

But his father's obsession with the shape soon proves deadly, beginning a chain of horrific and unexplainable events that causes the residents of Kurouzu-cho to spiral into madness.

[Written by MAL Rewrite]",TV,4.0,Not yet aired,2023,Unknown,Production I.G,Unknown,Drive,Manga,"Avant Garde, Drama, Horror, Romance, Supernatural",Psychological,teenager,,None,,,,2003,85241,307,2023.0
323,Mousou Dairinin,妄想代理人,Paranoia Agent,"The infamous Shounen Bat (Lil' Slugger) is terrorizing the residents of Musashino City. Flying around on his rollerblades and beating people down with a golden baseball bat, the assailant seems impossible to catch—much less understand. His first victim, the well-known yet timid character designer Tsukiko Sagi, is suspected of orchestrating the attacks. Believed only by her anthropomorphic pink stuffed animal, Maromi, Tsukiko is just one of Shounen Bat's many victims.

As Shounen Bat continues his relentless assault on the town, detectives Keiichi Ikari and Mitsuhiro Maniwa begin to investigate the identity of the attacker. However, more and more people fall victim to the notorious golden bat, and news of the assailant begins circulating around the town. Paranoia starts to set in as chilling rumors spread amongst adults and children alike.

Will the two detectives be able to unravel the truth behind Shounen Bat, or will the paranoia get to them first?

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Feb 3, 2004","May 18, 2004","WOWOW, Asmik Ace, Tohokushinsha Film Corporation","Funimation, Geneon Entertainment USA",Madhouse,Original,"Avant Garde, Drama, Mystery, Supernatural, Suspense","Detective, Psychological",Unknown,24.0,R+ - Mild Nudity,7.671,144881.0,11622.0,514,371473,4932,2004.0
50599,Yami Shibai 10,闇芝居 十期,Theatre of Darkness Yamishibai 10,Tenth season of Yami Shibai,TV,13.0,Finished Airing,"Jan 10, 2022","Apr 4, 2022",Unknown,Unknown,ILCA,Original,"Avant Garde, Horror, Supernatural",Unknown,Unknown,4.0,PG-13 - Teens 13 or older,6.121,2449.0,84712.0,6599,6998,40,2022.0
31994,Yami Shibai 3,闇芝居 3期,Theatre of Darkness Yamishibai 3,"A young boy silently sketches out the forms of the horrors that dwell in his mind. During this adventure into the occult and mysterious, he tells tales that involve dreams of a person with a muscular arm that you must not look at, a hospital with a room that holds a grim secret, and a visit to an eerily silent taxidermy museum.

These tales and more are compiled in Yami Shibai 3. Presented in an art style similar to kamishibai storytelling, this horror series stays true to the gruesome and creepy trend that is prominent in Yami Shibai and Yami Shibai 2nd Season.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Jan 11, 2016","Apr 4, 2016",TV Tokyo,Unknown,ILCA,Original,"Avant Garde, Horror, Supernatural",Unknown,Unknown,4.0,PG-13 - Teens 13 or older,6.331,19259.0,73212.0,3322,34824,39,2016.0
44208,Yami Shibai 8,闇芝居 8期,Theatre of Darkness Yamishibai 8,"Once again, the mysterious storyteller draws in the ears of any willing to listen to his macabre tales of madness—ones that could happen to anyone, no matter who they might be.

The ghastly stories delve into the cases of teenagers testing their courage at an abandoned home; children navigating nefarious family traditions; malicious apparitions haunting the lives of innocent people; individuals helplessly watching their loved ones slowly go insane; a woman growing increasingly concerned when her husband's behavior changes after eating something odd; and an evil snowman or two. These chilling tales promise to leave no soul unstirred in the most disturbing way yet.

[Written by MAL Rewrite]
",TV,13.0,Finished Airing,"Jan 11, 2021","Apr 5, 2021","TV Tokyo, Toho Interactive Animation",Unknown,"ILCA, DRAWIZ",Original,"Avant Garde, Horror, Supernatural",Unknown,Unknown,4.0,PG-13 - Teens 13 or older,5.761,5130.0,101102.0,5136,13045,23,2021.0
34467,Yami Shibai 4,闇芝居 4期,Theatre of Darkness Yamishibai 4,"Excited children gather around the enigmatic masked Storyteller once more. His unique kamishibai storytelling draws them into tales of fear and dread. These are dark and foreboding stories, which could happen to anyone...

This season has tales of a salaryman who buries a dead cat, only to be haunted soon after; a college student and her cheap new apartment that hides a ghastly secret; boys exploring an abandoned haunted house before coming across a strange fish tank; a man who finds himself on the wrong bus, and in more danger than he thought possible; and a young couple's visit to an amusement park, which suddenly takes a dark turn. All these stories and more await in Yami Shibai 4.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Jan 16, 2017","Mar 27, 2017",TV Tokyo,Unknown,ILCA,Original,"Avant Garde, Horror, Supernatural",Unknown,Unknown,4.0,PG-13 - Teens 13 or older,5.791,14076.0,100052.0,3751,27100,10,2017.0
6560,Popee the Performer,POPEE the ぱフォーマー,Popee the Clown,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle.

[Written by MAL Rewrite]
",TV,39.0,Finished Airing,"Jan 3, 2000","Dec 28, 2001","Kids Station, Nippon Columbia",Unknown,Unknown,Original,"Avant Garde, Comedy",Unknown,Unknown,4.0,R - 17+ (violence & profanity),7.241,3948.0,27712.0,5888,9316,257,2000.0
37451,Boogiepop wa Warawanai (2019),ブギーポップは笑わない,Boogiepop and Others,"Hushed exchanges among the female student populace of Shinyo Academy center around an enigmatic supernatural entity. This entity is Boogiepop, a Shinigami who is rumored to murder people at the height of their beauty before their allure wanes. Few know of his true nature: a guardian who, between periods of dormancy, manifests as the alter ego of a high school girl named Touka Miyashita to fend off ""the enemies of the world."" Now, a string of mysterious disappearances—presumed by the school to be merely runaways—has caused Boogiepop to awaken. But somewhere in the academy, a menacing creature hides, waiting for its opportune moment to strike.

Boogiepop wa Warawanai subtly explores the intrinsic associations between human beings and their perception of time, while delving into its characters' complex relationships, emotions, memories, and pasts.

[Written by MAL Rewrite]",TV,18.0,Finished Airing,"Jan 4, 2019","Mar 29, 2019","AT-X, Kadokawa Media House, Kadokawa",Funimation,Madhouse,Light novel,"Avant Garde, Drama, Horror, Mystery, Supernatural",Psychological,Unknown,23.0,R - 17+ (violence & profanity),7.081,63640.0,35312.0,962,211089,763,2019.0
369,Boogiepop wa Warawanai,ブギーポップは笑わない Boogiepop Phantom,Boogiepop Phantom,"Five years ago, a string of grisly murders shook the city to its core and now the rumors have begun once more. Boogiepop... Everyone knows about Boogiepop: meet her one dark night and you are taken. People tell each other the stories and laugh: no one believes that she can possibly exist in this day and age. Still, strange things appear to be going on and the darkness is taking on many forms. Something is out there. Are you safe?

(Source: RightStuf)",TV,12.0,Finished Airing,"Jan 5, 2000","Mar 22, 2000","VAP, d-rights",Nozomi Entertainment,"Madhouse, Triangle Staff",Light novel,"Avant Garde, Drama, Horror, Mystery, Supernatural",Psychological,Unknown,24.0,R+ - Mild Nudity,7.151,31023.0,32272.0,1560,119527,947,2000.0
