ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
29527,Kagee Mukashibanashi,影絵むかし話,Unknown,The 1st arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Japanese fairy tale told with shadow puppet animation. ,TV,65.0,Finished Airing,1976,1979,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology, Samurai",Kids,15.0,G - All Ages,,,189072.0,15503,334,0,1976.0
29529,Kagee Aesop Monogatari,影絵イソップ物語,Unknown,The 2nd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Aesop fable told with shadow puppet animation. ,TV,26.0,Finished Airing,1978,Not Available,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189042.0,15674,320,0,1978.0
10236,Kagee Grimm Douwa,影絵グリム童話,Unknown,The 3rd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Brothers Grimm fairy tale told with shadow puppet animation.,TV,52.0,Finished Airing,1980,1981,Unknown,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189062.0,15235,356,0,1980.0
39634,Boy General,소년장수,Boy General,"The brave young warrior Seo-Me defeats the SeoGuk invaders. After defeating Hobi, Seo-Me and his comrades return home. Meanwhile Hobi survived after falling and some people rescued him out.",TV,50.0,Finished Airing,1982,1997,Unknown,Unknown,SEK Studios,Unknown,"Action, Drama","Historical, Military",Unknown,20.0,G - All Ages,,,171692.0,18730,128,0,1982.0
17893,Cheonbangjichuk Hani,천방지축 하니,Unknown,"Sequel of Dallyeola Hani.

Hany is a small tomboy and slightly troublesome teenager who lives life a bit carelessly on her own since her Father lives abroad due to work in the Middle East and her Mother died when she was very small. The only thing Hany is very good at is running~ fast!

(Source: Cute in Korea)",TV,13.0,Finished Airing,1988,1989,KBS,Unknown,Daewon Media,Unknown,"Comedy, Drama, Sports",School,Unknown,20.0,None,6.251,127.0,77422.0,14587,416,0,1988.0
43868,Baiyu Tang,白玉堂,Unknown,Unknown,TV,52.0,Finished Airing,2002,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,"Action, Drama","Historical, Martial Arts",Kids,22.0,G - All Ages,,,169902.0,20554,38,0,2002.0
47022,Mayi Gongzhu,蚂蚁公主,Unknown,Unknown,TV,26.0,Finished Airing,2011,Not Available,Unknown,Unknown,Unknown,Original,"Drama, Fantasy",Unknown,Kids,19.0,PG - Children,,,133302.0,19833,56,0,2011.0
49766,Under Ninja,アンダーニンジャ,Unknown,"A high school loner is given the part-time job of a lifetime as a modern day ninja tasked to perform international assassinations.

After World War II, Allied Command in Japan developed a new agency to help manage terrorism and violence within the Pacific region. The agency was staffed with ninja and they were initially tasked to handle domestic affairs. Eventually that program grew to its current form, managing 20,000 ninja across a range of domestic and international affairs. One of those ninjas happens to be Kudo. The seventeen-year-old high school loser is now poised to be the next line of defense against a potential surge in foreign assassins invading Tokyo. 

(Source: Denpa, edited)",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Unknown,Manga,"Action, Comedy, Drama, Slice of Life",Unknown,teenager,,None,,,,7761,4694,13,2023.0
49858,Shinigami Bocchan to Kuro Maid 2nd Season,死神坊ちゃんと黒メイド,The Duke of Death and His Maid 2nd Season,Second season of Shinigami Bocchan to Kuro Maid.,TV,,Not yet aired,2023,Unknown,NBCUniversal Entertainment Japan,Unknown,J.C.Staff,Manga,"Comedy, Drama, Supernatural",Romantic Subtext,Unknown,,PG-13 - Teens 13 or older,,,,3777,26686,92,2023.0
51179,Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,無職転生 ～異世界行ったら本気だす～,Mushoku Tensei Jobless Reincarnation 2nd Season,Second season of Mushoku Tensei: Isekai Ittara Honki Dasu.,TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Studio Bind,Light novel,"Drama, Fantasy, Ecchi","Isekai, Reincarnation",Unknown,,R - 17+ (violence & profanity),,,,1949,88883,439,2023.0
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,進撃の巨人 The Final Season完結編,Attack on Titan The Final Season Part 3,Unknown,TV,,Not yet aired,2023,Unknown,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise",Unknown,MAPPA,Manga,"Action, Drama","Gore, Military, Survival",young boy,,R - 17+ (violence & profanity),,,,1101,183687,1646,2023.0
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,ようこそ実力至上主義の教室へ,Unknown,3rd season of Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV).,TV,,Not yet aired,2023,Unknown,Kadokawa,Unknown,Unknown,Light novel,"Drama, Suspense","Psychological, School",Unknown,,PG-13 - Teens 13 or older,,,,2681,51734,198,2023.0
40333,Uzumaki,うずまき,Uzumaki Spiral into Horror,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a snail shell in an alley. Thinking nothing of it, she mentions the incident to Shuuichi, who says that his father has been acting weird lately. Shuuichi reveals his rising desire to leave the town with Kirie, saying that the town is infected with spirals.

But his father's obsession with the shape soon proves deadly, beginning a chain of horrific and unexplainable events that causes the residents of Kurouzu-cho to spiral into madness.

[Written by MAL Rewrite]",TV,4.0,Not yet aired,2023,Unknown,Production I.G,Unknown,Drive,Manga,"Avant Garde, Drama, Horror, Romance, Supernatural",Psychological,teenager,,None,,,,2003,85241,307,2023.0
