ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
52736,Tensei Oujo to Tensai Reijou no Mahou Kakumei,転生王女と天才令嬢の魔法革命,Unknown,"Despite her supposed ineptitude with regular magic, Princess Anisphia defies the aristocracy's expectations by developing ""magicology,"" a unique magical theory based on memories from her past life. One day, she witnesses the brilliant noblewoman Euphyllia unjustly stripped of her title as the kingdom's next monarch. That's when Anisphia concocts a plan to help Euphyllia regain her good name-which somehow involves them living together and researching magic! Little do these two ladies know, however, that their chance encounter will alter not only their own futures, but those of the kingdom...and the entire world!

(Source: Yen Press)",TV,,Not yet aired,2023,Unknown,Kadokawa,Unknown,Diomedéa,Light novel,"Comedy, Fantasy, Girls Love",Unknown,Unknown,,None,,,,9211,2769,17,2023.0
22123,Inugami-san to Nekoyama-san,犬神さんと猫山さん,Inugami-san to Nekoyama-san,"Yachiyo Inugami, a cat-loving extrovert, and Suzu Nekoyama, a dog-loving introvert, are unexpectedly cast into a relationship on a day like any other. The pair find themselves drawn together through an inexplicable attraction of their opposite personalities. As they quickly begin to understand one another, Inugami's hardened resolve to gain Nekoyama's favor only leads to frenzied responses. Soon after their momentous union, the two begin to spend more time with one another, growing closer all the while.

Their combined antics gain the attention of the mousy Mikine Nezu, a classmate of Inugami, and soon they join the ""biology"" club. There, they meet Ushikawa Ukiji, a passive, cow-like upperclassmen. Nezu and Nekoyama soon begin to build upon their relationship and a game of cat and mouse soon begins.

Wild, explosive, and vibrant, Inugami-san to Nekoyama-san tells the comedic tale of two high school girls and their less-than-normal relationship.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2014","Jun 27, 2014","DAX Production, Dream Creation",Unknown,Seven,4-koma manga,"Comedy, Girls Love",School,Unknown,3.0,PG-13 - Teens 13 or older,6.531,35482.0,62392.0,2168,73938,109,2014.0
555,Koutetsu Tenshi Kurumi 2,鋼鉄天使くるみ2式,Steel Angel Kurumi 2,"Taking place 75 years after the first series, Steel Angel Kurumi 2 brings the Steel Angels in a new mis-adventure. High school student and aspiring cellist Nako Kagura accidentally discovers and kisses Kurumi Mk. II at her home, thus making her Kurumi's master. But things go awry as Nako's best friend Uruka gets jealous and tries anything - including her father's army of top-secret mecha - to destroy Kurumi and win back Nako. Things get more out of control when Saki Mk. II is awakened by Uruka, and Karinka Mk. II joins in to steal Nako away from Kurumi. 

(Source: ANN)",TV,12.0,Finished Airing,"Apr 12, 2001","Jun 28, 2001","m.o.e., Pony Canyon",ADV Films,OLM,Original,"Comedy, Girls Love, Romance, Sci-Fi",Mecha,young boy,15.0,R+ - Mild Nudity,6.271,5207.0,76502.0,5397,11437,9,2001.0
879,Simoun,シムーン,Unknown,"In the peaceful theocracy of Simulicram, everyone is born female. At age 17, each maiden undergoes a special ceremony where she chooses her sex. However, only Pairs of maiden priestesses can synchronize with the ancient flying ships known as Simoun needed to defend Simulicram. These Pairs refrain from undergoing the ceremony as long as they wish to keep piloting their Simoun.

Aer is recruited to be a Simoun pilot after a terrifying attack by an enemy nation decimates the squadron known as Chor Tempest. To earn her wings she needs to find her way into the heart of Neviril, Regina of Chor Tempest. But Neviril's heart still belongs to her previous Pair, lost in the battle when she attempted a forbidden Simoun maneuver.

(Source: Media Blasters) ",TV,26.0,Finished Airing,"Apr 3, 2006","Sep 25, 2006","Bandai Visual, Sotsu, TV Tokyo Music",Media Blasters,Studio Deen,Original,"Drama, Fantasy, Girls Love, Romance",Military,Unknown,24.0,PG-13 - Teens 13 or older,7.431,11278.0,18962.0,3063,40130,418,2006.0
855,Strawberry Panic,ストロベリー・パニック,Strawberry Panic,"Nagisa Aoi begins her new school life as a transfer student at St. Miator’s Girls Academy, one of three prestigious all-girls institutions atop Astraea Hill. Getting lost on her first day, Nagisa encounters a mysterious student whose elegance and charm is so bewitching, she ends up in the infirmary.

There to greet her when she awakens is Tamao Suzumi, her roommate, who enthusiastically introduces Nagisa to the daily life and social structure on campus. Most notably, Tamao informs her of the existence of an exceptional student representative among all three schools—the Etoile, or ""star."" Eager to meet this person, Nagisa learns that the ethereal beauty she met earlier, Shizuma Hanazono, is the one and only Etoile herself! Not only that, Shizuma seems openly interested in Nagisa! Her interactions with Shizuma naturally make her a hot topic on campus; yet despite being so captivated, Nagisa can’t help but wonder if something is off.

Strawberry Panic! follows the everyday routines of Nagisa, Shizuma, and her friends at St. Miator’s, St. Spica, and St. Lulim as they navigate through the challenge of relationships while confronting hidden feelings, lingering regrets, and new possibilities.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 4, 2006","Sep 26, 2006","Lantis, Dwango",Media Blasters,Madhouse,Other,"Drama, Girls Love, Romance",School,Unknown,25.0,PG-13 - Teens 13 or older,7.281,55319.0,25682.0,1448,132817,1758,2006.0
19429,Akuma no Riddle,悪魔のリドル,Riddle Story of Devil,"Tokaku Azuma has just transferred to the elite Myoujou Academy, a private girls' boarding school. But there's a catch: she, along with 11 of her fellow students in Class Black, is an assassin taking part in the challenge to kill their sweet-natured classmate, Haru Ichinose. Whoever succeeds will be granted their deepest desire, no matter the difficulty or cost. However, each assassin only gets one chance; if they fail to kill her, they will be expelled.

Despite the extraordinary reward, Tokaku decides to take a different course of action. Though Haru is her target, the young assassin soon finds herself drawn to the very girl she is supposed to kill. With the entire class out for Haru, Tokaku refuses to let her friend die, vowing to protect her from a growing bloodlust.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2014","Jun 20, 2014","Mainichi Broadcasting System, Pony Canyon, DAX Production",Funimation,Diomedéa,Manga,"Action, Girls Love",School,Unknown,23.0,R - 17+ (violence & profanity),6.611,122183.0,57652.0,802,253502,993,2014.0
36943,Tachibanakan Triangle,立花館To Lieあんぐる,Love To-LIE-Angle,"As Hanabi Natsuno returns home after six years in Tokyo, memories flood into her. As she prepares to start high school, she moves to Tachibanakan, the local dormitory for female students. Upon her arrival, Hanabi stumbles upon a bare naked beauty, and instantly falls head over heels for her. She also reencounters Konomi Fujiwara, her childhood friend who she barely remembers.

Hanabi is introduced to the other residence of the dorm and quickly becomes the center of attention. As the girls instantly take to the newcomer and begin shooting for her affection—subtly or obtrusively—Hanabi realizes that it is certainly going to be an interesting school year.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2018","Jun 20, 2018","Ichijinsha, Cloud22",Unknown,"Creators in Pack, Studio Lings",Manga,"Comedy, Girls Love, Ecchi",Unknown,Unknown,3.0,PG-13 - Teens 13 or older,5.601,24628.0,107772.0,2419,61869,71,2018.0
28817,Mikagura Gakuen Kumikyoku (TV),ミカグラ学園組曲,Mikagura School Suite,"To be around cute girls wearing cute clothing is all Eruna Ichinomiya desires. Since Mikagura High School happens to have the cutest uniforms around, she decides to enroll in this prestigious high school known for its cultural clubs.

However, she does not realize that joining a club is mandatory, and representatives from each club must battle for a ranking. Based on these rankings, club members are awarded housing and food. Chasing after Seisa Mikagura, the most beautiful girl in school, Eruna joins the going-home club but finds herself thrust into fighting the next club battle. With the other club representatives wielding unique powers, the competition is sure to be fierce!

Based on the popular song series, Mikagura Gakuen Kumikyoku follows Eruna as she explores the various clubs in school and assists the members with their troubled lives, all of whom are also vying for the top spot in school.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 7, 2015","Jun 23, 2015","Media Factory, Movic, AT-X, Showgate",Funimation,Doga Kobo,Mixed media,"Action, Comedy, Girls Love","School, Visual Arts",Unknown,24.0,PG-13 - Teens 13 or older,6.681,34258.0,54042.0,2004,85162,174,2015.0
9712,Maria†Holic Alive,まりあ†ほりっく あらいぶ,Maria†Holic Alive,"When Kanako Miyamae transferred to a new all-girls school, she hoped to find true love. What she found instead was the beautiful Mariya Shidou, a charming classmate Kanako met on her first day. But Mariya has one flaw: she is actually a cross-dressing boy! After discovering Mariya's secret and becoming stuck with him as her roommate, Kanako's life has become a series of misfortunes. All she wants is to find the girl of her dreams, which is hard to do with the meddling of the sadistic Mariya and his sharp-tongued maid Matsurika Shinouji.

Maria†Holic Alive continues the story of Kanako as she deals with being Mariya's roommate and aims to find true love, while enduring high school itself.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 8, 2011","Jun 24, 2011",TV Tokyo Music,Sentai Filmworks,Shaft,Manga,"Comedy, Girls Love","Crossdressing, Parody, School",Unknown,23.0,PG-13 - Teens 13 or older,6.961,28321.0,40642.0,2396,62756,64,2011.0
3342,Mnemosyne: Mnemosyne no Musume-tachi,Mnemosyne－ムネモシュネの娘たち－,Rin Daughters of Mnemosyne,"Immortality is something many people would wish for. But would it be such a coveted ability if people knew they would be subject to countless attacks because of it? Such is the case for Rin Asougi, an immortal private investigator, because there is no shortage of people who want her dead. Over the centuries, she has met many grisly ends, but each time, she returns to life as if nothing had happened.

In 1990, while looking for a lost cat, Rin runs into Kouki Maeno, a man who feels that his memories are wrong. Agreeing to help him, Rin discovers that Kouki is not what he seems, all the while drawing closer to her true enemy. This adversary knows Rin and her kind all too well, and if she dies by his hand, she may stay dead permanently.

[Written by MAL Rewrite]",TV,6.0,Finished Airing,"Feb 4, 2008","Jul 7, 2008","VAP, Sotsu, Genco, AT-X, Showgate",Funimation,Xebec,Original,"Action, Girls Love, Horror, Sci-Fi, Supernatural",Gore,Unknown,45.0,R+ - Mild Nudity,7.271,69603.0,26252.0,1171,172784,1054,2008.0
