ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
27467,Yoligongju Loopy,요리공주 루피,"Loopy, the Cooking Princess","A spin-off Pororo series focusing around food, predominantly kimchi incorporated food. Loopy was the cooking expert in the original series so she explains the food and science by magically transforming into a Cooking Princess.",TV,6.0,Finished Airing,2012,Not Available,Unknown,Unknown,Unknown,Unknown,Gourmet,Unknown,Kids,5.0,G - All Ages,5.641,116.0,106032.0,15825,310,0,2012.0
36513,Rokuhou-dou Yotsuiro Biyori,鹿楓堂よついろ日和,Yotsuiro Biyori,"Kyousui ""Sui"" Tougoku inherits a traditional Japanese-style cafe called Rokuhoudou from his grandfather, which he manages alongside Gregorio ""Gure"" Valentino, Tokitaka Nagae, and Tsubaki Nakao. Their hospitality par excellence undoubtedly turns any one-time visitor into a regular. Having gone through their own share of trials and tribulations, the staff at this modest cafe do their best to serve their customers—whether it be through tea, sweets, or even helping with the various troubles one may have.

Although most days pass pleasantly, the small world of Sui and his friends takes an unexpected path when their reputation as a cafe flourishes overnight.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2018","Jun 27, 2018",Unknown,Unknown,Zexcs,Manga,"Gourmet, Slice of Life","Iyashikei, Workplace",teenager,23.0,PG-13 - Teens 13 or older,7.621,10592.0,12932.0,3621,29133,148,2018.0
40902,Shokugeki no Souma: Gou no Sara,食戟のソーマ 豪ノ皿,Food Wars! The Fifth Plate,"Thanks to Souma Yukihira, Erina Nakiri, and the rebel forces overthrowing the regime of Azami Nakiri—the previous school director—and the former Elite Ten, Tootsuki Culinary Academy is back in order. However, its students have one more great battle ahead of them: the BLUE, a competition where young chefs seeking world-class fame compete. Faced with new trials and rivals, Souma and his friends will fight to conquer the BLUE and to defeat Asahi Saiba, the leader of an underworld organization of chefs known as Noir, who once defeated Souma and his father in a Shokugeki.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 11, 2020","Sep 26, 2020",Unknown,Sentai Filmworks,J.C.Staff,Manga,"Gourmet, Ecchi",School,young boy,23.0,PG-13 - Teens 13 or older,7.321,230188.0,23542.0,408,460600,1239,2020.0
29722,"Eikoku Ikka, Nihon wo Taberu",英国一家、日本を食べる,Sushi and Beyond,"Based on a book by British travel and dining journalist Michael Booth. Follows Booth, his wife Lissen, and two kids Ansger (6) and Emil (4), on their 100-day trip to Japan as they try a wide variety of Japanese foods. Booth was inspired to make the trip by Shizuo Tsuji's book, Japanese Cooking, A Simple Art.

(Source: ANN)",TV,24.0,Finished Airing,"Apr 12, 2015","Oct 11, 2015",NHK,Unknown,Fanworks,Book,"Comedy, Gourmet, Slice of Life",Unknown,Unknown,19.0,G - All Ages,6.311,320.0,74412.0,11217,1312,3,2015.0
36754,Kakuriyo no Yadomeshi,かくりよの宿飯,Kakuriyo Bed and Breakfast for Spirits,"Abandoned as a child by her mother, Aoi Tsubaki has always had the ability to see ""ayakashi""—spirits from the Hidden Realm. Shirou Tsubaki, her grandfather who shared the same ability, took her under his wing and taught her how to live with the ayakashi in peace. When her grandfather abruptly passes away, the independent Aoi must continue her college career, armed with only her knowledge in cooking as a means of protection against the human-eating spirits. In hopes that the ayakashi will not turn to her or other unknowing humans as a tasty meal, she takes it upon herself to feed the hungry creatures that cross her path.

After giving a mysterious ayakashi her lunch, Aoi is transported to the Hidden Realm, where the ayakashi reveals himself to be an ogre-god known as Oodanna, the ""Master Innkeeper."" There, she learns that she was used as collateral for her grandfather's debt of one hundred million yen, and that she must pay the price for her grandfather's careless decision by marrying Oodanna. Aoi valiantly refuses and decides to settle things on her own terms: she will pay off the debt herself by opening an eatery at Oodanna's inn.

Kakuriyo no Yadomeshi follows the journey of Aoi as she proceeds to change and touch the lives of the ayakashi through the one weapon she has against them—her delicious cooking.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 2, 2018","Sep 24, 2018","flying DOG, Kadokawa",Funimation,Gonzo,Novel,"Drama, Gourmet, Romance, Supernatural",Mythology,Unknown,23.0,PG-13 - Teens 13 or older,7.531,52848.0,15942.0,1362,143752,1162,2018.0
110,Chuuka Ichiban!,中華一番,Unknown,"The story takes place in 19th century China during the Qing Dynasty, where the Emperor was weakened and the country was close to chaos. It is also during a fictitious era called ""The Era of the Cooking Wars"". It was an era in which top chefs with different cooking styles tried their best to improve their skills and to become the best chef in China. It is a country where insulting a high-grade chef or fooling around with cooking could land a person in a jail, and impersonating a top-chef is as good as usurpation of authority. Chefs compete with each other in order to gain respect and even power, but also with the risks of losing everything.

The country of China has four major regions: Beijing, Szechuan, Shanghai, and Guangdong.

The beginning of the story takes place in Szechuan, Mao's birthplace.

After the death of Mao's mother, Pai, who was called the 'Fairy of Cuisine', Mao becomes a Super Chef in order to take the title as Master Chef of his mother's restaurant. However, before he takes his mother's place as Master Chef, he continues to travel China in order to learn more of the many ways of cooking, in the hopes of becoming a legendary chef, just like his mother. During his journey, he meets great friends and fierce rivals who wish to challenge him in the field of cooking.

(Source: Wikipedia)",TV,52.0,Finished Airing,"Apr 27, 1997","Sep 13, 1998",Unknown,Unknown,Nippon Animation,Manga,"Action, Comedy, Drama, Gourmet",Unknown,young boy,23.0,PG-13 - Teens 13 or older,7.591,7857.0,13642.0,4468,18387,109,1997.0
5374,Miracle! Mimika,味楽る!ミミカ,Miracle! Mimika,"Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook.  

(Source: AnimeNfo)",TV,225.0,Finished Airing,"Apr 3, 2006","Mar 13, 2009",NHK,Unknown,Digital Media Lab,Original,"Gourmet, Slice of Life",Unknown,Kids,10.0,G - All Ages,,,135052.0,14421,434,0,2006.0
10033,Toriko,トリコ,Toriko,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients.

Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself!  

[Written by MAL Rewrite]",TV,147.0,Finished Airing,"Apr 3, 2011","Mar 30, 2014","Yomiko Advertising, Fuji TV, Shueisha",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Gourmet",Unknown,young boy,23.0,PG-13 - Teens 13 or older,7.521,48603.0,16252.0,1561,119416,785,2011.0
31498,Pan de Peace!,パンでPeace！,Pan de Peace!,"For the airheaded Minami Tani, there is nothing more delightful than delicious bread for breakfast. Bonding over a mutual love for the food, Minami meets the dignified Yuu Aizawa and the upbeat Fuyumi Fukagawa. Joining them is Noa Sakura, a pint-sized girl who sees bread as the ultimate weapon of self-defense. Together, the girls strengthen their bonds of friendship, while striving to sample every kind of bread this world has to offer.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 3, 2016","Jun 26, 2016","Jinnan Studio, Contents Seed",Unknown,Asahi Production,4-koma manga,"Comedy, Gourmet, Slice of Life","CGDCT, School",Unknown,3.0,PG-13 - Teens 13 or older,5.631,14609.0,106432.0,3501,30966,31,2016.0
48517,Dosukoi Sushi Zumou,どすこいすしずもう,Sushi Sumo,Unknown,TV,52.0,Finished Airing,"Apr 3, 2021","Mar 26, 2022",Unknown,Unknown,Shirogumi,Other,"Comedy, Gourmet, Sports",Martial Arts,Kids,5.0,G - All Ages,,,176992.0,14839,392,1,2021.0
