ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
28087,Ehon Yose,えほん寄席,Unknown,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,TV,50.0,Finished Airing,2006,2008,Pony Canyon,Unknown,Unknown,Other,Horror,"Historical, Performing Arts",Kids,5.0,PG - Children,,,177782.0,15335,348,0,2006.0
40333,Uzumaki,うずまき,Uzumaki Spiral into Horror,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a snail shell in an alley. Thinking nothing of it, she mentions the incident to Shuuichi, who says that his father has been acting weird lately. Shuuichi reveals his rising desire to leave the town with Kirie, saying that the town is infected with spirals.

But his father's obsession with the shape soon proves deadly, beginning a chain of horrific and unexplainable events that causes the residents of Kurouzu-cho to spiral into madness.

[Written by MAL Rewrite]",TV,4.0,Not yet aired,2023,Unknown,Production I.G,Unknown,Drive,Manga,"Avant Garde, Drama, Horror, Romance, Supernatural",Psychological,teenager,,None,,,,2003,85241,307,2023.0
52505,Dark Gathering,ダークギャザリング,Dark Gathering,"Keitarou Gentouga is a college freshman who hates ghosts. Unluckily for him, he has a knack for attracting spirits. Two years ago, this connection had led to him receiving a spiritual injury on his right hand, with his friend getting caught in the crossfire. The event caused him to become a shut-in, leaving him with very poor social skills. Fortunately, Keitarou is slowly starting to mingle with society, thanks to the help of his childhood friend, Eiko Houzuki.

As part of his rehabilitation, Keitarou takes on the part-time job of a private tutor, and his first pupil is none other than Eiko's cousin, Yayoi Houzuki. Besides being a child prodigy, there is another peculiarity regarding Yayoi—she has a spiritual constitution, just like Keitarou. However, in contrast to Keitarou, she yearns to encounter spirits, hoping to find the ghost that took her mother away. As Keitarou is dragged along by Yayoi and Eiko to haunted spots, his part-time job seems to be straying further and further away from its original purpose.

[Written by MAL Rewrite]",TV,,Not yet aired,2023,Unknown,"Pony Canyon, Shueisha",Unknown,OLM,Manga,"Horror, Supernatural",Unknown,young boy,,None,,,,10032,2054,8,2023.0
23351,Youkaiden Nekome Kozou,妖怪伝 猫目小僧,Cat Eyed Boy,"The story is told by the cat-eyed boy, hated by humans and demons, who engages in tales of terror, including monsters and children.",TV,25.0,Finished Airing,"Apr 1, 1976","Sep 30, 1976",Wako Productions,Unknown,Unknown,Manga,"Adventure, Horror, Supernatural",Psychological,teenager,25.0,G - All Ages,5.781,146.0,100242.0,12434,843,0,1976.0
12481,Gregory Horror Show: The Second Guest,グレゴリーホラーショー - The Second Guest,Unknown,"The second series, The Second Guest is similarly set with 25 stories, except this time the main victim is a woman who has just taken a taxi home from her best friend's wedding ceremony.

(Source: AniDB)",TV,25.0,Finished Airing,"Apr 1, 2000","Oct 1, 2000","VAP, TV Asahi",Geneon Universal Entertainment,Milky Cartoon,Original,"Comedy, Horror, Mystery, Supernatural",Mythology,Unknown,3.0,PG - Children,6.581,830.0,59442.0,10521,1732,8,2000.0
2165,Gegege no Kitarou (2007),ゲゲゲの鬼太郎 (2007),Unknown,"The classic tale of Gegege no Kitaro told yet again.  The story is the usual in the Gegege no Kitaro series. Kitaro is a boy living in the Gegege Forest/Cemetery (lands where many Yokai roam) with his mostly dead father (who survives only in his eye), Sunakake Babaa, NekoMusume, and Konaki Jiji.  One difference between this Kitaro and all of the others that came before him, is that this one has brown hair instead of the standard grayish silver. ",TV,100.0,Finished Airing,"Apr 1, 2007","Mar 29, 2009",Unknown,Unknown,Toei Animation,Manga,"Comedy, Fantasy, Horror",Unknown,Unknown,24.0,G - All Ages,6.861,1370.0,45352.0,7491,5134,12,2007.0
32682,Kagewani: Shou,影鰐-KAGEWANI-承,Kagewani -II-,"After surviving the onslaught at Sarugaku headquarters, Sousuke Banba resumes his investigation of the Kagewani monster hybrids. Armed with the ability to harness the Kagewani's power, the researcher now has a means to eliminate the creatures. But despite the benefits of this skill, it has one major drawback: Sousuke now struggles to maintain his sanity, with the power threatening to consume his body.

Soon, threats old and new begin to rear their heads, as the upper echelons of Sarugaku become active once again and an assassin with a personal vendetta sets her sights on Sousuke. Nevertheless, he resolutely forges ahead on his mission, determined to track down the origins of the Kagewani and eliminate their threat once and for all.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 1, 2016","Jun 24, 2016",Directions,Unknown,Tomovies,Original,"Horror, Mystery, Supernatural, Suspense",Unknown,Unknown,7.0,R - 17+ (violence & profanity),6.421,7792.0,68572.0,4517,18049,18,2016.0
32438,Mayoiga,迷家-マヨイガ-,The Lost Village,"A bus full of eccentric individuals is headed towards the urban legend known as Nanaki Village, a place where one can supposedly start over and live a perfect life. While many have different ideas of why the village cannot be found on any map, or why even the police cannot pinpoint its location, they each look forward to their new lives and just what awaits them once they reach their destination.

After a few mishaps, they successfully arrive at Nanaki Village only to find it completely abandoned. Judging from the state of disrepair, it has been vacant for at least a year. However, secrets are soon revealed as some of the group begin to go missing while exploring the village and amidst the confusion, they find bloody claw marks in a forest. As mistrust and in-fighting break out, will they ever be able to figure out the truth behind this lost village?

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 1, 2016","Jun 17, 2016","WOWOW, Mainichi Broadcasting System, Pony Canyon, KlockWorx, Studio Mausu, Azumaker, Shogakukan",Ponycan USA,Diomedéa,Original,"Drama, Horror, Mystery",Psychological,Unknown,24.0,R - 17+ (violence & profanity),5.501,106539.0,110892.0,975,208473,276,2016.0
37140,Gegege no Kitarou (2018),ゲゲゲの鬼太郎 (2018),GeGeGe no Kitaro,"Nearly twenty years into the 21st century, people have forgotten the existence of youkai. When a number of unexplainable phenomena plague adults of the human world with confusion and chaos, thirteen-year-old Mana writes a letter to the Youkai Post in search of answers, only to be greeted by Gegege no Kitarou...

(Source: Crunchyroll)",TV,97.0,Finished Airing,"Apr 1, 2018","Mar 29, 2020","Yomiko Advertising, Fuji TV",Unknown,Toei Animation,Manga,"Comedy, Horror, Supernatural",Mythology,young boy,23.0,PG - Children,7.221,10709.0,28502.0,2815,46630,116,2018.0
3176,Nessa no Haou Gandalla,熱沙の覇王ガンダーラ,Gandalla The King of Burning Desert,A dispute between young band members and an unfortunate choice of melody inadverdently draws them all into the demonic horror known as  the desert-god Gandalla. ,TV,26.0,Finished Airing,"Apr 11, 1998","Oct 17, 1998",Big West,Unknown,Production Reed,Original,"Adventure, Drama, Fantasy, Horror, Sci-Fi, Supernatural",Music,Unknown,22.0,PG-13 - Teens 13 or older,5.781,211.0,100122.0,10516,1733,1,1998.0
9882,High School Mystery: Gakuen Nanafushigi,ハイスクールミステリー 学園七不思議,Unknown,Unknown,TV,41.0,Finished Airing,"Apr 12, 1991","Mar 13, 1992",Studio Comet,Unknown,Unknown,Unknown,"Horror, Mystery",Unknown,Unknown,25.0,R - 17+ (violence & profanity),6.241,150.0,78412.0,11425,1210,3,1991.0
2012,Jigoku Sensei Nube,地獄先生ぬ～べ～,Unknown,"Nube is a clumsy, easygoing, and very kind teacher, but he has a secret under his glove on the left hand. He has a monster hand, and he also has the ability to sense ghosts and evil spirits. So he protects his dear students from these evil spirits with his monster hand, proving to be very powerful.

(Source: ANN)",TV,49.0,Finished Airing,"Apr 13, 1996","Jun 21, 1997",TV Asahi,Unknown,Toei Animation,Manga,"Adventure, Comedy, Horror, Romance, Supernatural",School,young boy,24.0,PG-13 - Teens 13 or older,7.541,5858.0,15382.0,4454,18614,82,1996.0
384,Gantz,ガンツ,Gantz,"Thought your life was bad? Sometimes, death is worse. There is no salvation, peace, nor god waiting to receive you into their care. But wait, a god? Maybe you are talking about that big black ball stuck in the room with you. Now you are thrown into a game, fighting green aliens and robot monsters for the chance to survive.

When Kei Kurono is killed, he thus finds himself caught in such a game—a test of his skills, morals, and will to survive. His life is not his own; his death is spat and trampled upon over and over again. What happens if he does not listen? God knows.

A word of warning: Gantz is not for the faint-hearted, but neither is it as simple as it looks. Gore, rape, and violence is rampant, as are portrayals of greed, violence, and all the ugliness that one sees in society today.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 13, 2004","Jun 22, 2004",Fuji TV,"ADV Films, Funimation",Gonzo,Manga,"Action, Drama, Horror, Sci-Fi, Supernatural, Ecchi","Gore, Psychological, Survival",Unknown,22.0,R+ - Mild Nudity,7.001,169526.0,39092.0,598,333828,2282,2004.0
2130,Kaibutsu Oujo,怪物王女,Princess Resurrection,"When Hiro Hiyorimi tries to save a beautiful young woman from certain death, he ends up a dead hero himself! However, since the drop-dead girl is Hime, daughter of the King of the Monsters, his ""reward"" is to come back as a not-quite-living soldier in her honor guard of horror! That means helping fight off the army of supernatural monstrosities Hime's siblings are unleashing against her in hopes of moving up the ladder of succession.

And if facing off with vampires and zombies isn't bad enough, how can anyone be prepared for the REALLY weird ones, like were-sharks, pandas and killer dumplings? This sure as hell isn't the afterlife Hiro was hoping for, but the really sad part is that Hime is the good girl in all of this... or at least as close to good as you can come when you're on the wrong side of the gates of hell!

(Source: RightStuf)",TV,25.0,Finished Airing,"Apr 13, 2007","Sep 28, 2007","Imagin, Lantis, Index, Universal Pictures Japan","ADV Films, Sentai Filmworks",Madhouse,Manga,"Action, Comedy, Horror, Supernatural",Vampire,young boy,24.0,PG-13 - Teens 13 or older,6.991,28095.0,39852.0,2139,75354,193,2007.0
8194,Akuma-kun,悪魔くん,Unknown,"The age of the demons has begun. Dr Faust has foreseen this rise of evil. Unfortunately, he is near death and is unable to personally battle this upcoming threat. Faust entrusts a young boy, Shingo Yamada, to take the responsibility of ridding the Earth of this new evil presence. Faust finds a birthmark on Shingo's forehead that signifies that he is the chosen demon fighter. Faust summons from hell what may be humanity's only hope of surviving: a less than enthusiastic devil named Mephisto rises. After signing a pact in blood to save humankind, Shingo and Mephisto set out to battle the supernatural world.

(Source: AniDB)",TV,42.0,Finished Airing,"Apr 15, 1989","Mar 24, 1990",Unknown,Unknown,Toei Animation,Manga,"Adventure, Fantasy, Horror, Supernatural",Unknown,Unknown,25.0,G - All Ages,6.401,234.0,69442.0,11638,1106,2,1989.0
618,Juubee Ninpuuchou: Ryuuhougyoku-hen,獣兵衛忍風帖「龍宝玉篇」,Ninja Scroll The Series,"Fourteen years after defeating the immortal warrior Himuro Genma and thwarting the Shogun of the Dark's evil plans, Kibagami Jubei continues to roam all over Japan as a masterless swordsman. During his journey, he meets Shigure, a priestess who has never seen the world outside her village. But when a group of demons destroys the village and kills everyone, Jubei becomes a prime target after acquiring the Dragon Jewel—a stone with an unknown origin. Meanwhile, Shigure—along with the monk Dakuan and a young thief named Tsubute—travels to the village of Yagyu. And with two demon clans now hunting down Shigure, Dakuan must once again acquire the services of Jubei to protect the Priestess of Light.

(Source: ANN)",TV,13.0,Finished Airing,"Apr 15, 2003","Jul 15, 2003",Studio Take Off,"Discotek Media, Urban Vision",Madhouse,Original,"Adventure, Horror, Supernatural","Martial Arts, Samurai",Unknown,24.0,R - 17+ (violence & profanity),6.681,16901.0,53982.0,3107,39313,81,2003.0
916,Tokkou,TOKKÔ[特公],Tokko,"""Shindou Ranmaru has just graduated from police academy and assigned to Tokko: Special Mobile Investigation Force. On the day of his graduation, he meets the half-naked girl he has been seeing in his dreams. Her name is Rokujo Sakura and she works for a secret group within Tokki, known as Tokko: Special Public Safety Task Force. Shindou ends up joining Tokko to avenge his parents' death, and solve the mysterious mass murder of residents in his hometown of Machida. Meanwhile, bottomless pits begin appearing around Japan, and mysterious creatures emerge from them. Could these events be linked to Machida Massacre?""

(Source: DVD Complete Series Back Cover)",TV,13.0,Finished Airing,"Apr 16, 2006","Jul 30, 2006","WOWOW, Shochiku",Manga Entertainment,"AIC Spirits, Group TAC",Manga,"Action, Comedy, Horror, Mystery, Supernatural",Detective,teenager,24.0,R - 17+ (violence & profanity),6.541,20761.0,61722.0,2919,43665,95,2006.0
6880,Deadman Wonderland,デッドマン・ワンダーランド,Deadman Wonderland,"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit. 

But Ganta's nightmare is only just beginning. 

The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 17, 2011","Jul 3, 2011","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC",Funimation,Manglobe,Manga,"Action, Horror, Sci-Fi, Supernatural","Gore, High Stakes Game, Survival",young boy,24.0,R - 17+ (violence & profanity),7.161,644901.0,31552.0,97,1149732,6411,2011.0
1136,Betterman,ベターマン,Unknown,"A deadly virus known as ""Algernon"" has attacked humanity with vicious meaning. At the forefront of the battle is the mystifying Akamatsu Industries—disguised as a heavy machine factory in Tokyo, this undercover organization uses neural enhanced weapons known as NeuroNoids to battle Algernon. Also helping with their secret efforts is the mysterious mutant who is only known as ""Betterman.""

(Source: ANN)",TV,26.0,Finished Airing,"Apr 2, 1999","Oct 1, 1999",Unknown,"Bandai Entertainment, Sentai Filmworks",Sunrise,Original,"Action, Adventure, Drama, Horror, Mystery, Sci-Fi","Mecha, Psychological",Unknown,24.0,R - 17+ (violence & profanity),6.581,4095.0,59292.0,4989,13930,72,1999.0
31430,Terra Formars: Revenge,テラフォーマーズ リベンジ,Unknown,"In Terra Formars Revenge, the crew members of the Annex I continue to fight against Terraformars—the large humanoid cockroaches that evolved from the ones sent to Mars centuries ago. However, far from discovering the cure for the lethal Alien Engine Virus that has been plaguing Earth, the Annex I team have learned that some squadrons have agendas from their own countries. Now, the squadrons must not only fight against the Terraformars for their survival, but also each other in the never-ending battle for international dominance.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 2, 2016","Jun 25, 2016","Warner Bros. Japan, Ultra Super Pictures, MAGES., Good Smile Company, Shueisha, Kyoraku Industrial Holdings, Animatic",VIZ Media,"TYO Animations, LIDENFILMS",Manga,"Action, Drama, Horror, Sci-Fi","Gore, Space, Survival",teenager,24.0,R - 17+ (violence & profanity),6.661,46793.0,54902.0,1985,86651,101,2016.0
36003,Kimoshiba 2,きもしば２,Unknown,The second season of Kimoshiba.,TV,13.0,Finished Airing,"Apr 2, 2017","Jun 25, 2017",Unknown,Unknown,Jinnis Animation Studios,Original,"Comedy, Horror, Supernatural",Unknown,Kids,1.0,G - All Ages,,,192002.0,17358,210,0,2017.0
