ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
29527,Kagee Mukashibanashi,影絵むかし話,Unknown,The 1st arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Japanese fairy tale told with shadow puppet animation. ,TV,65.0,Finished Airing,1976,1979,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology, Samurai",Kids,15.0,G - All Ages,,,189072.0,15503,334,0,1976.0
29529,Kagee Aesop Monogatari,影絵イソップ物語,Unknown,The 2nd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Aesop fable told with shadow puppet animation. ,TV,26.0,Finished Airing,1978,Not Available,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189042.0,15674,320,0,1978.0
10236,Kagee Grimm Douwa,影絵グリム童話,Unknown,The 3rd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Brothers Grimm fairy tale told with shadow puppet animation.,TV,52.0,Finished Airing,1980,1981,Unknown,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189062.0,15235,356,0,1980.0
11919,Zoku Attacker You! Kin Medal e no Michi,続・アタッカーYOU 金メダルへの道,Unknown,"Young and ambitious girls strive to do their very best to become NO.1 team in the sport world of volleyball. Outside the court, they face the problem of termination if they don’t win along with family, love and friendship dilemmas.",TV,52.0,Finished Airing,2008,Not Available,Unknown,Unknown,Knack Productions,Unknown,"Romance, Sports",Team Sports,Unknown,23.0,G - All Ages,6.151,431.0,83032.0,11619,1119,2,2008.0
46422,Niehime to Kemono no Ou,贄姫と獣の王,Sacrificial Princess and the King of Beasts,"Sariphi is the 99th female human sacrifice to be eaten for the King of the Beasts and Demons, but despite that she is not in the least afraid since she has never had a family nor a home to lose, so she takes a positive attitude and no longer worries about being eaten.

The King finds her amusing and lets her stay by his side until the time of her death. This leads her to find out the truth about the King of the Beasts and Demons, and she ends up as the King's Consort despite being a female human. This leads other beasts and demons to be mad, but the king being powerful enough they shut up.

This is how Sariphi turns to be the first human queen of the demons and beasts.

(Source: MU)",TV,,Not yet aired,2023,Unknown,"Pony Canyon, WOWMAX",Unknown,J.C.Staff,Manga,"Fantasy, Romance",Unknown,young girl,,None,,,,6480,7337,25,2023.0
49981,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",キミと僕の最後の戦場、あるいは世界が始まる聖戦 Season II,Our Last Crusade or the Rise of a New World Season 2,"Second season of Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen.",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Unknown,Light novel,"Action, Fantasy, Romance",Military,Unknown,,PG-13 - Teens 13 or older,,,,3704,27874,122,2023.0
52173,Koori Zokusei Danshi to Cool na Douryou Joshi,氷属性男子とクールな同僚女子,Unknown,"Himuro is an office worker who belongs to a race of supernatural beings with strange powers. Whenever he is deep in concentration, he subconsciously plunges his poor coworkers into a close rendition of the Arctic. Even so, contrary to his icy powers, Himuro is a warm and kind person. He likes flowers and cats, but alas, he cannot get too close to either.

Himuro has a soft spot for his colleague Fuyutsuki, a calm woman who has a knack for providing simple solutions to his unconventional problems. Whenever Fuyutsuki does something for him, a snowstorm of emotions builds inside Himuro's heart, and he fails to notice the raging snowstorm he causes on the office floor.

Thanks to his snowy tantrums, Himuro's feelings are apparent to everyone but Fuyutsuki. However, fueled by immense adoration and desire, Himuro is prepared to do whatever it takes to capture her heart.

[Written by MAL Rewrite]",TV,,Not yet aired,2023,Unknown,"Square Enix, ABC Animation",Unknown,"Zero-G, Liber",Web manga,"Comedy, Romance, Supernatural",Unknown,Unknown,,None,,,,6045,8711,43,2023.0
52973,Megami no Café Terrace,女神のカフェテラス,Unknown,"Hayato Kasukabe has been accepted to Tokyo U on his first try. Receiving news of his grandmother's death, he returns to his childhood home, Café Terrace Familia, for the first time in three years to find five strange girls there who claim to be ""Grandma's Family""! Hayato's unexpected life in a seaside town with these five girls of fate begins here!

(Source: Kodansha, translated)",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Unknown,Manga,"Comedy, Romance, Ecchi",Harem,young boy,,PG-13 - Teens 13 or older,,,,11113,1371,11,2023.0
51252,Spy Kyoushitsu,スパイ教室,Spy Room,"After a gruesome war wreaked havoc on the general populace, the governments of the world turned to a more elusive tactic to further their agendas—a war fought in the shadows.

Lily, a beautiful girl with white locks, is a student in one of the many institutions that train youths into becoming capable spies. Unfortunately, despite scoring well in the written exams, she only manages to barely pass her practicals. With no real world skills to speak of, her hopes of graduating are dismal—until she is offered an opportunity to join the mysterious team ""Tomoshibi"" and partake in an Impassable Mission.

Excited by the prospect of working with the elite, Lily enthusiastically accepts. However, she is struck dumb when she arrives at Kagerou Palace and the true purpose of Tomoshibi and its hopeless situation comes into light. Joined by other problematic female spies along with a mysterious young man spearheading the operation, Lily realizes that this is not the ideal escapade she had pictured. 

[Written by MAL Rewrite]",TV,,Not yet aired,2023,Unknown,Kadokawa,Unknown,feel.,Light novel,"Action, Comedy, Mystery, Romance",Unknown,Unknown,,None,,,,4782,15642,49,2023.0
40333,Uzumaki,うずまき,Uzumaki Spiral into Horror,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a snail shell in an alley. Thinking nothing of it, she mentions the incident to Shuuichi, who says that his father has been acting weird lately. Shuuichi reveals his rising desire to leave the town with Kirie, saying that the town is infected with spirals.

But his father's obsession with the shape soon proves deadly, beginning a chain of horrific and unexplainable events that causes the residents of Kurouzu-cho to spiral into madness.

[Written by MAL Rewrite]",TV,4.0,Not yet aired,2023,Unknown,Production I.G,Unknown,Drive,Manga,"Avant Garde, Drama, Horror, Romance, Supernatural",Psychological,teenager,,None,,,,2003,85241,307,2023.0
