ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
16696,2020 Nyeon Ujuui Wonder Kiddy,2020년 우주의 원더키디,2020 Wonder Kiddy,Unknown,TV,13.0,Finished Airing,1989,Not Available,Unknown,Unknown,Unknown,Unknown,Sci-Fi,Space,Unknown,24.0,PG - Children,,,166942.0,14130,473,1,1989.0
43948,Taiyang Zhizi,太阳之子,Unknown,Unknown,TV,52.0,Finished Airing,1992,Unknown,Unknown,Unknown,Unknown,Unknown,"Adventure, Fantasy, Sci-Fi",Anthropomorphic,Kids,12.0,PG - Children,,,153912.0,21143,28,0,1992.0
43830,Jiao Jiao Yu Jing Jing,娇娇与晶晶,Unknown,Unknown,TV,10.0,Finished Airing,1995,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Sci-Fi,Unknown,Kids,12.0,PG - Children,,,187652.0,21099,29,0,1995.0
43871,Mogui Xinpian,魔鬼芯片,Unknown,Unknown,TV,26.0,Finished Airing,2002,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Novel,"Adventure, Fantasy, Sci-Fi",Unknown,Kids,22.0,PG - Children,,,135522.0,20889,31,0,2002.0
43875,Bai Ge Dao,白鸽岛,Unknown,Unknown,TV,52.0,Finished Airing,2003,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,"Adventure, Sci-Fi",Unknown,Unknown,22.0,PG-13 - Teens 13 or older,,,169722.0,20537,39,0,2003.0
48331,Chuldong! Robot V,출동! 로봇 V,Unknown,Unknown,TV,13.0,Finished Airing,2004,Not Available,Unknown,Unknown,Unknown,Original,"Action, Sci-Fi",Mecha,Kids,24.0,PG - Children,,,174232.0,19579,68,0,2004.0
38117,Zhu Zhu Xia: Da Nao Huang Gong,猪猪侠 大闹皇宫,Unknown,"The series is about the titular character, an intelligent and mischievous pig named G.G. Bond (猪猪侠, meaning ""Pig Hero"") born with superpowers. He is an orphan under the care and custody of Dr. Mihu, his teacher who enjoys inventing different gadgets. 

This is considered ""season 0"" due to its short length. Originally it was advertised as a for-TV movie.

(Source: Wikipedia)",TV,4.0,Finished Airing,2005,Not Available,Unknown,Unknown,Unknown,Original,Sci-Fi,Super Power,Kids,7.0,G - All Ages,,,166182.0,17488,203,0,2005.0
48163,Bai Bian Baobei,百变宝贝,Unknown,Unknown,TV,26.0,Finished Airing,2007,Unknown,Unknown,Unknown,Unknown,Original,"Adventure, Comedy, Sci-Fi",Unknown,Kids,22.0,PG - Children,,,169692.0,20786,33,1,2007.0
45246,Kuaile Xing Mao,快乐星猫,The Adventures of Star Cat,This entry encompasses eight seasons of The Adventures of Star Cat series. Each season featured 26 episodes.,TV,208.0,Finished Airing,2008,2015,Unknown,Unknown,Unknown,Original,"Adventure, Comedy, Fantasy, Sci-Fi",Unknown,Kids,13.0,PG - Children,,,193902.0,19597,67,0,2008.0
43322,Yue Chen,月尘,Unknown,Unknown,TV,13.0,Finished Airing,2009,Not Available,Unknown,Unknown,Unknown,Unknown,Sci-Fi,Unknown,Unknown,22.0,PG-13 - Teens 13 or older,,,164592.0,20455,42,0,2009.0
