ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
17893,Cheonbangjichuk Hani,천방지축 하니,Unknown,"Sequel of Dallyeola Hani.

Hany is a small tomboy and slightly troublesome teenager who lives life a bit carelessly on her own since her Father lives abroad due to work in the Middle East and her Mother died when she was very small. The only thing Hany is very good at is running~ fast!

(Source: Cute in Korea)",TV,13.0,Finished Airing,1988,1989,KBS,Unknown,Daewon Media,Unknown,"Comedy, Drama, Sports",School,Unknown,20.0,None,6.251,127.0,77422.0,14587,416,0,1988.0
45984,Yundong Xiao Fuxing,运动小福星,Unknown,Unknown,TV,52.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Original,Sports,Team Sports,Kids,3.0,G - All Ages,,,164952.0,20921,31,0,2005.0
9949,Fuwa Aoyun Manyouji,福娃奥运漫游记,Fuwa's Olympic Stories,"The story takes place in a common Beijing household. Before the opening of the 29th Olympic Games in 2008, the 8-year-old boy Da You, received a birthday gift from his parents, the five Olympic mascots ""Fuwa."" 

Skillfully combined with humorous tales between Da You and the five mascots, the cartoon series introduces the history and trivia of the Olympics, as well as Chinese culture, and the preparation for the Beijing Olympics.

(Source: english.cri.cn)",TV,100.0,Finished Airing,2007,2008,Unknown,Unknown,Unknown,Unknown,"Comedy, Sports",Unknown,Unknown,11.0,PG - Children,,,179432.0,16719,246,0,2007.0
11919,Zoku Attacker You! Kin Medal e no Michi,続・アタッカーYOU 金メダルへの道,Unknown,"Young and ambitious girls strive to do their very best to become NO.1 team in the sport world of volleyball. Outside the court, they face the problem of termination if they don’t win along with family, love and friendship dilemmas.",TV,52.0,Finished Airing,2008,Not Available,Unknown,Unknown,Knack Productions,Unknown,"Romance, Sports",Team Sports,Unknown,23.0,G - All Ages,6.151,431.0,83032.0,11619,1119,2,2008.0
25967,Backkom Sports,빼꼼 Sports,Bernard,The 3rd season of Backkom which focuses on him participating and failing at a wide variety of sports. ,TV,52.0,Finished Airing,2009,Not Available,Unknown,Unknown,RG Animation Studios,Original,"Comedy, Sports",Unknown,Kids,3.0,G - All Ages,5.721,341.0,102742.0,12911,719,0,2009.0
42922,Q-Borg,奇博少年,Q-Borg,Unknown,TV,52.0,Finished Airing,2012,Not Available,Unknown,Unknown,Unknown,Other,"Action, Sci-Fi, Sports",Strategy Game,Kids,24.0,PG-13 - Teens 13 or older,,,144142.0,19383,82,0,2012.0
17671,Animal 1,アニマル１,Unknown,"Ichirou Azuma, a young amateur wrestler, wants to participate in the Olympics Games in Mexico.

(Source: ANN)",TV,27.0,Finished Airing,"Apr 1, 1968","Sep 30, 1968",Mushi Production,Unknown,Unknown,Unknown,Sports,Combat Sports,Unknown,22.0,PG-13 - Teens 13 or older,,,168182.0,13381,608,1,1968.0
2402,Ashita no Joe,あしたのジョー,Tomorrow's Joe,"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills.

One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Joe dismisses Danpei as a hopeless drunk; but after the trainer saves his life, he agrees to live with him and learn the art of boxing. Unfortunately, Joe's personality makes him an unruly student, and he often falls back to his old ways.

To survive the harsh world of his new career, Joe needs to trust his mentor and master the techniques taught to him. However, the road to becoming a professional boxer is rife with struggles that will test his mettle to the end.

[Written by MAL Rewrite]",TV,79.0,Finished Airing,"Apr 1, 1970","Sep 29, 1971",Fuji TV,Unknown,Mushi Production,Manga,"Action, Drama, Slice of Life, Sports",Combat Sports,young boy,25.0,PG-13 - Teens 13 or older,8.281,20410.0,2542.0,2084,78983,1723,1970.0
11857,Judo Sanka,柔道讃歌,Unknown,"Based on Hiroshi Kaizuka's manga.

The last TMS sports-themed anime series (""Star of the Giants"" was the first).

Because of low ratings, the series was pulled off the air before later episodes of the original manga could be adapted.",TV,27.0,Finished Airing,"Apr 1, 1974","Sep 30, 1974",Tokyo Movie Shinsha,Unknown,Unknown,Unknown,Sports,Combat Sports,young boy,21.0,G - All Ages,,,188562.0,13749,537,1,1974.0
96,Mobile Fighter G Gundam,機動武闘伝Gガンダム,Mobile Fighter G Gundam,"In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all.

Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament.

Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph.

[Written by MAL Rewrite]",TV,49.0,Finished Airing,"Apr 1, 1994","Mar 31, 1995","TV Asahi, Sotsu",Bandai Entertainment,Sunrise,Original,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports","Martial Arts, Mecha, Space",Unknown,24.0,PG-13 - Teens 13 or older,7.561,34818.0,14492.0,2373,63759,928,1994.0
