ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,ようこそ実力至上主義の教室へ,Unknown,3rd season of Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV).,TV,,Not yet aired,2023,Unknown,Kadokawa,Unknown,Unknown,Light novel,"Drama, Suspense","Psychological, School",Unknown,,PG-13 - Teens 13 or older,,,,2681,51734,198,2023.0
32682,Kagewani: Shou,影鰐-KAGEWANI-承,Kagewani -II-,"After surviving the onslaught at Sarugaku headquarters, Sousuke Banba resumes his investigation of the Kagewani monster hybrids. Armed with the ability to harness the Kagewani's power, the researcher now has a means to eliminate the creatures. But despite the benefits of this skill, it has one major drawback: Sousuke now struggles to maintain his sanity, with the power threatening to consume his body.

Soon, threats old and new begin to rear their heads, as the upper echelons of Sarugaku become active once again and an assassin with a personal vendetta sets her sights on Sousuke. Nevertheless, he resolutely forges ahead on his mission, determined to track down the origins of the Kagewani and eliminate their threat once and for all.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 1, 2016","Jun 24, 2016",Directions,Unknown,Tomovies,Original,"Horror, Mystery, Supernatural, Suspense",Unknown,Unknown,7.0,R - 17+ (violence & profanity),6.421,7792.0,68572.0,4517,18049,18,2016.0
5630,Higashi no Eden,東のエデン,Eden of The East,"On November 22, 2010, Japan was hit by missile strikes, a terrorist act that fortunately did not harm anyone, becoming known as ""Careless Monday."" Quickly forgotten, society goes on about their lives as normal.

During her graduation trip to America three months later, friendly college student Saki Morimi's life is forever changed when she finds herself saved from unexpected trouble by Akira Takizawa. Takizawa is cheerful, but odd in many ways—he is stark naked and suffers from amnesia, believing himself to be a terrorist. In addition, he possesses a strange cell phone loaded with 8.2 billion yen in digital cash.

Despite Takizawa's suspicious traits, Saki quickly befriends the enigmatic young man. However, unbeknownst to her, this is the beginning of a thrilling death game involving money, cell phones, and the salvation of the world. Higashi no Eden chronicles Saki's struggle to unravel the mysteries behind her savior, while Takizawa himself battles other individuals armed with similar cell phones and returning memories which reveal his possible connection to the event from months ago.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 10, 2009","Jun 19, 2009","Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment",Funimation,Production I.G,Original,"Mystery, Romance, Sci-Fi, Suspense",Unknown,Unknown,23.0,R - 17+ (violence & profanity),7.771,245527.0,9402.0,347,533453,4102,2009.0
4039,Golgo 13 (TV),ゴルゴ13,Golgo 13,"Golgo 13 is not his real name. Then again, neither is Duke Togo, Tadashi Togo, or any number of the aliases he goes by. A man of mystery, not even the world’s most prominent intelligence agencies can determine who Golgo really is, or just where he came from. But all agree that his skills are nothing short of legendary.

Armed with a custom M16, Golgo is willing to take any job for any agency, from the FBI to the KGB. He has completed every contract he has ever taken and will work for anyone who can meet his price. He is both the greatest weapon and the greatest threat to any nation; no one is safe once they are in Golgo’s sights.",TV,50.0,Finished Airing,"Apr 12, 2008","Mar 28, 2009","TV Tokyo, Sotsu, Half H.P Studio",Sentai Filmworks,The Answer Studio,Manga,"Action, Adventure, Drama, Suspense",Adult Cast,teenager,24.0,R+ - Mild Nudity,7.521,10894.0,16092.0,3092,39553,205,2008.0
30484,Steins;Gate 0,シュタインズ・ゲート ゼロ,Steins;Gate 0,"The eccentric, self-proclaimed mad scientist Rintarou Okabe has become a shell of his former self. Depressed and traumatized after failing to rescue his friend Makise Kurisu, he has decided to forsake his mad scientist alter ego and live as an ordinary college student. Surrounded by friends who know little of his time travel experiences, Okabe spends his days trying to forget the horrors of his adventures alone. 

While working as a receptionist at a college technology forum, Okabe meets the short, spunky Maho Hiyajo, who 
later turns out to be the interpreter at the forum's presentation, conducted by Professor Alexis Leskinen. In front of a stunned crowd, Alexis and Maho unveil Amadeus—a revolutionary AI capable of storing a person's memories and creating a perfect simulation of that person complete with their personality and quirks. Meeting with Maho and Alexis after the presentation, Okabe learns that the two were Kurisu's colleagues in university, and that they have simulated her in Amadeus. Hired by Alexis to research the simulation's behavior, Okabe is given the chance to interact with the shadow of a long-lost dear friend. Dangerously tangled in the past, Okabe must face the harsh reality and carefully maneuver around the disastrous consequences that come with disturbing the natural flow of time.

[Written by MAL Rewrite]
",TV,23.0,Finished Airing,"Apr 12, 2018","Sep 27, 2018","Frontier Works, Media Factory, Kadokawa Shoten, Movic",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Time Travel,Unknown,23.0,PG-13 - Teens 13 or older,8.521,376823.0,1102.0,188,783047,10881,2018.0
10163,C: The Money of Soul and Possibility Control,「C」 THE MONEY OF SOUL AND POSSIBILITY CONTROL,[C] CONTROL - The Money and Soul of Possibility,"Money is power, and without it, life is meaningless. In a country whose economy is in shambles, second-year Economics university student Kimimaro Yoga understands this fact all too well, as he is surrounded by the relatively luxurious lives of his peers and struggling to make ends meet. However, his world is turned on its head when a stranger in a top hat arrives one late night at his door.

Going by the name Masakaki, the visitor petitions Yoga to come to the Eastern Financial District, a place where money flows in abundance if one offers their ""future"" as collateral. Although reluctant, greed triumphs reason and Yoga accepts the offer; thus, taking on the mantle of an ""Entre."" But unbeknownst to him, the land of wealth he has entered is an alternate realm built in the likeness of his own, where Entres are forced to participate in weekly duels called ""Deals,"" with their collateral at stake. Pitted against his countrymen and fate, Yoga must quickly adapt in this new world if he hopes to protect his fortune and future—and discover just how much money is truly worth.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 15, 2011","Jun 24, 2011","Dentsu, Fuji TV, Toho, Sony Music Entertainment, Fujipacific Music",Funimation,Tatsunoko Production,Original,"Action, Mystery, Suspense",Super Power,Unknown,22.0,PG-13 - Teens 13 or older,7.191,140631.0,30062.0,704,288811,1217,2011.0
47194,Summertime Render,サマータイムレンダ,Summer Time Rendering,"Since the death of his parents, Shinpei Ajiro had lived with the Kofune family and their two daughters—Mio and Ushio. Although he then left his home island to continue his education in Tokyo, Shinpei returns after Ushio tragically drowns during the attempted rescue of a little girl. During the funeral, his best friend informs him about bruises found around Ushio's neck, casting doubt over the cause of her death.

Suspecting a murder has taken place, Shinpei reevaluates recent events, but strange incidents only continue to transpire. Disappearing people and other unexplainable occurrences lead Mio to recall an old folktale referring to entities called ""Shadows,"" which may not be entirely fantasy. Supposedly, an encounter with one's Shadow foretells the person's impending demise.

Facing the dark side of Hitogashima Island, Shinpei stands against his grim fate to fulfill Ushio's final will—to protect Mio.

[Written by MAL Rewrite]
",TV,25.0,Currently Airing,"Apr 15, 2022","Sep 30, 2022","Movic, MAGES., Tokyo MX, Shueisha, Toy's Factory, Bandai Spirits",Unknown,OLM,Manga,"Mystery, Supernatural, Suspense",Unknown,young boy,23.0,R - 17+ (violence & profanity),8.491,51448.0,1222.0,738,277530,3235,2022.0
5682,Phantom: Requiem for the Phantom,Phantom 〜Requiem for the Phantom〜,Phantom Requiem for the Phantom,"Mafia is rife in America where assassinations are a regular occurrence on the streets. Inferno, a mysterious company, is behind most of these dealings through the use of their near-invincible human weapon, ""Phantom.""

One day, a Japanese tourist accidentally witnesses Phantom's latest murder. Desperate to escape, the tourist hides in a secluded building. However, Phantom, revealed to be a young woman named Ein, and the leader of Inferno ""Scythe Master"" captures the tourist and brainwashes him.

Given the name ""Zwei,"" this once peaceful tourist is now a puppet of Inferno with no memories. Drawn into a world of lies, deceit, and violence, Zwei must fight to survive, hopefully to one day regain his memories and escape from this world where he is constantly on the brink of death.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 3, 2009","Sep 25, 2009",Genco,Funimation,Bee Train,Visual novel,"Action, Drama, Suspense",Organized Crime,teenager,24.0,R+ - Mild Nudity,7.961,120418.0,6182.0,631,314659,4363,2009.0
46095,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),Vivy -Fluorite Eye's Song-,"When highly evolved AIs set out to eradicate mankind, the carnage that ensues fills the air with the stench of fresh blood and burning bodies. In a desperate bid to prevent the calamity from ever occurring, a scientist bets everything on a remnant from the past.

Turning the clock back a hundred years, AIs are already an integral part of human society, programmed with specific missions meant to be carried out for their entire course of operation. Vivy, the first ever autonomous AI, is a songstress tasked with spreading happiness through her voice. In a theme park where she hardly ever gets a proper audience, she strives to pour her heart out into her performances, bound to repeat it day after day—that is, until an advanced AI from the future appears before her and enlists her help in stopping a devastating war a hundred years in the making. With no time to process the revelation that flips her world upside down, Vivy is catapulted into a century-long journey to avert the violent history yet to come.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 3, 2021","Jun 19, 2021",Aniplex,Aniplex of America,Wit Studio,Original,"Action, Sci-Fi, Suspense","Music, Time Travel",Unknown,24.0,R - 17+ (violence & profanity),8.431,201231.0,1522.0,425,445297,9332,2021.0
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Re：ゼロから始める異世界生活,ReZERO -Starting Life in Another World-,"When Subaru Natsuki leaves the convenience store, the last thing he expects is to be wrenched from his everyday life and dropped into a fantasy world. Things are not looking good for the bewildered teenager; however, not long after his arrival, he is attacked by some thugs. Armed with only a bag of groceries and a now useless cell phone, he is quickly beaten to a pulp. Fortunately, a mysterious beauty named Satella, in hot pursuit after the one who stole her insignia, happens upon Subaru and saves him. In order to thank the honest and kindhearted girl, Subaru offers to help in her search, and later that night, he even finds the whereabouts of that which she seeks. But unbeknownst to them, a much darker force stalks the pair from the shadows, and just minutes after locating the insignia, Subaru and Satella are brutally murdered.

However, Subaru immediately reawakens to a familiar scene—confronted by the same group of thugs, meeting Satella all over again—the enigma deepens as history inexplicably repeats itself.

[Written by MAL Rewrite]",TV,25.0,Finished Airing,"Apr 4, 2016","Sep 19, 2016","TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures",Funimation,White Fox,Light novel,"Drama, Fantasy, Suspense","Isekai, Psychological, Time Travel",Unknown,25.0,R - 17+ (violence & profanity),8.241,281702.0,2922.0,24,1975711,62373,2016.0
