ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
18007,Dalam-iwa Goseumdochi,다람이와 고슴도치,Brave Soldier,"Squirrel and Hedgehog documents various animal communities warring and in conflict against one another, each animal being a symbolic representation of real life countries and sometimes political events.

A North Korean propaganda anime that was developed and produced in North Korea to be aired on state television.",TV,32.0,Finished Airing,1977,"Jun 6, 2012",SEK Studios,Unknown,Unknown,Unknown,Unknown,"Historical, Military",Unknown,20.0,R - 17+ (violence & profanity),,,175492.0,13557,573,3,1977.0
43447,Effendi De Gushi,阿凡提的故事,Unknown,Unknown,TV,14.0,Finished Airing,1979,1988,Unknown,Unknown,Unknown,Other,Unknown,Unknown,Kids,25.0,PG - Children,,,177682.0,19982,52,0,1979.0
43253,San Mao Liu Lang Ji (TV),三毛流浪记 (1984),Unknown,Unknown,TV,4.0,Finished Airing,1984,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,10.0,PG - Children,,,146842.0,19776,58,0,1984.0
9950,Hulu Xiongdi,葫芦兄弟,Unknown,"Legend has it that two demons were jailed in the Calabash Mountains, one a Scorpion spirit and the other a Snake spirit. However, years pass and a pangolin accidentally drills through the mountains and releases the demons.

An old man is hiking on the mountains nearby and falls next to a cave where the pangolin escapes from. The pangolin explains the situation and tells the old man the legend of seven calabashes that can save their land from being destroyed. The old man knows what he must do and obtains the legendary calabash plant seed in order to defeat the demons.

As each calabash matures, it transforms into a child with unique powers.  With a combined effort, these seven calabash brothers set on a mission to defeat the demons in a 13 episode-long adventure.

In a sequel series, it is later revealed that there was a third demon, specifically the sister to the snake spirit, that had been in hiding underground during the whole battle. The only survivor from the defeat of the two demons, a humanoid toad with a blinded eye, comes and desperately reports the news. Naturally, the demon is enraged and attacks the mountain that contains the seven brothers in order to avenge its siblings' deaths.

(Source: Wikipedia)",TV,13.0,Finished Airing,1986,1987,Unknown,Unknown,Unknown,Original,Unknown,Super Power,Unknown,10.0,PG - Children,6.451,200.0,66972.0,13850,521,3,1986.0
43613,Lata Dawang Qiyu Ji,邋遢大王奇遇记,Unknown,Unknown,TV,13.0,Finished Airing,1987,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Unknown,Kids,10.0,PG - Children,,,195122.0,19997,52,0,1987.0
52471,Lyeonglihan Neoguli,령리한 너구리,The Little Bear,"Clever Raccoon Dog is a North Korean animated television series produced by SEK Studio which aired on North Korean state television. The series was produced for a number of years and features both old and new animation style, depending on the production year of each episode. The series focuses on three main characters: A raccoon dog, A male bear and A female cat, often involved in minor adventures or incidents. Each episode has a scholastic element or a particular message, focusing on matters as scientific information, road safety, commitment to sport and contests, among others. 

(Source: Wikipedia)",TV,63.0,Finished Airing,1987,2009,Unknown,Unknown,SEK Studios,Original,Unknown,Unknown,Kids,13.0,PG - Children,,,131802.0,21106,29,0,1987.0
9868,Chengyu Donghua Lang,成語動畫廊,Unknown,A Hong-Kong animation that teaches Chinese idioms.,TV,180.0,Finished Airing,1987,1988,Jade Animation,Unknown,Unknown,Unknown,Unknown,Historical,Kids,3.0,PG - Children,,,173102.0,15327,348,2,1987.0
43642,Pi Pi De Gushi,皮皮的故事,Unknown,Unknown,TV,10.0,Finished Airing,1988,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Unknown,Kids,4.0,PG - Children,,,142762.0,20114,49,0,1988.0
52219,Toki Doki,Toki Doki,Unknown,"Toki Doki was a claymation-style animation created by Fusako Yusaki. Each episode had a theme, such as ""look"", ""jump"", ""sleep"", ""eat"" and etc.
",TV,13.0,Finished Airing,1989,1990,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,2.0,G - All Ages,,,156142.0,20466,41,0,1989.0
43803,Da Daozei,大盗贼,Unknown,Unknown,TV,8.0,Finished Airing,1989,1990,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,27.0,G - All Ages,,,175012.0,20278,46,0,1989.0
