anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
24575,Yume no Jidousha,夢の自動車,Unknown,"It is most likely a story about a great dream like car.

(Source: Wikipedia)",Movie,1.0,Finished Airing,1917-05-01,,Nikkatsu Mukojima,Unknown,Unknown,Original,Unknown,Racing,Unknown,,G - All Ages,,,164822.0,14096,479,1
23181,Otogi Banashi: Bunbuku Chagama,お伽囃 文福茶釜,Unknown,An animated adaptation of the folktale of Bunbuku Chagama.,Movie,1.0,Finished Airing,1917-10-10,,Unknown,Unknown,Unknown,Other,Unknown,Unknown,Kids,,G - All Ages,,,141392.0,15363,346,1
7485,Urashima Tarou (supposed title),浦島太郎,Unknown,"Urashima Tarou is based on a well-known Japanese folk tale about an honest fisherman who is invited to an underwater castle after saving a sea turtle on a beach from bullies.

(Source: forum.bcdb.com)

Note: The latest research has revealed that the film identified on this website as Urashima Tarou (supposed title), which was so named on the basis that it was believed to be a work by Seitaro Kitayama that was originally released in 1918, is actually a different film. Read more...

(Source: Japanese Animated Film Classics)

Note: Urashima Tarou (supposed title) is tinted in pink film. Not to be mistaken with Urashima Tarou (1931) which is a black and white film.
",Movie,1.0,Finished Airing,1918-02-01,,Unknown,Unknown,Unknown,Other,Unknown,Historical,Unknown,1.0,G - All Ages,4.671,1491.0,128012.0,9399,2556,0
49243,Kaeru no Yume,蛙の夢,Unknown,Unknown,Movie,1.0,Finished Airing,1918-02-28,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,None,,,188932.0,19399,81,0
21761,Ari to Hato,蟻と鳩,Unknown,In this tale an ant and a pigeon help each other.,Movie,1.0,Finished Airing,1918-07-18,,Unknown,Unknown,Unknown,Other,Unknown,Unknown,Kids,,G - All Ages,,,168732.0,15279,351,0
28689,Noroma na Jiji,のろまな爺,An Old Fool,"An early Noburou Oofuji film, it was artificially coloured in the senshoku (tinting) method, where the developed film was immersed in dye baths.",Movie,1.0,Finished Airing,1924-01-01,,Unknown,Unknown,Unknown,Original,Unknown,Historical,Unknown,5.0,G - All Ages,,,139452.0,16496,264,0
29555,Kinken Chochiku Shiobara Tasuke,勤倹貯蓄 塩原多助,Unknown,"""Industrious farmer Tasuke makes the necessary sacrifices to advance his station in life from a farmer to a store-owner. Based on a well-known kabuki tale Shiobara Tasuke ichitai-ki (The Life Story of Shiobara Tasuke), this parable about the virtues of hard work is based on a true story.""

(Source: Mubi)",Movie,1.0,Finished Airing,1925-01-01,,Unknown,Unknown,Unknown,Other,Unknown,Historical,Unknown,9.0,G - All Ages,5.051,192.0,123102.0,14684,406,0
35366,Seiji no Rinrika,政治の倫理化,Ethicization of Politics,"A series of animations and quotes depicting the political ideologies of Shinpei Goto, a cabinet member in the Taisho period.",Movie,1.0,Finished Airing,1926-01-01,,Unknown,Unknown,Unknown,Radio,Unknown,Historical,Unknown,32.0,G - All Ages,5.151,194.0,121032.0,14753,400,0
34992,Byoudoku no Denpa,病毒の伝播,Diseases Spread,"Eating a fish of frying, making flies in food due to improper circumstances, doing washing in the river, etc, the terrible venom spreads unexpectedly. In order to prevent it, it is essential to disinfect with salad water. When going out, it is important to mask the fungus and prevent fungal invasion and disinfect futon etc in the sunlight. Since one person's carelessness will lead to the family and, in the end, the disease spread will spread out in Japan, urge the attention so that hygiene ideals will spread.

(Source: Japanese Animated Film Classics)",Movie,1.0,Finished Airing,1926-01-01,,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,14.0,G - All Ages,5.171,219.0,120722.0,14528,422,0
7497,Mikan-bune,みかん船,A Ship of Oranges,A somewhat historical tale about a famous Japanese businessman who made his fortune by shipping oranges from the farmlands to the capital city of Edo.,Movie,1.0,Finished Airing,1927-02-11,,Unknown,Unknown,Unknown,Other,Unknown,Historical,Unknown,6.0,G - All Ages,4.671,557.0,128002.0,11597,1127,1
