Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Imokawa Mukuzo: Genkanban no Maki,芋川椋三玄関番の巻,Movie,Unknown,1917-01-01,Original,12191,5.321,913,2,Comedy
Hanawa Hekonai Kappa Matsuri,塙凹内かっぱまつり,Movie,Unknown,1917-01-01,Unknown,15844,,308,2,Comedy
Dekobou Shingachou: Meian no Shippai,凸坊新画帳 名案の失敗,Movie,Unknown,1917-02-01,Original,11310,5.411,1261,9,Comedy
Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,茶目坊新画帳 蚤夫婦仕返しの巻,Movie,Unknown,1917-04-28,Original,14600,,415,1,Comedy
Yume no Jidousha,夢の自動車,Movie,Unknown,1917-05-01,Original,14096,,479,1,Unknown
Saru to Kani no Gassen,サルとカニの合戦,Movie,Unknown,1917-05-20,Other,12182,4.911,915,1,Drama
Namakura Gatana,なまくら刀（塙凹内名刀之巻）,Movie,Unknown,1917-06-30,Original,6209,5.521,8136,12,Comedy
Neko to Nezumi,猫と鼠,Movie,Unknown,1917-07-04,Original,14488,,427,1,Comedy
Itazura Post,いたずらポスト,Movie,Unknown,1917-07-28,Original,14620,,413,1,Comedy
Chamebou Kuukijuu no Maki,茶目坊空気銃の巻,Movie,Unknown,1917-08-11,Original,14761,,399,0,Comedy
Hanasaka Jijii,花咲爺,Movie,Unknown,1917-08-26,Other,11769,4.871,1060,0,"Comedy, Drama"
Chokin no Susume,貯金の勤,Movie,Unknown,1917-10-07,Original,14437,,432,0,Comedy
Otogi Banashi: Bunbuku Chagama,お伽囃 文福茶釜,Movie,Unknown,1917-10-10,Other,15363,,346,1,Unknown
Shita-kiri Suzume,舌切雀,Movie,Unknown,1917-10-18,Original,14216,,463,1,Drama
Kachikachi Yama,カチカチ山,Movie,Unknown,1917-10-20,Other,12995,5.401,702,1,Drama
Urashima Tarou (supposed title),浦島太郎,Movie,Unknown,1918-02-01,Other,9399,4.671,2556,0,Unknown
Yukidaruma,雪達磨,Movie,Unknown,1918-02-15,Original,14649,,410,0,Fantasy
Kaeru no Yume,蛙の夢,Movie,Unknown,1918-02-28,Unknown,19399,,81,0,Unknown
Momotarou,桃太郎,Movie,Unknown,1918-03-01,Original,13454,5.601,595,0,Drama
Kintarou,金太郎,Movie,Unknown,1918-03-16,Original,14384,,440,0,Drama
Kobutori,瘤取り,Movie,Unknown,1918-03-19,Other,13783,5.711,532,0,Comedy
Issunboushi,一寸法師,Movie,Unknown,1918-03-20,Original,13724,5.651,541,0,Drama
Ari to Hato,蟻と鳩,Movie,Unknown,1918-07-18,Other,15279,,351,0,Unknown
Noroma na Jiji,のろまな爺,Movie,Unknown,1924-01-01,Original,16496,,264,0,Unknown
Usagi to Kame,兎と亀,Movie,Unknown,1924-01-01,Other,11240,5.201,1298,2,Fantasy
Akagaki Genzou: Tokuri no Wakare,赤垣源蔵徳利の別れ,Movie,Unknown,1924-01-01,Original,16200,,285,0,Comedy
Kanimanji Engi,蟹満寺縁起,Movie,Unknown,1925-01-01,Other,14285,5.371,453,0,Fantasy
Kinken Chochiku Shiobara Tasuke,勤倹貯蓄 塩原多助,Movie,Unknown,1925-01-01,Other,14684,5.051,406,0,Unknown
Nonki na Tou-san Ryuuguu Mairi,ノンキナトウサン竜宮参り,Movie,Unknown,1925-01-01,Other,16552,,259,1,Supernatural
Senga Tsubo,線畫 つぼ,Movie,Unknown,1925-01-01,Unknown,13092,5.431,673,0,Fantasy
Ubasuteyama,姥捨山,Movie,Unknown,1925-01-01,Original,11611,5.451,1121,0,Drama
Shisei Sasshin,市制刷新,Movie,Unknown,1925-01-01,Original,17405,,208,0,Slice of Life
Shin Kachikachi Yama,新カチカチ山,Movie,Unknown,1926-01-01,Other,18022,,171,0,Fantasy
Saiyuuki: Son Gokuu Monogatari,西遊記孫悟空物語,Movie,Unknown,1926-01-01,Novel,11409,5.391,1216,2,Adventure
