anime_ID,Start_Aired,Genres
17387,1917-01-01,Comedy
23651,1917-01-01,Comedy
23189,1917-02-01,Comedy
23187,1917-04-28,Comedy
24575,1917-05-01,Unknown
10742,1917-05-20,Drama
6654,1917-06-30,Comedy
24573,1917-07-04,Comedy
23183,1917-07-28,Comedy
23185,1917-08-11,Comedy
18457,1917-08-26,Comedy
18457,1917-08-26, Drama
23191,1917-10-07,Comedy
23181,1917-10-10,Unknown
10756,1917-10-18,Drama
10757,1917-10-20,Drama
7485,1918-02-01,Unknown
30957,1918-02-15,Fantasy
49243,1918-02-28,Unknown
10758,1918-03-01,Drama
10759,1918-03-16,Drama
22511,1918-03-19,Comedy
10760,1918-03-20,Drama
21761,1918-07-18,Unknown
28689,1924-01-01,Unknown
7494,1924-01-01,Fantasy
24857,1924-01-01,Comedy
29551,1925-01-01,Fantasy
29555,1925-01-01,Unknown
7495,1925-01-01,Supernatural
34969,1925-01-01,Fantasy
27573,1925-01-01,Drama
22995,1925-01-01,Slice of Life
33132,1926-01-01,Fantasy
7496,1926-01-01,Adventure
35366,1926-01-01,Unknown
34992,1926-01-01,Unknown
28691,1926-01-01,Comedy
28041,1926-10-06,Adventure
28041,1926-10-06, Romance
30176,1927-01-01,Adventure
7497,1927-02-11,Unknown
35391,1927-05-01,Drama
35492,1927-11-02,Fantasy
34958,1928-01-01,Unknown
5632,1928-01-01,Fantasy
4462,1928-01-01,Action
29557,1928-01-01,Unknown
39083,1928-04-27,Unknown
7498,1928-09-04,Comedy
7498,1928-09-04, Sports
35493,1929-01-01,Unknown
3930,1929-01-01,Supernatural
35408,1929-01-01,Unknown
35491,1929-02-16,Unknown
28045,1929-03-12,Action
28045,1929-03-12, Adventure
28045,1929-03-12, Fantasy
5873,1929-06-18,Action
5875,1929-10-14,Comedy
34982,1930-01-01,Adventure
5631,1930-01-01,Drama
5826,1930-03-01,Sports
23759,1930-03-07,Comedy
23759,1930-03-07, Sports
15137,1930-04-13,Unknown
35390,1930-05-20,Unknown
6769,1930-10-14,Unknown
6431,1931-01-01,Comedy
4398,1931-01-01,Fantasy
35409,1931-01-01,Unknown
35403,1931-01-01,Unknown
5811,1931-01-01,Action
5813,1931-01-01,Action
43333,1931-01-01,Comedy
5812,1931-01-01,Action
5869,1931-01-01,Action
29559,1931-01-01,Unknown
5868,1931-01-01,Unknown
6852,1931-01-01,Adventure
28047,1931-01-01,Adventure
28047,1931-01-01, Romance
34957,1931-01-01,Fantasy
35395,1931-01-01,Unknown
35388,1931-01-01,Comedy
