Start_Aired,Genres,count
1917-01-01,Comedy,2
1917-02-01,Comedy,1
1917-04-28,Comedy,1
1917-05-01,Unknown,1
1917-05-20,Drama,1
1917-06-30,Comedy,1
1917-07-04,Comedy,1
1917-07-28,Comedy,1
1917-08-11,Comedy,1
1917-08-26, Drama,1
1917-08-26,Comedy,1
1917-10-07,Comedy,1
1917-10-10,Unknown,1
1917-10-18,Drama,1
1917-10-20,Drama,1
1918-02-01,Unknown,1
1918-02-15,Fantasy,1
1918-02-28,Unknown,1
1918-03-01,Drama,1
1918-03-16,Drama,1
1918-03-19,Comedy,1
1918-03-20,Drama,1
1918-07-18,Unknown,1
1924-01-01,Comedy,1
1924-01-01,Fantasy,1
1924-01-01,Unknown,1
1925-01-01,Fantasy,2
1925-01-01,Slice of Life,1
1925-01-01,Supernatural,1
1925-01-01,Drama,1
1925-01-01,Unknown,1
1926-01-01,Unknown,2
1926-01-01,Fantasy,1
1926-01-01,Adventure,1
1926-01-01,Comedy,1
1926-10-06, Romance,1
1926-10-06,Adventure,1
1927-01-01,Adventure,1
1927-02-11,Unknown,1
1927-05-01,Drama,1
1927-11-02,Fantasy,1
1928-01-01,Unknown,2
1928-01-01,Action,1
1928-01-01,Fantasy,1
1928-04-27,Unknown,1
1928-09-04, Sports,1
1928-09-04,Comedy,1
1929-01-01,Unknown,2
1929-01-01,Supernatural,1
1929-02-16,Unknown,1
1929-03-12, Adventure,1
1929-03-12, Fantasy,1
1929-03-12,Action,1
1929-06-18,Action,1
1929-10-14,Comedy,1
1930-01-01,Adventure,1
1930-01-01,Drama,1
1930-03-01,Sports,1
1930-03-07,Comedy,1
1930-03-07, Sports,1
1930-04-13,Unknown,1
1930-05-20,Unknown,1
1930-10-14,Unknown,1
1931-01-01,Unknown,5
1931-01-01,Action,4
1931-01-01,Fantasy,3
1931-01-01,Comedy,3
1931-01-01,Adventure,3
1931-01-01, Romance,1
1931-02-10,Adventure,1
1931-05-01,Unknown,1
1931-05-28,Fantasy,1
1931-10-01,Adventure,1
1931-10-01, Comedy,1
1932-01-01,Unknown,4
1932-01-01,Action,2
1932-01-01, Sports,2
1932-01-01,Hentai,1
1932-01-01,Adventure,1
1932-01-01,Mystery,1
1932-01-26,Unknown,1
1932-10-22,Comedy,1
1933-01-01,Action,3
1933-01-01,Unknown,2
1933-01-01, Supernatural,2
1933-01-01,Drama,1
1933-01-01,Sci-Fi,1
1933-01-01,Adventure,1
1933-01-31,Action,1
1933-02-28,Adventure,1
1933-02-28, Comedy,1
1933-04-13,Unknown,1
1933-06-14, Adventure,1
1933-06-14,Action,1
1933-06-14,Adventure,1
1933-11-17,Adventure,1
1933-11-17, Comedy,1
1933-12-01,Slice of Life,1
1933-12-31, Supernatural,1
1933-12-31,Comedy,1
1934-01-01,Adventure,2
1934-01-01,Action,1
1934-01-01,Fantasy,1
1934-03-09,Adventure,1
1934-03-20,Unknown,1
1934-03-24,Unknown,1
1934-04-13,Fantasy,1
1934-06-23,Adventure,1
1934-06-23, Romance,1
1934-06-26,Comedy,1
1934-08-01,Comedy,1
1934-08-08,Fantasy,1
1934-10-25,Unknown,1
1935-01-01,Unknown,4
1935-01-01,Avant Garde,3
1935-01-01,Supernatural,2
1935-01-01,Action,1
1935-01-01,Adventure,1
1935-01-01,Fantasy,1
1935-03-19, Supernatural,1
1935-03-19,Comedy,1
1935-03-26,Adventure,1
1935-05-08,Action,1
1935-09-12,Unknown,1
1935-09-16,Unknown,1
1935-11-09,Action,1
1935-11-20,Comedy,1
1936-01-01,Comedy,3
1936-01-01, Fantasy,2
1936-01-01,Action,2
1936-01-01,Unknown,2
1936-01-01, Adventure,1
1936-01-01, Sports,1
1936-01-01,Adventure,1
1936-01-01,Fantasy,1
1936-06-06,Action,1
1936-11-01, Fantasy,1
1936-11-01,Action,1
1937-01-01, Comedy,1
1937-01-01,Action,1
1937-10-27,Unknown,1
1938-01-01,Unknown,1
1938-04-20, Drama,1
1938-04-20,Action,1
1938-12-05,Unknown,1
1939-01-01,Drama,1
1939-01-01,Fantasy,1
1939-01-01,Sports,1
1940-01-01,Action,1
1940-01-05,Fantasy,1
1940-05-16,Drama,1
1940-09-19,Comedy,1
1941-01-01,Comedy,2
1941-01-01, Fantasy,1
1941-01-01,Action,1
1941-01-01,Unknown,1
1941-01-01, Adventure,1
1941-02-01,Adventure,1
1942-01-01,Action,2
1942-01-01,Unknown,1
1942-03-15,Comedy,1
1942-07-16,Unknown,1
1943-03-25,Unknown,1
1943-04-15,Adventure,1
1943-07-01,Comedy,1
1943-11-26,Unknown,1
1944-11-09,Comedy,1
1945-04-12,Action,1
1946-01-01,Fantasy,2
1946-01-01,Unknown,1
1947-01-01,Unknown,1
1947-01-01,Drama,1
1947-09-25,Unknown,2
1948-01-01,Adventure,1
1948-01-01,Comedy,1
1948-01-01,Unknown,1
1948-02-01,Comedy,1
1948-02-01,Drama,1
1948-10-01,Unknown,1
1949-06-01,Unknown,1
1949-09-01,Sports,1
1949-10-01,Fantasy,1
1950-01-01,Adventure,1
1950-01-01,Drama,1
1950-01-01,Unknown,1
1950-12-01,Unknown,1
1951-01-01,Unknown,2
1951-02-01,Action,1
1952-01-01,Unknown,2
1952-01-01, Adventure,1
1952-01-01, Comedy,1
1952-01-01,Action,1
1952-12-01,Fantasy,1
1953-01-01,Unknown,2
1953-03-01,Comedy,1
1954-01-01,Unknown,3
1954-01-01,Comedy,1
1954-01-01, Fantasy,1
1954-03-01,Comedy,1
1954-04-01,Supernatural,1
1955-01-01,Unknown,5
1955-01-01,Comedy,1
1955-10-01,Fantasy,1
1955-12-26,Supernatural,1
1956-01-01,Unknown,9
1956-01-01,Drama,1
1956-04-01,Supernatural,1
1956-07-01,Fantasy,1
1957-01-01,Unknown,3
1957-05-13,Comedy,1
1957-08-20,Unknown,1
1957-10-29,Unknown,1
1958-01-01,Unknown,17
1958-01-01,Fantasy,2
1958-01-01,Comedy,1
1958-03-01,Unknown,1
1958-04-05,Drama,1
1958-10-15,Adventure,1
1958-10-22, Romance,1
1958-10-22,Adventure,1
1958-10-22, Fantasy,1
1959-01-01,Unknown,17
1959-01-01,Adventure,1
1959-02-10,Fantasy,1
1959-04-09,Comedy,1
1959-09-05,Unknown,1
1959-12-01,Unknown,1
1959-12-25,Adventure,1
1959-12-25, Fantasy,1
1960-01-01,Unknown,13
1960-01-01,Fantasy,3
1960-01-01,Avant Garde,2
1960-01-01,Romance,1
1960-01-01, Comedy,1
1960-01-15,Fantasy,1
1960-04-01,Unknown,1
1960-08-14,Adventure,1
1961-01-01,Unknown,7
1961-01-01,Comedy,2
1961-01-01,Avant Garde,1
1961-01-01,Drama,1
1961-01-01,Fantasy,1
1961-01-01,Sci-Fi,1
1961-04-03,Unknown,1
1961-05-01,Unknown,1
