themes,counter
Adult Cast,302
Anthropomorphic,325
CGDCT,169
Childcare,52
Combat Sports,86
Crossdressing,33
Delinquents,44
Detective,255
Educational,181
Gag Humor,206
Gore,122
Harem,371
High Stakes Game,34
Historical,1293
Idols (Female),238
Idols (Male),113
Isekai,208
Iyashikei,179
Love Polygon,69
Magical Sex Shift,23
Mahou Shoujo,211
Martial Arts,509
Mecha,1177
Medical,34
Military,623
Music,2829
Mythology,547
Organized Crime,53
Otaku Culture,61
Parody,680
Performing Arts,79
Pets,82
Psychological,390
Racing,176
Reincarnation,59
Reverse Harem,60
Romantic Subtext,36
Samurai,205
School,1732
Showbiz,25
Space,512
Strategy Game,299
Super Power,600
Survival,53
Team Sports,284
Time Travel,113
Unknown,9399
Vampire,146
Video Game,123
Visual Arts,78
Workplace,128
