themes,counter
Adult Cast,21
Anthropomorphic,6
Childcare,2
Combat Sports,17
Crossdressing,1
Delinquents,1
Detective,11
Educational,17
Gag Humor,12
Gore,2
Historical,117
Idols (Female),3
Iyashikei,1
Love Polygon,2
Mahou Shoujo,13
Martial Arts,14
Mecha,143
Medical,1
Military,45
Music,127
Mythology,11
Otaku Culture,1
Parody,19
Performing Arts,2
Pets,4
Psychological,2
Racing,10
Samurai,1
School,36
Space,101
Strategy Game,1
Super Power,24
Team Sports,36
Time Travel,4
Unknown,457
Vampire,4
Video Game,1
