Year,Type,Count
1917-01-01,Movie,2
1917-02-01,Movie,1
1917-04-28,Movie,1
1917-05-01,Movie,1
1917-05-20,Movie,1
1917-06-30,Movie,1
1917-07-04,Movie,1
1917-07-28,Movie,1
1917-08-11,Movie,1
1917-08-26,Movie,1
1917-10-07,Movie,1
1917-10-10,Movie,1
1917-10-18,Movie,1
1917-10-20,Movie,1
1918-02-01,Movie,1
1918-02-15,Movie,1
1918-02-28,Movie,1
1918-03-01,Movie,1
1918-03-16,Movie,1
1918-03-19,Movie,1
1918-03-20,Movie,1
1918-07-18,Movie,1
1924-01-01,Movie,3
1925-01-01,Movie,6
1926-01-01,Movie,5
1926-10-06,Movie,1
1927-01-01,Movie,1
1927-02-11,Movie,1
1927-05-01,Movie,1
1927-11-02,Movie,1
1928-01-01,Movie,4
1928-04-27,Movie,1
1928-09-04,Movie,1
1929-01-01,Movie,3
1929-02-16,Movie,1
1929-03-12,Movie,1
1929-06-18,Movie,1
1929-10-14,Movie,1
1930-01-01,Movie,2
1930-03-01,Movie,1
1930-03-07,Movie,1
1930-04-13,Movie,1
1930-05-20,Movie,1
1930-10-14,Movie,1
1931-01-01,Movie,18
1931-02-10,Movie,1
1931-05-01,Movie,1
1931-05-28,Movie,1
1931-10-01,Movie,1
1932-01-01,Movie,9
1932-01-26,Movie,1
1932-10-22,Movie,1
1933-01-01,Movie,8
1933-01-31,Movie,1
1933-02-28,Movie,1
1933-04-13,Movie,1
1933-06-14,Movie,2
1933-11-17,Movie,1
1933-12-01,Movie,1
1933-12-31,Movie,1
1934-01-01,Movie,4
1934-03-09,Movie,1
1934-03-20,Movie,1
1934-03-24,Movie,1
1934-04-13,Movie,1
1934-06-23,Movie,1
1934-06-26,Movie,1
1934-08-01,Movie,1
1934-08-08,Movie,1
1934-10-25,Movie,1
1935-01-01,Movie,12
1935-03-19,Movie,1
1935-03-26,Movie,1
1935-05-08,Movie,1
1935-09-12,Movie,1
1935-09-16,Movie,1
1935-11-09,Movie,1
1935-11-20,Movie,1
1936-01-01,Movie,9
1936-06-06,Movie,1
1936-11-01,Movie,1
1937-01-01,Movie,1
1937-10-27,Movie,1
1938-01-01,Movie,1
1938-04-20,Movie,1
1938-12-05,Movie,1
1939-01-01,Movie,3
1940-01-01,Movie,1
1940-01-05,Movie,1
1940-05-16,Movie,1
1940-09-19,Movie,1
1941-01-01,Movie,4
1941-02-01,Movie,1
1942-01-01,Movie,3
1942-03-15,Movie,1
1942-07-16,Movie,1
1943-03-25,Movie,1
1943-04-15,Movie,1
1943-07-01,Movie,1
1943-11-26,Movie,1
1944-11-09,Movie,1
1945-04-12,Movie,1
1946-01-01,Movie,3
1947-01-01,Movie,2
1947-09-25,Movie,2
1948-01-01,Movie,3
1948-02-01,Movie,2
1948-10-01,Movie,1
1949-06-01,Movie,1
1949-09-01,Movie,1
1949-10-01,Movie,1
1950-01-01,Movie,3
1950-12-01,Movie,1
1951-01-01,Movie,2
1951-02-01,Movie,1
1952-01-01,Movie,3
1952-12-01,Movie,1
1953-01-01,Movie,2
1953-03-01,Movie,1
1954-01-01,Movie,4
1954-03-01,Movie,1
1954-04-01,Movie,1
1955-01-01,Movie,6
1955-10-01,Movie,1
1955-12-26,Movie,1
1956-01-01,Movie,10
1956-04-01,Movie,1
1956-07-01,Movie,1
1957-01-01,Movie,3
1957-05-13,Movie,1
1957-08-20,Movie,1
1957-10-29,Movie,1
1958-01-01,Movie,19
1958-01-01,Special,1
1958-03-01,Movie,1
1958-04-05,Movie,1
1958-10-15,Special,1
1958-10-22,Movie,1
