ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
6,Trigun,トライガン,Trigun,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs.

With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 1, 1998","Sep 30, 1998",Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,"Action, Adventure, Comedy, Drama, Sci-Fi",Adult Cast,young boy,24.0,PG-13 - Teens 13 or older,8.221,335568.0,3112.0,243,677402,13704,1998.0
12431,Uchuu Kyoudai,宇宙兄弟,Space Brothers,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars.

Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago.

[Written by MAL Rewrite]",TV,99.0,Finished Airing,"Apr 1, 2012","Mar 22, 2014","Yomiuri Telecasting, Trinity Sound",Sentai Filmworks,A-1 Pictures,Manga,"Comedy, Sci-Fi, Slice of Life","Adult Cast, Space, Workplace",teenager,24.0,PG-13 - Teens 13 or older,8.501,49623.0,1202.0,1117,179361,3703,2012.0
3613,Toshokan Sensou,図書館戦争,Library Wars,"Toshokan Sensou tells the story of Kasahara Iku, the first woman to join the Library Task Force. In the near future in Japan, the Media Enhancement Law has been forced upon the population censoring all books and media. To counter this, the Library Defense Force was created. To protect themselves against the Media Enhancement Law Commission, all major libraries are fully equipped with a military Task Force, who take it upon themselves to protect the books and freedom of media of the people.

This anime follows Iku and her fellow soldiers as they protect various special books and artifacts from the oppression of the Media Enhancement Law Commission. A love story, war story, and comedy all rolled into one.",TV,12.0,Finished Airing,"Apr 11, 2008","Jun 27, 2008","Dentsu, Fuji TV, Code, Asmik Ace, ASCII Media Works, Sony Music Entertainment, Atelier Musa",Discotek Media,Production I.G,Novel,"Action, Comedy, Romance","Adult Cast, Military",Unknown,23.0,PG-13 - Teens 13 or older,7.451,26084.0,18352.0,2251,69865,386,2008.0
4039,Golgo 13 (TV),ゴルゴ13,Golgo 13,"Golgo 13 is not his real name. Then again, neither is Duke Togo, Tadashi Togo, or any number of the aliases he goes by. A man of mystery, not even the world’s most prominent intelligence agencies can determine who Golgo really is, or just where he came from. But all agree that his skills are nothing short of legendary.

Armed with a custom M16, Golgo is willing to take any job for any agency, from the FBI to the KGB. He has completed every contract he has ever taken and will work for anyone who can meet his price. He is both the greatest weapon and the greatest threat to any nation; no one is safe once they are in Golgo’s sights.",TV,50.0,Finished Airing,"Apr 12, 2008","Mar 28, 2009","TV Tokyo, Sotsu, Half H.P Studio",Sentai Filmworks,The Answer Studio,Manga,"Action, Adventure, Drama, Suspense",Adult Cast,teenager,24.0,R+ - Mild Nudity,7.521,10894.0,16092.0,3092,39553,205,2008.0
35968,Wotaku ni Koi wa Muzukashii,ヲタクに恋は難しい,Wotakoi Love is Hard for Otaku,"Having slept through all four of her alarms, the energetic Narumi Momose finds herself running late for her first day of work at a new office. As she races to catch her train, she makes a promise to herself that none of her coworkers will find out about her dark secret: that she is an otaku and a fujoshi. Her plan goes instantly awry, though, when she runs into Hirotaka Nifuji, an old friend from middle school. Although she tries to keep her secret by inviting him out for drinks after work, her cover is blown when he casually asks her whether or not she will be attending the upcoming Summer Comiket. Luckily for her, the only witnesses—Hanako Koyanagi and Tarou Kabakura—are otaku as well.

Later that night, the pair go out for drinks so that they can catch up after all the years apart. After Narumi complains about her previous boyfriend breaking up with her because he refused to date a fujoshi, Hirotaka suggests that she try dating a fellow otaku, specifically himself. He makes a solemn promise to always be there for her, to support her, and to help her farm for rare drops in Monster Hunter. Blown away by the proposal, Narumi agrees immediately. Thus the two otaku start dating, and their adorably awkward romance begins.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 13, 2018","Jun 22, 2018","Aniplex, Dentsu, Fuji TV, Half H.P Studio, Ichijinsha, Kanetsu Investment, Christmas Holly",Unknown,A-1 Pictures,Web manga,Romance,"Adult Cast, Otaku Culture, Workplace",Unknown,22.0,PG-13 - Teens 13 or older,7.951,457713.0,6282.0,165,851171,10291,2018.0
7588,Saraiya Goyou,さらい屋 五葉,House of Five Leaves,"Saraiya Goyou follows Masanosuke Akitsu, a wandering ronin adrift in Japan's peaceful Edo period. Despite being a skilled swordsman, Masa's meek personality has netted him the label ""unreliable,"" and he is often abruptly dismissed by his employers, leading him to question his resolve as a samurai. 

As Masa reaches his lowest point, he is approached by Yaichi, a carefree man draped in pink who seemingly hires him on a whim as his bodyguard. Unbeknownst to Masa, the job is not as innocent as it seems, and he is drawn into the illicit activities of the group spearheaded by Yaichi. As he becomes further entwined with the gang known as the ""Five Leaves,"" Masa struggles with his own principles. Still, his curiosity spurs him forward to uncover the past and motivations of this mysterious band of outlaws.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 16, 2010","Jul 2, 2010","Dentsu, Media Factory, Movic, Fuji TV, Shogakukan","NIS America, Inc.",Manglobe,Manga,"Drama, Mystery","Adult Cast, Historical, Samurai",teenager,23.0,PG-13 - Teens 13 or older,7.791,26044.0,9052.0,1993,85951,818,2010.0
1,Cowboy Bebop,カウボーイビバップ,Cowboy Bebop,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.

Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi.

While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.

[Written by MAL Rewrite]
",TV,26.0,Finished Airing,"Apr 3, 1998","Apr 24, 1999",Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,"Action, Sci-Fi","Adult Cast, Space",Unknown,24.0,R - 17+ (violence & profanity),8.751,859237.0,382.0,43,1664168,73936,1998.0
9941,Tiger & Bunny,TIGER & BUNNY （タイガー・アンド・バニー）,Tiger & Bunny,"In Stern Bild City, those with special abilities are called ""NEXT,"" and can use their powers for good or bad. A unique organized group of NEXT appear regularly on Hero TV, where they chase down evildoers to bring limelight to their sponsors and earn Hero Points in the hopes of becoming the next ""King of Heroes.""

Kotetsu T. Kaburagi, known as ""Wild Tiger,"" is a veteran hero whose performance has been dwindling as of late, partially due to his inability to cooperate with other heroes. After a disappointing season in which most of the other heroes far outperformed Tiger, he is paired up with a brand new hero who identifies himself by his real name—Barnaby Brooks Jr.

Barnaby, nicknamed ""Bunny"" by his frivolous new partner, quickly makes it clear that the two could not be more different. Though they mix as well as oil and water, Tiger and Bunny must learn to work together, both for the sake of their careers and to face the looming threats within Stern Bild.

[Written by MAL Rewrite]",TV,25.0,Finished Airing,"Apr 3, 2011","Sep 18, 2011","Bandai Visual, Mainichi Broadcasting System, Tohokushinsha Film Corporation",VIZ Media,Sunrise,Original,"Action, Comedy, Mystery","Adult Cast, Super Power",Unknown,24.0,PG-13 - Teens 13 or older,7.871,86567.0,7522.0,948,214468,2894,2011.0
29067,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,旦那が何を言っているかわからない件2スレ目,I Can't Understand What My Husband Is Saying 2nd Thread,"The Tsunashi couple is as lively and offbeat as ever. Hardcore otaku shut-in Hajime and workaholic office lady Kaoru still get themselves into hilarious situations thanks to both their own eccentric natures and the bizarre group of friends surrounding them.

After learning about Kaoru's pregnancy, Hajime works harder than ever to become a good husband and a worthy father. Meanwhile, Kaoru reflects on their relationship and remembers all of the trials and tribulations that brought them closer. The two of them continue to put their best foot forward in their lives and their marriage—all for the sake of long-lasting, selfless love.

[Written by MAL Rewrite]
",TV,13.0,Finished Airing,"Apr 3, 2015","Jun 26, 2015","DAX Production, Dream Creation",Unknown,Seven,4-koma manga,"Comedy, Romance","Adult Cast, Otaku Culture",teenager,3.0,PG-13 - Teens 13 or older,7.331,113528.0,23012.0,1087,185425,188,2015.0
34550,Warau Salesman New,笑ゥせぇるすまんNEW,The Laughing Salesman,"Each episode follows Fukuzou Moguro, a traveling salesman, and his current customer. Moguro deals in things that give his customers their heart's desire, and once his deals are made and their unhealthy desires are satisfied, Moguro's customers are often left with terrible repercussions, especially if they break the rules of his deals...",TV,12.0,Finished Airing,"Apr 3, 2017","Jun 19, 2017","TMS Entertainment, Nippon Columbia, Shogakukan Music & Digital Entertainment",Unknown,Shin-Ei Animation,Manga,"Comedy, Drama",Adult Cast,teenager,23.0,PG-13 - Teens 13 or older,6.271,7288.0,76752.0,4549,17749,14,2017.0
