ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
43948,Taiyang Zhizi,太阳之子,Unknown,Unknown,TV,52.0,Finished Airing,1992,Unknown,Unknown,Unknown,Unknown,Unknown,"Adventure, Fantasy, Sci-Fi",Anthropomorphic,Kids,12.0,PG - Children,,,153912.0,21143,28,0,1992.0
43825,Jingquan Jiuhu Dui,警犬救护队,Unknown,Unknown,TV,4.0,Finished Airing,1993,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Anthropomorphic,Kids,20.0,PG - Children,,,188172.0,20731,34,0,1993.0
43831,Da Senlin Li De Xiao Gushi,大森林里的小故事,Unknown,Unknown,TV,11.0,Finished Airing,1995,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Fantasy,Anthropomorphic,Kids,5.0,PG - Children,,,175182.0,20793,33,0,1995.0
43942,Xiao Zhu Heng Heng,小猪哼哼,Unknown,Unknown,TV,6.0,Finished Airing,1996,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Anthropomorphic,Kids,5.0,PG - Children,,,161612.0,21180,27,0,1996.0
43356,McDull and McMug,麦兜与麦唛,Unknown,Unknown,TV,13.0,Finished Airing,1997,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,Anthropomorphic,Kids,21.0,PG - Children,,,133392.0,20063,51,0,1997.0
43956,Xuewen Mao Jiao Hanzi,学问猫教汉字,The Schoolar Cat,Unknown,TV,52.0,Finished Airing,1998,Unknown,Unknown,Unknown,Unknown,Original,Unknown,"Anthropomorphic, Educational",Kids,9.0,PG - Children,,,162962.0,20918,31,0,1998.0
43946,Fanqie Jiang,番茄酱,Unknown,Unknown,TV,26.0,Finished Airing,1998,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Anthropomorphic,Kids,5.0,PG - Children,,,178322.0,21121,28,0,1998.0
43945,Cong Ming De Ben Xiao Zhu,聪明的笨小猪,Unknown,Unknown,TV,17.0,Finished Airing,1998,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Anthropomorphic,Kids,10.0,PG - Children,,,174702.0,20823,32,0,1998.0
43949,Gulu Xiansheng,咕噜先生,Unknown,Unknown,TV,26.0,Finished Airing,1998,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Comedy,Anthropomorphic,Kids,11.0,PG - Children,,,181462.0,21089,29,0,1998.0
43856,Zhongdian Fuzi,钟点父子,Unknown,Unknown,TV,26.0,Finished Airing,1999,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Anthropomorphic,Kids,12.0,PG - Children,,,165942.0,21073,29,0,1999.0
43955,Wan Wan Qian Qian Weisheme,万万千千为什么,Unknown,Unknown,TV,52.0,Finished Airing,1999,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Anthropomorphic,Kids,5.0,PG - Children,,,158972.0,20875,32,0,1999.0
