ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
6116,Mainichi Kaasan,毎日かあさん,Kaasan Mom's Life,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,TV,142.0,Finished Airing,"Apr 1, 2009","Mar 25, 2012",Nihon Ad Systems,Unknown,Unknown,Manga,"Comedy, Slice of Life",Childcare,Unknown,25.0,PG - Children,7.211,969.0,29192.0,8998,2971,24,2009.0
40716,Kakushigoto,かくしごと,Kakushigoto,"Kakushi Gotou is a somewhat popular manga artist whose works are known for inappropriate content. Because of this raunchiness, when his daughter Hime was born, he vowed to keep his profession hidden from her, believing that she will be disillusioned if she finds out. 

This paranoia-induced belief leads Kakushi into hectic situations. Despite being a single father, he does his best and often resorts to extreme ends just to protect his secret, such as guising as a salaryman every day or holding emergency drills in case Hime somehow finds her way to his workplace.

Kakushigoto tells the story of a father and daughter living side by side, maintaining their peaceful existence as the father attempts to preserve the status quo. However, there is a saying: ""there are no secrets that time cannot reveal."" In time, Hime must learn the reality behind the things she took for granted as she grew up.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 2, 2020","Jun 18, 2020","Dentsu, Marvelous, Kodansha, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, A-Sketch",Funimation,Ajia-Do,Manga,Comedy,"Childcare, Gag Humor, Otaku Culture",young boy,23.0,PG-13 - Teens 13 or older,8.001,125866.0,5662.0,688,295509,1983,2020.0
102,Aishiteruze Baby★★,愛してるぜ ベイベ★★,Unknown,"Katakura Kippei is in every way a high school playboy. Spending his days flirting with any female he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the fulltime task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride.",TV,26.0,Finished Airing,"Apr 3, 2004","Oct 9, 2004","Animax, Toei Video, Sunny Side Up",Unknown,TMS Entertainment,Manga,"Comedy, Drama, Romance",Childcare,young girl,25.0,PG-13 - Teens 13 or older,7.451,51937.0,18392.0,1814,98646,525,2004.0
3358,Kure-nai,紅,Kurenai,"Shinkurou Kurenai is a 16-year-old student by day and a dispute mediator by night. Though kind-hearted and patient, due to his tragic past, he has trained for years to live on. Now, despite his unimposing appearance, he is a strong martial artist, who also possesses a strange power.

While taking various jobs for his employer, Benika Juuzawa, one assignment leads Shinkurou to live with Murasaki Kuhouin as her bodyguard. Murasaki is the seven-year-old daughter of a plutocratic family, who escaped her home under peculiar circumstances with Benika's help. Commoner life, in her eyes, seems bizarre. However, by interacting with her neighbors, she grows more accustomed to the daily routine, and rids herself of her snobbish behavior, gradually growing attached to Shinkurou.

Though many details of the job remain unclear, Shinkurou still strives to protect the young lady. But to make things more complicated, he also lacks a crucial fact—what is the real threat against Murasaki?

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2008","Jun 20, 2008","Yomiko Advertising, Pony Canyon, Half H.P Studio, Shueisha",Sentai Filmworks,Brain's Base,Light novel,"Comedy, Drama","Childcare, Martial Arts",Unknown,25.0,PG-13 - Teens 13 or older,7.351,36378.0,22222.0,1976,86924,222,2008.0
36296,Hinamatsuri (TV),ヒナまつり,Hinamatsuri,"While reveling in the successful clinching of a prized vase for his collection, Yoshifumi Nitta, a yakuza member, is rudely interrupted when a large, peculiar capsule suddenly materializes and falls on his head. He opens the capsule to reveal a young, blue-haired girl, who doesn't divulge anything about herself but her name—Hina—and the fact that she possesses immense powers. As if things couldn't get any worse, she loses control and unleashes an explosion if her powers remain unused. Faced with no other choice, Nitta finds himself becoming her caregiver. 

To let her use her powers freely, Nitta asks Hina to help out with a construction deal, which goes smoothly. But while this is happening, a rival yakuza group covertly attacks his boss. To Nitta's shock, his colleagues later pin the blame on him! Tasked with attacking the rival group in retaliation, Nitta steels himself and arrives at their hideout. But suddenly, Hina unexpectedly steps in and helps him wipe out the entire group. As it turns out, Hina might just become a valuable asset to Nitta and his yakuza business, provided she does not use her powers on him first! And so the strange life of this unusual duo begins.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 6, 2018","Jun 22, 2018","Media Factory, Magic Capsule, Nippon Columbia, Kadokawa Media House, Akatsuki",Funimation,feel.,Manga,"Comedy, Supernatural","Childcare, Organized Crime",teenager,23.0,PG-13 - Teens 13 or older,8.151,229701.0,3862.0,410,460259,4155,2018.0
50265,Spy x Family,SPY×FAMILY,Unknown,"Corrupt politicians, frenzied nationalists, and other warmongering forces constantly jeopardize the thin veneer of peace between neighboring countries Ostania and Westalis. In spite of their plots, renowned spy and master of disguise ""Twilight"" fulfills dangerous missions one after another in the hope that no child will have to experience the horrors of war.

In the bustling Ostanian city of Berlint, Twilight dons the alias of ""Loid Forger,"" an esteemed psychiatrist. However, his true intention is to gather intelligence on prominent politician Donovan Desmond, who only appears rarely in public at his sons' school: the prestigious Eden Academy. Enlisting the help of unmarried city hall clerk Yor Briar to act as his wife and adopting the curious six-year-old orphan Anya as his daughter, Loid enacts his master plan. He will enroll Anya in Eden Academy, where Loid hopes she will excel and give him the opportunity to meet Donovan without arousing suspicion. 

Unfortunately for Loid, even a man of his talents has trouble playing the figure of a loving father and husband. And just like Loid is hiding his true identity, Yor—who is an underground assassin known as ""Thorn Princess""—and Anya—an esper who can read people's minds—have no plans to disclose their own secrets either. Although this picture-perfect family is founded on deception, the Forgers gradually come to understand that the love they share for one another trumps all else.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 9, 2022","Jun 25, 2022","TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Shueisha",Unknown,"Wit Studio, CloverWorks",Manga,"Action, Comedy",Childcare,young boy,24.0,PG-13 - Teens 13 or older,8.761,594653.0,372.0,122,1023960,33061,2022.0
351,Ojamajo Doremi Sharp,おジャ魔女どれみ＃,Unknown,"At the end of the first season, Doremi and her friends all had to give up their witch powers and be normal girls again. This also meant that they couldn't see Majorika, Lala, and the fairies again. The MAHO-Dou was also deserted and the door to the Majokai was locked.

The Queen, having seen all this through her crystal ball, secretly makes it so that Doremi and co. all end up heading into the Majokai again, with the excuse to return Majorika's hair dryer. However they end up stumbling into a garden, and one of the roses reveals a baby!

The Queen tells the girls that they must raise the baby for a whole year. To help them, they receive newer and stronger witch powers than before! The adventure isn't over yet!",TV,49.0,Finished Airing,"Feb 6, 2000","Jan 28, 2001",Asahi Broadcasting,Unknown,Toei Animation,Original,Comedy,Childcare,young girl,24.0,G - All Ages,7.391,9518.0,20562.0,4372,19401,88,2000.0
333,Mama wa Shougaku 4 Nensei,ママは小学４年生,Mama is Just a Fourth Grade Pupil," Natsumi Mizuki is a 4th grader whose parents have gone to London. Her Aunt Izumi comes to live with her. Izumi is an aspiring manga writer who is trying to get her first big break, so she doesn't have time for a baby that appears out of thin air on Natsumi's first night alone. The baby's name is Mirai and her mother is *Natsumi*, but 15 years older. Somehow, Mirai had traveled back in time. Now the young Natsumi has to raise Mirai while trying to keep her 4th grade life from falling apart and keep Mirai-chan secret from everyone. She has the dubious help of Izumi and some baby-care gadgets from the future.  

(Source: ANN)",TV,51.0,Finished Airing,"Jan 10, 1992","Dec 25, 1992",Unknown,Unknown,Sunrise,Original,"Comedy, Drama, Sci-Fi",Childcare,Unknown,24.0,PG - Children,7.331,2157.0,23152.0,7138,5717,37,1992.0
39575,Somali to Mori no Kamisama,ソマリと森の神様,Somali and the Forest Spirit,"In a world inhabited by demons, cyclopes, and other fantastic creatures, humans stand apart as the outcasts. Quick to anger, the human race engaged in a war that all but wiped them out. The few humans that remain are seen as a delicacy, serving no purpose but to be hunted down and eaten.

One day, Golem, a wandering protector of nature, encounters a lone human child while patrolling. Inspired by her enthusiasm, he takes the girl, named Somali, under his wing. Together, the duo embarks on a journey to find Somali's parents and bring her home.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 10, 2020","Mar 27, 2020","Movic, Crunchyroll, North Stars Pictures, JY Animation, CA-Cygames Anime Fund, Mixer",Unknown,"Satelight, HORNETS",Web manga,"Adventure, Drama, Fantasy, Slice of Life","Childcare, Mythology",Unknown,23.0,PG-13 - Teens 13 or older,7.831,106345.0,8382.0,785,261330,1507,2020.0
6574,Hanamaru Youchien,はなまる幼稚園,Hanamaru Kindergarten,"Anzu goes to a kindergarten with her friends, the shy Koume and the eccentric Hiiragi. Together they try to attract attention from their caretaker Tsuchida. However, he is clearly more interested in the pretty Yamamoto who supervises the class next door.",TV,12.0,Finished Airing,"Jan 11, 2010","Mar 29, 2010","Starchild Records, Omnibus Japan, TV Tokyo Music",Unknown,Gainax,Manga,"Comedy, Slice of Life",Childcare,teenager,24.0,PG-13 - Teens 13 or older,7.281,35707.0,25862.0,2023,83812,214,2010.0
