ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
17671,Animal 1,アニマル１,Unknown,"Ichirou Azuma, a young amateur wrestler, wants to participate in the Olympics Games in Mexico.

(Source: ANN)",TV,27.0,Finished Airing,"Apr 1, 1968","Sep 30, 1968",Mushi Production,Unknown,Unknown,Unknown,Sports,Combat Sports,Unknown,22.0,PG-13 - Teens 13 or older,,,168182.0,13381,608,1,1968.0
2402,Ashita no Joe,あしたのジョー,Tomorrow's Joe,"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills.

One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Joe dismisses Danpei as a hopeless drunk; but after the trainer saves his life, he agrees to live with him and learn the art of boxing. Unfortunately, Joe's personality makes him an unruly student, and he often falls back to his old ways.

To survive the harsh world of his new career, Joe needs to trust his mentor and master the techniques taught to him. However, the road to becoming a professional boxer is rife with struggles that will test his mettle to the end.

[Written by MAL Rewrite]",TV,79.0,Finished Airing,"Apr 1, 1970","Sep 29, 1971",Fuji TV,Unknown,Mushi Production,Manga,"Action, Drama, Slice of Life, Sports",Combat Sports,young boy,25.0,PG-13 - Teens 13 or older,8.281,20410.0,2542.0,2084,78983,1723,1970.0
11857,Judo Sanka,柔道讃歌,Unknown,"Based on Hiroshi Kaizuka's manga.

The last TMS sports-themed anime series (""Star of the Giants"" was the first).

Because of low ratings, the series was pulled off the air before later episodes of the original manga could be adapted.",TV,27.0,Finished Airing,"Apr 1, 1974","Sep 30, 1974",Tokyo Movie Shinsha,Unknown,Unknown,Unknown,Sports,Combat Sports,young boy,21.0,G - All Ages,,,188562.0,13749,537,1,1974.0
10346,Ring ni Kakero 1: Sekai Taikai-hen,リングにかけろ1 世界大会編,Unknown,"After defeating Black Shaft's makeshift Team USA and proving their worth to the Shadow Clan, Team Golden Japan Jr. will finally enter the World Jr. Boxing Tournament. In order to fulfill their goal of a perfect victory they'll have to take on teams from countries like Mexico, Italy, France, Germany, and the mysterious and godlike Team Greece.

(Source: ANN)",TV,6.0,Finished Airing,"Apr 10, 2011","Jun 12, 2011",Unknown,Unknown,Toei Animation,Manga,Sports,Combat Sports,Unknown,24.0,PG-13 - Teens 13 or older,6.321,338.0,73842.0,11091,1368,2,2011.0
4062,Musashi no Ken,六三四の剣,Unknown,"Musashi no Ken is the story of a boy named Musashi who aims to be the Kendo champion.  Part of the anime is him as a child, and part is of him as an adult.",TV,72.0,Finished Airing,"Apr 18, 1985","Sep 26, 1986",Unknown,Unknown,Eiken,Manga,Sports,Combat Sports,young boy,24.0,G - All Ages,7.171,492.0,31052.0,9654,2336,9,1985.0
7793,Ring ni Kakero 1: Kage Dou-hen,リングにかけろ1 影道編,Unknown,"After defeating Black Shaft's makeshift Team America, the Golden Japan Jr. team returns to training for the World Tournament that will be held in Tokyo. But during training the Shadow Clan, which uses boxing as an assassination technique, kidnaps Kiku in order to lure Ryuji and the others into a fight to see who's truly the better representatives of Japan's junior boxers.

(Source: ANN)",TV,6.0,Finished Airing,"Apr 2, 2010","Jun 17, 2010",Unknown,Unknown,Toei Animation,Manga,"Action, Sports",Combat Sports,young boy,21.0,PG-13 - Teens 13 or older,6.361,408.0,71552.0,10607,1670,1,2010.0
5832,Tiger Mask Nisei,タイガーマスク二世,Unknown,"Second season to the original Tiger Mask, with a different cast of characters.",TV,33.0,Finished Airing,"Apr 20, 1981","Jan 18, 1982",Unknown,Unknown,Toei Animation,Manga,"Action, Drama, Sports",Combat Sports,Unknown,24.0,R - 17+ (violence & profanity),7.281,2696.0,25712.0,7100,5816,16,1981.0
8216,Aa Harimanada,ああ播磨灘,Unknown,"When Harimanada makes his grand entrance into the world of Sumo, he causes complete uproar throughout the entire arena. The novelty headmask is clearly not a good idea but not content with just ruffling the feathers of all the spectators, he sends the the entire Sumo Association into a frenzy when he arrogantly declares that he will surpass the legendary Futabayama's consecutive run of 69 victories. Should he fail to achieve such a feat, he will immediately retire all together.

Harimanada's impudent remarks cause a huge backlash as every high-ranking Yokuzuna wants the chance to knock him down and humiliate him for showing such arrogance.

Thus begins Harimanada's journey to the top as he battles to topple the entire Sumo hierarchy!",TV,23.0,Finished Airing,"Apr 23, 1992","Oct 1, 1992",TV Tokyo,Unknown,E&G Films,Manga,Sports,"Combat Sports, Martial Arts",teenager,24.0,PG-13 - Teens 13 or older,6.091,481.0,85752.0,10652,1641,5,1992.0
3272,Kinnikuman,キン肉マン,Unknown,Kinnikuman is a superhero... a bad one. The one day a person named Meat tells Kinnikuman that he is the prince of an alien planet. Kinnikuman must save the day numerous times fighting evil chiyojins and competing in tournaments to prove himself to his family and to gain respect and money.,TV,137.0,Finished Airing,"Apr 3, 1983","Oct 1, 1986",Nippon Television Network,Unknown,Toei Animation,Manga,"Adventure, Comedy, Sports",Combat Sports,young boy,24.0,PG-13 - Teens 13 or older,7.241,3422.0,27572.0,5533,10737,67,1983.0
40729,Nomad: Megalo Box 2,NOMAD メガロボクス2,Megalobox 2 Nomad,"Megalo Box is an advanced form of boxing where competitors wear metal frames called Gear. When the first ever Megalonia tournament took place, ""Gearless"" Joe became its champion and known to all as a legendary fighter. However, soon after, he lost an exhibition match against the second champion and vanished from the public eye.

Seven years later, Joe now goes by ""Nomad"" and keeps a low profile, occasionally fighting in a few underground matches to get by. He is haunted by hallucinations and relies on a set of painkillers to numb his mind.

During a match, Joe wins against an opponent, Chief, who purposefully loses for some extra cash from gamblers. Subsequently, Joe discovers that Chief is from a community of immigrants called the Casa. Chief is gradually trying to make enough money to purchase the land where they live illegally. At first, Joe hesitates to get involved, but eventually decides to lend the Casa a helping hand.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 4, 2021","Jun 27, 2021","Kodansha, Tohokushinsha Film Corporation, Bandai Namco Arts",Funimation,TMS Entertainment,Original,"Drama, Sci-Fi, Sports",Combat Sports,Unknown,24.0,R - 17+ (violence & profanity),8.211,69317.0,3162.0,1147,176242,1832,2021.0
1771,Ring ni Kakero 1: Nichibei Kessen-hen,リングにかけろ1 日米決戦編,Ring ni Kakero 1 Episode The Pacific War,"Immediately after Ryuuji Takane won the Champion Carnival, the U.S. Junior Champion Black Shaft appeared, and challenged the best Japan has to offer, just before the World Tournament is about to happen. Now Ryuuji, Takeshi Kawai, Kazuki Shinatora, Ishimatsu Katori, and Superstar Jun Kenzaki have to prove to not only Black Shaft, but the world, that they are truly world-class boxers before the World Tournament starts. But Shaft is not recruiting boxers for his challenge, but instead gets a life-timer criminal from Death Row, the leader of the Great Angels, one of the toughest gangs in America, a mysterious woman, and the ""Dark Emperor of the South"". Also, Shaft negotiates with Don Juliano, the Italian Junior Champion, just in case...

(Source: ANN)",TV,12.0,Finished Airing,"Apr 6, 2006","Jun 12, 2006",Marvelous,Unknown,Toei Animation,Manga,"Action, Sports",Combat Sports,young boy,25.0,PG-13 - Teens 13 or older,6.541,692.0,61622.0,9901,2138,0,2006.0
7247,Naked Wolves,ネイキッドウルブズ,Unknown,"In the Flash-animated television comedy series, a sumo wrestler named Mikoshiarashi travels around the world to train to become the Yokozuna, the Grand Sumo Champion. He meets colorful characters along the way as he is determined to meet his goals. ",TV,52.0,Finished Airing,"Apr 6, 2009","Mar 28, 2010","Pony Canyon, Kyotoma",Unknown,Kate Arrow,Original,"Action, Comedy, Sports",Combat Sports,Kids,5.0,PG - Children,5.741,260.0,102012.0,12827,736,4,2009.0
22831,Abarenbou Rikishi!! Matsutarou,暴れん坊力士！！松太郎,Rowdy Sumo Wrestler Matsutaro!!,"Matsutarou Sakaguchi is a giant roughneck man with strength far beyond ordinary people. He never uttered words like ""work hard,"" ""strive,"" and ""dream"" like the typical shounen manga protagonist. However, he is stronger than anyone and peerless in sumo wrestling. His greatest weakness is his own carefree personality. He grows into a full-fledged sumo wrestler.

(Source: ANN)",TV,23.0,Finished Airing,"Apr 6, 2014","Sep 28, 2014",Unknown,Unknown,Toei Animation,Manga,Sports,Combat Sports,teenager,22.0,PG-13 - Teens 13 or older,6.051,3914.0,87952.0,5998,8889,11,2014.0
36563,Megalo Box,メガロボクス,Megalobox,"""To be quiet and do as you're told, that's the cowardly choice."" These are the words of Junk Dog, an underground fighter of Megalo Box, an evolution of boxing that utilizes mechanical limbs known as Gear to enhance the speed and power of its users. Despite the young man's brimming potential as a boxer, the illegal nature of his participation forces him to make a living off of throwing matches as dictated by his boss Gansaku Nanbu. However, this all changes when the Megalo Box champion Yuuri enters his shabby ring under the guise of just another challenger. Taken out in a single round, Junk Dog is left with a challenge: ""If you're serious about fighting me again, then fight your way up to me and my ring.""

Filled with overwhelming excitement and backed by the criminal syndicate responsible for his thrown matches, Junk Dog enters Megalonia: a world-spanning tournament that will decide the strongest Megalo Boxer of them all. Having no name of his own, he takes on the moniker of ""Joe"" as he begins his climb from the very bottom of the ranked list of fighters. With only three months left to qualify, Joe must face off against opponents the likes of which he has never fought in order to meet the challenge of his rival.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 6, 2018","Jun 29, 2018","TBS, Kodansha, Bandai Namco Arts, TMS Music",VIZ Media,TMS Entertainment,Original,"Sci-Fi, Sports",Combat Sports,Unknown,24.0,R - 17+ (violence & profanity),7.891,249645.0,7212.0,403,466247,3234,2018.0
5967,Kinnikuman II Sei: Ultimate Muscle,キン肉マンII世 ULTIMATE MUSCLE,Unknown,"The Chojin Crown, the tournament which Mantaro (Kid Muscle) reluctantly participates in. After going along with the obstacles (most of which were created to try and eliminate him), he qualified.

(Source: Wikipedia)",TV,13.0,Finished Airing,"Apr 8, 2004","Jul 1, 2004",Unknown,Unknown,Toei Animation,Manga,"Action, Comedy, Sci-Fi, Sports","Combat Sports, Martial Arts",young boy,24.0,PG-13 - Teens 13 or older,6.931,3518.0,41922.0,6562,7082,11,2004.0
49376,Mou Ippon!,もういっぽん！,Unknown,"After performing in their final middle school judo tournament, Michi and Sanae begin high school and walk in on Michi's final opponent fighting to save their new high school's judo club. 

(Source: Akita Shoten, translated)",TV,,Not yet aired,Jan 2023,Unknown,Pony Canyon,Unknown,Bakken Record,Manga,"Slice of Life, Sports","Combat Sports, Martial Arts",young boy,,PG-13 - Teens 13 or older,,,,10092,2010,2,2023.0
5968,Kinnikuman II Sei: Ultimate Muscle 2,キン肉マンII世 ULTIMATE MUSCLE 2,Unknown,"Mantaro has made it to the semifinal match of the Chojin Cup. He must now fight Ricardo in a soccer field to advance to the last match. Kevin Mask is also in the semifinals, and must defeat Ilioukhine in an aerial field to advance. These three matches will determine who wins the Chojin Cup.

(Source: ANN)",TV,13.0,Finished Airing,"Jan 5, 2006","Mar 30, 2006",Unknown,Unknown,Toei Animation,Manga,"Action, Comedy, Sci-Fi, Sports","Combat Sports, Martial Arts",young boy,24.0,PG-13 - Teens 13 or older,6.981,3042.0,40012.0,6931,6181,4,2006.0
5258,Hajime no Ippo: New Challenger,はじめの一歩 新シリーズ,Fighting Spirit New Challenger,"Japanese Featherweight Champion Ippo Makunouchi has successfully defended and retained his title. Meanwhile, his rival, Ichirou Miyata, has resurfaced in Japan, aiming for his own Featherweight belt in the Oriental Pacific Boxing Federation. When the rest of the world comes knocking, however, will Japan's best fighters rise to the challenge and achieve glory at the top? Or will the small island nation be crushed under the weight of greater entities? This time, champions will become challengers issuing a call to the rest of the world and ready to show off their fighting spirit!

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Jan 7, 2009","Jul 1, 2009","VAP, Kodansha, Nippon Television Network",Unknown,Madhouse,Manga,Sports,Combat Sports,young boy,23.0,PG-13 - Teens 13 or older,8.661,147063.0,612.0,816,249380,1602,2009.0
287,Grappler Baki (TV),グラップラー刃牙,Unknown,"Ever since he was born, Baki Hanma has always known nothing but fighting—strengthening every single muscle and learning different techniques from various martial arts under the supervision of his mother, Emi Akezawa. He trains in order to prepare himself to face and eventually surpass his own father, Yuujirou Hanma, a man feared by the masses as the ""Ogre"" and deemed the strongest being in the world.

However, when Baki realizes his mother's techniques are no longer enough, he sets out to become stronger in his own way. Seeking out powerful opponents and forming unbreakable bonds with them, he continues to grow both body and his soul, as the clock continues to tick closer toward the inevitable showdown against his father...

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Jan 9, 2001","Jun 26, 2001",Free-Will,Funimation,Group TAC,Manga,"Action, Sports","Combat Sports, Gore, Martial Arts",young boy,25.0,PG-13 - Teens 13 or older,7.461,60953.0,17952.0,1597,116612,714,2001.0
1707,Kinnikuman II Sei,キン肉マンII世,Ultimate Muscle,"Kinnikuman II Sei takes place several years after the events of the original Kinnikuman. Mantarou Kinniku is the 59th prince of Planet Kinniku and son of the renowned wrestler, King Suguru. Lazy, immature, and cowardly, Mantarou seems to have little in common with his heroic father. 

When a powerful group calling themselves the dMP threatens the Earth, only someone as powerful as Kinnikuman stands a chance against them. Not knowing the current whereabouts of the King, a plan is formed to have his son Mantarou take up the mantle. The idea of fighting super villains does not sit well with Mantarou, who initially runs away from his duty. He flees to Earth where he encounters Meat, his father’s old trainer. Despite Mantarou's shortcomings, Meat sees King Suguru in him, and believes he can set the prince on the right path. Thus begins Mantarou's journey to better himself and save the world.",TV,51.0,Finished Airing,"Jan 9, 2002","Dec 25, 2002","TV Tokyo, Yomiuri Advertising",4Kids Entertainment,Toei Animation,Manga,"Action, Comedy, Sci-Fi, Sports","Combat Sports, Martial Arts",young boy,24.0,PG-13 - Teens 13 or older,6.901,8257.0,43262.0,4776,15651,54,2002.0
