ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
42249,Tokyo Revengers,東京リベンジャーズ,Tokyo Revengers,"Takemichi Hanagaki’s second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he’s a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang’s cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day twelve years ago, when he was still dating Hinata Tachibana.

After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata’s younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he isn’t dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend’s tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 11, 2021","Sep 19, 2021","Mainichi Broadcasting System, Pony Canyon, Kodansha, AT-X, Ultra Super Pictures, Studio Mausu, Sammy",Unknown,LIDENFILMS,Manga,"Action, Drama, Supernatural","Delinquents, School, Time Travel",young boy,23.0,R - 17+ (violence & profanity),8.081,547323.0,4632.0,124,1006101,23742,2021.0
6114,Rainbow: Nisha Rokubou no Shichinin,RAINBOW 二舎六房の七人,Rainbow,"Japan, 1955: Mario Minakami has just arrived at Shounan Special Reform School along with five other teenagers who have been arrested on serious criminal charges. All assigned to the same cell, they meet older inmate Rokurouta Sakuragi—a former boxer—with whom they establish a close bond. Under his guidance, and with the promise that they will meet again on the outside after serving their sentences, the delinquents begin to view their hopeless situation in a better light.

Rainbow: Nisha Rokubou no Shichinin follows the seven cellmates as they struggle together against the brutal suffering and humiliation inflicted upon them by Ishihara, a sadistic guard with a grudge on Rokurouta, and Gisuke Sasaki, a doctor who takes pleasure in violating boys. Facing such hellish conditions, the seven inmates must scrape together all the strength they have to survive until their sentences are up; but even if they do, just what kind of lives are waiting for them on the other side?

[Written by MAL Rewrite] ",TV,26.0,Finished Airing,"Apr 7, 2010","Sep 29, 2010","VAP, Nippon Television Network",Funimation,Madhouse,Manga,"Drama, Suspense","Delinquents, Historical",teenager,22.0,R - 17+ (violence & profanity),8.491,146731.0,1212.0,524,366255,8062,2010.0
2903,Sakigake!! Otokojuku,魁!!男塾,Charge!! Men's Private School,"Otokojuku: a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through feudal and military fundamentals. Similar to an action film, the classes are overwhelmed by violence. Only those who survive it become true men.

(Source: ANN)",TV,34.0,Finished Airing,"Feb 25, 1988","Nov 14, 1988",Lantis,Unknown,Toei Animation,Manga,"Action, Comedy","Delinquents, Martial Arts, School",young boy,24.0,R - 17+ (violence & profanity),7.371,3159.0,21312.0,5226,12500,95,1988.0
50608,Tokyo Revengers: Seiya Kessen-hen,東京リベンジャーズ 聖夜決戦編,Tokyo Revengers Christmas Showdown,Second season of Tokyo Revengers.,TV,,Not yet aired,Jan 2023,Unknown,"Kodansha, AT-X",Unknown,LIDENFILMS,Manga,"Action, Drama, Supernatural","Delinquents, School",young boy,,R - 17+ (violence & profanity),,,,1826,97595,492,2023.0
242,Gokusen,ごくせん,The Gokusen,"Kumiko Yamaguchi is smart, enthusiastic, and ready to start her dream job as a math teacher at Shirokin Academy. But as her first day opens on atrocious students and cowering teachers, Kumiko realizes that the all-boys high school is a cesspool of delinquents with no intention of improving themselves.

However, what her rowdy students don't know is that behind her dorky facade, Kumiko is the acting head of a powerful yakuza clan, and she has the skills to prove it! Capable of overpowering even the strongest of gangsters in seconds, Kumiko must keep her incredible strength and criminal influence a secret in order to keep her job. Unfortunately, with the vice principal constantly trying to get her fired and Shin Sawada, the leader of her class of delinquents, suspecting she's stronger than she lets on, Kumiko has a difficult teaching career ahead of her.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Jan 7, 2004","Mar 31, 2004","VAP, Studio Jack","Media Blasters, NYAV Post",Madhouse,Manga,"Comedy, Drama, Slice of Life","Delinquents, Organized Crime, School, Workplace",female,23.0,R - 17+ (violence & profanity),7.411,19870.0,19752.0,2982,41844,220,2004.0
9513,Beelzebub,べるぜバブ,Beelzebub,"Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter.

One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord!

As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine.

[Written by MAL Rewrite]",TV,60.0,Finished Airing,"Jan 9, 2011","Mar 25, 2012","Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Discotek Media,Pierrot Plus,Manga,"Action, Comedy, Supernatural","Childcare, Delinquents, Mythology, School",young boy,24.0,PG-13 - Teens 13 or older,7.871,264146.0,7552.0,336,555338,5114,2011.0
36649,Banana Fish,BANANA FISH,Banana Fish,"Aslan Jade Callenreese, known as Ash Lynx, was a runaway picked off the streets of New York City and raised by the infamous godfather of the mafia, Dino Golzine. Now 17 years old and the boss of his own gang, Ash begins investigating the mysterious ""Banana Fish""—the same two words his older brother, Griffin, has muttered since his return from the Iraq War. However, his inquiries are hindered when Dino sends his men after Ash at an underground bar he uses as a hideout.

At the bar, Skip, Ash's friend, introduces him to Shunichi Ibe and his assistant, Eiji Okumura, who are Japanese photographers reporting on American street gangs. However, their conversation is interrupted when Shorter Wong, one of Ash's allies, calls to warn him about Dino. Soon, Dino's men storm the bar, and in the ensuing chaos kidnap Skip and Eiji. Now, Ash must find a way to rescue them and continue his investigation into Banana Fish, but will his history with the mafia prevent him from succeeding?

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Jul 6, 2018","Dec 21, 2018","Aniplex, Dentsu, Movic, Fuji TV, Shogakukan",Unknown,MAPPA,Manga,"Action, Adventure, Drama",Delinquents,young girl,22.0,R - 17+ (violence & profanity),8.501,322124.0,1142.0,216,744294,27299,2018.0
11633,Blood Lad,ブラッドラッド,Blood Lad,"Staz Charlie Blood is a powerful vampire who rules the Eastern district of Demon World. According to rumors, he is a bloodthirsty and merciless monster, but in reality, Staz is just an otaku obsessed with Japanese culture and completely uninterested in human blood. Leaving the management of his territory to his underlings, Staz spends his days lazing around, indulging in anime, manga, and games.

When Fuyumi Yanagi, a Japanese girl, accidentally wanders through a portal leading into the demon world, Staz is overjoyed. But just as he is starting to feel an unusual attraction to her, his territory is attacked, resulting in Fuyumi's untimely death. She turns into a wandering ghost and the crestfallen Staz vows to resurrect her as this would mean being able to travel to the human world, something he has always dreamed of.

Blood Lad follows Staz and Fuyumi, soon joined by the spatial magician Bell and the half-werewolf Wolf, as they travel to find a magic that can bring humans back to life.

[Written by MAL Rewrite]",TV,10.0,Finished Airing,"Jul 8, 2013","Sep 9, 2013","Kadokawa Shoten, KlockWorx, flying DOG",VIZ Media,Brain's Base,Manga,"Action, Comedy, Supernatural","Delinquents, Mythology, Vampire",teenager,24.0,PG-13 - Teens 13 or older,7.271,341502.0,26002.0,267,643505,1979,2013.0
245,Great Teacher Onizuka,グレート・ティーチャー・オニヅカ,Great Teacher Onizuka,"Twenty-two-year-old Eikichi Onizuka—ex-biker gang leader, conqueror of Shonan, and virgin—has a dream: to become the greatest high school teacher in all of Japan. This isn't because of a passion for teaching, but because he wants a loving teenage wife when he's old and gray. Still, for a perverted, greedy, and lazy delinquent, there is more to Onizuka than meets the eye. So when he lands a job as the homeroom teacher of the Class 3-4 at the prestigious Holy Forest Academy—despite suplexing the Vice Principal—all of his talents are put to the test, as this class is particularly infamous.

Due to their utter contempt for all teachers, the class' students use psychological warfare to mentally break any new homeroom teacher they get, forcing them to quit and leave school. However, Onizuka isn't your average teacher, and he's ready for any challenge in his way.

Bullying, suicide, and sexual harassment are just a few of the issues his students face daily. By tackling the roots of their problems, Onizuka supports them with his unpredictable and unconventional methods—even if it means jumping off a building to save a suicidal child. Thanks to his eccentric charm and fun-loving nature, Class 3-4 slowly learns just how enjoyable school can be when you're the pupils of the Great Teacher Onizuka.

[Written by MAL Rewrite]",TV,43.0,Finished Airing,"Jun 30, 1999","Sep 17, 2000","Aniplex, Fuji TV","Discotek Media, Tokyopop",Pierrot,Manga,"Comedy, Drama","Delinquents, School, Workplace",young boy,25.0,R - 17+ (violence & profanity),8.691,369711.0,522.0,214,745568,23930,1999.0
114,Sakigake!! Cromartie Koukou,魁!! クロマティ高校,Cromartie High School,"Takashi Kamiyama is your typical mild-mannered high school student—polite, aloof, and pacifistic, with a slightly above-average IQ. But would your average high school student really enroll himself at the infamous Cromartie High School, known as a breeding ground for the toughest delinquents out there?

Apparently so, as that is exactly what Takashi does, though for reasons he'd rather leave unmentioned. However, one thing is for sure: the ""hard-boiled rabbit in a den full of hungry lions"" is never going to have another dull day. And how could he, now that he's surrounded by mohawked punks, obnoxious robots, and... gorillas? And was that Freddie Mercury riding a horse down the corridor? Follow Takashi as he earnestly dedicates his new high school life to better his school's reputation while his classmates are hellbent on wreaking havoc.

[Written by MAL Rewrite]
",TV,26.0,Finished Airing,"Oct 3, 2003","Mar 26, 2004",TV Tokyo Music,"ADV Films, Sentai Filmworks, Discotek Media",Production I.G,Manga,Comedy,"Delinquents, Gag Humor, School",young boy,12.0,PG-13 - Teens 13 or older,7.911,51346.0,6962.0,1461,129420,1542,2003.0
