ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
41120,Fugou Keiji: Balance:Unlimited,富豪刑事 BalanceUNLIMITED,The Millionaire Detective – Balance UNLIMITED,"Daisuke Kanbe, a man of extraordinary wealth, is assigned to the Modern Crime Prevention Headquarters as a detective. It is there that he gets partnered with Haru Katou, a humane detective who values justice above all. The two are polar opposites, and their morals clash time and time again. Haru despises Daisuke for using monetary wealth to solve cases, as he believes that money isn't everything. The two will have to combine their efforts, however, to solve the mysteries that are coming their way.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 10, 2020","Sep 25, 2020","Aniplex, Dentsu, Animax, Movic, Fuji TV, Sonilude",Aniplex of America,CloverWorks,Novel,"Comedy, Mystery",Detective,Unknown,23.0,PG-13 - Teens 13 or older,7.541,170931.0,15332.0,510,373976,2710,2020.0
407,Tantei Gakuen Q,探偵学園Q,Detective School Q,"Kyuu is your average boy with a knack for logic and reasoning. Desiring to become a detective, he finds out about the existence of the Dan Detective School (DDS); a famed school where students are allowed to bear arms. Together with Megu, a girl with photographic memory, the martial arts master Kinta, the genius programmer Kazuma and the mysterious Ryuu, Kyuu tackles many well planned out crimes, always seeking the truth.",TV,45.0,Finished Airing,"Apr 15, 2003","Mar 20, 2004","Group TAC, Kodansha",Unknown,Pierrot,Manga,"Comedy, Drama, Mystery",Detective,young boy,25.0,PG-13 - Teens 13 or older,7.741,13534.0,10042.0,3404,32850,238,2003.0
34741,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu,トミカハイパーレスキュー ドライブヘッド 機動救急警察,Unknown,"A little bit in the future, the government has established a brand new organization with the purpose of rescuing lives to respond to the increasingly complicated and varied types of disasters, accidents and crimes that go beyond human comprehension. It is called the ""Mobile Emergency Police DRIVE HEAD"" force combining specialized police, firefighting and rescue skills. ""DRIVE HEAD"" is an advanced mobile device that transforms in form factor from car to humanoid walker vehicle. The drivers are high-aptitude, grade school students such as Go Kurumada who collaborate with mobile emergency police adults and rush to crisis situations to secure public safety and preserve the peace for all!

(Source: TBS Global Business)",TV,37.0,Finished Airing,"Apr 15, 2017","Dec 23, 2017",TBS,Unknown,OLM,Other,"Adventure, Mystery, Sci-Fi","Detective, Mecha",Unknown,24.0,PG - Children,6.121,172.0,84672.0,11971,981,2,2017.0
916,Tokkou,TOKKÔ[特公],Tokko,"""Shindou Ranmaru has just graduated from police academy and assigned to Tokko: Special Mobile Investigation Force. On the day of his graduation, he meets the half-naked girl he has been seeing in his dreams. Her name is Rokujo Sakura and she works for a secret group within Tokki, known as Tokko: Special Public Safety Task Force. Shindou ends up joining Tokko to avenge his parents' death, and solve the mysterious mass murder of residents in his hometown of Machida. Meanwhile, bottomless pits begin appearing around Japan, and mysterious creatures emerge from them. Could these events be linked to Machida Massacre?""

(Source: DVD Complete Series Back Cover)",TV,13.0,Finished Airing,"Apr 16, 2006","Jul 30, 2006","WOWOW, Shochiku",Manga Entertainment,"AIC Spirits, Group TAC",Manga,"Action, Comedy, Horror, Mystery, Supernatural",Detective,teenager,24.0,R - 17+ (violence & profanity),6.541,20761.0,61722.0,2919,43665,95,2006.0
1133,Tenchi Muyou! GXP,天地無用! GXP,Unknown,"From crashing his bike to falling in lakes, Seina Yamada just cannot shake the bad luck that follows him. But his fortune begins to change when he is forcibly recruited into the Galaxy Police and ends up capturing the most pirates in the force. 

Now, Seina is no longer just the unfortunate boy from Earth; he is a man that pirates have come to fear. Despite his reputation, Seina is still the same clumsy guy, but at least he has Amane Kaunaq, a former model, and Kiriko Masaki, his long time friend, to keep him together. With their help, Seina sets out on an adventure in the hopes of becoming a great Galaxy Police Officer.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 2, 2002","Sep 25, 2002",VAP,Funimation,AIC,Original,"Action, Comedy, Sci-Fi","Detective, Harem, Mecha, Space",young boy,24.0,PG-13 - Teens 13 or older,7.151,14057.0,32182.0,3612,29292,126,2002.0
31630,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",逆転裁判 ～その「真実」、異議あり！～,Ace Attorney,"Since he was a child, Ryuuichi Naruhodou's dream was to become a defense attorney, protecting the innocent when no one else would. However, when the rookie lawyer finally takes on his first case under the guidance of his mentor Chihiro Ayasato, he realizes that the courtroom is a battlefield. In these fast paced trials, Ryuuichi is forced to think outside the box to uncover the truth of the crimes that have taken place in order to prove the innocence of his clients.

Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! follows Ryuuichi as he tackles cases to absolve the falsely accused of the charges they face. It will not be easy—standing in his path is the ruthless Reiji Mitsurugi, a prosecutor who will stop at nothing to hand out guilty verdicts. With his back against the wall, the defense attorney must carefully examine both evidence and witness testimony, sifting through lies to solve the mystery behind each case. With a shout of ""objection!,"" the battle in the courtroom begins!

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 2, 2016","Sep 24, 2016","Aniplex, Yomiuri Telecasting, Capcom, Trinity Sound","Funimation, Crunchyroll",A-1 Pictures,Game,"Comedy, Drama, Mystery","Detective, Workplace",Unknown,24.0,PG-13 - Teens 13 or older,6.491,54248.0,64302.0,1495,126695,437,2016.0
1745,Wild 7 Another Bouryaku Unga,ワイルド7 another 謀略運河,Wild 7 Another,"A big transatlantic ship, full of rich and important people for international business, has been taken by a group of terrorists. The only hope for their rescue is in the hands of a Japanese man known as Japa, but first, he must hire seven companions to help him, and together they will be the Wild Seven. The main plot occurs in the waters of Nicaragua's Canal.

(Source: ANN)",TV,13.0,Finished Airing,"Apr 27, 2002","Aug 31, 2002",Unknown,Discotek Media,E&G Films,Manga,"Action, Adventure",Detective,young boy,22.0,R+ - Mild Nudity,5.161,251.0,120982.0,11855,1026,1,2002.0
1180,Hyper Police,はいぱーぽりす,Unknown,"Sasahara Natsuki is a poor bounty hunter in a world where monsters and humans live together. Most of her cases involve monsters infringing upon the rights of humans, who are protected by law from their generally more powerful neighbors. Being half-human and half cat-beast, Natsuki straddles the two societies and tries to understand and respect both while enforcing the law. She is assisted by a werewolf named Batanen who is afraid to admit he loves her; another werewolf named Tommy; and a Kyubi fox demon named Sakura who has her own plans--which include eating Natsuki to complete her her nine tails and thereby her magical powers. 

(Source: ANN)",TV,25.0,Finished Airing,"Apr 4, 1997","Sep 26, 1997","Kadokawa Shoten, Marubeni, Nippon Columbia",Unknown,Pierrot,Manga,"Action, Comedy, Romance, Sci-Fi",Detective,Unknown,24.0,R - 17+ (violence & profanity),7.001,2871.0,39182.0,5700,9994,37,1997.0
29325,Koukaku Kidoutai Arise: Alternative Architecture,攻殻機動隊 ARISE ALTERNATIVE ARCHITECTURE,Ghost in the Shell Arise - Alternative Architecture,"A TV anime version of Ghost in the Shell: Arise. The first eight episodes are an edited version of the four movies while the last two features a new arc called ""Pyrophoric Cult.""

The plot involves the ""Fire Starter"" virus explored previously, and introduces the new character Pyromania. The episode will have ties to the upcoming film.

(Source: Wikipedia)",TV,10.0,Finished Airing,"Apr 5, 2015","Jun 14, 2015","Kodansha, TOHO animation",Funimation,Production I.G,Manga,Sci-Fi,"Adult Cast, Detective, Mecha, Psychological",Unknown,24.0,R - 17+ (violence & profanity),7.231,14114.0,28352.0,3038,40943,43,2015.0
50012,Meitantei Conan: Zero no Tea Time,名探偵コナン ゼロの日常（ティータイム）,Detective Conan Zero's Tea Time,Anime adaptation of the spin-off manga Meitantei Conan: Zero no Tea Time that focuses on the life of the triple agent as he attempts to keep all his different roles in check.,TV,6.0,Finished Airing,"Apr 5, 2022","May 10, 2022",Shogakukan,Unknown,TMS Entertainment,Manga,Slice of Life,Detective,young boy,15.0,PG-13 - Teens 13 or older,6.941,3262.0,41342.0,5912,9206,55,2022.0
