ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
43956,Xuewen Mao Jiao Hanzi,学问猫教汉字,The Schoolar Cat,Unknown,TV,52.0,Finished Airing,1998,Unknown,Unknown,Unknown,Unknown,Original,Unknown,"Anthropomorphic, Educational",Kids,9.0,PG - Children,,,162962.0,20918,31,0,1998.0
43950,Zhishi Laoren,知识老人,Unknown,Unknown,TV,40.0,Finished Airing,1998,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Educational,Kids,5.0,PG - Children,,,165912.0,20923,31,0,1998.0
45892,Salad Yingyu Leyuan,色拉英语乐园,Salad English Park,Unknown,TV,103.0,Finished Airing,2007,Unknown,Unknown,Unknown,Unknown,Original,Unknown,"Anthropomorphic, Educational",Kids,10.0,PG - Children,,,146722.0,21402,21,0,2007.0
44743,Hao Hao Wenzi Guo,浩昊文字国,Unknown,Unknown,TV,130.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Book,"Adventure, Fantasy",Educational,Kids,13.0,PG - Children,,,182532.0,20802,33,0,2009.0
46239,Congming Baobao Xue Yingyu,聪明宝宝学英语,Unknown,Unknown,TV,50.0,Finished Airing,2010,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Educational,Kids,9.0,PG - Children,,,174722.0,21455,18,0,2010.0
27461,Pororo's English Show,뽀로로 잉글리시쇼,Pororo's English Show,A musical style season like Pororo-wa Noraehaeyo but the cast speaks entirely English with the original English dub cast as a way to teach English to native Korean Children.,TV,13.0,Finished Airing,2013,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,"Educational, Music, Performing Arts",Kids,5.0,G - All Ages,,,143672.0,16687,249,1,2013.0
46736,Zhongwai Mingren Chengzhang Gushi,中外名人成长故事,Unknown,Unknown,TV,56.0,Finished Airing,2013,Unknown,Unknown,Unknown,Unknown,Other,Unknown,"Educational, Historical",Unknown,7.0,PG - Children,,,166072.0,21469,16,0,2013.0
47206,He Laoshi Anquan Ketang,何老师安全课堂,Unknown,Unknown,TV,29.0,Finished Airing,2014,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Educational,Kids,2.0,PG - Children,,,182972.0,21125,28,0,2014.0
47545,Taoqi Huaxue,淘气化学,Unknown,Unknown,TV,50.0,Finished Airing,2017,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Educational,Kids,4.0,PG - Children,,,154512.0,21003,30,0,2017.0
47697,Taikong Xueyuan,太空学院,Kiddets,Unknown,TV,52.0,Finished Airing,2018,Unknown,Unknown,Unknown,Unknown,Original,Unknown,"Anthropomorphic, Educational",Kids,11.0,PG - Children,,,153862.0,21001,30,0,2018.0
