ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
53089,Poo Poo Kids,プープーキッズ,Unknown,A comedy series about farting children.,TV,13.0,Finished Airing,2007,Not Available,Unknown,Unknown,DLE,Original,Comedy,Gag Humor,Unknown,1.0,PG - Children,,,143532.0,21455,19,0,2007.0
46393,Yule Zong Dong Yuan,娱乐总动员,Unknown,Unknown,TV,101.0,Finished Airing,2009,2010,Unknown,Unknown,Unknown,Unknown,Comedy,Gag Humor,Unknown,12.0,PG-13 - Teens 13 or older,,,164762.0,21023,30,0,2009.0
15911,Yuyushiki,ゆゆ式,Yuyushiki,"The story follows the school life of the three girls, Yuzuko, Yukari, and Yui, who join their high school's Data Processing Club. The odd friendship between the three make for wacky humor in even the most mundane of events.",TV,12.0,Finished Airing,"Apr 10, 2013","Jun 26, 2013","Geneon Universal Entertainment, Magic Capsule, Showgate, Houbunsha, Exit Tunes",Sentai Filmworks,Kinema Citrus,4-koma manga,"Comedy, Slice of Life","CGDCT, Gag Humor, School",Unknown,23.0,PG-13 - Teens 13 or older,7.361,37991.0,22072.0,1798,100519,600,2013.0
40716,Kakushigoto,かくしごと,Kakushigoto,"Kakushi Gotou is a somewhat popular manga artist whose works are known for inappropriate content. Because of this raunchiness, when his daughter Hime was born, he vowed to keep his profession hidden from her, believing that she will be disillusioned if she finds out. 

This paranoia-induced belief leads Kakushi into hectic situations. Despite being a single father, he does his best and often resorts to extreme ends just to protect his secret, such as guising as a salaryman every day or holding emergency drills in case Hime somehow finds her way to his workplace.

Kakushigoto tells the story of a father and daughter living side by side, maintaining their peaceful existence as the father attempts to preserve the status quo. However, there is a saying: ""there are no secrets that time cannot reveal."" In time, Hime must learn the reality behind the things she took for granted as she grew up.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 2, 2020","Jun 18, 2020","Dentsu, Marvelous, Kodansha, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, A-Sketch",Funimation,Ajia-Do,Manga,Comedy,"Childcare, Gag Humor, Otaku Culture",young boy,23.0,PG-13 - Teens 13 or older,8.001,125866.0,5662.0,688,295509,1983,2020.0
253,Jungle wa Itsumo Hare nochi Guu,ジャングルはいつもハレのちグゥ,Haré+Guu,"Haré was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle.

(Source: ANN)",TV,26.0,Finished Airing,"Apr 3, 2001","Sep 25, 2001","Bandai Visual, Sotsu","Funimation, AN Entertainment",Shin-Ei Animation,Manga,"Comedy, Slice of Life","Gag Humor, School",Unknown,23.0,PG-13 - Teens 13 or older,7.821,13803.0,8522.0,3429,32324,387,2001.0
846,School Rumble Ni Gakki,スクールランブル 二学期,School Rumble 2nd Semester,"We still have no idea what's really going on with this show, beyond the fact that the weirdness is piling up!

Curry-fiend Karasama remains oblivious to Tenma's crush, and Harima still hasn't confessed his true feelings to Tenma. But hey, the thug's got an excuse since he's caught up with his comic career and knee-deep in a blizzard of deadlines! Meanwhile, the love triangles are ever-shifting thanks to wannabe cupids and runaway brides.

Even when you throw in a bit of cyborg love, a shipwreck, and a fugitive red panda–seriously, that ain't even scratching the surface. You are encouraged to scratch the pig, though. He likes it! And something rumbles in the next to last episode, no matter what I say next.

School Rumble–The absolutely funniest show you’ll ever see that's not about anything that rumbles... Ever!

(Source: Funimation)",TV,26.0,Finished Airing,"Apr 3, 2006","Sep 25, 2006","Sotsu, Marvelous, Studio Jack",Funimation,Studio Comet,Manga,"Comedy, Romance","Gag Humor, Love Polygon, School",young boy,24.0,PG-13 - Teens 13 or older,7.991,87657.0,5752.0,1304,152208,751,2006.0
10165,Nichijou,日常,Nichijou - My Ordinary Life,"Nichijou primarily focuses on the daily antics of a trio of childhood friends—high school girls Mio Naganohara, Yuuko Aioi and Mai Minakami—whose stories soon intertwine with the young genius Hakase Shinonome, her robot caretaker Nano, and their talking cat Sakamoto. With every passing day, the lives of these six, as well as of the many people around them, experience both the calms of normal life and the insanity of the absurd. Walking to school, being bitten by a talking crow, spending time with friends, and watching the principal suplex a deer: they are all in a day's work in the extraordinary everyday lives of those in Nichijou. 

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 3, 2011","Sep 25, 2011","Lantis, Kadokawa Shoten, Movic, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Animation Do","Funimation, Bandai Entertainment",Kyoto Animation,Manga,Comedy,"Gag Humor, School",young boy,23.0,PG-13 - Teens 13 or older,8.461,332667.0,1332.0,177,807480,21411,2011.0
51685,My Daughter is a Zombie,좀비가 되어버린 나의 딸,Unknown,"One year after an unprecedented zombie attack that killed hundreds of thousands, South Korea has finally been declared zombie-free. But Jeonghwan holds a secret: his daughter is the last zombie left on earth. When her cravings are satisfied and her violent tendencies die down, it almost seems like there's hope for her to have a normal life. But how long can he keep Su-ah a secret from everyone else?

(Source: Webtoon)",TV,26.0,Finished Airing,"Apr 3, 2022","Jun 26, 2022",Unknown,Unknown,Unknown,Web manga,"Comedy, Supernatural",Gag Humor,Unknown,11.0,PG-13 - Teens 13 or older,,,136822.0,8613,3418,32,2022.0
918,Gintama,銀魂,Gintama,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. 

Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. 

Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo.

[Written by MAL Rewrite]",TV,201.0,Finished Airing,"Apr 4, 2006","Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",young boy,24.0,PG-13 - Teens 13 or older,8.951,365222.0,142.0,135,966240,55670,2006.0
941,Renkin San-kyuu Magical? Pokaan,錬金3級 まじかる?ぽか〜ん,Unknown,"Renkin San-kyuu Magical? Pokaan follows the daily lives of four young girls. There is just one catch: they are anything but normal. This group of friends—the energetic werewolf Liru, the joyful witch-in-training Uma, the motherly android Aiko, and the seductive vampire Pachira—are actually princesses from the netherworld who have traveled to the human world in search of a new home. Unfortunately, their naivety and severe lack of knowledge make living peacefully among earthlings much more difficult than they imagined. 

As they attempt to adapt to their brand new lifestyle, they cause all sorts of trouble, and end up attracting the unwanted attention of a woman by the name of Dr. K-Ko. The scientist believes that these new residents of Earth are up to no good and attempts to capture the girls to prove the existence of the supernatural and gain credibility with the scientific community. Every day brings a new adventure as the girls deal with the insanity of her antics and all that the human realm has to offer.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2006","Jun 20, 2006","Genco, Lantis, Media Factory",Unknown,Remic,Original,"Comedy, Ecchi","CGDCT, Gag Humor, Parody, Vampire",Unknown,24.0,R+ - Mild Nudity,6.971,9634.0,40472.0,3527,30574,115,2006.0
