ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
50392,Mato Seihei no Slave,魔都精兵のスレイブ,Unknown,"When entrances to a different dimension known as the ""Mato"" emerge all over Japan, a new resource known as ""Peaches"" are discovered which give unique abilities only to women. However, dangerous monsters called ""Yomotsu Shuuki"" also roam throughout the Mato and have been responsible for various disasters ever since. To combat them, the government formed the Anti-demon Corps, an elite group of women who have received power from the Peaches.

One day, a high school student named Yuuki Wakura was walking home from school when he suddenly got lost in a Mato entrance. When he calls for help, he is immediately rescued by Kyouka Uzen, the chief of the Seventh Unit of the Anti-demon Corps. Recognizing his potential while also needing him to make her Peach power more effective, she asks that Yuuki join the Anti-demon Corps by becoming her slave, a position he might find more enjoyable than he initially would have thought... 

(Source: MU, edited)",TV,,Not yet aired,2023,Unknown,"Pony Canyon, Shueisha",Unknown,Seven Arcs,Manga,"Action, Fantasy, Supernatural",Harem,young boy,,PG-13 - Teens 13 or older,,,,4396,19189,189,2023.0
52973,Megami no Café Terrace,女神のカフェテラス,Unknown,"Hayato Kasukabe has been accepted to Tokyo U on his first try. Receiving news of his grandmother's death, he returns to his childhood home, Café Terrace Familia, for the first time in three years to find five strange girls there who claim to be ""Grandma's Family""! Hayato's unexpected life in a seaside town with these five girls of fate begins here!

(Source: Kodansha, translated)",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Unknown,Manga,"Comedy, Romance, Ecchi",Harem,young boy,,PG-13 - Teens 13 or older,,,,11113,1371,11,2023.0
538,Shin Tenchi Muyou!,新・天地無用!,Tenchi in Tokyo,"Tenchi Masaki heads out to tackle the big world, setting off to school in Tokyo! But not everyone is happy to hear he is moving away, as his female friends sulk and complain at the prospect of him being alone. However, Tenchi is not by himself for very long, as he soon meets a kind and compassionate girl named Sakuya Kumashiro who helps him get used to life in Tokyo.

The two become close friends, but Sakuya wants more than just that, so she proclaims her love for Tenchi. This confession comes as a shock not only to Tenchi, but also the girls back home. In response, the girls decide to step up their game, and they immediately flock to Tokyo to take Tenchi for themselves. 

With the girls competing for his love, Tenchi must decide once and for all who the most important woman in his life is. However, he is going to have a hard time deciding, as strange events start happening that drive Tenchi further apart from his friends.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 1, 1997","Sep 23, 1997",Pioneer LDC,"Funimation, Geneon Entertainment USA",AIC,Original,"Comedy, Romance, Sci-Fi",Harem,young boy,23.0,PG-13 - Teens 13 or older,6.871,17296.0,44972.0,3321,34835,83,1997.0
260,Happy☆Lesson (TV),HAPPY☆LESSON,Unknown,"Hitotose Chitose was always alone and untrusting of people but when 5 female teachers appear and started living together with him in his family's house as his mothers, things started to change and pick up, together with Hazuki-nee and Minazuki (his 2 sisters) everyday is a lesson. 

(Source: ANN)",TV,13.0,Finished Airing,"Apr 1, 2002","Jun 30, 2002",KSS,ADV Films,Studio Hibari,Manga,"Comedy, Drama, Romance, Slice of Life",Harem,Unknown,23.0,PG-13 - Teens 13 or older,6.621,11690.0,56952.0,3784,26552,29,2002.0
850,Gakuen Heaven,学園ヘヴン,Gakuen Heaven,"Itou Keita, an average guy, is shocked when he's invited to attend the elite institution, ""Bell Liberty Academy."" Unnerved by the mystery, he's further distracted by the school's social dynamics. In a sea of amazing young men, Keita struggles to find out what makes him unique, and how he can possibly deserve to be treated as an equal by the boys of BL. Lacking any particular ability, just why has Itou been welcomed into the privileged world of the talented and the beautiful? 

Along the way, he develops intense relationships with the almost everyone at school but he is terribly drawn to the friendly, over-caring but very mysterious classmate, Kazuki Endou.",TV,13.0,Finished Airing,"Apr 1, 2006","Jun 24, 2006","Geneon Universal Entertainment, Visual Arts",Media Blasters,Tokyo Kids,Visual novel,"Boys Love, Comedy, Drama, Romance","Harem, School",Unknown,26.0,PG-13 - Teens 13 or older,6.481,30426.0,65172.0,2370,64025,168,2006.0
2026,Hayate no Gotoku!,ハヤテのごとく！,Hayate the Combat Butler,"According to Murphy's Law, ""anything that can go wrong, will go wrong,"" and truer words cannot describe the unfortunate life of the hard-working Hayate Ayasaki. Abandoned by his parents after accumulating a debt of over one hundred fifty million yen, he is sold off to the yakuza, initiating his swift getaway from a future he does not want. On that fateful night, he runs into Nagi Sanzenin, a young girl whom he decides to try and kidnap to pay for his family's massive debt.

Unfortunately, due to his kind-hearted nature and a string of misunderstandings, Nagi believes Hayate to be confessing his love to her. After saving her from real kidnappers, Hayate is hired as Nagi's personal butler, upon which she is revealed to be a member of one of the wealthiest families in Japan.

Highly skilled but cursed with the world's worst luck, Hayate gets straight to work serving his employer all the while trying to deal with the many misfortunes that befall him. From taking care of a mansion to fending off dangerous foes, and even unintentionally wooing the hearts of the women around him, Hayate is in over his head in the butler comedy Hayate no Gotoku!

[Written by MAL Rewrite]",TV,52.0,Finished Airing,"Apr 1, 2007","Mar 30, 2008","TV Tokyo, Shogakukan-Shueisha Productions, Studio Tulip","Bandai Entertainment, Sentai Filmworks",SynergySP,Manga,"Action, Comedy, Romance","Harem, Parody",young boy,24.0,PG-13 - Teens 13 or older,7.531,94211.0,15892.0,947,214834,1559,2007.0
12461,Hiiro no Kakera,緋色の欠片,Hiiro no Kakera The Tamayori Princess Saga,"Gods and ghosts only exist in fairy tales, right? That's the impression that high school girl Tamki Kasuga has before she goes to live with her grandmother in the remote village of Kifumura. After being attacked by strange creatures upon her arrival, she is soon informed that females in her family contain the blood of the Tamayori Princess, who has the responsibility and power of keeping gods and ghosts sealed away so that they can't harm the general public. At first Tamaki has trouble believing this, but having five beautiful young men following her everywhere she goes acting as her guardians goes a long way towards convincing her.

There's more to this job than Tamaki first realizes, however, and the path that lies ahead of her is fraught with peril and danger. Will she be able to successfully take on the heavy role that has been put on her shoulders?",TV,13.0,Finished Airing,"Apr 1, 2012","Jun 24, 2012","Bandai Visual, Yomiuri Telecasting, Lantis, Kids Station, Movic, DAX Production, Yomiuri TV Enterprise",Sentai Filmworks,Studio Deen,Visual novel,"Fantasy, Romance, Supernatural",Reverse Harem,young girl,24.0,PG-13 - Teens 13 or older,6.711,44407.0,52702.0,1718,106668,386,2012.0
27787,Nisekoi:,ニセコイ,Nisekoi False Love,"Despite having seemingly quelled the war between their respective gangs, Raku Ichijou and Chitoge Kirisaki still carry on with their fake relationship. Eventually, as Chitoge's perception of Raku slowly changes, she even begins to see him as a little charming. 

Chitoge struggles to come to terms with her newfound feelings for Raku, as a new girl joins the slew of Raku's admirers and the competition among those vying for the yakuza heir's attention grows even fiercer. And amidst all this, Raku's search for his first love and the contents of the mysterious sealed locket continues in Nisekoi:, which picks up where the first season left off.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2015","Jun 26, 2015","Aniplex, Shueisha",Aniplex of America,Shaft,Manga,"Comedy, Romance","Harem, School",young boy,24.0,PG-13 - Teens 13 or older,7.361,397382.0,21882.0,269,641104,1775,2015.0
53,Ai Yori Aoshi,藍より青し,Ai Yori Aoshi,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",TV,24.0,Finished Airing,"Apr 11, 2002","Sep 26, 2002","Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,"Comedy, Drama, Romance, Slice of Life",Harem,teenager,23.0,PG-13 - Teens 13 or older,7.111,51975.0,33932.0,1744,105346,433,2002.0
10079,Hoshizora e Kakaru Hashi,星空へ架かる橋,A Bridge to the Starry Skies,"Kazuma Hoshino is preparing himself for a new stage of his life as a teenager. Because of his brother Ayumu's weaker than average health, their parents thought it best for the family to move out from the city to a more rural environment. Now the two brothers are off to the Yorozuyo Inn where they’ll be staying until their parents can settle affairs back in the city and set up their new home.

Their arrival to the inn doesn't go as planned though when they catch the wrong bus, wind up in the middle of nowhere, Ayumu gets his hat stolen by a wild monkey, and Kazuma gets lost in the woods trying to track the animal down. It all leads to a chance encounter with a spirited young girl named Ui, who Kazuma ends up accidentally falling onto and kissing while she tries leading him back to the bus stop. This hardly sits well with Ui’s friend Ibuki who swiftly kicks Kazuma and sends him on his way. Much to Kazuma's continued horror, his bad luck is perpetuated at the inn thanks to its landlady Senka and her slightly perverted sense of humor, and then finding out that two of his classmates are the girls he embarrassed himself in front of back in the woods!

Hoshizora e Kakaru Hashi finds Kazuma adapting to his new school, dealing with the multiple women who have entered his life, providing emotional support for his younger brother, and coping with living with his new landlady. However, for some reason, something about this place is bringing whispers of the past into Kazuma's mind. Small flashes back to a more innocent time and a friendship long forgotten. What could this déjà vu mean?",TV,12.0,Finished Airing,"Apr 11, 2011","Jun 27, 2011","Dentsu, Sotsu, Marvelous, Pony Canyon, feng, PRA, Jumondo",Unknown,Doga Kobo,Visual novel,"Comedy, Romance, Ecchi","Harem, School",Unknown,25.0,PG-13 - Teens 13 or older,6.711,86076.0,52722.0,1218,165986,333,2011.0
