ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
7960,Pachislo Kizoku Gin,パチスロ貴族 銀,Unknown,"Ginya Otonashi is a college dropout who works part-time for a pachislot publishing company while aspiring to become a novelist. One day, Ginya comes across a secret organization and gets pulled into a competition to become #1 in ""Pachi Battle,"" which is all a part of the Slotseum, a pachislot competition.

(Source: ANN)",TV,23.0,Finished Airing,"Apr 11, 2001","Sep 12, 2001","Actas, Fuji TV, Yomiuri Advertising",Unknown,Unknown,Unknown,Action,"High Stakes Game, Strategy Game",Unknown,25.0,None,,,141862.0,12141,926,1,2001.0
6880,Deadman Wonderland,デッドマン・ワンダーランド,Deadman Wonderland,"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit. 

But Ganta's nightmare is only just beginning. 

The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 17, 2011","Jul 3, 2011","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC",Funimation,Manglobe,Manga,"Action, Horror, Sci-Fi, Supernatural","Gore, High Stakes Game, Survival",young boy,24.0,R - 17+ (violence & profanity),7.161,644901.0,31552.0,97,1149732,6411,2011.0
22273,Selector Infected WIXOSS,selector infected WIXOSS,selector infected WIXOSS,"Things are not always what they seem. This is especially true for Ruuko Kominato, when she receives a deck of cards for the popular card game WIXOSS, only to find a girl trapped inside her LRIG, or avatar card. Upon meeting others in the same situation, Ruuko discovers that she has now become a ""Selector,"" a player in a special version of WIXOSS where girls can battle each other for a chance to have their deepest desires come true. However, there is a catch. In contrast to the glory that awaits them after their victories, there is a cruel fate: if they lose three times, their lives will be destroyed.

In an ominous game filled with lies and deceit, Ruuko and her newfound friends must uncover the secrets behind WIXOSS and realize what is truly most important to them before it is too late.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2014","Jun 20, 2014","Magic Capsule, Warner Bros. Japan, Showgate",Funimation,J.C.Staff,Card game,Unknown,"High Stakes Game, Psychological, Strategy Game",Unknown,24.0,R - 17+ (violence & profanity),7.231,61076.0,27942.0,1366,143078,618,2014.0
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,逆境無頼カイジ 破戒録篇,Kaiji Against All Rules,"Owing to an increasing debt, Kaiji Itou ends up resuming his old lifestyle. One day, while walking on the street, he stumbles upon Yuuji Endou, who is hunting Kaiji due to the money he owes to the Teiai Group. Unaware of this, Kaiji eagerly follows Endou, hoping for a chance to participate in another gamble, but soon finds out the loan shark's real intentions when he is kidnapped.

Given that Kaiji is unable to pay off his huge debt, the Teiai Group instead sends him to work in an underground labor camp. He is told that he will have to live in this hell for 15 years, alongside other debtors, until he can earn his freedom. His only hope to put an early end to this nightmare is by saving enough money to be able to go back to the surface for a single day. Once he is there, he plans to obtain the remaining money needed to settle his account by making a high-stakes wager. However, as many temptations threaten his scarce income, Kaiji may have to resort to gambling sooner than he had expected.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 6, 2011","Sep 28, 2011","VAP, Nippon Television Network",Sentai Filmworks,Madhouse,Manga,Suspense,"Adult Cast, High Stakes Game, Psychological, Strategy Game",teenager,24.0,R - 17+ (violence & profanity),8.251,97202.0,2762.0,1142,176853,2518,2011.0
50273,Tomodachi Game,トモダチゲーム,Tomodachi Game,"High school student Yuuichi Katagiri cherishes his close circle of friends, composed of four classmates: Yutori Kokorogi, Shiho Sawaragi, Makoto Shibe, and Tenji Mikasa. However, when the funds for the upcoming school trip are stolen, the incident causes Shiho and Makoto—who had been tasked with collecting the money—to distance themselves from the rest of their class.

Soon after, Yuuichi and his friends are deceived into meeting up and knocked unconscious by unknown assailants. After waking, the group find themselves confined in a white room with controversial figure Manabu-kun, who reveals that one of the five has gathered them together to clear their personal debt of twenty million yen. To pay off the amount, they must participate in a variety of psychological games that will test the true nature of their friendship and humanity.

Distressed and isolated from the outside world, Yuuichi and his friends need to cooperate to complete the games. But as their concealed feelings and problematic pasts begin to surface, their seemingly unbreakable bond may soon shatter into irreparable pieces.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 6, 2022","Jun 22, 2022","Kodansha, Studio Mausu, Nippon Television Network, King Records, Crunchyroll",Unknown,Okuruto Noboru,Manga,Unknown,"High Stakes Game, Psychological, Strategy Game",young boy,22.0,R - 17+ (violence & profanity),7.711,117097.0,10962.0,829,245865,2717,2022.0
34607,Lostorage Conflated WIXOSS,Lostorage conflated WIXOSS,Unknown,"The peaceful days turn out to be short-lived as the shadow of another Selector Battle looms large. Kiyoi Mizushima is the first to notice that things are amiss, and she makes her move to put an end to the cycle of darkness.The Battle this time includes a new card, ""Key,"" and has been set up with rules different than before. With both the mastermind and their motive shrouded in mystery, the darkness grows ever deeper and more menacing. Suzuko Homura, Chinatsu Morishita, Hanna Mikage, Ruuko Kominato, Yuzuki Kurebayashi, Hitoe Uemura, and Akira Aoi, the Selectors gather once again.

(Source: ANN)",TV,12.0,Finished Airing,"Apr 7, 2018","Jun 23, 2018",Unknown,Unknown,J.C.Staff,Card game,Unknown,"High Stakes Game, Psychological, Strategy Game",Unknown,23.0,R - 17+ (violence & profanity),7.081,9808.0,35452.0,3604,29407,77,2018.0
12753,Phi Brain: Kami no Puzzle - Orpheus Order-hen,ファイ・ブレイン ～神のパズル オルペウス・オーダー編,Phi-Brain ~ Puzzle of God The Orpheus Order,"The puzzles get tougher and even more deadly as Kaito Daimon continues his battle against the power hungry Givers of the POG. And with one team member already switching sides, will Kaito have what it takes to keep solving the deadly puzzle traps put before him and reach the fabled Puzzle of God? More importantly, will he be able to solve the puzzles AND maintain his sanity? 

(Source: Sentai Filmworks) ",TV,25.0,Finished Airing,"Apr 8, 2012","Sep 23, 2012",NHK,Sentai Filmworks,Sunrise,Original,"Action, Mystery","High Stakes Game, Strategy Game",young boy,25.0,PG-13 - Teens 13 or older,7.271,20922.0,26272.0,2816,46602,41,2012.0
28223,Death Parade,デス・パレード,Death Parade,"After death, either Heaven or Hell awaits most humans. But for a select few, death brings them to Quindecim—a bar where only pairs of people who die at the same time can enter. Attending the bar is an enigmatic figure known as Decim, who also acts as the arbiter. He passes judgment on those who wind up at Quindecim by challenging them to a life-threatening game. These games determine if the patron's soul will reincarnate into a new life, or be sent into the void, never to be seen again.

From darts and bowling to fighting games, the true nature of each patron slowly comes to light as they wager their souls. Though his methods remain unchanged, the sudden appearance of a black-haired amnesiac causes Decim to reevaluate his own rulings.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 10, 2015","Mar 28, 2015","VAP, DAX Production, Nippon Television Network",Funimation,Madhouse,Original,"Drama, Supernatural, Suspense","Adult Cast, High Stakes Game, Psychological",Unknown,23.0,R - 17+ (violence & profanity),8.161,916824.0,3652.0,49,1595504,26350,2015.0
49154,High Card,ハイカード,Unknown,"After discovering that his orphanage was on the brink of closing due to financial stress, Finn, who was living freely on the streets, set out for a casino with the aim of making a fortune. However, nothing could have prepared Finn for the nightmare that was awaiting him. Once there, Finn encountered a car chase and bloody shootout caused by a man's ""lucky"" card.

Finn will eventually learn what the shootout was about. The world order can be controlled by a set of 52 X-Playing cards with the power to bestow different superhuman powers and abilities to the ones that possess them. With these cards, people can access the hidden power of the ""buddy"" that can be found within themselves.

There is a secret group of players called High Card, who have been directly ordered by the king of Fourland to collect the cards that have been scattered throughout the kingdom while moonlighting as employees of the luxury carmaker Pinochle. Scouted to become the group's fifth member, Finn soon joins the players on a dangerous mission to find these cards.

""All you need in life are manners, dignity, and the will to bet on your own life.""

However, Who's Who, the rival car maker obsessed with defeating Pinochle, and the Klondikes, the infamous Mafia family, stand in the way of the gang. A frenzied battle amongst these card-obsessed players, fueled by justice, desire, and revenge, is about to begin!

Are you ready? It's Showdown!!

(Source: TMS Entertainment)",TV,,Not yet aired,Jan 2023,Unknown,"TMS Entertainment, Kadokawa",Unknown,Studio Hibari,Mixed media,Unknown,"High Stakes Game, Strategy Game",Unknown,,None,,,,7111,5803,13,2023.0
38656,Darwin's Game,ダーウィンズゲーム,Darwin's Game,"High school student Kaname Sudou receives an invitation from a classmate to play Darwin's Game, a mobile game he has never heard of. However, as soon as he opens the application, a green snake suddenly pops out from his phone screen and bites his neck, leaving him unconscious. Waking up in the infirmary without any signs of a snake bite, he is told by the school to take the rest of the day off. Although he is puzzled by what has happened, he dismisses the surreal experience as a hallucination and boards the train home.

Unfortunately, his curiosity gets the better of him and he uses the application once again. As the application appears to be just like any other battle game, Kaname breathes out a sigh of relief and decides to start his first match. However, the pleasant surprise is short-lived, as his in-game opponent unexpectedly appears right in front of him and attempts to hunt him down with a knife.

As he desperately runs for his life, Kaname puts two and two together and realizes that Darwin's Game is not an ordinary game, but rather, it's a brutal fight for survival.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Jan 4, 2020","Mar 21, 2020","Aniplex, AT-X, Tokyo MX, Akita Shoten, BS11, Kanetsu Investment, CA-Cygames Anime Fund, Hochi Shimbun, ADK",Aniplex of America,Nexus,Manga,"Action, Mystery, Sci-Fi","High Stakes Game, Super Power, Survival",young boy,26.0,R - 17+ (violence & profanity),7.251,261380.0,27272.0,390,480554,2172,2020.0
