ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
52969,"Jitsu wa Ore, Saikyou deshita?",実は俺、最強でした?,Unknown,"To be reincarnated into another world with the promise of a ""cheat"" power is one thing... but to be reborn as a baby, and then left for dead after your royal parents think you're powerless?? That's another thing entirely! Now the newly-born Reinhart—or Hart to his new friends—must find his way through a dangerous world...but luckily he's got magic that's quite literally off the charts! 

(Source: Kodansha USA)",TV,,Not yet aired,2023,Unknown,Avex Pictures,Unknown,Unknown,Light novel,"Adventure, Fantasy","Isekai, Reincarnation",Unknown,,None,,,,10262,1905,14,2023.0
51179,Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,無職転生 ～異世界行ったら本気だす～,Mushoku Tensei Jobless Reincarnation 2nd Season,Second season of Mushoku Tensei: Isekai Ittara Honki Dasu.,TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Studio Bind,Light novel,"Drama, Fantasy, Ecchi","Isekai, Reincarnation",Unknown,,R - 17+ (violence & profanity),,,,1949,88883,439,2023.0
13201,Monster Farm: Legend e no Michi,モンスターファーム～伝説[レジェンド]への道～,Monster Rancher (2000),"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare.

Continuing from where the original story left off, Genki and friends journey to conquer the legend cup in hopes of freeing Holly's father from the mystery disc.

(Source: AniDB)",TV,25.0,Finished Airing,"Apr 1, 2000","Sep 30, 2000",Unknown,"ADV Films, Discotek Media",TMS Entertainment,Game,"Action, Adventure, Comedy, Fantasy",Isekai,Unknown,24.0,PG - Children,6.741,8031.0,50742.0,4730,16064,14,2000.0
874,Digimon Tamers,デジモンテイマーズ,Digimon Tamers,"Digimon Tamers takes place in a world where the popular Digimon franchise is all the rage, consisting of a cartoon, video games, and the trading card game. Takato Matsuda is a huge Digimon fan that's particularly obsessed with the card game, and constantly daydreams about the universe therein. One day, he finds a mysterious blue card, which he slides through a scanner toy to use in the popular battle game. His toy suddenly glows and transforms into a Digivice, and Takato's fan-made design, Guilmon, materialises in front of him. Thrilled by the prospect of having a real-life Digimon, Takato embraces his new partner, and his adventures as a Digimon Tamer begin.

Takato quickly discovers that being a Digimon Tamer is not all fun and games—in reality, it's much more dangerous than the card games he's accustomed to. Wild Digimon have begun to appear all across Japan, causing rampages that result in chaos and mayhem. Armed with his Digivice, which can scan trading cards to strengthen Guilmon, Takato and his new partner set out to combat the rogue Digimon. They are tasked with protecting the world from Digimon attacks, whilst a mysterious organization determined to eliminate all Digimon and their Tamers lurks in the shadows... ",TV,51.0,Finished Airing,"Apr 1, 2001","Mar 31, 2002","Yomiko Advertising, Fuji TV","Saban Entertainment, Flatiron Film Company",Toei Animation,Original,"Adventure, Comedy, Drama, Fantasy",Isekai,young boy,25.0,PG - Children,7.631,116606.0,12562.0,1089,185204,1751,2001.0
1563,Magic Knight Rayearth II,魔法騎士（マジックナイト）レイアース II,Magic Knight Rayearth II,"Little time has passed since the Magic Knights’ final confrontation with Princess Emeraude’s ""Mashin."" Still haunted by the princess’ death, Hikaru Shidou returns to Tokyo Tower. There, she meets her friends Umi Ryuuzaki and Fuu Hououji for the first time since their spontaneous quest to save Cephiro. Plagued by nightmares of the realm she had left behind, Hikaru is relieved to find that her companions too want to return and serve the kingdom they once so dutifully protected.

The Magic Knights’ wish is answered, for at the top of Tokyo Tower, the three are blinded by the same great light they had seen on the day they first met. Once more on the back of a flying fish, the group returns to Cephiro—a world now desolate and in ruins. With the collapse of the Pillar's power, monsters freely roam the land while three nations seek to annex Cephiro with hopes of seizing the Pillar for themselves. Complicating things further is the mysterious Lady Debonair, who proclaims herself to be the rightful heir of the fallen country.

Now confronting graver stakes and radically different enemies, the three Magic Knights set forth once more to save Cephiro and bring peace. With the bonds they have forged together, the trio stands united in the face of such a great challenge.

[Written by MAL Rewrite]
",TV,29.0,Finished Airing,"Apr 10, 1995","Nov 27, 1995",Unknown,"Media Blasters, Discotek Media",TMS Entertainment,Manga,"Adventure, Drama, Fantasy, Romance","Isekai, Mecha",young girl,24.0,PG-13 - Teens 13 or older,7.511,15751.0,16282.0,3515,30746,136,1995.0
36407,Kenja no Mago,賢者の孫,Wise Man's Grandchild,"In the kingdom of Earlshide, Merlin Wolford was once regarded as a national hero, hailed for both his power and achievements. Preferring a quiet life however, he secludes himself deep in the rural woods, dedicating his time to raising an orphan that he saved. This orphan is Shin, a normal salaryman in modern-day Japan who was reincarnated into Merlin's world while still retaining his past memories. As the years pass, Shin displays unparalleled talent in both magic casting and martial arts, much to Merlin's constant amazement.

On his 15th birthday however, it becomes apparent that Shin only developed his combat skills and nothing else, leaving him with blatant social awkwardness, a lack of common sense, and a middling sense of responsibility. As a result, Shin enrolls in the kingdom's Magic Academy to hone his skills and mature among other teenagers. However, living a normal life is impossible, as he is established as a local celebrity almost as soon as he arrives.

Kenja no Mago follows Shin Wolford's high school life in the capital as he makes new friends, learns about the world, and fights off the various forces of evil surrounding him and his city.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2019","Jun 26, 2019","Sotsu, Docomo Anime Store, ABC Animation, Kadokawa",Funimation,SILVER LINK.,Light novel,"Action, Comedy, Fantasy, Romance","Isekai, Reincarnation",Unknown,23.0,PG-13 - Teens 13 or older,6.611,295271.0,57852.0,371,502119,2622,2019.0
38472,Isekai Quartet,異世界かるてっと,Isekai Quartet,"It is a normal day; everyone from deranged military girl Tanya Degurechaff and 16-year-old isekai protagonist Satou Kazuma to expansionist overlord Ainz Ooal Gown and demon sisters Rem and Ram go on with their daily lives. Suddenly, a conspicuous red button begging to be pressed appears before them. Overcome by curiosity, the otherworldly characters push the button, sending them to an unfamiliar world.

With no way of escaping, the characters must lead a normal school life and make acquaintances with the others. One thing is certain: the classroom full of fan-favorite eccentric personalities never gets boring!

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 10, 2019","Jun 26, 2019",Kadokawa,Funimation,Studio PuYUKAI,Original,"Comedy, Fantasy","Isekai, Parody",Unknown,12.0,PG-13 - Teens 13 or older,7.401,198062.0,20472.0,548,353916,995,2019.0
40586,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",スライム倒して300年、知らないうちにレベルMAXになってました,I've Been Killing Slimes for 300 Years and Maxed Out My Level,"In role-playing games, slimes are usually the easiest monster to kill, and because of that, they yield few experience points. But what would happen if you live long enough to keep defeating them for 300 years?

After many years of being a corporate slave, Azusa Aizawa abruptly passes away due to severe exhaustion. Seemingly headed for the afterlife, she meets a goddess who bestows her with immortality alongside a peaceful life in another world. There, Azusa enjoys her days tending to her farm, protecting the nearby village, and killing about 25 slimes per day—a routine that continues for at least three centuries.

However, this rather monotonous cycle begins to change when Azusa suddenly finds out that she has reached level 99—the maximum possible level—from slimes alone. Despite desperately trying to hide this fact in fear of ending her slow life, rumors of her strength spread nevertheless. Soon enough, various people throughout the continent, like the dragon Laika and the elf Halkara, start to appear at her doorstep—some seeking a battle, others asking for her assistance. Meeting friends and acquaintances who soon become family, Azusa finds she can live a life far better with others than when she was alone.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2021","Jun 26, 2021","Square Enix, Movic, AT-X, Nippon Columbia, KlockWorx, Studio Mausu, Bushiroad, Hakuhodo DY Music & Pictures, Medicos Entertainment, BS11, DMM.com, SB Creative",Unknown,Revoroot,Light novel,"Comedy, Fantasy, Slice of Life","Isekai, Reincarnation",Unknown,23.0,PG-13 - Teens 13 or older,6.961,146423.0,40742.0,651,308369,1814,2021.0
9736,Astarotte no Omocha!,アスタロッテのおもちゃ！,Astarotte's Toy,"Succubi, like the young princess Astarotte ""Lotte"" Ygvar, require the life seed from men to survive, replenish their magic, and continue the royal lineage of the magical realm. This means succubi are required to keep a harem of men close at hand. Ironically, Lotte despises men, which will put her life at risk once she matures. To convince her to fulfill her duties, one of her attendants, Judith Snorrevik, goes to the human realm to find a human male whom Lotte can tolerate.

Judith returns with 23-year-old Naoya Touhara, a single father who unfortunately leaves his daughter, Asuha, behind in the human realm. As the first member of Lotte's harem, Naoya quickly adapts to this new environment, serving the princess to make her happy, rather than viewing her with sexual intent. Unfortunately, when his daughter is allowed to arrive in the magical realm, Naoya's relationship quickly worsens with Lotte. Even so, he strives to patch up their relationship.

It soon becomes clear, however, that Naoya's presence in the magical realm is more than just mere coincidence. As he develops his bond with Lotte, fate begins to pull together the connections that tie him and everyone else within this enchanting world.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 11, 2011","Jun 26, 2011","Kadokawa Shoten, Pony Canyon, DAX Production, KlockWorx, ASCII Media Works",Unknown,Diomedéa,Manga,"Comedy, Fantasy, Romance, Ecchi","Isekai, Mythology",teenager,23.0,PG-13 - Teens 13 or older,6.521,66340.0,62532.0,1406,137671,230,2011.0
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,本好きの下剋上 ～司書になるためには手段を選んでいられません～,Ascendance of a Bookworm Season 3,"Winter is approaching, and Myne—now an apprentice priestess—must prepare for her stay at the church and the upcoming Dedication Ceremony. However, due to her immense knowledge and extraordinary amount of mana, she has garnered the attention of many dangerous people, who are willing to do anything to get their hands on Myne.

To keep her safe, the Head Priest assigns Myne a bodyguard and advises her to be adopted by a noble, a decision that will force her to leave her family behind. As Myne is opposed to the idea, the Head Priest gives her an ultimatum: she can be with her family until she turns 10, but if she is deemed too unstable, she will immediately be dealt with.

Placed in a tough position, Myne is uncertain about her future. Despite the twists that may lie ahead, she will do whatever she can to protect those that she loves—even if it means giving up on her dream.

[Written by MAL Rewrite]
",TV,10.0,Finished Airing,"Apr 12, 2022","Jun 14, 2022","WOWOW, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, TO Books, JTB Next Creation, MediaNet Pictures, Happinet Phantom Studios",Unknown,Ajia-Do,Light novel,"Fantasy, Slice of Life","Isekai, Reincarnation",Unknown,23.0,PG-13 - Teens 13 or older,8.091,44475.0,4532.0,1688,109382,726,2022.0
12367,Shining Hearts: Shiawase no Pan,シャイニング・ハーツ 〜幸せのパン〜,Unknown,"One day, a mysterious girl named Kaguya was washed ashore the island of Wyndaria after a great storm. She encounters Rick, a swordsman who wound up working at the island's bakery. Apparently, Kaguya is suffering from having lost her memories and emotions. In addition, the usually peaceful Wyndaria is now swarming with pirates who came seeking for the special spirit stone that is worn around Kaguya's neck. Knowing the situation, Rick and his co-workers, Nellis, Amyl, and Aerie decided to bring back peace to island and help Kaguya regain her lost memories and emotions. 

(Source: Wikipedia)",TV,12.0,Finished Airing,"Apr 13, 2012","Jun 30, 2012","Avex Entertainment, Sega, DAX Production, Volks",Sentai Filmworks,Production I.G,Game,"Action, Fantasy",Isekai,Unknown,24.0,PG-13 - Teens 13 or older,6.131,16318.0,83782.0,2986,41807,43,2012.0
