ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
1881,Sasami: Mahou Shoujo Club,砂沙美 -魔法少女クラブ-,Sasami Magical Girls Club,"In this world, there live a group of people who call themselves ""Majo"" or ""Magical Girls."" They hide their powers so as to assimilate into the environment. They have been living together in harmony with the humans for many years to come, and their predecessors continue to do so. Sasami was enthroned with magical powers since her birth. However, at the age of three, she was told by her parents never to use her innate powers and from then on, had kept it a secret from everyone. On the day of a new school term, a new transfer teacher by the name of Wajuu arrives and from then on, Sasami's life begins to change tremendously.

(Source: ANN)",TV,13.0,Finished Airing,"Apr 13, 2006","Jul 13, 2006","VAP, AIC, BeSTACK",Funimation,AIC Spirits,Unknown,Fantasy,"Mahou Shoujo, School",Unknown,25.0,PG - Children,6.611,2474.0,57512.0,6411,7547,12,2006.0
440,Shoujo Kakumei Utena,少女革命ウテナ,Revolutionary Girl Utena,"Years ago, a tragic incident befell a young princess when both her parents died. Devastated, it seemed nothing would calm this poor soul. However, a prince traveling through the area came to see the princess, hoping to cheer her up. After wiping her sorrowful tears, the prince gave her a ring carrying a rose emblem and told her as long as she holds onto the ring, they are destined to meet again. The event leaves a deep impression on the girl, Utena Tenjou, leading her to become a prince herself. 

Years later, Utena attends Ootori Academy, recognized by the same rose emblem as her precious ring's. There, attracted by the scent of roses, she witnesses Anthy Himemiya tending the flowers, accompanied by the Student Council President Touga Kiryuu and Vice President Kyouichi Saionji, who seem to be arguing over Anthy. While Utena thinks nothing of the occurrence, the Student Council gathers to discuss an important matter. 

Subsequently, a misunderstanding leads to Utena being dragged into the world of Duelists—those with rings similar to her own. The Duelists fight for the ownership of the Rose Bride, Anthy Himemiya, who is said to possess great power. Wanting to prove her capabilities as a prince, and enraged that Anthy is being wronged and objectified, Utena resolves to fight against the Duelists to save her from the cruel fate.

[Written by MAL Rewrite]
",TV,39.0,Finished Airing,"Apr 2, 1997","Dec 24, 1997","TV Tokyo, Shaft, Trans Arts, Audio Tanaka","Nozomi Entertainment, Central Park Media",J.C.Staff,Original,"Comedy, Drama, Fantasy, Mystery","Mahou Shoujo, Psychological",young girl,23.0,PG-13 - Teens 13 or older,8.191,57413.0,3412.0,1041,194957,7338,1997.0
1915,Mahou Shoujo Lyrical Nanoha StrikerS,魔法少女リリカルなのはStrikerS,Magical Girl Lyrical Nanoha StrikerS,"Set 10 years after Mahou Shoujo Lyrical Nanoha A's, Nanoha, Fate, Hayate and the rest of the crew are now working full time in the Time-Space Administration Bureau. Nanoha is a combat instructor, Fate is a special investigator, and Hayate is a commanding officer. They must unite once again to save the dimensions. Introducing new characters as well: Subaru, Teana, Caro and Erio. Stand by. Ready. Set up!",TV,26.0,Finished Airing,"Apr 2, 2007","Sep 24, 2007","Geneon Universal Entertainment, A-Line, King Records",Unknown,Seven Arcs,Original,"Action, Comedy, Drama","Mahou Shoujo, Super Power",Unknown,25.0,PG-13 - Teens 13 or older,7.621,25018.0,12852.0,2698,50928,559,2007.0
36902,Mahou Shoujo Ore,魔法少女 俺,Magical Girl Ore,"Saki Uno is an average 15-year-old girl with a side hustle as a member of the exceptionally unpopular idol duo Magical Twins. Despite this, she absolutely loves the time she spends with her best friend Sakuyo Mikage as she strives to become closer with her childhood crush, Sakuyo's brother Mohiro. Her peaceful life, however, unravels when she finds a yakuza-looking thug trying to enter her house. Forced to invite him inside, Saki learns that her mother used to be a demon fighting Magical Girl, and that her brutish guest is actually a mascot named Kokoro-chan looking to recruit a replacement. Dumbfounded and skeptical, Saki is hesitant accept the request until Kokoro-chan reveals that Mohiro is a target of some cute, squirrel-tailed demons.

Rushing to his side, Saki's overwhelming desire to save Mohiro activates her Love Power, and a daring confession awakens her as a Magical Girl. However, because her body is not suitable for combat, Saki's transformation turns her into a muscle-bound man clad in a pretty dress. Now, as a fully-fledged Magical Girl, Saki must team up with Sakuyo to protect the love of her life from the fluffy, demonic menaces that run rampant in her world.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 2, 2018","Jun 18, 2018","Genco, AT-X, KlockWorx, Crunchyroll, My Theater D.D.",Discotek Media,Pierrot Plus,Web manga,"Comedy, Fantasy","Magical Sex Shift, Mahou Shoujo",Unknown,23.0,PG-13 - Teens 13 or older,6.641,24694.0,55922.0,2089,78644,140,2018.0
3845,Mahoutsukai Chappy,魔法使いチャッピー,Unknown,"Chappy's story is much like Mahou Tsukai Sally (Little Witch Sally). Chappy becoming sick of the old customs of her people, left the Land of Magic for the human world. Soon her family sees how much she has in the other realm that they decided to join her new home. Chappy is known for being the first witch to use a wand. Her special chant is ""Abura Mahariku Maharita Kabura. 

Mahou Tsukai Chappy is the fifth magical girl anime in history. 

(Source: Wikipedia)",TV,39.0,Finished Airing,"Apr 3, 1972","Dec 25, 1972",Unknown,Unknown,Toei Animation,Unknown,Adventure,Mahou Shoujo,Kids,25.0,G - All Ages,6.261,202.0,76792.0,12702,767,2,1972.0
1110,Mermaid Melody Pichi Pichi Pitch Pure,マーメイドメロディーぴちぴちピッチピュア,Unknown,"After the final battle against Gaito, Sara had given her life to remain with him. The sea world is now at peace, but only with six mermaid princesses.

While Caren, Noel, and Coco have returned to their kingdoms, it should be time for Lucia, Hanon, and Rina to do the same. After all, Mitsuki Tarou is leaving for Germany, and Doumoto Kaito is heading to Hawaii. Lucia is devestated, and when things couldn't get any worse, Kaito is lost at sea! Worst of all, a strange angel named Michel has appeared, wanting the mermaids to join him. But on the lighter side, Sara's spirit tells Lucia of Sara's successor, a young mermaid named Seira. The mermaids are in for another adventure!",TV,39.0,Finished Airing,"Apr 3, 2004","Dec 25, 2004",Synergy Japan,Unknown,"Actas, SynergySP",Manga,"Adventure, Comedy, Romance","Mahou Shoujo, Music",young girl,25.0,PG - Children,7.161,22183.0,31752.0,3004,41466,208,2004.0
25939,Mahou Shoujo Lyrical Nanoha ViVid,魔法少女リリカルなのはViVid,Unknown,"The series takes place four years after the events of Mahou Shoujo Lyrical Nanoha StrikerS, during which, magical girl Nanoha Takamachi rescued and adopted a young girl named Vivio, who is the reincarnation of the Sankt Kaiser, Olivie Segbrecht. After entering her fourth year of elementary school, Vivio is given her own intelligence device, Sacred Heart, and gains the power to transform using her adult Sankt Kaiser mode. She soon comes across a girl named Einhart Stratos who, similar to Vivio, is the descendant of another Sankt Kaiser ruler, Claus G.S. Ingvalt. As Einhart becomes determined to prove her fighting style is the strongest, Vivio befriends her and together with her friends, enters a martial arts tournament where they fight against various magical opponents and learn more about their past lives.

(Source: Wikipedia)",TV,12.0,Finished Airing,"Apr 3, 2015","Jun 19, 2015","Aniplex, Starchild Records",Unknown,A-1 Pictures,Manga,"Action, Adventure","Mahou Shoujo, Martial Arts",Unknown,25.0,PG-13 - Teens 13 or older,6.711,9265.0,52292.0,3931,24535,43,2015.0
100,Shin Shirayuki-hime Densetsu Prétear,新白雪姫伝説プリーティア,Prétear The New Legend of Snow White,"Due to her father's remarriage, robust 16-year-old Himeno Awayuki moves into a large mansion with a beautiful garden—the quintessential dream house for any girl her age. However, much to Himeno's disappointment, her new stepfamily doesn't really seem to like her, as her stepmother often occupies herself with her father, her younger stepsister Mawata ignores her, and her other stepsister—the equally aged Mayune—tries to prank her at every opportunity.

But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights, after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear, she feels doubtful in her abilities to protect the world and its Leafe, the source of energy for all life. Will Himeno be able to find happiness among her new family and also save the Earth from the enemy, the Princess of Disaster?

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 4, 2001","Jun 27, 2001","Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,"Comedy, Drama, Fantasy, Romance","Mahou Shoujo, Reverse Harem, Super Power",young girl,23.0,PG-13 - Teens 13 or older,7.171,27571.0,31132.0,2465,59961,395,2001.0
31733,Bishoujo Senshi Sailor Moon Crystal Season III,美少女戦士セーラームーンCrystal 第３期＜デス・バスターズ編＞,Pretty Guardian Sailor Moon Crystal Season III,"Usagi Tsukino is still struggling to balance her home life with the duties of being Sailor Moon, the guardian of love and justice. Along with the other Sailor Guardians and her boyfriend Mamoru Chiba, they begin investigating cases of students from Mugen Academy, a school for the most elite students, who are being transformed into monsters. During the investigation, they meet three strange individuals: Haruka Tenou, a handsome racecar driver; Michiru Kaiou, a talented violinist; and Hotaru Tomoe, a mysterious girl with a weak constitution.

As more incidents occur, the Sailor Guardians are met with another surprise—the appearance of two new planetary protectors with motives of their own. Despite the newcomers' questionable allegiance to Usagi and her comrades, they all face a threat from a common enemy: an evil entity who calls himself Pharaoh 90.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 4, 2016","Jun 27, 2016","Starchild Records, Kodansha",VIZ Media,Toei Animation,Manga,Romance,"Mahou Shoujo, Mythology",young girl,24.0,PG-13 - Teens 13 or older,7.751,25365.0,9742.0,2599,54214,329,2016.0
604,Mahou no Stage Fancy Lala,魔法のステージ・ファンシーララ,Magical Stage Fancy Lala,"Miho Shinohara is a care-free third-grader and an aspiring manga artist. One day, she encounters Mogu and Pigu - two lost fairies disguised as stuffed animals. In exchange for staying at her home until they find a way to return to their own world, the fairies give Miho a special sketch pad and pencil that enable her to magically create real objects from what she draws. With the pen, Miho can also transform into Lala, a beautiful teenage girl created from her manga art. As Lala, she is discovered by a talent agency, and so begins her adventures from an ordinary school girl to a model to an idol singer. 

(Source: ANN)",TV,26.0,Finished Airing,"Apr 5, 1998","Sep 27, 1998","Bandai Visual, Geneon Universal Entertainment, TV Osaka, Yomiuri Advertising, TV Tokyo Music",Bandai Entertainment,Pierrot,Original,"Comedy, Drama, Romance","Idols (Female), Mahou Shoujo, Music",young girl,24.0,G - All Ages,7.141,3753.0,32712.0,5488,11018,46,1998.0
