ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
31700,Xiao Taiji,小太極,Taichi Kid,Unknown,TV,14.0,Finished Airing,1999,Not Available,Unknown,Unknown,Unknown,Unknown,Action,Martial Arts,Kids,22.0,G - All Ages,,,161362.0,16751,245,0,1999.0
43868,Baiyu Tang,白玉堂,Unknown,Unknown,TV,52.0,Finished Airing,2002,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,"Action, Drama","Historical, Martial Arts",Kids,22.0,G - All Ages,,,169902.0,20554,38,0,2002.0
45815,Qihuan Long Bao,奇幻龙宝,Jackie Chan's Fantasia,Unknown,TV,52.0,Finished Airing,2009,Not Available,Unknown,Unknown,Unknown,Original,"Action, Adventure, Sci-Fi",Martial Arts,Kids,12.0,PG - Children,,,144552.0,19356,83,0,2009.0
39686,Mabeob Chunjamun Season 2,마법천자문 시즌2,Magic Han War Season 2,"The 2nd season of Mabeob Chunjamun. It was not broadcasted in stereoscopic 3D.

The World of Han magic brings peace after Lord Chaos had been sealed. However, the shadows of darkness rule over once again! But one day, Lord Greed suddenly attacks and burns the Monkey Mountain. Oki tries to defeat the Lord Greed, but somehow he’s not able to use the Han magic! 
Load Greed knocks out Oki and destroys the Magic Stick. Peaceful time is over for Oki and his heart beats again. Ruby and Bobo come to help from Mystic Island. Oki goes on journey once more. He has to save the Magic Stick and get his special armor to avoid the conspiracy of Load Chaos’ Resurrection. Let the journey of Magic Han War begin once again!

(Source: Official Site)",TV,26.0,Finished Airing,2015,Not Available,Unknown,Unknown,Unknown,Manga,Adventure,Martial Arts,Kids,25.0,G - All Ages,,,131922.0,19164,99,0,2015.0
47774,Taiji Xiao Zi,太极小子,Unknown,Unknown,TV,26.0,Finished Airing,2018,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Martial Arts,Kids,8.0,PG - Children,,,153812.0,20125,49,1,2018.0
96,Mobile Fighter G Gundam,機動武闘伝Gガンダム,Mobile Fighter G Gundam,"In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all.

Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament.

Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph.

[Written by MAL Rewrite]",TV,49.0,Finished Airing,"Apr 1, 1994","Mar 31, 1995","TV Asahi, Sotsu",Bandai Entertainment,Sunrise,Original,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports","Martial Arts, Mecha, Space",Unknown,24.0,PG-13 - Teens 13 or older,7.561,34818.0,14492.0,2373,63759,928,1994.0
35106,Ninja Tamamaru,忍者玉丸,Unknown,A simple short anime series about a ninja named Tamamaru who is diligent and enthusiastic about his ninja training...but always fails at it.,TV,26.0,Finished Airing,"Apr 12, 2008","Oct 25, 2008",Unknown,Unknown,Unknown,Original,Unknown,Martial Arts,Kids,5.0,G - All Ages,,,138762.0,17940,175,0,2008.0
34501,Kenka Banchou Otome: Girl Beats Boys,喧嘩番長 乙女 -GIRL BEATS BOYS-,Kenka Bancho Otome -Girl Beats Boys-,"Kenka Banchou Otome - Girl Beats Boys, Hinako Nakayama has spent all of her life being raised in state-run orphanages, without ever knowing her family. As she's about to enter high school, Hinako is approached by Hikaru, a boy who claims to be her twin brother.

According to Hikaru, Hikaru and Hinako are the children of the head of the powerful Onigashima yakuza family, and Hikaru wants Hinako to switches places with him at Shishiku Academy, an all-boys school overrun with the nation's toughest delinquents. Can Hinako save her brother, find romance, and become the new boss of the school?

(Source: Crunchyroll)",TV,12.0,Finished Airing,"Apr 12, 2017","Jun 28, 2017","Grooove, DMM.com",Funimation,"Project No.9, A-Real",Visual novel,Action,"Crossdressing, Martial Arts, School",young girl,8.0,PG-13 - Teens 13 or older,6.441,33952.0,67282.0,2141,75294,194,2017.0
210,Ranma ½,らんま1/2,Ranma ½,"Ranma Saotome is a top-class martial artist and prodigy at the Saotome ""Anything-Goes"" school of martial arts. While training in China, he and his father meet a terrible fate when they accidentally fall into a cursed spring. Now, Ranma is cursed to turn into a girl when splashed with cold water, and only hot water can turn him back into a boy.

Things are only complicated further when Ranma discovers that his father has arranged for him to marry one of Soun Tendo's three daughters in order to secure the future of the Tendo dojo. Though Soun learns of Ranma's predicament, he is still determined to go ahead with the engagement, and chooses his youngest daughter Akane, who happens to be a skilled martial artist herself and is notorious for hating men.

Ranma ½ follows the hilarious adventures of Ranma and Akane as they encounter various opponents, meet new love interests, and find different ways to make each other angry, all while their engagement hangs over their head.

[Written by MAL Rewrite]",TV,161.0,Finished Airing,"Apr 15, 1989","Sep 25, 1992","Shogakukan-Shueisha Productions, Kitty Films, Fuji TV, Shogakukan",VIZ Media,Studio Deen,Manga,"Comedy, Fantasy, Slice of Life","Magical Sex Shift, Martial Arts",young boy,24.0,R+ - Mild Nudity,7.761,113186.0,9572.0,872,233872,3779,1989.0
618,Juubee Ninpuuchou: Ryuuhougyoku-hen,獣兵衛忍風帖「龍宝玉篇」,Ninja Scroll The Series,"Fourteen years after defeating the immortal warrior Himuro Genma and thwarting the Shogun of the Dark's evil plans, Kibagami Jubei continues to roam all over Japan as a masterless swordsman. During his journey, he meets Shigure, a priestess who has never seen the world outside her village. But when a group of demons destroys the village and kills everyone, Jubei becomes a prime target after acquiring the Dragon Jewel—a stone with an unknown origin. Meanwhile, Shigure—along with the monk Dakuan and a young thief named Tsubute—travels to the village of Yagyu. And with two demon clans now hunting down Shigure, Dakuan must once again acquire the services of Jubei to protect the Priestess of Light.

(Source: ANN)",TV,13.0,Finished Airing,"Apr 15, 2003","Jul 15, 2003",Studio Take Off,"Discotek Media, Urban Vision",Madhouse,Original,"Adventure, Horror, Supernatural","Martial Arts, Samurai",Unknown,24.0,R - 17+ (violence & profanity),6.681,16901.0,53982.0,3107,39313,81,2003.0
