ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
51215,Seijo no Maryoku wa Bannou Desu 2nd Season,Unknown,The Saint's Magic Power is Omnipotent 2,Second season of Seijo no Maryoku wa Bannou Desu.,TV,,Not yet aired,2023,Unknown,"Lantis, Kadokawa",Unknown,Diomedéa,Light novel,"Fantasy, Romance",Medical,Unknown,,PG-13 - Teens 13 or older,,,,4344,19709,70,2023.0
2214,Black Jack 21,ブラック・ジャック21,Unknown,"No direct-relation sequel to original Black Jack. Black Jack attempts to find out the conspiracy, of why he was involved in the bombfield accident that killed his mother, while he uncovers secrets of Organization and Project ""Noir"", which, his father and other famous doctors were involved in...

",TV,17.0,Finished Airing,"Apr 10, 2006","Sep 4, 2006","Avex Entertainment, Yomiuri Telecasting",Unknown,Tezuka Productions,Manga,"Action, Drama",Medical,Unknown,24.0,PG-13 - Teens 13 or older,7.551,4726.0,15132.0,5218,12547,59,2006.0
2694,Hidamari no Ki,陽だまりの樹,Tree in the Sun,"A story set in the mid-1800's about a young doctor who has been trained in Western-style medicine and a young samurai who is trying to live up to the old traditions of his class and culture. The story is actually based upon real people - the doctor, Ryo-an, was Tezuka's great grandfather.

During the Second Year of Ansei (1855) in Edo's Koishigawa are two young men, Manjiro Ibutani and Ryoan Tezuka. Ibutani is a low-ranking samurai who is a gifted swordsman and has a straightforward and strong sense of justice. Tezuka has a more carefree attitude. He has an eye for the ladies, but he is passionate about becoming a doctor. The two opposite characters come of age during the backdrop of the turbulent end of the Tokugawa Period (1600-1868 CE).

(Source: AnimeNfo) ",TV,25.0,Finished Airing,"Apr 5, 2000","Sep 20, 2000","VAP, Nippon Television Network",Unknown,Madhouse,Manga,"Action, Drama","Historical, Medical, Samurai",teenager,23.0,R+ - Mild Nudity,7.051,534.0,36912.0,8731,3260,20,2000.0
919,Ray The Animation,RAY THE ANIMATION,Ray The Animation,"If you have enough money, you can buy anything. So why wait for an organ you need to become available? Raised to be harvested for parts, Ray had already lost her eyes when renegade surgeon Black Jack rescued her. Now, ten years later, she has grown up to be a surgeon herself. And thanks to the unique artificial eyes she received as replacements, she has a reputation for performing incredible medical operations that no one else could even attempt. But unknown to any but a select few, her surgical endeavors are only part of a greater mission: to discover what happened to the other children she was raised with, and to find the men who stole the eyes she was born with and to bring them to justice. 

(Source: The Anime Network)",TV,13.0,Finished Airing,"Apr 5, 2006","Jun 28, 2006",Tohokushinsha Film Corporation,Maiden Japan,OLM,Manga,"Drama, Romance, Sci-Fi",Medical,Unknown,24.0,PG-13 - Teens 13 or older,6.611,3863.0,57492.0,5063,13450,14,2006.0
42826,Seijo no Maryoku wa Bannou Desu,聖女の魔力は万能です,The Saint's Magic Power is Omnipotent,"Since ancient times, the citizens of Salutania have lived within a shroud of miasma, a force that brings forth monsters creating havoc around the world. When the kingdom's Order of Knights becomes incapable of containing the monsters, the Grand Magus summons a holy maiden—the legendary ""Saint""—to obliterate the horrid creatures and restore peace.

One evening, as Sei Takanashi returns home from a long day at work, a magical force pulls her into a foreign world. Upon her arrival to the kingdom of Salutania, she overhears that the Grand Magus inadvertently summoned two Saints—Sei and a brown-haired girl. Needing only one holy maiden, the prince declares the other girl as the Saint, leaving Sei to her own devices.

Sei sets her sight on the Medicinal Flora Research Institute, an establishment known for its studies regarding herbs and potions. While indulging in her latest passion, Sei has a fateful encounter with the commander of the Third Order of Knights. But little does she know, her aptitude as a Saint will continue to exert its influence over her new life.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 6, 2021","Jun 22, 2021","Lantis, Kadokawa, Bit grooove promotion",Funimation,Diomedéa,Light novel,"Fantasy, Romance, Slice of Life","Isekai, Medical",Unknown,23.0,PG-13 - Teens 13 or older,7.261,68938.0,26532.0,1345,146055,915,2021.0
41694,Hataraku Saibou Black,はたらく細胞BLACK,Cells at Work! CODE BLACK!,"Due to poor lifestyle choices, a certain human's body is in constant turmoil. With germs, bacteria, and foreign substances abound, the jobs of various cells become increasingly difficult and dangerous. As some of the unfortunate ones who matured in this chaotic environment, Sekkekkyuu AA2153 and Hakkekkyuu U-1196 strive to fulfill their duties—even if it means seeing many of their fellow cells lose their lives in duty.

Set in an environment vastly different from its parent story, Hataraku Saibou Black portrays the cells' struggles as they try to maintain the body's health. However, the human's condition continues to deteriorate, and whether or not these efforts will amount to something concrete depends on the cells!

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Jan 10, 2021","Mar 19, 2021","Aniplex, Kodansha, Studio Mausu, Tokyo MX, NetEase",Aniplex of America,LIDENFILMS,Manga,"Action, Drama","Anthropomorphic, Educational, Medical",teenager,23.0,PG-13 - Teens 13 or older,7.531,67819.0,15882.0,1017,201083,429,2021.0
42822,Kai Byoui Ramune,怪病医ラムネ,Dr. Ramune -Mysterious Disease Specialist-,"At first glance, Ramune may not seem like a professional doctor—he is crass, rude, and often acts halfheartedly. But his true brilliance shines through once his patients pay him a visit: he is able to diagnose and treat all sorts of strange, mysterious diseases that come his way. From a young student whose fingers have turned into chili peppers to a child whose tears are made of condiments, Ramune is able to tap into a kind of innate, otherworldly sensibility that enables him to decipher the roots of their source. But finding the proper cure for these illnesses comes at a valuable price, and money certainly cannot be used to pay it. 

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 10, 2021","Mar 28, 2021","Kodansha, KlockWorx, King Records, Crunchyroll, Muse Communication",Unknown,Platinum Vision,Manga,Supernatural,"Medical, Psychological",young boy,23.0,PG-13 - Teens 13 or older,7.161,27259.0,31672.0,2393,62921,287,2021.0
39586,Hataraku Saibou!!,はたらく細胞!!,Cells at Work!!,"The cells of the human body never rest for too long; there's always something new to do and learn every day. At least, that's what Hakkekkyuu U-1146 feels as he rushes to and fro, searching for any pathogens that could cause harm to the body. Despite his dangerous line of work, it's all worth it to protect the happy smiles of Sekkekkyuu AE3803, the platelet crew, his fellow neutrophils, and the other cells he meets along the way. 

In his latest pathogen-hunting adventures, Hakkekkyuu U-1146 discovers how important cells can sometimes make mistakes, and that not all bacteria are actually bad. Everybody has their bad days, but everything eventually works out when their comrades have their backs. In the end, it's just another normal day for these hardworking cells!

[Written by MAL Rewrite]",TV,8.0,Finished Airing,"Jan 9, 2021","Feb 27, 2021","Aniplex, Kodansha, Magic Capsule",Aniplex of America,David Production,Manga,Comedy,"Anthropomorphic, Educational, Medical",young boy,23.0,PG-13 - Teens 13 or older,7.341,79778.0,22862.0,848,240743,541,2021.0
49438,Isekai Yakkyoku,異世界薬局,Parallel World Pharmacy,"World-class medical researcher Kanji Yakutani lost his little sister to a tumor years ago due to ineffective treatment. To honor her legacy, he has dedicated his research to developing new medications for such conditions. But as fate would have it, he overworks himself and passes away at the age of 31, only to be given a second chance at life in another world.

When he wakes up, Kanji finds himself in the body of a 10-year-old boy named Falma de Médicis, the son of an esteemed family of medical practitioners in the Sain Fleuve Empire. Bearing the mark of a deity's divine blessing, Falma is capable of performing a unique divine art, allowing him to create and reduce any substance with the knowledge of its chemical properties.

After reading through some pharmacology books, Falma realizes that this world is operating on similar medical practices as in ancient times. He also learns that medicine is an exclusive privilege to the nobility, depriving commoners of proper medical care. Using the knowledge from his past life and the divine abilities granted to him, Falma resolves to make medicine available to those who need it—irrespective of class.

[Written by MAL Rewrite]
",TV,12.0,Currently Airing,"Jul 10, 2022","Sep 25, 2022","Frontier Works, Pony Canyon, AT-X, Kansai Telecasting, BS NTV, Kadokawa, Bit grooove promotion",Unknown,Diomedéa,Light novel,Fantasy,"Isekai, Medical",Unknown,23.0,PG-13 - Teens 13 or older,7.581,18978.0,14152.0,1830,97157,479,2022.0
40708,Monster Musume no Oishasan,モンスター娘のお医者さん,Monster Girl Doctor,"After years of conflict, humans and monsters have settled their differences and are now at peace. This post-war era led to the foundation of Lindworm—a town which has since become the focal point of racial harmony.

As a human doctor specializing in monster biology, Glenn Litbeit runs a small clinic alongside his partner, Saphentite Neikes, who is a half-snake monster known as a lamia. He uses his knowledge to tend to any monsters who seek his aid. Whatever affliction, concern, or injury it may be, he will always be there, ready to help.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jul 12, 2020","Sep 27, 2020","Hakuhodo DY Music & Pictures, Bandai Namco Arts",Unknown,Arvo Animation,Light novel,"Comedy, Fantasy, Romance, Ecchi","Anthropomorphic, Medical",Unknown,24.0,PG-13 - Teens 13 or older,6.531,85853.0,61892.0,1096,184277,353,2020.0
