ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
18007,Dalam-iwa Goseumdochi,다람이와 고슴도치,Brave Soldier,"Squirrel and Hedgehog documents various animal communities warring and in conflict against one another, each animal being a symbolic representation of real life countries and sometimes political events.

A North Korean propaganda anime that was developed and produced in North Korea to be aired on state television.",TV,32.0,Finished Airing,1977,"Jun 6, 2012",SEK Studios,Unknown,Unknown,Unknown,Unknown,"Historical, Military",Unknown,20.0,R - 17+ (violence & profanity),,,175492.0,13557,573,3,1977.0
39634,Boy General,소년장수,Boy General,"The brave young warrior Seo-Me defeats the SeoGuk invaders. After defeating Hobi, Seo-Me and his comrades return home. Meanwhile Hobi survived after falling and some people rescued him out.",TV,50.0,Finished Airing,1982,1997,Unknown,Unknown,SEK Studios,Unknown,"Action, Drama","Historical, Military",Unknown,20.0,G - All Ages,,,171692.0,18730,128,0,1982.0
45493,Kangri Xiao Qibing,抗日小奇兵,Unknown,Unknown,TV,26.0,Finished Airing,2006,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Historical, Military",Kids,12.0,PG - Children,,,190412.0,21341,22,0,2006.0
46049,Shajiabang Xin Chuan,沙家浜新传,Unknown,Unknown,TV,30.0,Finished Airing,2007,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Historical, Military",Kids,22.0,PG - Children,,,148022.0,21403,21,0,2007.0
46936,Rexue Xiaojiang,热血小将,Hot Blooded Captain,Unknown,TV,20.0,Finished Airing,2014,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Military,Kids,12.0,PG - Children,,,145412.0,20993,30,0,2014.0
49981,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",キミと僕の最後の戦場、あるいは世界が始まる聖戦 Season II,Our Last Crusade or the Rise of a New World Season 2,"Second season of Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen.",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Unknown,Light novel,"Action, Fantasy, Romance",Military,Unknown,,PG-13 - Teens 13 or older,,,,3704,27874,122,2023.0
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,進撃の巨人 The Final Season完結編,Attack on Titan The Final Season Part 3,Unknown,TV,,Not yet aired,2023,Unknown,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise",Unknown,MAPPA,Manga,"Action, Drama","Gore, Military, Survival",young boy,,R - 17+ (violence & profanity),,,,1101,183687,1646,2023.0
2582,Soukou Kihei Votoms,装甲騎兵ボトムズ,Armored Trooper Votoms,"A century of bloodshed between warring star systems has plunged nearly 200 worlds into the flames of war. Now, an uneasy truce has settled across the Astragius Galaxy...

Chirico Cuvie, a special forces powered-armor pilot is suddenly transferred into a unit engaged in a secret and highly illegal mission to steal military secrets—from their own military! Now he's on the run...from his own army!

Unsure of his loyalties and to cover their own tracks, Chirico is left behind to die in space. Surviving by luck, the renegade is now hunted by both the conspirators and military intelligence.

He is driven by the haunting image of a mysterious and beautiful woman—the objective of their mission, and his sole clue to unraveling their treacherous scheme. But the conspirators will do anything to preserve their mysterious agenda...

(Source: AnimeNfo)",TV,52.0,Finished Airing,"Apr 1, 1983","Mar 23, 1984",TV Tokyo,"Central Park Media, Maiden Japan",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Space",Unknown,25.0,PG-13 - Teens 13 or older,7.681,5465.0,11582.0,4128,22010,341,1983.0
236,E's Otherwise,エスアザーワイズ,E's Otherwise,"Kai, who has powers different from the rest, together with his sickly sister Hikaru was protected by an organization called ASHURUM. Scouted by Eiji, Kai was delegated to the ASHURUM special force AESES and undergo intensive training. Whenever he was free, Kai visited Hikaru at the hospital belongs to the organization, but Hikaru's condition never improved. So, one year later, with amazing growth from the intensive training, Kai decides to escape from the organization.

(Source: ANN)",TV,26.0,Finished Airing,"Apr 1, 2003","Sep 23, 2003",Sotsu,ADV Films,Pierrot,Manga,"Adventure, Comedy, Drama, Sci-Fi, Supernatural",Military,young boy,23.0,PG-13 - Teens 13 or older,6.611,6779.0,57752.0,4763,15765,22,2003.0
1086,Kenran Butou Sai: The Mars Daybreak,絢爛舞踏祭ザ･マーズ･デイブレイク,Mars Daybreak,"Mars is now almost entirely covered in water. Humanity exists in large city-ships that float through the open seas. But life is hard for those who live on Mars—the economy is in bad shape, work is scarce, and food is expensive and highly prized. Gram and his friends try to do the best they can, but the work keeps drying up. Some have taken to a life of piracy to combat the corruption in the government; one such group is the pirates of the feared Ship of Aurora. And the Earth government, which rules Mars, has dispatched a new team of military pilots to combat them. In their specialized mecha called Round Bucklers, they must make the seas of Mars safe for humanity. Caught in the wrong place at the wrong time, Gram finds himself on the run with the most notorious pirates on Mars. But here's the thing—he's starting to like them!

(Source: Bandai Entertainment)",TV,26.0,Finished Airing,"Apr 1, 2004","Sep 23, 2004",Unknown,Bandai Entertainment,Bones,Original,"Adventure, Comedy, Romance, Sci-Fi","Mecha, Military",young boy,23.0,PG-13 - Teens 13 or older,7.151,7546.0,32452.0,4239,20508,33,2004.0
25777,Shingeki no Kyojin Season 2,進撃の巨人 Season2,Attack on Titan Season 2,"For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.

In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 1, 2017","Jun 17, 2017","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",young boy,24.0,R - 17+ (violence & profanity),8.501,650516.0,1192.0,12,2395390,20123,2017.0
712,Zoids Genesis,ゾイド ジェネシス,Zoids Genesis,"Natural disasters have devastated planet Zi, killing off almost all life. A thousand years later humans have gradually re-established civilization, salvaging ancient Zoids through diving and mining efforts. In a village whose most previous item is a giant sword which they worship as a holy symbol. A teenage boy discovers an ancient Liger-type Zoid while on a deep water salvage operation. Suddenly the village is attacked by skeletal Bio-Zoids intent on stealing a powerful generator located in the village. Our teenage hero awakens the Liger and discovers that the town`s sacred sword is the Liger`s weapon, together they fight off the mysterious Bio-Zoids. At least for now...

(Source: AniDB)",TV,50.0,Finished Airing,"Apr 10, 2005","Mar 26, 2006",Unknown,VIZ Media,Shogakukan Music & Digital Entertainment,Unknown,"Action, Adventure, Comedy","Mecha, Military",Unknown,25.0,PG - Children,7.191,6234.0,30262.0,4845,15068,30,2005.0
31500,High School Fleet,ハイスクール・フリート,High School Fleet,"A hundred years after catastrophic shifts in tectonic plates caused most of its area to submerge, Japan now thrives as a maritime nation. High functioning cities line the coasts of Japan, and well developed sea routes are defended by specialized naval ships. The marine industry is flourishing, and young girls are eager to join the Blue Mermaids—highly skilled women who devote their lives to protecting the seas.

After some time apart, childhood friends Akeno Misaki and Moeka China are reunited at Yokosuka Girls' Marine High School. Here they are joined by others who share their dream of becoming Blue Mermaids. Soon, training exercises commence, with Akeno and Moeka being put in charge of their own ships and crew. Everything is progressing smoothly for Akeno as she settles into her role as captain and builds camaraderie between her fellow crew members aboard the Harekaze, a destroyer ship. However, unexpected engine and navigation failures soon leave their ship stranded and the crew in danger.

High School Fleet follows the Harekaze's valiant crew as they navigate treacherous waters and other obstacles on their quest to become fully fledged Blue Mermaids.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2016","Jun 26, 2016","Aniplex, Half H.P Studio, Asmik Ace, Graphinica, BS11, Contents Seed, Cromea, Akatsuki",Aniplex of America,Production IMS,Original,Action,"Military, School",Unknown,24.0,PG-13 - Teens 13 or older,7.301,41641.0,24462.0,1809,99132,807,2016.0
38004,Strike Witches: 501 Butai Hasshin Shimasu!,ストライクウィッチーズ 501部隊発進しますっ！,Strike Witches 501st JOINT FIGHTER WING Take Off!,"Yoshika Miyafuji joins the 501st Joint Fighter Wing, a defense unit specializing in taking down alien beings known as the Neuroi. However, in days of no invasion, she and the members of the unit are taking down day to day tasks like cooking and laundry.

(Source: MAL News)",TV,12.0,Finished Airing,"Apr 10, 2019","Jun 26, 2019","Nippon Columbia, Glovision, Anime Beans",Funimation,"Acca effe, Giga Production",Manga,"Comedy, Sci-Fi","CGDCT, Military",young boy,13.0,PG-13 - Teens 13 or older,6.591,5331.0,58612.0,4576,17483,28,2019.0
50160,Kingdom 4th Season,キングダム 第4シリーズ,Kingdom Season 4,"Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony.

Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement.

However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force.

[Written by MAL Rewrite]
",TV,26.0,Currently Airing,"Apr 10, 2022",Unknown,"Avex Pictures, Shueisha, NHK Enterprises",Unknown,"Pierrot, Studio Signpost",Manga,Action,"Historical, Military",teenager,24.0,R - 17+ (violence & profanity),8.821,8011.0,282.0,3138,38541,709,2022.0
3613,Toshokan Sensou,図書館戦争,Library Wars,"Toshokan Sensou tells the story of Kasahara Iku, the first woman to join the Library Task Force. In the near future in Japan, the Media Enhancement Law has been forced upon the population censoring all books and media. To counter this, the Library Defense Force was created. To protect themselves against the Media Enhancement Law Commission, all major libraries are fully equipped with a military Task Force, who take it upon themselves to protect the books and freedom of media of the people.

This anime follows Iku and her fellow soldiers as they protect various special books and artifacts from the oppression of the Media Enhancement Law Commission. A love story, war story, and comedy all rolled into one.",TV,12.0,Finished Airing,"Apr 11, 2008","Jun 27, 2008","Dentsu, Fuji TV, Code, Asmik Ace, ASCII Media Works, Sony Music Entertainment, Atelier Musa",Discotek Media,Production I.G,Novel,"Action, Comedy, Romance","Adult Cast, Military",Unknown,23.0,PG-13 - Teens 13 or older,7.451,26084.0,18352.0,2251,69865,386,2008.0
41457,86,86―エイティシックス―,86 Eighty Six,"According to the Republic of San Magnolia, their ongoing war against the Giadian Empire has no casualties—however, that is mere propaganda. While the silver-haired Alba of the Republic's eighty-five sectors live safely behind protective walls, those of different appearances are interned in a secret eighty-sixth faction. Known within the military as the Eighty-Six, they are forced to fight against the Empire's autonomous Legion under the command of the Republican ""Handlers.""

Vladilena Milizé is assigned to the Spearhead squadron to replace their previous Handler. Shunned by her peers for being a fellow Eighty-Six supporter, she continues to fight against their inhumane discrimination. Shinei Nouzen is the captain of the Spearhead squadron. Infamous for being the sole survivor of every squadron he's been in, he insists on shouldering the names and wishes of his fallen comrades. When the fates of these young souls from two different worlds collide, will it ignite the spark that lights their path to salvation, or will they burn themselves in the flames of despair?

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 11, 2021","Jun 20, 2021","Aniplex, Kadokawa, Bandai Spirits",Unknown,A-1 Pictures,Light novel,"Action, Drama, Sci-Fi","Mecha, Military",Unknown,23.0,R - 17+ (violence & profanity),8.261,291910.0,2682.0,320,578788,13487,2021.0
2688,Akai Koudan Zillion,赤い光弾ジリオン,Zillion,"The story takes place on the planet Maris in the year 2387. Around this time, the Nozas started to genocidally kill all humans in order to lay eggs and reproduce on the planet. Three mysterious guns dubbed the ""Zillion Weapon System"" appear and three teens (JJ, Champ, and Apple) are chosen to wield them as the White Knights in order to fight back against the Nozas.

(Source: Wikipedia)",TV,31.0,Finished Airing,"Apr 12, 1987","Dec 13, 1987","Victor Entertainment, Yomiko Advertising, Nippon Television Network, Streamline Pictures",Funimation,Tatsunoko Production,Mixed media,"Action, Adventure, Sci-Fi",Military,Unknown,24.0,PG-13 - Teens 13 or older,6.581,1256.0,59242.0,7545,5049,20,1987.0
16668,Kakumeiki Valvrave,革命機ヴァルヴレイヴ,Valvrave the Liberator,"In the 71st year of the True Era, humans have successfully expanded into space and have started living in independent galactic colonies. The world itself is split between two major nations: the Atlantic Rim United States (ARUS) and the Dorssia Military Pact Federation (Dorssia)—superpowers that wage war against each other on Earth and far into outer space. In this war-torn era, a third faction comprised of Japan and Islands of the Oceanian Republic (JIOR), reside peacefully and prosper economically, maintaining neutrality between themselves and their militant neighbors.

Kakumeiki Valvrave commences in an outer space JIOR colony, where 17-year-old Haruto Tokishima's peaceful life is turned upside down as a sudden Dorssian fleet breaches the neutral colony. Their objective is to seize the Valvraves: powerful, but rumored mechanized weapons hidden deep within Haruto's school, Sakimori Academy. In the ensuing chaos, Haruto stumbles upon one of the targeted Valvraves. With his friends' lives in peril, Haruto enters the mecha and seals a contract for its power in exchange for his humanity. With the aid of L-elf—an enigmatic Dorssian agent and gifted strategist—Haruto and the Valvrave initiate a revolution to liberate the world.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 12, 2013","Jun 28, 2013","Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Bandai, Bandai Namco Entertainment",Aniplex of America,Sunrise,Original,Action,"Mecha, Military, Space",Unknown,24.0,R - 17+ (violence & profanity),7.141,75191.0,32652.0,1257,159454,669,2013.0
36884,Hisone to Maso-tan,ひそねとまそたん,Dragon Pilot Hisone and Masotan,"Seeking to find purpose in her life, Hisone Amakasu enlists in the Japan Air Self-Defense Force (JASDF) and is stationed at Gifu Airbase. During a visit to a part of the base she did not know existed, she stumbles upon the JASDF's largest secret: the Organic Transformed Flyer (OTF), a dragon that has the ability to camouflage itself as an aircraft. After being swallowed up and spit out by the OTF, her commanding officers inform her that this encounter means that she has been chosen to be the next in a long line of Dragon Pilots.

Together with her fellow pilot cadets and ""Maso-tan,"" her own OTF, Hisone must overcome her insecurities in order to discover her true potential as a Dragon Pilot and unravel the secrets behind the OTFs.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 13, 2018","Jun 29, 2018","Warner Bros. Japan, BS Fuji, Hakuhodo DY Music & Pictures",Unknown,Bones,Original,"Comedy, Drama, Fantasy",Military,Unknown,24.0,PG-13 - Teens 13 or older,7.311,34196.0,24202.0,2110,76895,294,2018.0
