ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
36735,Capsule Samurai,カプセル侍,The Capsule Samurai,"A series of shorts shown on the NHK's channel Eigo-rian, which taught children English.",TV,40.0,Finished Airing,2004,2005,NHK,Unknown,Unknown,Original,Comedy,"Music, Samurai",Unknown,40.0,G - All Ages,,,172462.0,18057,169,0,2004.0
44363,Hong Mao Lan Tu MTV,虹猫蓝兔MTV,Unknown,Unknown,TV,65.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Unknown,Fantasy,Music,Kids,2.0,PG - Children,,,184542.0,20833,32,0,2005.0
39127,Hong Mao Lan Tu: Shuimo Donghua,虹猫蓝兔水墨动画,Unknown,Unknown,TV,42.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Historical, Music",Unknown,1.0,G - All Ages,,,184712.0,19157,99,0,2005.0
27453,Pororo-wa Noraehaeyo,뽀로로와 노래해요,Sing-A-Long with Pororo,Sing-A-Long with Pororo and his friends. The series features both stage singing and in-story singing similar to that of Disney films.,TV,14.0,Finished Airing,2006,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,"Music, Performing Arts",Kids,3.0,G - All Ages,5.641,121.0,106002.0,15949,302,0,2006.0
35962,Papan Ga Panda!,パパンがパンダ！,Papan Ga Panda!,"A series of shorts broadcasted on Kids Station. The star a Panda (with other animals present) as they do quick skits usually revolving around singing, dancing, and exercise.",TV,,Currently Airing,2012,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Music,Kids,30.0,G - All Ages,,,142272.0,17980,173,0,2012.0
27461,Pororo's English Show,뽀로로 잉글리시쇼,Pororo's English Show,A musical style season like Pororo-wa Noraehaeyo but the cast speaks entirely English with the original English dub cast as a way to teach English to native Korean Children.,TV,13.0,Finished Airing,2013,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,"Educational, Music, Performing Arts",Kids,5.0,G - All Ages,,,143672.0,16687,249,1,2013.0
51956,Paradox Live the Animation,Paradox Live THE ANIMATION,Unknown,"The Phantom Live movement was reborn in the near future as a result of the incredible saturation of hip-hop culture. Rappers wear accessories made of Phantom Metal, a metallic substance. They create illusions linked to their emotions through chemical reactions with their own DNA, driving young people insane with spectacular stage shows.

At the Paradox Live event, held at the legendary Club Paradox, four teams competed for supremacy: BAE, The Cat's Whiskers, cozmez, and Akanyatsura. Although cozmez won, the intensity of the battle won the hearts of legendary rappers Buraikan, sparking the start of a new event.

Buraikan then traveled throughout Japan to spread the word about the new event: ""This event will determine who will become the next legendary artist. There is only one requirement for participation: you must be a Phantom Rapper. Your position and title are irrelevant. Let's go, everyone.""

Beginning with this message, many intensely skilled contestants approached Buraikan, inspired by this message. Eight teams were chosen from among the best candidates. The fight is heating up, and the momentum will undoubtedly propel Phantom Live to new heights. Who will be the next iconic artist?

(Source: MAL News)
",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Unknown,Mixed media,Unknown,Music,Unknown,,None,,,,9427,2527,64,2023.0
42385,The iDOLM@STER Million Live!,THE iDOLM@STER MILLION LIVE!,Unknown,Unknown,TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Shirogumi,Game,Unknown,"Idols (Female), Music",Unknown,,PG-13 - Teens 13 or older,,,,8397,3748,8,2023.0
51536,The IDOLM@STER Cinderella Girls: U149,アイドルマスター シンデレラガールズ U149,Unknown,"It's time to pull back the curtain on a new Cinderella Girls story! Hardworking girls and up-and-coming producers team up to shoot for the stars and become the next big idol! Between their gorgeous outfits, electrifying performances, and distractingly handsome princes, these aspiring idols have a lot to deal with.

(Source: MAL News)",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,CygamesPictures,Web manga,Unknown,"Idols (Female), Music",Unknown,,None,,,,10153,1957,6,2023.0
37653,Caribadix 2nd Season,ディッキー&カリーナ 2ndシーズン,Caribadix 2nd Season,Unknown,TV,39.0,Finished Airing,"Apr 1, 2018","Jan 6, 2019",Unknown,Unknown,Unknown,Original,Comedy,Music,Unknown,45.0,PG - Children,,,172522.0,15907,304,0,2018.0
