ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
29527,Kagee Mukashibanashi,影絵むかし話,Unknown,The 1st arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Japanese fairy tale told with shadow puppet animation. ,TV,65.0,Finished Airing,1976,1979,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology, Samurai",Kids,15.0,G - All Ages,,,189072.0,15503,334,0,1976.0
29529,Kagee Aesop Monogatari,影絵イソップ物語,Unknown,The 2nd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Aesop fable told with shadow puppet animation. ,TV,26.0,Finished Airing,1978,Not Available,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189042.0,15674,320,0,1978.0
10236,Kagee Grimm Douwa,影絵グリム童話,Unknown,The 3rd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Brothers Grimm fairy tale told with shadow puppet animation.,TV,52.0,Finished Airing,1980,1981,Unknown,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189062.0,15235,356,0,1980.0
45416,Sou Shen Ji,搜神记,Unknown,Unknown,TV,52.0,Finished Airing,2006,Unknown,Unknown,Unknown,Unknown,Novel,"Adventure, Fantasy",Mythology,Unknown,25.0,G - All Ages,,,152492.0,21288,23,0,2006.0
12481,Gregory Horror Show: The Second Guest,グレゴリーホラーショー - The Second Guest,Unknown,"The second series, The Second Guest is similarly set with 25 stories, except this time the main victim is a woman who has just taken a taxi home from her best friend's wedding ceremony.

(Source: AniDB)",TV,25.0,Finished Airing,"Apr 1, 2000","Oct 1, 2000","VAP, TV Asahi",Geneon Universal Entertainment,Milky Cartoon,Original,"Comedy, Horror, Mystery, Supernatural",Mythology,Unknown,3.0,PG - Children,6.581,830.0,59442.0,10521,1732,8,2000.0
31098,Ushio to Tora (TV) 2nd Season,うしおととら,Ushio & Tora,Continuation of Ushio to Tora TV series.,TV,13.0,Finished Airing,"Apr 1, 2016","Jun 24, 2016","Sotsu, Showgate, Tokuma Japan Communications, Daiichi Shokai",Sentai Filmworks,"MAPPA, Studio VOLN",Manga,"Action, Adventure, Comedy, Supernatural",Mythology,young boy,24.0,PG-13 - Teens 13 or older,7.901,62279.0,7102.0,1517,123812,301,2016.0
37140,Gegege no Kitarou (2018),ゲゲゲの鬼太郎 (2018),GeGeGe no Kitaro,"Nearly twenty years into the 21st century, people have forgotten the existence of youkai. When a number of unexplainable phenomena plague adults of the human world with confusion and chaos, thirteen-year-old Mana writes a letter to the Youkai Post in search of answers, only to be greeted by Gegege no Kitarou...

(Source: Crunchyroll)",TV,97.0,Finished Airing,"Apr 1, 2018","Mar 29, 2020","Yomiko Advertising, Fuji TV",Unknown,Toei Animation,Manga,"Comedy, Horror, Supernatural",Mythology,young boy,23.0,PG - Children,7.221,10709.0,28502.0,2815,46630,116,2018.0
32313,Concrete Revolutio: Choujin Gensou - The Last Song,コンクリート・レボルティオ～超人幻想～THE LAST SONG,Unknown,"Titans from outer space, life forms from a mystical world, phantoms and goblins from ancient times, cyborgs created by scientists, relics that rose out of the ruins of ancient civilizations. In another Japan, it's not just a question of ""what if""—it's a reality. Some of the superhumans choose to keep their identities a secret, while others bask in their superhuman fame. Jiro Hitoyoshi, member of the Superhuman Bureau, keeps track of their doings.

(Source: ANN)",TV,11.0,Finished Airing,"Apr 10, 2016","Jun 17, 2016","Bandai Visual, Lantis, Tokyo MX, Animatic, Hakuhodo DY Media Partners, Anime Consortium Japan",Funimation,Bones,Original,"Action, Drama, Fantasy, Mystery, Sci-Fi, Supernatural","Mythology, Super Power",Unknown,24.0,R+ - Mild Nudity,7.001,13045.0,39062.0,3365,33892,81,2016.0
9736,Astarotte no Omocha!,アスタロッテのおもちゃ！,Astarotte's Toy,"Succubi, like the young princess Astarotte ""Lotte"" Ygvar, require the life seed from men to survive, replenish their magic, and continue the royal lineage of the magical realm. This means succubi are required to keep a harem of men close at hand. Ironically, Lotte despises men, which will put her life at risk once she matures. To convince her to fulfill her duties, one of her attendants, Judith Snorrevik, goes to the human realm to find a human male whom Lotte can tolerate.

Judith returns with 23-year-old Naoya Touhara, a single father who unfortunately leaves his daughter, Asuha, behind in the human realm. As the first member of Lotte's harem, Naoya quickly adapts to this new environment, serving the princess to make her happy, rather than viewing her with sexual intent. Unfortunately, when his daughter is allowed to arrive in the magical realm, Naoya's relationship quickly worsens with Lotte. Even so, he strives to patch up their relationship.

It soon becomes clear, however, that Naoya's presence in the magical realm is more than just mere coincidence. As he develops his bond with Lotte, fate begins to pull together the connections that tie him and everyone else within this enchanting world.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 11, 2011","Jun 26, 2011","Kadokawa Shoten, Pony Canyon, DAX Production, KlockWorx, ASCII Media Works",Unknown,Diomedéa,Manga,"Comedy, Fantasy, Romance, Ecchi","Isekai, Mythology",teenager,23.0,PG-13 - Teens 13 or older,6.521,66340.0,62532.0,1406,137671,230,2011.0
50955,Onipan!,おにぱん！,Onipan!,"Three oni-kids who, through the power of the onipan (a portmanteau of ""oni"" and ""pantsu"") become human to help fix the relationship between humans and oni. The three girls transfer into a normal Tokyo high school to aid in their task and help fix their image by revitalizing the town, sometimes jumping headfirst into school events, and other times...becoming idols!

(Source: Crunchyroll News)",TV,60.0,Finished Airing,"Apr 11, 2022","Jul 1, 2022",Shogakukan-Shueisha Productions,Sentai Filmworks,Wit Studio,Original,"Comedy, Fantasy",Mythology,Unknown,3.0,PG-13 - Teens 13 or older,6.531,3079.0,61912.0,5261,12278,30,2022.0
