ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
12413,Jormungand,ヨルムンガンド,Jormungand,"Brought up in a conflict-ridden environment, child soldier Jonathan ""Jonah"" Mar hates weapons and those who deal them. But when Koko Hekmatyar, an international arms dealer, takes on Jonah as one of her bodyguards, he has little choice but to take up arms. Along with Koko's other bodyguards, composed mostly of former special-ops soldiers, Jonah is now tasked with protecting Koko and her overly idealistic goal of world peace from the countless dangers that come from her line of work.

Jormungand follows Koko, Jonah, and the rest of crew as they travel the world selling weapons under the international shipping company HCLI. As Koko's work is illegal under international law, she is forced to constantly sidestep both local and international authorities while doing business with armies, private militaries, and militias. With the CIA always hot on her trail, and assassins around every corner, Jonah and the crew must guard Koko and her dream of world peace with their lives or die trying.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2012","Jun 27, 2012","Geneon Universal Entertainment, Shogakukan-Shueisha Productions",Funimation,White Fox,Manga,"Action, Adventure",Organized Crime,teenager,24.0,R+ - Mild Nudity,7.811,141381.0,8712.0,607,325752,2819,2012.0
2104,Seto no Hanayome,瀬戸の花嫁,My Bride is a Mermaid,"During his summer vacation, middle school student Nagasumi Michishio travels to the Seto Inland Sea. One day, while swimming at Mio Sun Beach, his leg suddenly cramps. No one is close enough to notice his desperate screams for help, and so he sinks into the ocean, where he is left to drown alone. Just as he loses consciousness, however, a mermaid appears and saves his life.

That night, Nagasumi is visited by his savior, a girl who introduces herself as Sun Seto—a mermaid from a yakuza family. As it turns out, under mermaid law, a mermaid whose identity is revealed to a human must be punished by execution. To avoid this harrowing outcome, the Seto family propose a solution: Nagasumi must marry Sun or die at the hands of Gouzaburou, Sun's father and boss of the Seto clan. Faced with no other option, Nagasumi takes her hand in marriage.

Now, the newlyweds face the difficult task of keeping their relationship secret. Between Gouzaburou's unending attempts on Nagasumi's life and the eccentric antics of a slew of antagonists, a genuine and innocent love blossoms between the pair as they adapt to their new life. 

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 2, 2007","Oct 1, 2007","TV Tokyo, Square Enix, Sotsu",Funimation,"Gonzo, AIC",Manga,"Comedy, Romance","Organized Crime, Parody, School",young boy,24.0,PG-13 - Teens 13 or older,7.681,138355.0,11552.0,647,309331,2883,2007.0
5682,Phantom: Requiem for the Phantom,Phantom 〜Requiem for the Phantom〜,Phantom Requiem for the Phantom,"Mafia is rife in America where assassinations are a regular occurrence on the streets. Inferno, a mysterious company, is behind most of these dealings through the use of their near-invincible human weapon, ""Phantom.""

One day, a Japanese tourist accidentally witnesses Phantom's latest murder. Desperate to escape, the tourist hides in a secluded building. However, Phantom, revealed to be a young woman named Ein, and the leader of Inferno ""Scythe Master"" captures the tourist and brainwashes him.

Given the name ""Zwei,"" this once peaceful tourist is now a puppet of Inferno with no memories. Drawn into a world of lies, deceit, and violence, Zwei must fight to survive, hopefully to one day regain his memories and escape from this world where he is constantly on the brink of death.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 3, 2009","Sep 25, 2009",Genco,Funimation,Bee Train,Visual novel,"Action, Drama, Suspense",Organized Crime,teenager,24.0,R+ - Mild Nudity,7.961,120418.0,6182.0,631,314659,4363,2009.0
36296,Hinamatsuri (TV),ヒナまつり,Hinamatsuri,"While reveling in the successful clinching of a prized vase for his collection, Yoshifumi Nitta, a yakuza member, is rudely interrupted when a large, peculiar capsule suddenly materializes and falls on his head. He opens the capsule to reveal a young, blue-haired girl, who doesn't divulge anything about herself but her name—Hina—and the fact that she possesses immense powers. As if things couldn't get any worse, she loses control and unleashes an explosion if her powers remain unused. Faced with no other choice, Nitta finds himself becoming her caregiver. 

To let her use her powers freely, Nitta asks Hina to help out with a construction deal, which goes smoothly. But while this is happening, a rival yakuza group covertly attacks his boss. To Nitta's shock, his colleagues later pin the blame on him! Tasked with attacking the rival group in retaliation, Nitta steels himself and arrives at their hideout. But suddenly, Hina unexpectedly steps in and helps him wipe out the entire group. As it turns out, Hina might just become a valuable asset to Nitta and his yakuza business, provided she does not use her powers on him first! And so the strange life of this unusual duo begins.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 6, 2018","Jun 22, 2018","Media Factory, Magic Capsule, Nippon Columbia, Kadokawa Media House, Akatsuki",Funimation,feel.,Manga,"Comedy, Supernatural","Childcare, Organized Crime",teenager,23.0,PG-13 - Teens 13 or older,8.151,229701.0,3862.0,410,460259,4155,2018.0
889,Black Lagoon,BLACK LAGOON,Black Lagoon,"Salaryman Rokurou Okajima spends his days trying to climb his company's corporate ladder, until one day when a business negotiation in Thailand goes awry. During the botched deal, he falls hostage to the Lagoon Company—a band of ruthless pirate mercenaries. Left to the whims of his captors after his managers refuse to pay his ransom, Rokurou does the unthinkable: instead of begging for his life, he joins the very crew who kidnapped him.

Now a member of the group, Rokurou must adjust to his new residence in the dissolute hellscape known as Roanapur, a city where corruption and crime run rampant, and even the smallest slipup could cost him his life. If not for one of the many crime syndicates on the island, Rokurou also constantly finds himself at odds with his brash, gunslinging colleague, Revy. 

As Rokurou struggles to abandon his past—and with more than just the profits from the Lagoon Company's illegal trading on the line—he must quickly find the resolve to make tough decisions in high-stress situations while keeping his humanity intact.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 9, 2006","Jun 25, 2006","Geneon Universal Entertainment, Shogakukan","Funimation, Geneon Entertainment USA",Madhouse,Manga,Action,"Adult Cast, Organized Crime",teenager,24.0,R - 17+ (violence & profanity),8.031,445650.0,5172.0,150,901724,16444,2006.0
44516,Koroshi Ai,殺し愛,Love of Kill,"Novice bounty hunter Chateau Dankworth never expected to encounter someone capable of overpowering her in combat. Even less so that the mysterious man would take an immediate interest in her—to the point of aiding her missions. However, Chateau makes it clear that she has no plans of entertaining any personal involvement with him.

Chateau's company is soon tasked with eliminating Song Ryang-ha—an expert assassin and a former member of a powerful Asian organization. Coincidentally, Ryang-ha is the man that has been pursuing her. Despite his background, Chateau reluctantly agrees to meet with Ryang-ha as part of a deal: in exchange for going out with him, he will provide her with the locations of current targets, dead or alive.

But when the past begins to haunt both killers, their arrangement may need to come to an end, as their entanglement puts their lives at grave risk.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 13, 2022","Mar 30, 2022","Toy's Factory, Crunchyroll, Kadokawa Media House, Kadokawa, Bit Promotion, Bit grooove promotion, A3",Unknown,Platinum Vision,Manga,"Action, Romance","Adult Cast, Organized Crime",female,23.0,R - 17+ (violence & profanity),6.901,45810.0,43282.0,1455,131032,850,2022.0
242,Gokusen,ごくせん,The Gokusen,"Kumiko Yamaguchi is smart, enthusiastic, and ready to start her dream job as a math teacher at Shirokin Academy. But as her first day opens on atrocious students and cowering teachers, Kumiko realizes that the all-boys high school is a cesspool of delinquents with no intention of improving themselves.

However, what her rowdy students don't know is that behind her dorky facade, Kumiko is the acting head of a powerful yakuza clan, and she has the skills to prove it! Capable of overpowering even the strongest of gangsters in seconds, Kumiko must keep her incredible strength and criminal influence a secret in order to keep her job. Unfortunately, with the vice principal constantly trying to get her fired and Shin Sawada, the leader of her class of delinquents, suspecting she's stronger than she lets on, Kumiko has a difficult teaching career ahead of her.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Jan 7, 2004","Mar 31, 2004","VAP, Studio Jack","Media Blasters, NYAV Post",Madhouse,Manga,"Comedy, Drama, Slice of Life","Delinquents, Organized Crime, School, Workplace",female,23.0,R - 17+ (violence & profanity),7.411,19870.0,19752.0,2982,41844,220,2004.0
25183,Gangsta.,GANGSTA. ギャングスタ,Gangsta.,"Nicholas Brown and Worick Arcangelo, known in the city of Ergastalum as the ""Handymen,"" are mercenaries for hire who take on jobs no one else can handle. Contracted by powerful mob syndicates and police alike, the Handymen have to be ready and willing for anything. After completing the order of killing a local pimp, the Handymen add Alex Benedetto—a prostitute also designated for elimination—to their ranks to protect her from forces that want her gone from the decrepit hellhole of a city she has come to call home. However, this criminal’s paradise is undergoing a profound period of change that threatens to corrode the delicate balance of power.

Ergastalum was once a safe haven for ""Twilights,"" super-human beings born as the result of a special drug but are now being hunted down by a fierce underground organization. This new threat is rising up to challenge everything the city stands for, and the Handymen will not be able to avoid this coming war.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jul 2, 2015","Sep 24, 2015","Bandai Visual, Frontier Works, Lantis, DAX Production, Tokyo MX",Funimation,Manglobe,Manga,"Action, Drama","Adult Cast, Organized Crime",teenager,23.0,R - 17+ (violence & profanity),7.401,260261.0,20412.0,349,530364,3420,2015.0
2251,Baccano!,バッカーノ！,Baccano!,"During the early 1930s in Chicago, the transcontinental train, Flying Pussyfoot, is starting its legendary journey that will leave a trail of blood all over the country. At the same time in New York, the ambitious scientist Szilard and his unwilling aide Ennis are looking for missing bottles of the immortality elixir. In addition, a war between the mafia groups is getting worse. On board the Advena Avis, in 1711, alchemists are about to learn the price of immortality.

Based on the award-winning light novels of the same name, Baccano! follows several events that initially seem unrelated, both in time and place, but are part of a much bigger story—one of alchemy, survival, and immortality. Merging these events together are the kindhearted would-be thieves, Isaac and Miria, connecting various people, all of them with their own hidden ambitions and agendas, and creating lifelong bonds and consequences for everyone involved.

[Written by MAL Rewrite] ",TV,13.0,Finished Airing,"Jul 27, 2007","Nov 2, 2007","Aniplex, Sakura Create, Happinet Pictures","Funimation, Aniplex of America",Brain's Base,Light novel,"Action, Comedy, Mystery, Supernatural","Historical, Organized Crime",Unknown,24.0,R - 17+ (violence & profanity),8.381,360933.0,1762.0,166,846070,22510,2007.0
36873,Back Street Girls: Gokudolls,Back Street Girls -ゴクドルズ,Back Street Girls Gokudols,"After failing their boss for the last time, yakuza members Kentarou, Ryou, and Kazuhiko are faced with one of two choices: have their organs harvested and sold or take a trip to Thailand for sex reassignment surgery and become pop idols. Now, after a year of excruciating training, the three thugs have been reborn as Airi, Chika, and Mari. Debuting as the amateur idol group The Goku Dolls, the three strive towards becoming top idols.

However, despite the hours of feminizing brainwashing they were forced to endure, the three idols have managed to keep the yakuza spirit alive in their hearts. In order to fix this, their yakuza boss hires Mandarin Kinoshita, a legendary manager who has never had an idol group fail under his management. With their lives now on the line, the reluctant yakuza must work with their new manager to unleash their inner cuteness and become the successful idols that their tyrannical boss can truly be proud of. 

[Written by MAL Rewrite]",TV,10.0,Finished Airing,"Jul 4, 2018","Sep 5, 2018","Toei Video, Kodansha",Unknown,J.C.Staff,Manga,"Comedy, Ecchi","Magical Sex Shift, Organized Crime, Workplace",teenager,24.0,R - 17+ (violence & profanity),6.941,69463.0,41532.0,1446,133165,532,2018.0
