ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
10080,Kami nomi zo Shiru Sekai II,神のみぞ知るセカイ II,The World God Only Knows II,"Keima Katsuragi, the ""God of Conquest,"" returns to his quest of expelling runaway spirits that have possessed the hearts of women. Still stuck in his contract with the demon Elsie, he must continue to utilize the knowledge he has gained from mastering multitudes of dating simulators and chase out the phantoms that reside within by capturing the hearts of that which he hates most: three-dimensional girls.

However, the God of Conquest has his work cut out for him. From exorcising karate practitioners and student teachers to the arrival of Elsie's best friend from Hell, he is up against a wide array of girls that will test his wit and may even take him by surprise. Though he would much rather stick to the world of 2D, he is trapped in lousy reality, and so Keima must trudge forward in his conquest of love.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 12, 2011","Jun 28, 2011","TV Tokyo, Geneon Universal Entertainment",Sentai Filmworks,Manglobe,Manga,"Comedy, Romance, Supernatural","Harem, Otaku Culture",young boy,23.0,PG-13 - Teens 13 or older,7.891,229421.0,7312.0,519,368881,966,2011.0
35968,Wotaku ni Koi wa Muzukashii,ヲタクに恋は難しい,Wotakoi Love is Hard for Otaku,"Having slept through all four of her alarms, the energetic Narumi Momose finds herself running late for her first day of work at a new office. As she races to catch her train, she makes a promise to herself that none of her coworkers will find out about her dark secret: that she is an otaku and a fujoshi. Her plan goes instantly awry, though, when she runs into Hirotaka Nifuji, an old friend from middle school. Although she tries to keep her secret by inviting him out for drinks after work, her cover is blown when he casually asks her whether or not she will be attending the upcoming Summer Comiket. Luckily for her, the only witnesses—Hanako Koyanagi and Tarou Kabakura—are otaku as well.

Later that night, the pair go out for drinks so that they can catch up after all the years apart. After Narumi complains about her previous boyfriend breaking up with her because he refused to date a fujoshi, Hirotaka suggests that she try dating a fellow otaku, specifically himself. He makes a solemn promise to always be there for her, to support her, and to help her farm for rare drops in Monster Hunter. Blown away by the proposal, Narumi agrees immediately. Thus the two otaku start dating, and their adorably awkward romance begins.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 13, 2018","Jun 22, 2018","Aniplex, Dentsu, Fuji TV, Half H.P Studio, Ichijinsha, Kanetsu Investment, Christmas Holly",Unknown,A-1 Pictures,Web manga,Romance,"Adult Cast, Otaku Culture, Workplace",Unknown,22.0,PG-13 - Teens 13 or older,7.951,457713.0,6282.0,165,851171,10291,2018.0
30727,Saenai Heroine no Sodatekata ♭,冴えない彼女〈ヒロイン〉の育てかた♭,Saekano How to Raise a Boring Girlfriend .flat,"After finally completing the first route of his visual novel, Blessing Software's producer Tomoya Aki is optimistic about the future of his team and achieving their goal of creating the best game of the season.

However, they still have a long way to go. For one, Megumi Katou still has an incredibly flat personality and is unable to fit the role of Tomoya's ideal heroine. The other members of Blessing Software, Eriri Spencer Sawamura, Utaha Kasumigaoka, and Michiru Hyoudou, often forget she is even there due to her lack of presence and character. 

Throughout the development of their game, Blessing Software learns the struggles of working in an industry where deadlines must be met and edits are made constantly, and the hardships of working in a group setting.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 14, 2017","Jun 23, 2017","Aniplex, Dentsu, Fuji TV, Cospa, Good Smile Company, Kansai Telecasting, Fujimi Shobo",Unknown,A-1 Pictures,Light novel,"Comedy, Romance, Ecchi","Harem, Otaku Culture, School",Unknown,22.0,PG-13 - Teens 13 or older,7.771,170071.0,9512.0,602,330562,1621,2017.0
289,Comic Party,こみっくパーティー,Comic Party,"Destiny or delusion? It's a hilarious rollercoaster of laughter and confusion when Taishi, the ultimate otaku, drags his friend Kazuki into the swirling world of ambition, hatred, and love—the world of fan comics! Poor clueless Kazuki must sink or swim when he's dumped straight into the middle of a massive comic convention. Lost amidst hoards of buyers, sellers, and cosplayers, Kazuki is about to be baptized by fire, all in order to lead him toward his true calling: to take over the world through fan comics!

Meanwhile, Kazuki's childhood friend Mizuki isn't about to let him be dragged from his normal life without a fight! But will she be able to stop the addictive draw of the new world that lies before Kazuki? Little by little, Kazuki is slipping down the path towards destiny—and Taishi is shoving him every step of the way! 

(Source: RightStuf)",TV,13.0,Finished Airing,"Apr 2, 2001","Jun 25, 2001",KSS,"Nozomi Entertainment, Discotek Media",OLM,Visual novel,"Comedy, Drama",Otaku Culture,Unknown,24.0,PG-13 - Teens 13 or older,6.571,7681.0,59602.0,4452,18618,33,2001.0
40716,Kakushigoto,かくしごと,Kakushigoto,"Kakushi Gotou is a somewhat popular manga artist whose works are known for inappropriate content. Because of this raunchiness, when his daughter Hime was born, he vowed to keep his profession hidden from her, believing that she will be disillusioned if she finds out. 

This paranoia-induced belief leads Kakushi into hectic situations. Despite being a single father, he does his best and often resorts to extreme ends just to protect his secret, such as guising as a salaryman every day or holding emergency drills in case Hime somehow finds her way to his workplace.

Kakushigoto tells the story of a father and daughter living side by side, maintaining their peaceful existence as the father attempts to preserve the status quo. However, there is a saying: ""there are no secrets that time cannot reveal."" In time, Hime must learn the reality behind the things she took for granted as she grew up.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 2, 2020","Jun 18, 2020","Dentsu, Marvelous, Kodansha, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, A-Sketch",Funimation,Ajia-Do,Manga,Comedy,"Childcare, Gag Humor, Otaku Culture",young boy,23.0,PG-13 - Teens 13 or older,8.001,125866.0,5662.0,688,295509,1983,2020.0
29067,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,旦那が何を言っているかわからない件2スレ目,I Can't Understand What My Husband Is Saying 2nd Thread,"The Tsunashi couple is as lively and offbeat as ever. Hardcore otaku shut-in Hajime and workaholic office lady Kaoru still get themselves into hilarious situations thanks to both their own eccentric natures and the bizarre group of friends surrounding them.

After learning about Kaoru's pregnancy, Hajime works harder than ever to become a good husband and a worthy father. Meanwhile, Kaoru reflects on their relationship and remembers all of the trials and tribulations that brought them closer. The two of them continue to put their best foot forward in their lives and their marriage—all for the sake of long-lasting, selfless love.

[Written by MAL Rewrite]
",TV,13.0,Finished Airing,"Apr 3, 2015","Jun 26, 2015","DAX Production, Dream Creation",Unknown,Seven,4-koma manga,"Comedy, Romance","Adult Cast, Otaku Culture",teenager,3.0,PG-13 - Teens 13 or older,7.331,113528.0,23012.0,1087,185425,188,2015.0
706,Comic Party Revolution,こみっくパーティー Revolution,Unknown,"Sendo Kazuki, failed the entrance exam for the art college he was applying to, His childhood friend, Kuhonbutsu Taishi forced Kazuki to enter the doujin (private publishing) world. 

(Source: AnimeNfo)",TV,13.0,Finished Airing,"Apr 4, 2005","Jun 27, 2005",AQUAPLUS,"ADV Films, Funimation","Radix, Chaos Project",Visual novel,"Comedy, Drama",Otaku Culture,Unknown,24.0,PG-13 - Teens 13 or older,6.481,3856.0,65112.0,5894,9290,6,2005.0
29589,Denpa Kyoushi,電波教師,Ultimate Otaku Teacher,"Junichirou Kagami is a young published physicist, a genius, and a hopeless otaku. At the mercy of YD, a self-diagnosed illness which causes him to only be able to do what he ""Yearns to Do,"" Junichirou foregoes his scientific career to maintain and improve his anime blog. However, when he gets hired as a high school physics teacher; his sister Suzune, no longer willing to tolerate his NEET lifestyle, forces him to take the position. 

Despite the fact that Junichirou has no motivation to teach the standard curriculum, he may still have something of value to teach his students outside of academics. With his class in tow, Junichirou embarks on an unlikely journey filled with life lessons such as acceptance of others, how to make lasting friends, and what it means to live a better life by doing what you yearn to do.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 4, 2015","Sep 26, 2015","Yomiuri Telecasting, Shogakukan",Funimation,A-1 Pictures,Manga,"Comedy, Romance","Otaku Culture, School",young boy,23.0,PG-13 - Teens 13 or older,6.881,66584.0,44282.0,1340,147196,298,2015.0
35756,Comic Girls,こみっくがーるず,Unknown,"Kaoruko ""Chaos"" Moeta is a young manga artist who is down on her luck. She wants to draw manga about high school girls, but her storyboards are bland, her art uninspired, and her premises weak. Her concerned, exasperated editor comes up with an idea: push Chaos to be more social. So, by her recommendation, Chaos moves into a dormitory for female manga artists. She soon meets the other residents: Tsubasa Katsuki, a shounen manga artist; Ruki Irokawa, who draws erotic manga popular with women; and Koyume Koizuka, a shoujo artist who, like Chaos, has yet to be serialized. Quickly striking up a friendship with these girls, Chaos finds new inspiration for her manga and continues to grow her creativity.

Comic Girls is a showcase of the daily lives of these manga artists. Will Chaos finally be able to make her debut and become serialized? None of the girls know, but they will all do their best to help each other become the best artists they can be.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 5, 2018","Jun 21, 2018","Sony Pictures Entertainment, Frontier Works, Sotsu, Houbunsha, Chugai Mining, Kansai Telecasting, BS11, My Theater D.D., Good Smile Film",Unknown,Nexus,4-koma manga,"Comedy, Slice of Life","CGDCT, Otaku Culture",Unknown,23.0,PG-13 - Teens 13 or older,7.381,56082.0,20852.0,1433,133938,643,2018.0
13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,俺の妹がこんなに可愛いわけがない。,Oreimo 2,"The diehard otaku Kirino Kousaka has returned and settled back into life in Japan with her friends and family. Despite what her older brother Kyousuke has previously done for her, Kirino continues to give him the cold shoulder, much to his frustration. He is worried that his persuasion for Kirino to drop her track and field training in America and return home may have severely strained his relationship with her. On top of that, Kyousuke now also has to decode a bold and cryptic message from Ruri ""Kuroneko"" Gokou, his junior at school as well as Kirino's friend.

As the ties between the two siblings and their friends deepen, Kirino and Kyousuke will soon have to figure out how they want to deal with these relationships, helping each other realize their own feelings in the process. In spite of that, Kirino still manages to find time to satisfy her otaku needs with the company of her brother.

[Written by MAL Rewrite]
",TV,13.0,Finished Airing,"Apr 7, 2013","Jun 30, 2013",Aniplex,Aniplex of America,A-1 Pictures,Light novel,"Comedy, Romance",Otaku Culture,Unknown,24.0,PG-13 - Teens 13 or older,6.951,251929.0,41132.0,462,413025,1206,2013.0
