ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
46384,Ding Laotou He Jiong GG,丁老头和囧GG,Mr. J & Mr. JOL,Unknown,TV,18.0,Finished Airing,2011,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Parody,Kids,8.0,PG - Children,,,176342.0,20934,31,0,2011.0
51304,FLCL: Grunge,Unknown,Unknown,Unknown,TV,,Not yet aired,2023,Unknown,Unknown,Unknown,MontBlanc Pictures,Original,"Action, Avant Garde, Comedy, Sci-Fi","Mecha, Parody",Unknown,,PG-13 - Teens 13 or older,,,,4592,17338,107,2023.0
52211,Mashle,マッシュル-MASHLE-,Unknown,"To everyone else in his magic-dominated world, the young and powerless Mash Burnedead is a threat to the gene pool and must be purged. Living secretly in the forest, he spends every day training his body, building muscles strong enough to compete with magic itself! However, upon having his identity exposed and his peaceful life threatened, Mash begins his journey to becoming a ""Divine Visionary,"" a role so powerful that society would have no choice but to accept his existence.

And so, in order to maintain his peaceful life, the magicless Mash enrolls in the prestigious Easton Magic Academy, competing against the children of some of the most powerful and elite in the realm. Lacking the very skill needed to survive at Easton, magic, Mash appears to already be at a disadvantage to his fellow classmates. In order to achieve his goals, Mash will have to fight his way through every trial using his fists alone, overcoming magic with muscles, all for the illustrious title of Divine Visionary! 

[Written by MAL Rewrite]",TV,,Not yet aired,2023,Unknown,"Aniplex, Shueisha",Aniplex of America,Unknown,Manga,"Action, Comedy, Supernatural",Parody,young boy,,PG-13 - Teens 13 or older,,,,5726,9892,31,2023.0
2026,Hayate no Gotoku!,ハヤテのごとく！,Hayate the Combat Butler,"According to Murphy's Law, ""anything that can go wrong, will go wrong,"" and truer words cannot describe the unfortunate life of the hard-working Hayate Ayasaki. Abandoned by his parents after accumulating a debt of over one hundred fifty million yen, he is sold off to the yakuza, initiating his swift getaway from a future he does not want. On that fateful night, he runs into Nagi Sanzenin, a young girl whom he decides to try and kidnap to pay for his family's massive debt.

Unfortunately, due to his kind-hearted nature and a string of misunderstandings, Nagi believes Hayate to be confessing his love to her. After saving her from real kidnappers, Hayate is hired as Nagi's personal butler, upon which she is revealed to be a member of one of the wealthiest families in Japan.

Highly skilled but cursed with the world's worst luck, Hayate gets straight to work serving his employer all the while trying to deal with the many misfortunes that befall him. From taking care of a mansion to fending off dangerous foes, and even unintentionally wooing the hearts of the women around him, Hayate is in over his head in the butler comedy Hayate no Gotoku!

[Written by MAL Rewrite]",TV,52.0,Finished Airing,"Apr 1, 2007","Mar 30, 2008","TV Tokyo, Shogakukan-Shueisha Productions, Studio Tulip","Bandai Entertainment, Sentai Filmworks",SynergySP,Manga,"Action, Comedy, Romance","Harem, Parody",young boy,24.0,PG-13 - Teens 13 or older,7.531,94211.0,15892.0,947,214834,1559,2007.0
11785,Haiyore! Nyaruko-san,這いよれ！ニャル子さん,Nyaruko Crawling With Love!,"Mahiro Yasaka is just an ordinary high school student, until one day he is suddenly attacked by a dangerous monster. Just when everything seems to be lost, he is saved by a silver-haired girl named Nyaruko, who claims to be the shape-shifting deity Nyarlathotep from horror author H. P. Lovecraft's Cthulhu Mythos, sent by the Space Defense Agency to Earth. She explains to Mahiro that the creature chasing him was an alien called Nightgaunt, who had planned on abducting and selling him as a slave.

After rescuing him from the alien, the Lovecraftian deity falls madly in love with Mahiro and forces herself into his household, much to his chagrin. Moreover, they are soon joined by two others from the fictional universe: Cthuko, a girl obsessed with Nyaruko, and Hasuta, a young boy easily mistaken for a beautiful female. Together, the three eccentric aliens protect Mahiro from the various extraterrestrial dangers that threaten both his and Earth's well-being, all the while making his life a living hell.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2012","Jun 26, 2012","TV Tokyo, Avex Entertainment, Sotsu, KlockWorx, Cospa, SoftBank Creative, Studio Mausu, Bulls Eye","NIS America, Inc.",Xebec,Light novel,"Comedy, Sci-Fi",Parody,Unknown,24.0,PG-13 - Teens 13 or older,7.011,145033.0,38942.0,593,334546,1258,2012.0
38472,Isekai Quartet,異世界かるてっと,Isekai Quartet,"It is a normal day; everyone from deranged military girl Tanya Degurechaff and 16-year-old isekai protagonist Satou Kazuma to expansionist overlord Ainz Ooal Gown and demon sisters Rem and Ram go on with their daily lives. Suddenly, a conspicuous red button begging to be pressed appears before them. Overcome by curiosity, the otherworldly characters push the button, sending them to an unfamiliar world.

With no way of escaping, the characters must lead a normal school life and make acquaintances with the others. One thing is certain: the classroom full of fan-favorite eccentric personalities never gets boring!

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 10, 2019","Jun 26, 2019",Kadokawa,Funimation,Studio PuYUKAI,Original,"Comedy, Fantasy","Isekai, Parody",Unknown,12.0,PG-13 - Teens 13 or older,7.401,198062.0,20472.0,548,353916,995,2019.0
34134,One Punch Man 2nd Season,ワンパンマン,One Punch Man Season 2,"In the wake of defeating Boros and his mighty army, Saitama has returned to his unremarkable everyday life in Z-City. However, unbeknownst to him, the number of monsters appearing is still continuously on the rise, putting a strain on the Hero Association's resources. Their top executives decide on the bold move of recruiting hoodlums in order to help in their battle. But during the first meeting with these potential newcomers, a mysterious man calling himself Garou makes his appearance. Claiming to be a monster, he starts mercilessly attacking the crowd.

The mysterious Garou continues his rampage against the Hero Association, crushing every hero he encounters. He turns out to be the legendary martial artist Silverfang's best former disciple and seems driven by unknown motives. Regardless, this beast of a man seems unstoppable. Intrigued by this puzzling new foe and with an insatiable thirst for money, Saitama decides to seize the opportunity and joins the interesting martial arts competition.

As the tournament commences and Garou continues his rampage, a new great menace reveals itself, threatening the entire human world. Could this finally be the earth-shattering catastrophe predicted by the great seer Madame Shibabawa?

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2019","Jul 3, 2019","TV Tokyo, Good Smile Company, Shueisha, JR East Marketing & Communications, Bandai Namco Arts, Bandai Spirits",VIZ Media,J.C.Staff,Web manga,"Action, Comedy","Parody, Super Power",teenager,23.0,R - 17+ (violence & profanity),7.481,880352.0,17172.0,62,1471613,5878,2019.0
22821,Himitsukessha Taka no Tsume EX,秘密結社鷹の爪 EX,Unknown,Sequel to the previous season of the flash anime series.,TV,38.0,Finished Airing,"Apr 11, 2014","Mar 6, 2015",Unknown,Unknown,DLE,Unknown,Comedy,"Parody, Super Power",Unknown,5.0,PG-13 - Teens 13 or older,,,183942.0,14132,473,0,2014.0
2234,Panda-Z: The Robonimation,パンダーゼット THE ROBONIMATION,Unknown,"Panda-Z chronicles the misadventures of Pan Taron and his giant robot Panda-Z, as they battle the evil Skull Panda and his Warunimal forces.

(Source: ANN)",TV,30.0,Finished Airing,"Apr 12, 2004","Oct 4, 2004","Bee Media, Dynamic Planning",Bandai Entertainment,Unknown,Unknown,"Action, Comedy, Sci-Fi","Mecha, Parody","Kids, Shounen",5.0,PG - Children,6.121,817.0,84562.0,9764,2243,3,2004.0
20199,Ganbare Gonbe,がんばれゴンベ,Unknown,"Based on the long running (1958 to 1992) gag manga by Sonoyama Shuji.

(Source: AniDB)",TV,77.0,Finished Airing,"Apr 14, 1980","Aug 19, 1980","TV Tokyo, Tsuchida Productions",Unknown,Unknown,Unknown,Comedy,Parody,Kids,15.0,PG - Children,,,179782.0,16310,277,0,1980.0
31517,Ohayou Ninja-tai Gatchaman,おはよう忍者隊ガッチャマン,Unknown,"One-minute flash shorts based on Tatsunoko Production's classic science-fiction hero series Science Ninja Team Gatchaman aired during the NTV's Zip! television program on mornings.

(Source: AniDB)",TV,475.0,Finished Airing,"Apr 18, 2011","Mar 29, 2013",Oddjob,Unknown,Unknown,Unknown,Comedy,Parody,Unknown,1.0,G - All Ages,5.711,148.0,103322.0,12731,758,1,2011.0
3619,Nanako SOS,ななこSOS,Nanako SOS,"Nanako is a young girl who unexpectedly acquires supernatural powers and at the same time loses her past memory. By accident, a scientific genius called Marlow, is present when she acquires her powers. Marlow is an industrious high school boy with extraordinary ambitions. He talks to Nanako into joining his detective agency by promising to help her regain her memory. Nanako innocently believes him, but Marlow's real intent is to use her powers to benefit his agency and himself.

The story unfolds as Nanako encounters a variety of dangerous missions and mysterious events, but her natural sunny disposition helps her through all the incidents as she solves each mystery one after the other.

(Source: Wikipedia)",TV,39.0,Finished Airing,"Apr 2, 1983","Dec 24, 1983",Kokusai Eigasha,Unknown,Unknown,Manga,"Comedy, Romance","Parody, Super Power",Unknown,23.0,G - All Ages,6.301,433.0,74922.0,10298,1870,2,1983.0
2104,Seto no Hanayome,瀬戸の花嫁,My Bride is a Mermaid,"During his summer vacation, middle school student Nagasumi Michishio travels to the Seto Inland Sea. One day, while swimming at Mio Sun Beach, his leg suddenly cramps. No one is close enough to notice his desperate screams for help, and so he sinks into the ocean, where he is left to drown alone. Just as he loses consciousness, however, a mermaid appears and saves his life.

That night, Nagasumi is visited by his savior, a girl who introduces herself as Sun Seto—a mermaid from a yakuza family. As it turns out, under mermaid law, a mermaid whose identity is revealed to a human must be punished by execution. To avoid this harrowing outcome, the Seto family propose a solution: Nagasumi must marry Sun or die at the hands of Gouzaburou, Sun's father and boss of the Seto clan. Faced with no other option, Nagasumi takes her hand in marriage.

Now, the newlyweds face the difficult task of keeping their relationship secret. Between Gouzaburou's unending attempts on Nagasumi's life and the eccentric antics of a slew of antagonists, a genuine and innocent love blossoms between the pair as they adapt to their new life. 

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 2, 2007","Oct 1, 2007","TV Tokyo, Square Enix, Sotsu",Funimation,"Gonzo, AIC",Manga,"Comedy, Romance","Organized Crime, Parody, School",young boy,24.0,PG-13 - Teens 13 or older,7.681,138355.0,11552.0,647,309331,2883,2007.0
24041,Jarujio Animal,ジャルジオ・アニマール,Unknown,The real female idol group PASSPO☆ are the stars of this anime. The PASSPO☆ members are represented as animals and go on flight-attendant adventures. ,TV,10.0,Finished Airing,"Apr 26, 2010","Jun 28, 2010",Unknown,Unknown,Unknown,Unknown,"Adventure, Comedy",Parody,Unknown,4.0,PG - Children,,,187312.0,17000,230,1,2010.0
27621,Glass no Kamen Desu ga to Z,ガラスの仮面ですが と Z,Unknown,A continuation of the previous season under a new director and new name.,TV,14.0,Finished Airing,"Apr 28, 2013","Jul 28, 2013",Unknown,Unknown,DLE,Unknown,Comedy,Parody,Unknown,3.0,PG-13 - Teens 13 or older,5.861,163.0,97212.0,12421,847,1,2013.0
19121,Doctor Chichibuyama,ドクター秩父山,Unknown,"Based on the manga by Tanaka Keiichi.

Dr. Chichibuyama is the perverse head of a hospital way out in the mountains and terrorises patients with the help of his lover and a sexy young nurse.

(Source: AniDB)",TV,2.0,Finished Airing,"Apr 3, 1988","Jul 31, 1988","Pony Canyon, Fuji TV, Ashi Productions",Unknown,Production Reed,4-koma manga,"Comedy, Ecchi",Parody,teenager,29.0,R+ - Mild Nudity,5.521,144.0,110252.0,13145,662,1,1988.0
516,Keroro Gunsou,ケロロ軍曹,Sgt. Frog,"Unsuspecting inhabitants of the planet Earth are going about their business, enjoying a bright and particularly beautiful sunny day, when a young Japanese boy spots a shiny object falling from the sky... Has an alien invasion finally begun?

Elsewhere in Japan, Keroro, frog sergeant and leader of the Space Invasion Army Special Tactics Platoon of the 58th Planet in the Gamma Planetary System, has discovered the perfect hideout. He infiltrates the home of the Hinata family in an attempt to establish a headquarters that he and his troops could use to prepare for world domination... but earthlings Fuyuki and Natsumi Hinata are too much for him to handle! Natsumi instinctively calls them out of hiding, leaving the hapless sergeant no option but to reveal his secret identity. The two siblings soon welcome the sergeant to their home, all thanks to Fuyuki’s generos—err... curiosity.

The Sergeant has successfully infiltrated his first target area! Or has he? Join Keroro Gunsou in his dastardly attempt to take over the world!",TV,358.0,Finished Airing,"Apr 3, 2004","Apr 4, 2011","TV Tokyo, Nihon Ad Systems, Rakuonsha","ADV Films, Funimation, Discotek Media",Sunrise,Manga,"Comedy, Sci-Fi","Mecha, Parody",young boy,23.0,PG-13 - Teens 13 or older,7.691,32183.0,11262.0,2232,71139,1105,2004.0
12979,Naruto SD: Rock Lee no Seishun Full-Power Ninden,ナルトSD ロック・リーの青春フルパワー忍伝,NARUTO Spin-Off Rock Lee & His Ninja Pals,"The competitive shinobi world has proven to be challenging for Rock Lee, who lacks the typically required abilities. To compensate for this handicap, the young ninja tenaciously endures severe training to hone his hand-to-hand combat skills. Whenever necessary, he also resorts to creative fighting techniques. With the constant support of his teammates Neji Hyuuga and Tenten, Lee readily embraces daring adventures as opportunities to advance on his path toward excellence.

[Written by MAL Rewrite]",TV,51.0,Finished Airing,"Apr 3, 2012","Mar 26, 2013","TV Tokyo, Shueisha",VIZ Media,Pierrot,Manga,"Action, Comedy",Parody,Unknown,24.0,PG-13 - Teens 13 or older,7.161,44743.0,31772.0,1955,88522,283,2012.0
