ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,ようこそ実力至上主義の教室へ,Unknown,3rd season of Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV).,TV,,Not yet aired,2023,Unknown,Kadokawa,Unknown,Unknown,Light novel,"Drama, Suspense","Psychological, School",Unknown,,PG-13 - Teens 13 or older,,,,2681,51734,198,2023.0
40333,Uzumaki,うずまき,Uzumaki Spiral into Horror,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a snail shell in an alley. Thinking nothing of it, she mentions the incident to Shuuichi, who says that his father has been acting weird lately. Shuuichi reveals his rising desire to leave the town with Kirie, saying that the town is infected with spirals.

But his father's obsession with the shape soon proves deadly, beginning a chain of horrific and unexplainable events that causes the residents of Kurouzu-cho to spiral into madness.

[Written by MAL Rewrite]",TV,4.0,Not yet aired,2023,Unknown,Production I.G,Unknown,Drive,Manga,"Avant Garde, Drama, Horror, Romance, Supernatural",Psychological,teenager,,None,,,,2003,85241,307,2023.0
23351,Youkaiden Nekome Kozou,妖怪伝 猫目小僧,Cat Eyed Boy,"The story is told by the cat-eyed boy, hated by humans and demons, who engages in tales of terror, including monsters and children.",TV,25.0,Finished Airing,"Apr 1, 1976","Sep 30, 1976",Wako Productions,Unknown,Unknown,Manga,"Adventure, Horror, Supernatural",Psychological,teenager,25.0,G - All Ages,5.781,146.0,100242.0,12434,843,0,1976.0
32438,Mayoiga,迷家-マヨイガ-,The Lost Village,"A bus full of eccentric individuals is headed towards the urban legend known as Nanaki Village, a place where one can supposedly start over and live a perfect life. While many have different ideas of why the village cannot be found on any map, or why even the police cannot pinpoint its location, they each look forward to their new lives and just what awaits them once they reach their destination.

After a few mishaps, they successfully arrive at Nanaki Village only to find it completely abandoned. Judging from the state of disrepair, it has been vacant for at least a year. However, secrets are soon revealed as some of the group begin to go missing while exploring the village and amidst the confusion, they find bloody claw marks in a forest. As mistrust and in-fighting break out, will they ever be able to figure out the truth behind this lost village?

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 1, 2016","Jun 17, 2016","WOWOW, Mainichi Broadcasting System, Pony Canyon, KlockWorx, Studio Mausu, Azumaker, Shogakukan",Ponycan USA,Diomedéa,Original,"Drama, Horror, Mystery",Psychological,Unknown,24.0,R - 17+ (violence & profanity),5.501,106539.0,110892.0,975,208473,276,2016.0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,Kaguya-sama Love is War Season 2,"After a slow but eventful summer vacation, Shuchiin Academy's second term is now starting in full force. As August transitions into September, Miyuki Shirogane's birthday looms ever closer, leaving Kaguya Shinomiya in a serious predicament as to how to celebrate it. Furthermore, the tenure of the school's 67th student council is coming to an end. Due to the council members being in different classes, the only time Kaguya and Miyuki have to be together will soon disappear, putting all of their cunning plans at risk.

A long and difficult election that will decide the fate of the new student council awaits, as multiple challengers fight for the coveted title of president.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 11, 2020","Jun 27, 2020","Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,Comedy,"Psychological, Romantic Subtext, School",teenager,24.0,PG-13 - Teens 13 or older,8.651,733157.0,632.0,99,1144956,18506,2020.0
384,Gantz,ガンツ,Gantz,"Thought your life was bad? Sometimes, death is worse. There is no salvation, peace, nor god waiting to receive you into their care. But wait, a god? Maybe you are talking about that big black ball stuck in the room with you. Now you are thrown into a game, fighting green aliens and robot monsters for the chance to survive.

When Kei Kurono is killed, he thus finds himself caught in such a game—a test of his skills, morals, and will to survive. His life is not his own; his death is spat and trampled upon over and over again. What happens if he does not listen? God knows.

A word of warning: Gantz is not for the faint-hearted, but neither is it as simple as it looks. Gore, rape, and violence is rampant, as are portrayals of greed, violence, and all the ugliness that one sees in society today.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 13, 2004","Jun 22, 2004",Fuji TV,"ADV Films, Funimation",Gonzo,Manga,"Action, Drama, Horror, Sci-Fi, Supernatural, Ecchi","Gore, Psychological, Survival",Unknown,22.0,R+ - Mild Nudity,7.001,169526.0,39092.0,598,333828,2282,2004.0
36525,Dorei-ku The Animation,奴隷区 The Animation,Unknown,"Eager to know why her best friend’s boyfriend dumped her for a man, the headstrong Eiya Arakawa suggests a meeting with them. Gathered together at a café, Yuuga Oota agrees to answer Eiya’s questions only if she can correctly ascertain the relationship of a couple sitting across from them, which she does on her first attempt. Amazed by her astounding intellect and intuition, he invites her to a private meeting where he introduces her to the concept of Slave Control Method, or SCM, a retainer-like device that has the ability to turn people into slaves.

When two SCM users enter a duel, the devices exert a powerful influence on their brains. Once the duel is over, the SCM amplifies the loser’s sense of obligation and forces them to bend to the will of the winner. Wanting desperately to test his own abilities, Yuuga asks Eiya to act as his insurance in the event that he himself becomes a slave. Granted access to 10 million yen, Eiya’s job is to convince Yuuga’s would-be master to free him from his servitude. Though hesitant at first, Yuuga’s words resonate with her personal yearning for something more from her life, and she agrees to his request. However, when a mysterious organization begins rapidly accruing slaves, Eiya becomes entangled in a game far more dangerous than she ever could have imagined.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 13, 2018","Jun 29, 2018","Hakuhodo DY Music & Pictures, Futabasha, Hakuhodo, Kakao Japan, Spacey Music Entertainment, A-Craft, Tohan Corporation",Sentai Filmworks,"TNK, Zero-G",Manga,Drama,Psychological,Unknown,24.0,R - 17+ (violence & profanity),5.941,22438.0,93512.0,2497,58777,71,2018.0
26,Texhnolyze,TEXHNOLYZE,Texhnolyze,"In the dark underground city of Lux, people live in fear and despair under the rule of various criminal factions. Almost secluded from the surface, the gangs' only interaction with the outer world is their mining operation of ""raffia,"" which is the raison d'être of the city.

Available only in Lux, this rare substance is the basis of ""texhnolyze"" transplants that permit humans to replace parts of their body with cybernetic prostheses. The latter have the particularity not to trigger an immune response in their hosts and the ""Class"" has the privilege to conduct research on them. This elusive organization, also in charge of the raffia production, delegates its executive authority to a group called Organo led by Keigo Oonishi—a self-righteous man with texhnolyzed legs who is rumored to hear the ""voice of the city.""

The fragile balance of powers in Lux is disturbed when a mysterious visitor named Kazuho Yoshii begins committing a series of crimes that puts the gangs at each other's throats. In the midst of the chaos, new actors emerge: Ichise, an ex-boxer mutilated by Organo and recently texhnolyzed by Eriko ""Doc"" Kamata; and Ran, a young florist who can see the future. While Lux steadily plunges into insanity, both Ichise and Ran find themselves involved in the greatest crisis the city has ever faced.

[Written by MAL Rewrite]",TV,22.0,Finished Airing,"Apr 17, 2003","Sep 25, 2003","Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,"Action, Drama, Sci-Fi",Psychological,Unknown,23.0,R+ - Mild Nudity,7.761,52429.0,9612.0,909,225512,4443,2003.0
29095,Grisaia no Rakuen,グリザイアの楽園,The Eden of Grisaia,"Grisaia no Rakuen begins right at the end of the previous installment, Grisaia no Meikyuu. Kazami Yuuji is arrested under suspicion for terrorism. A video showing apparently concrete proof that Yuuji committed these acts, and he is held in custody by Ichigaya.

Ichigaya knows full well that Yuuji didn't commit the crimes he has been accused of. But he did fail to assassinate Heath Oslo, who is the leader of the terrorist organization with an extremely devastating weapon in their possession. In fact, Ichigaya have their own plans for Yuuji... 

But all may not be lost for Yuuji. The girls of the Mihama Academy are not about to let Yuuji be used for political gain, and neither may the mysterious new figure which appears before them.",TV,10.0,Finished Airing,"Apr 19, 2015","Jun 21, 2015","Frontier Works, AT-X, Bushiroad, NBCUniversal Entertainment Japan, i0+, Front Wing",Sentai Filmworks,8bit,Visual novel,"Drama, Romance","Harem, Psychological",Unknown,23.0,R - 17+ (violence & profanity),7.781,208398.0,9252.0,505,379922,2027,2015.0
182,Tenkuu no Escaflowne,天空のエスカフローネ,The Vision of Escaflowne,"Hitomi Kanzaki is just an ordinary 15-year-old schoolgirl with an interest in tarot cards and fortune telling, but one night, a boy named Van Fanel suddenly appears from the sky along with a vicious dragon. Thanks to a premonition from Hitomi, Van successfully kills the dragon, but a pillar of light appears and envelopes them both. As a result, Hitomi finds herself transported to the world of Gaea, a mysterious land where the Earth hangs in the sky.

In this new land, Hitomi soon discovers that Van is a prince of the Kingdom of Fanelia, which soon falls under attack by the evil empire of Zaibach. In an attempt to fight them off, Van boards his family's ancient guymelef Escaflowne—a mechanized battle suit—but fails to defeat them, and Fanelia ends up destroyed. Now on the run, Hitomi and Van encounter a handsome Asturian knight named Allen Schezar, whom Hitomi is shocked to find looks exactly like her crush from Earth. With some new allies on their side, Van and Hitomi fight back against the forces of Zaibach as the empire strives to revive an ancient power.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 2, 1996","Sep 24, 1996","TV Tokyo, Bandai Visual","Funimation, Bandai Entertainment",Sunrise,Original,"Adventure, Fantasy, Romance","Isekai, Love Polygon, Mecha, Psychological",Unknown,24.0,PG-13 - Teens 13 or older,7.671,62718.0,11702.0,1357,144450,1997,1996.0
