ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
19547,Beompeoking Jaepeo,범퍼킹 재퍼,Unknown,Bumper King Zapper is a 3D animation series about bumper car battles of the future.,TV,26.0,Finished Airing,2004,Not Available,Unknown,Unknown,Daewon Media,Unknown,Action,Racing,Unknown,30.0,None,,,170742.0,15566,327,1,2004.0
52062,Chaoji Fangchengshi,超级方程式 第一季,Formula-X,Unknown,TV,20.0,Finished Airing,2007,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Racing,Unknown,22.0,PG-13 - Teens 13 or older,,,172952.0,20687,35,0,2007.0
52063,Chaoji Fangchengshi 2nd Season,超级方程式 第二部,Formula-X,Unknown,TV,18.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Racing,Unknown,22.0,PG-13 - Teens 13 or older,,,172962.0,20929,31,0,2009.0
31698,Zhan Long Si Qu,战龙四驱,Go For Speed,"Go for Speed is a Chinese anime about Mini 4wds. It was produced by Nanjing Hongying Animation Entertainment Co. Ltd and first aired in China in 2009.  

(Source: Go For Speed Wiki)",TV,64.0,Finished Airing,2009,Not Available,Alpha Group Co. Ltd.,Unknown,Unknown,Unknown,Unknown,Racing,Kids,24.0,G - All Ages,5.491,164.0,111462.0,14127,474,1,2009.0
38378,Lei Su Deng Shandian Chong Xian 2,雷速登闪电冲线2,Flash & Dash 2,The second season of Lei Su Deng Shandian Chong Xian.,TV,40.0,Finished Airing,2010,Not Available,Alpha Group Co. Ltd.,Unknown,Unknown,Original,Unknown,Racing,Kids,24.0,G - All Ages,5.811,198.0,99202.0,14568,419,1,2010.0
44035,Ling Su Zhengba,零速争霸,Unknown,Unknown,TV,26.0,Finished Airing,2016,Not Available,Unknown,Unknown,Unknown,Original,"Adventure, Sci-Fi",Racing,Kids,23.0,PG - Children,,,195592.0,20739,34,0,2016.0
50695,MF Ghost,MFゴースト,Unknown,"Year 202X. Self-driving electric cars have replaced internal combustion engine-based cars, becoming ubiquitous in Japan. However, a racing circuit known as MFG, which employs traditional internal combustion cars, is garnering popularity worldwide.

Kanata Livington, a 19-year-old Japanese-British racer, comes to Japan after graduating from a top racing school in the United Kingdom to take part in MFG and find his missing father, Ken Katagiri. Kanata moves to the home of his late mother's friends—Mr. and Mrs. Saionji—and enters the race under his father's surname, borrowing a Toyota 86 from Ogata, the couple's family friend. Despite the overwhelming disadvantages in specs, Kanata makes it to the top 15 while racing top-tier supercars, demonstrating his phenomenal skills.

Takumi Fujiwara, the legendary downhill and rally racer, turns out to be Kanata's trainer. MFG employees who are familiar with Fujiwara and former racers from the same generation begin to notice Kanata. A new whirlwind is about to set off at MFG.

(Source: MAL News)",TV,,Not yet aired,2023,Unknown,Avex Pictures,Unknown,Felix Film,Manga,Unknown,Racing,teenager,,None,,,,6824,6442,49,2023.0
38526,Chuldong! Super Wings 2,출동! 슈퍼윙스2,Super Wings 2,"The second season of Chuldong! Super Wings. One major change in the story is that uncle Jimbo has retired to travel the world and his niece, Sky, takes over being the main traffic controller for the airport.",TV,52.0,Finished Airing,"Apr 1, 2017","Dec 30, 2017",Unknown,Unknown,Unknown,Original,Adventure,Racing,Kids,12.0,G - All Ages,,,174242.0,16426,269,0,2017.0
40532,Appare-Ranman!,天晴爛漫！,APPARE-RANMAN!,"No dream is too big for Appare Sorrano, a socially-awkward inventor living in a small rural town in Japan in the late 19th century. Fascinated since childhood by the creation of steamships that can connect people across great distances, he's learned to make machines of all kinds from various scientific texts. His goal is to sail across the sea, beyond the sky, and ultimately, to the other side of the moon.

Unfortunately, through a string of events, Appare finds himself stranded in the middle of the sea on his mini steamship. Floating alongside him is a skilled but cowardly samurai, Kosame Ishikki, who was tasked to keep his eccentric behavior in check. Just when all hope seems lost, a large steamship saves them and takes them to Los Angeles. With no money or plans, they decide to participate in the ""Trans-America Wild Race,"" which gives Appare the chance to build his own automobile, and Kosame the opportunity to use the cash prize to return home. However, against rival racers and unknown challenges residing in the wilderness, just how far will this adventure take Appare and Kosame?

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 10, 2020","Sep 25, 2020","Lantis, AT-X, Docomo Anime Store, Sammy, Kadokawa Media House, Kadokawa, Bandai Namco Arts, Bit Promotion",Funimation,P.A. Works,Original,Comedy,"Historical, Racing",Unknown,23.0,PG-13 - Teens 13 or older,7.271,45611.0,25982.0,1550,120394,474,2020.0
18,Initial D Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,Unknown,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results.

The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 17, 2004","Feb 18, 2006","OB Planning, Studio Jack",Funimation,A.C.G.T.,Manga,"Action, Drama",Racing,teenager,27.0,PG-13 - Teens 13 or older,8.151,90743.0,3872.0,1261,159110,1167,2004.0
