ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
52969,"Jitsu wa Ore, Saikyou deshita?",実は俺、最強でした?,Unknown,"To be reincarnated into another world with the promise of a ""cheat"" power is one thing... but to be reborn as a baby, and then left for dead after your royal parents think you're powerless?? That's another thing entirely! Now the newly-born Reinhart—or Hart to his new friends—must find his way through a dangerous world...but luckily he's got magic that's quite literally off the charts! 

(Source: Kodansha USA)",TV,,Not yet aired,2023,Unknown,Avex Pictures,Unknown,Unknown,Light novel,"Adventure, Fantasy","Isekai, Reincarnation",Unknown,,None,,,,10262,1905,14,2023.0
51179,Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,無職転生 ～異世界行ったら本気だす～,Mushoku Tensei Jobless Reincarnation 2nd Season,Second season of Mushoku Tensei: Isekai Ittara Honki Dasu.,TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Studio Bind,Light novel,"Drama, Fantasy, Ecchi","Isekai, Reincarnation",Unknown,,R - 17+ (violence & profanity),,,,1949,88883,439,2023.0
36407,Kenja no Mago,賢者の孫,Wise Man's Grandchild,"In the kingdom of Earlshide, Merlin Wolford was once regarded as a national hero, hailed for both his power and achievements. Preferring a quiet life however, he secludes himself deep in the rural woods, dedicating his time to raising an orphan that he saved. This orphan is Shin, a normal salaryman in modern-day Japan who was reincarnated into Merlin's world while still retaining his past memories. As the years pass, Shin displays unparalleled talent in both magic casting and martial arts, much to Merlin's constant amazement.

On his 15th birthday however, it becomes apparent that Shin only developed his combat skills and nothing else, leaving him with blatant social awkwardness, a lack of common sense, and a middling sense of responsibility. As a result, Shin enrolls in the kingdom's Magic Academy to hone his skills and mature among other teenagers. However, living a normal life is impossible, as he is established as a local celebrity almost as soon as he arrives.

Kenja no Mago follows Shin Wolford's high school life in the capital as he makes new friends, learns about the world, and fights off the various forces of evil surrounding him and his city.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2019","Jun 26, 2019","Sotsu, Docomo Anime Store, ABC Animation, Kadokawa",Funimation,SILVER LINK.,Light novel,"Action, Comedy, Fantasy, Romance","Isekai, Reincarnation",Unknown,23.0,PG-13 - Teens 13 or older,6.611,295271.0,57852.0,371,502119,2622,2019.0
40586,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",スライム倒して300年、知らないうちにレベルMAXになってました,I've Been Killing Slimes for 300 Years and Maxed Out My Level,"In role-playing games, slimes are usually the easiest monster to kill, and because of that, they yield few experience points. But what would happen if you live long enough to keep defeating them for 300 years?

After many years of being a corporate slave, Azusa Aizawa abruptly passes away due to severe exhaustion. Seemingly headed for the afterlife, she meets a goddess who bestows her with immortality alongside a peaceful life in another world. There, Azusa enjoys her days tending to her farm, protecting the nearby village, and killing about 25 slimes per day—a routine that continues for at least three centuries.

However, this rather monotonous cycle begins to change when Azusa suddenly finds out that she has reached level 99—the maximum possible level—from slimes alone. Despite desperately trying to hide this fact in fear of ending her slow life, rumors of her strength spread nevertheless. Soon enough, various people throughout the continent, like the dragon Laika and the elf Halkara, start to appear at her doorstep—some seeking a battle, others asking for her assistance. Meeting friends and acquaintances who soon become family, Azusa finds she can live a life far better with others than when she was alone.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2021","Jun 26, 2021","Square Enix, Movic, AT-X, Nippon Columbia, KlockWorx, Studio Mausu, Bushiroad, Hakuhodo DY Music & Pictures, Medicos Entertainment, BS11, DMM.com, SB Creative",Unknown,Revoroot,Light novel,"Comedy, Fantasy, Slice of Life","Isekai, Reincarnation",Unknown,23.0,PG-13 - Teens 13 or older,6.961,146423.0,40742.0,651,308369,1814,2021.0
7058,Uragiri wa Boku no Namae wo Shitteiru,裏切りは僕の名前を知っている,The Betrayal Knows My Name,"Growing up as an orphan, Yuki Sakurai questions his reason for living and ability to see a person's painful memory by simply touching them. After receiving anonymous notes telling him to die, Yuki is unable to shake off the nagging feeling forming inside of him. Unbeknownst to him, he is being watched, both by people who want to harm him and those who want to protect him.

One foggy night, Yuki's life is saved by a beautiful man with silver eyes and jet black hair—a man he has never met before yet seems familiar. With the arrival of this mysterious stranger, Yuki's forgotten past has been awakened and the purpose of his existence has appeared before him.

Uragiri wa Boku no Namae wo Shitteiru tells the story of a teenage boy as he discovers who he is and where he comes from—all while making friends, experiencing betrayal, and slowly piecing together the puzzle of his past.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 12, 2010","Sep 20, 2010",Unknown,Funimation,J.C.Staff,Manga,"Adventure, Boys Love, Drama, Fantasy",Reincarnation,young girl,23.0,R - 17+ (violence & profanity),7.221,36535.0,28832.0,1880,94437,948,2010.0
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,本好きの下剋上 ～司書になるためには手段を選んでいられません～,Ascendance of a Bookworm Season 3,"Winter is approaching, and Myne—now an apprentice priestess—must prepare for her stay at the church and the upcoming Dedication Ceremony. However, due to her immense knowledge and extraordinary amount of mana, she has garnered the attention of many dangerous people, who are willing to do anything to get their hands on Myne.

To keep her safe, the Head Priest assigns Myne a bodyguard and advises her to be adopted by a noble, a decision that will force her to leave her family behind. As Myne is opposed to the idea, the Head Priest gives her an ultimatum: she can be with her family until she turns 10, but if she is deemed too unstable, she will immediately be dealt with.

Placed in a tough position, Myne is uncertain about her future. Despite the twists that may lie ahead, she will do whatever she can to protect those that she loves—even if it means giving up on her dream.

[Written by MAL Rewrite]
",TV,10.0,Finished Airing,"Apr 12, 2022","Jun 14, 2022","WOWOW, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, TO Books, JTB Next Creation, MediaNet Pictures, Happinet Phantom Studios",Unknown,Ajia-Do,Light novel,"Fantasy, Slice of Life","Isekai, Reincarnation",Unknown,23.0,PG-13 - Teens 13 or older,8.091,44475.0,4532.0,1688,109382,726,2022.0
38830,"Hachi-nan tte, Sore wa Nai deshou!",八男って、それはないでしょう！,The 8th son? Are you kidding me?,"Waking up in a new world, 25-year-old Shingo Ichinomiya realizes that he is in the body of a six-year-old. Retaining memories of his stressful life working at a firm company, Shingo learns that the person he is occupying is Wendelin Von Benno Baumeister, the eighth son of a poor noble family living in the countryside. Awoken to his bizarre situation, Wendelin strives to change his financial and social status for the better. His newly discovered great magical aptitude may prove to be just what he needs to achieve that goal.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 2, 2020","Jun 18, 2020","Satelight, Frontier Works, flying DOG, Kadokawa Media House, Exa International, Kadokawa, GREE, arma bianca",Crunchyroll,"SynergySP, Shin-Ei Animation",Light novel,"Action, Fantasy","Isekai, Reincarnation",Unknown,23.0,PG-13 - Teens 13 or older,6.251,110022.0,77542.0,1032,196933,423,2020.0
51632,Isekai wa Smartphone to Tomo ni. 2nd Season,異世界はスマートフォンとともに。,In Another World With My Smartphone 2,Second season of Isekai wa Smartphone to Tomo ni.,TV,,Not yet aired,Apr 2023,Unknown,"Pony Canyon, Kadokawa",Unknown,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy, Romance","Harem, Isekai, Reincarnation",Unknown,,PG-13 - Teens 13 or older,,,,4539,17866,232,2023.0
52608,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,転生貴族の異世界冒険録～自重を知らない神々の使徒～,Unknown,"Teenager Shiinya Kazuya died while saving young girls from an attacker, only to find himself reincarnated into a world of swords and magic. It was a dream come true! Though he remembers his life and knowledge of Earth, he is now Cain von Silford, the third son of an aristocrat. Being granted the protection of the gods on his fifth birthday turned out to be too much of a good thing for Cain. His stats and boosts are so powerful, he must hide his real abilities to climb the ranks of society as he descends into the darkest dungeons. The ultimate isekai adventure begins as a teen-turned-child is trapped in a beautiful kingdom he didn't create, but might one day rule! 

(Source: Seven Seas Entertainment)",TV,,Not yet aired,Apr 2023,Unknown,Tohjak,Unknown,"Magic Bus, EMT Squared",Light novel,"Action, Fantasy, Romance","Harem, Isekai, Reincarnation",Unknown,,None,,,,9603,2399,18,2023.0
50461,Otome Game Sekai wa Mob ni Kibishii Sekai desu,乙女ゲー世界はモブに厳しい世界です,Trapped in a Dating Sim The World of Otome Games is Tough for Mobs,"Blackmailed into playing a dating simulator set in a matriarchy, an ordinary man must put up with the unbearable and convoluted world until he clears the game. After countless days of grinding, he finally manages to beat it, but his hardcore gaming comes at a cost: extreme sleep deprivation and hunger.

While heading out to the convenience store to solve one of these problems, the man tumbles down the stairs and falls unconscious, only to wake up to the worst possible realization—he has been reincarnated into the game as the mob character Leon Fou Bartfort. Now trapped in a world he despises, Leon must use his knowledge of the game to navigate through the plot safely and sustain himself in a society where the odds are heavily stacked against him.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 3, 2022","Jun 19, 2022","AT-X, Sammy, bilibili, Kadokawa Media House, Kadokawa, Micro Magazine Publishing, Micro House",Unknown,ENGI,Light novel,Fantasy,"Isekai, Mecha, Reincarnation, School",Unknown,23.0,PG-13 - Teens 13 or older,7.361,100215.0,21922.0,1046,193817,1474,2022.0
38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,My Next Life as a Villainess All Routes Lead to Doom!,"Most people would prefer being the protagonist of a world full of adventure, be it in a game or in another world. But, unfortunately, a certain girl is not so lucky. Regaining the memories of her past life, she realizes that she was reborn in the world of Fortune Lover—one of the games she used to play.

Unfortunately, the character she was reincarnated into—Catarina Claes—is the game's main antagonist, who faces utter doom in every ending. Using her extensive knowledge of the game, she takes it upon herself to escape from the chains of this accursed destiny.

However, this will not be an easy feat, especially since she needs to be cautious as to not set off death flags that may speed up the impending doom she is trying to avoid. Even so, to make a change that will affect the lives of everyone around her, she strives—not as the heroine—but as the villainess.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 5, 2020","Jun 21, 2020","Mainichi Broadcasting System, Asmik Ace, King Records, Ichijinsha, Nichion",Crunchyroll,SILVER LINK.,Light novel,"Comedy, Drama, Fantasy, Romance","Reincarnation, Reverse Harem, School",young girl,24.0,PG-13 - Teens 13 or older,7.481,208326.0,17182.0,502,383627,2602,2020.0
