ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
49858,Shinigami Bocchan to Kuro Maid 2nd Season,死神坊ちゃんと黒メイド,The Duke of Death and His Maid 2nd Season,Second season of Shinigami Bocchan to Kuro Maid.,TV,,Not yet aired,2023,Unknown,NBCUniversal Entertainment Japan,Unknown,J.C.Staff,Manga,"Comedy, Drama, Supernatural",Romantic Subtext,Unknown,,PG-13 - Teens 13 or older,,,,3777,26686,92,2023.0
52578,Boku no Kokoro no Yabai Yatsu,僕の心のヤバイやつ,The Dangers in My Heart,"Kyoutaro Ichikawa may look like your average middle school student, but in his heart, he dreams of murder. Thus, it is no surprise that the one he wants to kill the most is never far off from his mind: the class idol, Anna Yamada.

Reading alone in his beloved school library, he inadvertently begins to rendezvous with Yamada, who comes to secretly gorge on her beloved candies and sweets. Through their interactions, Ichikawa discovers just how much of a ditz Yamada is, and can't help but support her from the sidelines. Meanwhile, Yamada herself can't help but tease Ichikawa relentlessly due to his flustered reactions.

With an array of heartwarming daily interactions, the distant bond between the two grows into something more than just library acquaintances. Perhaps, in time, Ichikawa will come to realize that his murderous desires have turned into something else entirely.

[Written by MAL Rewrite]",TV,,Not yet aired,2023,Unknown,Avex Pictures,Unknown,Unknown,Manga,"Comedy, Slice of Life","Romantic Subtext, School",young boy,,None,,,,8317,3850,29,2023.0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,Kaguya-sama Love is War Season 2,"After a slow but eventful summer vacation, Shuchiin Academy's second term is now starting in full force. As August transitions into September, Miyuki Shirogane's birthday looms ever closer, leaving Kaguya Shinomiya in a serious predicament as to how to celebrate it. Furthermore, the tenure of the school's 67th student council is coming to an end. Due to the council members being in different classes, the only time Kaguya and Miyuki have to be together will soon disappear, putting all of their cunning plans at risk.

A long and difficult election that will decide the fate of the new student council awaits, as multiple challengers fight for the coveted title of president.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 11, 2020","Jun 27, 2020","Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,Comedy,"Psychological, Romantic Subtext, School",teenager,24.0,PG-13 - Teens 13 or older,8.651,733157.0,632.0,99,1144956,18506,2020.0
42361,"Ijiranaide, Nagatoro-san",イジらないで、長瀞さん,"Don't Toy with Me, Miss Nagatoro","Every day, Naoto Hachiouji is teased relentlessly by Hayase Nagatoro, a first year student he meets one day in the library while working on his manga. After reading his story and seeing his awkward demeanor, she decides from that moment on to toy with him, even calling him ""Senpai"" in lieu of using his real name.

At first, Nagatoro's relentless antics are more bothersome than anything and leave him feeling embarrassed, as he is forced to cater to her whims. However, as they spend more time together, a strange sort of friendship develops between them, and Naoto finds that life with Nagatoro can even be fun. But one thing's for sure: his days will never be dull again.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2021","Jun 27, 2021","TMS Entertainment, Mainichi Broadcasting System, Kodansha, King Records",Unknown,Telecom Animation Film,Manga,Comedy,Romantic Subtext,Unknown,23.0,PG-13 - Teens 13 or older,7.361,355885.0,21772.0,245,671850,8321,2021.0
6956,Working!!,ワーキング!!,Wagnaria!!,"Due to his love for small, cute things, Souta Takanashi cannot turn childlike Popura Taneshima down when she recruits him to work for Wagnaria, a family restaurant located in Hokkaido. Takanashi takes particular joy in doting on the older Popura, which only fuels her complex over how young she looks. He also quickly learns he must stay on his toes once he meets the rest of his colleagues, including the katana-wielding floor chief Yachiyo Todoroki, the intimidating head chef Jun Satou, the dangerously well-informed and subtly sadistic sous chef Hiroomi Souma, the adamantly lazy manager Kyouko Shirafuji, and the waitress Mahiru Inami who has a ""painful"" fear of men.

Powered by an eccentric cast, Working!! is a unique workplace comedy that follows the never-dull happenings within the walls of Wagnaria as Takanashi and his co-workers' quirky personalities combine to create non-stop antics, shenanigans, and hilarity.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 4, 2010","Jun 27, 2010","Aniplex, Rakuonsha","NIS America, Inc.",A-1 Pictures,4-koma manga,Comedy,"Romantic Subtext, Workplace",teenager,24.0,PG-13 - Teens 13 or older,7.661,197378.0,12032.0,464,410220,2449,2010.0
21405,Bokura wa Minna Kawai-sou,僕らはみんな河合荘,The Kawai Complex Guide to Manors and Hostel Behavior,"Kazunari Usa is a high school freshman who will start living alone due to his parents now working in a different area. Excited for his new independent life, he hopes to go about his teenage days without the worry of dealing with any strange people, but as he soon discovers, his new boarding house Kawai Complex is far from ordinary.

The various tenants at Kawai Complex are all quite eccentric characters. Shirosaki, Kazunari's roommate, is a pervert and masochist; Mayumi Nishikino, a borderline alcoholic office lady, hates couples because of her unfortunate luck with men; and Sayaka Watanabe, a seemingly innocent college student, enjoys leading men on. Shocked with the lack of decent individuals at his new residence, Kazunari is about to leave when he runs into shy senior student Ritsu Kawai and finds himself slowly falling in love with her.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2014","Jun 20, 2014",TBS,Sentai Filmworks,Brain's Base,Manga,Slice of Life,"Romantic Subtext, School",teenager,24.0,PG-13 - Teens 13 or older,7.671,184371.0,11772.0,538,360028,2106,2014.0
50631,"Komi-san wa, Comyushou desu. 2nd Season",古見さんは、コミュ症です。 2,Komi Can't Communicate Season 2,"After an exciting and momentous cultural festival, Shouko Komi continues her endeavor to make one hundred friends alongside her friend and classmate Hitohito Tadano. As winter begins, the class is joined by the seemingly delinquent student Makoto Katai, who has been absent since the first week of school. Despite his intimidating appearance, Katai has difficulty communicating with others and just wants to befriend his classmates.

As new friendships form and current ones deepen, Komi and Tadano’s relationship begins to change—though not necessarily for the worse.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 7, 2022","Jun 23, 2022","TV Tokyo, Dentsu, Shogakukan-Shueisha Productions, Half H.P Studio, Nippon Columbia",Unknown,OLM,Manga,Comedy,"Romantic Subtext, School",young boy,23.0,PG-13 - Teens 13 or older,8.141,148419.0,3962.0,566,344826,3390,2022.0
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,かぐや様は告らせたい-ウルトラロマンティック-,Kaguya-sama Love is War - Ultra Romantic,"The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.

Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.

As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.

[Written by MAL Rewrite]
",TV,13.0,Finished Airing,"Apr 9, 2022","Jun 25, 2022","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,"Comedy, Suspense","Psychological, Romantic Subtext, School",teenager,23.0,PG-13 - Teens 13 or older,9.121,335909.0,22.0,261,651609,23770,2022.0
36049,Dagashi Kashi 2,だがしかし2,Dagashi Kashi 2,Second season of Dagashi Kashi.,TV,12.0,Finished Airing,"Jan 12, 2018","Mar 30, 2018","Pony Canyon, TBS, Shogakukan, Lawson, Pony Canyon Enterprise",Funimation,Tezuka Productions,Manga,"Comedy, Gourmet",Romantic Subtext,young boy,12.0,PG-13 - Teens 13 or older,6.831,65132.0,46762.0,1308,151500,184,2018.0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,Kaguya-sama Love is War,"At the renowned Shuchiin Academy, Miyuki Shirogane and Kaguya Shinomiya are the student body's top representatives. Ranked the top student in the nation and respected by peers and mentors alike, Miyuki serves as the student council president. Alongside him, the vice president Kaguya—eldest daughter of the wealthy Shinomiya family—excels in every field imaginable. They are the envy of the entire student body, regarded as the perfect couple.

However, despite both having already developed feelings for the other, neither are willing to admit them. The first to confess loses, will be looked down upon, and will be considered the lesser. With their honor and pride at stake, Miyuki and Kaguya are both equally determined to be the one to emerge victorious on the battlefield of love!

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 12, 2019","Mar 30, 2019","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,Comedy,"Psychological, Romantic Subtext, School",teenager,25.0,PG-13 - Teens 13 or older,8.411,950704.0,1592.0,59,1495957,35358,2019.0
