ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
17893,Cheonbangjichuk Hani,천방지축 하니,Unknown,"Sequel of Dallyeola Hani.

Hany is a small tomboy and slightly troublesome teenager who lives life a bit carelessly on her own since her Father lives abroad due to work in the Middle East and her Mother died when she was very small. The only thing Hany is very good at is running~ fast!

(Source: Cute in Korea)",TV,13.0,Finished Airing,1988,1989,KBS,Unknown,Daewon Media,Unknown,"Comedy, Drama, Sports",School,Unknown,20.0,None,6.251,127.0,77422.0,14587,416,0,1988.0
25589,Yeongsimi,영심이,Unknown,Unknown,TV,13.0,Finished Airing,1990,1991,Unknown,Unknown,Unknown,Unknown,"Comedy, Slice of Life",School,Kids,24.0,G - All Ages,,,163562.0,17188,220,0,1990.0
45371,Tianyan Xiao Shentong,天眼小神童,"Magic Eye, The Wonder Boy",Unknown,TV,500.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Original,Fantasy,School,Kids,8.0,PG - Children,,,155772.0,20534,39,0,2005.0
45776,Xiao Xiao Lushi,小小律师,Unknown,Unknown,TV,100.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Original,Unknown,School,Kids,6.0,G - All Ages,,,161432.0,20777,33,0,2005.0
48328,Choum and Pulip School,초음이의 풀잎학교,Choum and Pulip School,Unknown,TV,6.0,Finished Airing,2010,Not Available,Unknown,Unknown,Unknown,Original,Unknown,School,Kids,11.0,PG - Children,,,174062.0,19868,55,0,2010.0
34264,Ninja Bear the Animation★,忍者ベアーthe Animation★,Unknown,"The Ninja International Kindergarten in the Land of White Goats is where kids trying to become the world's best ninjas go to school. Ninja Bear is aiming to become the master of the food chain or, in short, a master ninja! He's training night and day. Other colorful and unique characters like Hige-chan, Bunnie Antoinette, Ham Rock Star, and Usawan are classmates at the school. No challenge is too great for these cool guys! Enjoy their carefree and mischievous life at the Ninja Kindergarten!

And yet... wars created by adults seem to continue in every era. The Land of White Goats and the Land of Black Goats are in an all-out war over paper, a valuable resource for the goat kingdoms. How long will this seemingly endless struggle continue? What does fate have in store for Ninja Bear and his friends?

(Source: Official site)",TV,,Currently Airing,2017,Unknown,"TV Tokyo, TriF Studio",Unknown,KOO-KI,Original,Comedy,"Anthropomorphic, School",Kids,,G - All Ages,,,138702.0,14552,420,0,2017.0
44460,Tian Xin Ge Ge 4th Season,甜心格格 第四季,Unknown,Unknown,TV,26.0,Finished Airing,2018,Unknown,Unknown,Unknown,Unknown,Original,Comedy,"Historical, School",Kids,23.0,G - All Ages,,,155632.0,20509,40,0,2018.0
48280,Jadoo Ilgijang,자두의 일기장,Unknown,Unknown,TV,40.0,Finished Airing,2020,Not Available,Unknown,Unknown,Unknown,Picture book,Comedy,School,Kids,4.0,PG - Children,,,187212.0,20728,34,0,2020.0
49894,Eiyuu Kyoushitsu,英雄教室,Unknown,"A long time ago, there existed a Demon Lord who terrorized throughout the world until a Hero stepped up to the stage and challenged the Demon Lord, ultimately defeating him and ending his reign. The Hero then created Rosewood Academy, an academy made to help heroes-in-training achieve supremacy and help defend the world when needed that enrolls only the best of the best.

Enter Arnest Flaming, a girl with a high sense of duty and the top student at the academy, hence receiving the alias ""Empress of Flames"" who one day encounters the lively, carefree new transfer student Blade, a boy who seems to equal her in power, something that she finds really irritating. Arnest was then personally requested by The King to supervise, and show Blade around the academy during his stay. The story follows the students' struggles in their quest to become heroes. 

(Source: Eiyuu Kyoushitsu Wiki, edited)",TV,,Not yet aired,2023,Unknown,Unknown,Unknown,Actas,Light novel,"Action, Fantasy",School,Unknown,,None,,,,6741,6660,26,2023.0
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,ようこそ実力至上主義の教室へ,Unknown,3rd season of Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV).,TV,,Not yet aired,2023,Unknown,Kadokawa,Unknown,Unknown,Light novel,"Drama, Suspense","Psychological, School",Unknown,,PG-13 - Teens 13 or older,,,,2681,51734,198,2023.0
