ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
9822,Xiang Qi Wang,象棋王,Xiangqi Master,Features preteens involved in the competition and challenges in the world of Chinese chess.,TV,26.0,Finished Airing,2006,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Strategy Game,Unknown,24.0,PG - Children,5.921,136.0,94662.0,13562,572,3,2006.0
19839,Weiqi Shaonian 2,围棋少年2,Go Player 2; Go Youngsters 2; Go Boy 2,Jiang Liu Er has fortified his skills as a Go player over the years. He now must make the long journey to become a grandmaster.,TV,26.0,Finished Airing,2009,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,"Historical, Strategy Game",Unknown,25.0,None,,,159572.0,15394,344,1,2009.0
38534,Huoli Shaonian Wang 3,火力少年王3,Blazing Teens 3,"Huoli Shaonian Wang is a Chinese multi-media franchise created to sell yoyo toys to children. Huoli Shaonian Wang 3 is the first animated season in the franchise but the 3rd story chronologically.

The show focuses on competitive schools that hold yo-yo contests. Each team has their own issues that they solve. Each yoyo has a name that reflects the toy's design. The show makes use of minor special effects in order to portray magic/spirit/chi and the speed of the yoyo. These ""magic spells"" are ""battling"" and the person whose ""magic"" remains, wins. 

(Source: Wiki)",TV,40.0,Finished Airing,2010,Not Available,Alpha Group Co. Ltd.,Unknown,Unknown,Original,Unknown,Strategy Game,Kids,24.0,G - All Ages,5.711,141.0,103232.0,15463,338,1,2010.0
42922,Q-Borg,奇博少年,Q-Borg,Unknown,TV,52.0,Finished Airing,2012,Not Available,Unknown,Unknown,Unknown,Other,"Action, Sci-Fi, Sports",Strategy Game,Kids,24.0,PG-13 - Teens 13 or older,,,144142.0,19383,82,0,2012.0
38535,Huoli Shaonian Wang 3: Xuji,火力少年王3续集,Blazing Teens 4,A 26-episode second season sequel to Huoli Shaonian Wang 3. It aired 2 years after the original and focuses on the Blazing Team in a global competition against teams of other nations.,TV,26.0,Finished Airing,2012,Not Available,Alpha Group Co. Ltd.,Unknown,Unknown,Original,Unknown,Strategy Game,Kids,23.0,G - All Ages,6.011,111.0,90082.0,16365,272,0,2012.0
21835,Majin Bone,マジンボーン,Unknown,"Anime adaptation of Majin Bone, a digital card game project.

Majin, the creator of the Universe, has been resurrected in the present day. Shougo Ryuujin, an ordinary high school student who transforms into the Bone Fighter Dragonbone with the Bone Card in order to save Earth. Together, with the other White Bone warriors take a stand against the Dark Bone, a foe that has appeared from darkness to devastate Earth. However, ""could the true enemy be ourselves?""

(Source: ANN)",TV,52.0,Finished Airing,"Apr 1, 2014","Mar 31, 2015",Unknown,Unknown,Toei Animation,Game,Unknown,Strategy Game,Unknown,22.0,PG-13 - Teens 13 or older,6.621,3472.0,57102.0,5890,9310,28,2014.0
23511,Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,超爆裂異次元メンコバトル ギガントシューター つかさ,Unknown,"The anime follows Tsukasa, whose dream is to become the best at Gigant Shooter (battles in a game similar to pog) in the world. The menko card his father left for him called King Menger is his partner. Tsukasa's fellow gamers are the cute but tsundere Koide Miruko, the spectacled bully Numata Manabu, and the realist and sharp-tongued Doumoto Ataru.

(Source: ANN)",TV,32.0,Finished Airing,"Apr 1, 2014","Feb 10, 2015","NHK, Asmik Ace, Bushiroad, FOREST Hunting One",Unknown,Fanworks,Original,"Action, Comedy",Strategy Game,Kids,9.0,PG-13 - Teens 13 or older,,,174002.0,13990,497,3,2014.0
27737,Battle Spirits: Burning Soul,バトルスピリッツ烈火魂〈バーニングソウル〉,Unknown,"In the near future, a battle card game called ""Battle Spirits"" has gained enormous popularity. Players of the game—known as ""Battlers""—start duelings everywhere using their color-coded cards with different attributes, creating a ""Sengoku (Warring States) period"" for the game.

(Source: ANN)",TV,51.0,Finished Airing,"Apr 1, 2015","Mar 30, 2016",Unknown,Unknown,Bandai Namco Pictures,Card game,Unknown,Strategy Game,Unknown,22.0,PG - Children,6.681,1262.0,53772.0,8422,3710,18,2015.0
34836,Future Card Buddyfight Battsu,フューチャーカード バディファイトX,Future Card Buddyfight X,The fourth season of Future Card Buddyfight.,TV,52.0,Finished Airing,"Apr 1, 2017","Mar 31, 2018","Dentsu, TV Aichi",Unknown,"Xebec, OLM",Card game,Unknown,Strategy Game,Unknown,23.0,PG - Children,6.501,1757.0,64062.0,8334,3826,10,2017.0
39622,Bakugan: Battle Planet,爆丸バトルプラネット,Bakugan Battle Planet,"The series follows pre-teens Dan Kouzo, Shun Kazami, Wynton Styles, Lia Venegas, and their dog Lightning. They are known as the ""Awesome Ones"" and make videos on the website ViewTube. Eventually, they stumble across a race of battling biomechanical creatures called Bakugan. They soon befriend the Bakugan and begin to battle each other with them, all while defending their neighborhood from thugs who use the Bakugan for malicious purposes. 

(Source: Wikipedia)",TV,50.0,Finished Airing,"Apr 1, 2019","Jan 19, 2020",Nelvana,Unknown,TMS Entertainment,Original,"Action, Fantasy",Strategy Game,Unknown,24.0,PG - Children,5.481,2676.0,111782.0,6892,6258,15,2019.0
